"ID";"trials_runs.thisN";"secondStim";"trials_runs.visual_stim_left";"trials_runs.visual_stim_right";"trials_runs.correctKey";"trials_runs.presentationFrequncy";"response_runs.keys";"response_runs.rt";"trials_runs.correct_answer";"trials_runs.feedback_given";"session";"tsDifficulty";"prob.Feedback";"totalAccuracy";"totalError";"outlier200ms";"outlierSD";"omission";"validTrials";"modality";"stimType";"logfile"
"CBC_1001";"0";"1";"3";"1";"z";"27";"z";"2,51825639999970008";"1";"1";"1";"hard";"0,80";"1,000000000000000";"0,0000000000000000";"0";"0";"0";"1";"av";"env";"CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv"
"CBC_1001";"1";"2";"2";"3";"b";"63";"z";"2,24184400000012829";"0";"0";"1";"hard";"0,80";"0,500000000000000";"0,5000000000000000";"0";"0";"0";"1";"av";"env";"CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv"
"CBC_1001";"2";"3";"2";"3";"z";"63";"b";"2,57463349999989077";"0";"0";"1";"hard";"0,80";"0,333333333333333";"0,6666666666666667";"0";"0";"0";"1";"av";"env";"CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv"
"CBC_1001";"3";"1";"1";"0";"b";"63";"b";"2,42206690000011804";"1";"0";"1";"hard";"0,80";"0,500000000000000";"0,5000000000000000";"0";"0";"0";"1";"av";"env";"CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv"
"CBC_1001";"4";"0";"3";"0";"z";"9";"z";"3,39004290000002584";"1";"1";"1";"hard";"0,80";"0,600000000000000";"0,4000000000000000";"0";"0";"0";"1";"av";"env";"CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv"
"CBC_1001";"5";"3";"2";"3";"z";"63";"None";NA;NA;"3";"1";"hard";"0,80";"0,600000000000000";"0,4000000000000000";NA;NA;"1";"0";"av";"env";"CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv"
"CBC_1001";"6";"2";"2";"0";"b";"27";"b";"3,77247699999998076";"1";"1";"1";"hard";"0,80";"0,666666666666667";"0,3333333333333334";"0";"0";"0";"1";"av";"env";"CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv"
"CBC_1001";"7";"0";"1";"0";"z";"63";"z";"2,78982200000018565";"1";"1";"1";"hard";"0,80";"0,714285714285714";"0,2857142857142857";"0";"0";"0";"1";"av";"env";"CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv"
"CBC_1001";"8";"1";"0";"1";"z";"63";"z";"2,07255699999996068";"1";"1";"1";"hard";"0,80";"0,750000000000000";"0,2500000000000000";"0";"0";"0";"1";"av";"env";"CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv"
"CBC_1001";"9";"3";"3";"1";"b";"27";"b";"2,58499330000040572";"1";"0";"1";"hard";"0,80";"0,777777777777778";"0,2222222222222222";"0";"0";"0";"1";"av";"env";"CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv"
"CBC_1001";"10";"2";"2";"3";"b";"63";"b";"1,78561600000011822";"1";"1";"1";"hard";"0,80";"0,800000000000000";"0,2000000000000000";"0";"0";"0";"1";"av";"env";"CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv"
"CBC_1001";"11";"1";"0";"1";"z";"63";"z";"1,59718599999996513";"1";"1";"1";"hard";"0,80";"0,818181818181818";"0,1818181818181818";"0";"0";"0";"1";"av";"env";"CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv"
"CBC_1001";"12";"0";"1";"0";"z";"63";"z";"1,70943140000008498";"1";"0";"1";"hard";"0,80";"0,833333333333333";"0,1666666666666666";"0";"0";"0";"1";"av";"env";"CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv"
"CBC_1001";"13";"2";"2";"1";"b";"9";"z";"3,18978910000032556";"0";"0";"1";"hard";"0,80";"0,769230769230769";"0,2307692307692307";"0";"0";"0";"1";"av";"env";"CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv"
"CBC_1001";"14";"0";"0";"1";"b";"63";"None";NA;NA;"3";"1";"hard";"0,80";"0,769230769230769";"0,2307692307692307";NA;NA;"1";"0";"av";"env";"CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv"
"CBC_1001";"15";"3";"1";"3";"z";"27";"z";"2,58515670000042519";"1";"1";"1";"hard";"0,80";"0,785714285714286";"0,2142857142857143";"0";"0";"0";"1";"av";"env";"CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv"
"CBC_1001";"16";"1";"1";"0";"b";"63";"b";"1,56869869999991352";"1";"1";"1";"hard";"0,80";"0,800000000000000";"0,2000000000000000";"0";"0";"0";"1";"av";"env";"CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv"
"CBC_1001";"17";"2";"3";"2";"z";"63";"z";"3,12383599999975559";"1";"0";"1";"hard";"0,80";"0,812500000000000";"0,1875000000000000";"0";"0";"0";"1";"av";"env";"CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv"
"CBC_1001";"18";"0";"0";"2";"b";"27";"b";"1,14921000000003914";"1";"1";"1";"hard";"0,80";"0,823529411764706";"0,1764705882352942";"0";"0";"0";"1";"av";"env";"CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv"
"CBC_1001";"19";"3";"2";"3";"z";"63";"z";"2,32911330000024464";"1";"1";"1";"hard";"0,80";"0,833333333333333";"0,1666666666666666";"0";"0";"0";"1";"av";"env";"CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv"
"CBC_1001";"20";"1";"1";"3";"b";"27";"b";"2,61349879999988843";"1";"1";"1";"hard";"0,80";"0,842105263157895";"0,1578947368421053";"0";"0";"0";"1";"av";"env";"CBC_1001_MSI_AV_v3_Vset4_Aset2_2023-06-08_11h37.59.527.csv"
