"ID";"session";"tsDifficulty";"prob.Feedback";"ACC";"minACC";"maxACC";"RT";"minRT";"maxRT";"omissions";"outliers";"idxOmission";"idxOutlier";"modality";"stimType";"logfile"
"CBC_1024";"5";"hard";"0,95";"0,795454545454545";"0,333333333333333";"1,000000000000000";"2,72881792272723";"1,33021300000109477";"4,69300899999871";"0,0000000000000000";"0,0000000000000000";;;"av";"env";"CBC_1024_MSI_AV_v3_Vset4_Aset2_2023-07-05_16h16.42.189.csv"
"CBC_1026";"1";"easy";"0,95";"0,404761904761905";"0,000000000000000";"0,700000000000000";"2,91440374761859";"2,01548039999943285";"3,93314049999935";"0,0454545454545455";"0,0000000000000000";;;"tv";"vib";"CBC_1026_MSI_TV_v3_Vset6_Tset1_2023-07-20_11h47.13.772.csv"
"CBC_1026";"2";"easy";"0,95";"0,523809523809524";"0,411764705882353";"1,000000000000000";"2,66671073333293";"1,47747879999951692";"5,53501439999945";"0,0454545454545455";"0,0238095238095238";;;"av";"env";"CBC_1026_MSI_AV_v3_Vset3_Aset2_2023-07-20_11h56.22.418.csv"
"CBC_1026";"3";"easy";"0,95";"0,300000000000000";"0,166666666666667";"1,000000000000000";"2,72563334749948";"1,68054999999912980";"4,01092109999990";"0,0909090909090909";"0,0250000000000000";;;"tv";"vib";"CBC_1026_MSI_TV_v3_Vset4_Tset3_2023-07-20_12h55.31.545.csv"
"CBC_1026";"4";"easy";"0,95";"0,627906976744186";"0,000000000000000";"0,666666666666667";"2,79956176511642";"1,56782489999932295";"5,39922009999827";"0,0227272727272727";"0,0232558139534884";;;"av";"env";"CBC_1026_MSI_AV_v3_Vset1_Aset3_2023-07-20_13h03.59.061.csv"
"CBC_1027";"1";"hard";"0,95";"0,681818181818182";"0,000000000000000";"0,812500000000000";"1,92232268181773";"1,05378839999866614";"3,56871849999879";"0,0000000000000000";"0,0000000000000000";;;"av";"env";"CBC_1027_MSI_AV_v3_Vset5_Aset1_2023-07-21_16h27.29.899.csv"
"CBC_1027";"2";"hard";"0,95";"0,818181818181818";"0,500000000000000";"1,000000000000000";"2,01097496818164";"0,85342759999912232";"4,46111899999960";"0,0000000000000000";"0,0227272727272727";;;"tv";"vib";"CBC_1027_MSI_TV_v3_Vset2_Tset2_2023-07-21_16h36.05.936.csv"
"CBC_1027";"3";"hard";"0,95";"0,772727272727273";"0,000000000000000";"0,772727272727273";"1,77505190454328";"0,81098009999914211";"3,74649379999755";"0,0000000000000000";"0,0000000000000000";;;"av";"env";"CBC_1027_MSI_AV_v3_Vset6_Aset2_2023-07-21_17h56.54.977.csv"
"CBC_1027";"4";"hard";"0,90";"0,750000000000000";"0,000000000000000";"0,750000000000000";"2,52665082727625";"1,35420070000327541";"4,46046890000434";"0,0000000000000000";"0,0227272727272727";;;"tv";"vib";"CBC_1027_MSI_TV_v3_Vset3_Tset3_2023-07-21_18h05.28.896.csv"
"CBC_1028";"1";"hard";"0,95";"0,595238095238095";"0,571428571428571";"1,000000000000000";"2,54132896428538";"1,13710129999981291";"4,04580239999996";"0,0454545454545455";"0,0000000000000000";;;"tv";"vib";"CBC_1028_MSI_TV_v3_Vset6_Tset3_2023-07-21_13h48.20.813.csv"
"CBC_1028";"3";"hard";"0,95";"0,477272727272727";"0,440000000000000";"1,000000000000000";"2,03998221363699";"0,52217250000012427";"4,03585470000053";"0,0000000000000000";"0,0000000000000000";;;"av";"env";"CBC_1028_MSI_AV_v3_Vset3_Aset1_2023-07-21_14h00.16.706.csv"
"CBC_1028";"4";"hard";"0,95";"0,536585365853659";"0,484848484848485";"1,000000000000000";"1,85556713170771";"0,95576400000027206";"4,91629829999965";"0,0681818181818182";"0,0487804878048781";;;"tv";"vib";"CBC_1028_MSI_TV_v3_Vset1_Tset2_2023-07-21_14h15.28.088.csv"
"CBC_1029";"1";"easy";"0,95";"0,613636363636364";"0,000000000000000";"0,800000000000000";"2,51725854545405";"1,28888779999942926";"3,65741829999934";"0,0000000000000000";"0,0000000000000000";;;"av";"env";"CBC_1029_MSI_AV_v3_Vset2_Aset2_2023-07-21_14h51.03.497.csv"
"CBC_1029";"2";"hard";"0,95";"0,522727272727273";"0,448275862068966";"1,000000000000000";"2,32215175454580";"1,20068580000042857";"3,96560479999971";"0,0000000000000000";"0,0000000000000000";;;"tv";"vib";"CBC_1029_MSI_TV_v3_Vset5_Tset2_2023-07-21_14h59.39.665.csv"
"CBC_1029";"3";"easy";"0,95";"0,636363636363636";"0,000000000000000";"0,750000000000000";"2,02684097272793";"0,93870289999904344";"4,20873170000050";"0,0000000000000000";"0,0227272727272727";;;"av";"env";"CBC_1029_MSI_AV_v3_Vset6_Aset1_2023-07-21_17h16.24.897.csv"
"CBC_1029";"4";"easy";"0,95";"0,818181818181818";"0,666666666666667";"1,000000000000000";"2,68950194317958";"0,86602459999994608";"4,60329399999682";"0,0000000000000000";"0,0000000000000000";;;"tv";"vib";"CBC_1029_MSI_TV_v3_Vset3_Tset1_2023-07-21_17h25.06.255.csv"
"CBC_1030";"1";"easy";"0,95";"0,744186046511628";"0,642857142857143";"1,000000000000000";"3,29119319302274";"2,25521599999956379";"4,82137279999915";"0,0227272727272727";"0,0000000000000000";;;"tv";"vib";"CBC_1030_MSI_TV_v3_Vset3_Tset1_2023-08-23_15h04.35.874.csv"
"CBC_1030";"2";"hard";"0,95";"0,813953488372093";"0,800000000000000";"1,000000000000000";"2,41895574651159";"1,31651999999940017";"5,42694920000031";"0,0227272727272727";"0,0232558139534884";;;"av";"env";"CBC_1030_MSI_AV_v3_Vset6_Aset3_2023-08-23_15h13.18.002.csv"
"CBC_1030";"3";"easy";"0,95";"0,658536585365854";"0,500000000000000";"1,000000000000000";"3,17717245853530";"1,50209339999855729";"5,56151299999874";"0,0681818181818182";"0,0000000000000000";;;"tv";"vib";"CBC_1030_MSI_TV_v3_Vset4_Tset3_2023-08-23_15h54.43.458.csv"
"CBC_1031";"1";"easy";"0,95";"0,523809523809524";"0,312500000000000";"1,000000000000000";"2,46303782619123";"0,59242400000039197";"6,17670710000129";"0,0454545454545455";"0,0000000000000000";;;"av";"env";"CBC_1031_MSI_AV_v3_Vset1_Aset1_2023-10-20_10h25.09.885.csv"
"CBC_1031";"3";"easy";"0,95";"0,435897435897436";"0,333333333333333";"1,000000000000000";"2,79051667435931";"0,26274600000033388";"4,85879380000006";"0,1136363636363636";"0,0000000000000000";;;"tv";"vib";"CBC_1031_MSI_TV_v3_Vset3_Tset1_2023-10-20_12h11.47.981.csv"
"CBC_1031";"4";"easy";"0,95";"0,681818181818182";"0,000000000000000";"0,875000000000000";"2,12376377272602";"1,03593249999903492";"4,78891039999871";"0,0000000000000000";"0,0227272727272727";;;"av";"env";"CBC_1031_MSI_AV_v3_Vset6_Aset2_2023-10-20_12h20.15.905.csv"
"CBC_1033";"2";"easy";"0,95";"1,000000000000000";"1,000000000000000";"1,000000000000000";"1,36061676590938";"0,71329020000030141";"2,51908509999976";"0,0000000000000000";"0,0000000000000000";;;"av";"env";"CBC_1033_MSI_AV_v3_Vset1_Aset1_2023-12-13_14h51.00.395.csv"
"CBC_1033";"3";"easy";"0,95";"0,744186046511628";"0,285714285714286";"1,000000000000000";"2,14512606046529";"1,18501640000067709";"3,74355310000010";"0,0227272727272727";"0,0000000000000000";;;"tv";"vib";"CBC_1033_MSI_TV_v3_Vset2_Tset3_2023-12-13_15h01.20.123.csv"
"CBC_1033";"4";"hard";"0,90";"0,886363636363636";"0,333333333333333";"1,000000000000000";"2,08922769545389";"0,99626149999949121";"4,11677569999938";"0,0000000000000000";"0,0000000000000000";;;"av";"env";"CBC_1033_MSI_AV_v3_Vset6_Aset2_2023-12-13_15h10.11.385.csv"
"CBC_1034";"1";"hard";"0,95";"0,454545454545455";"0,000000000000000";"0,454545454545455";"2,27903316818207";"0,81022720000009940";"3,52425369999992";"0,0000000000000000";"0,0000000000000000";;;"tv";"vib";"CBC_1034_MSI_TV_v3_Vset1_Tset1_2023-12-13_13h56.17.502.csv"
"CBC_1034";"2";"hard";"0,95";"0,477272727272727";"0,000000000000000";"0,488372093023256";"2,31566747272720";"1,09593929999982720";"4,00411459999987";"0,0000000000000000";"0,0000000000000000";;;"av";"env";"CBC_1034_MSI_AV_v3_Vset2_Aset3_2023-12-13_14h05.28.139.csv"
"CBC_1035";"2";"hard";"0,95";"0,692307692307692";"0,000000000000000";"0,692307692307692";"2,81534069743576";"0,98340970000026573";"5,96616300000005";"0,1136363636363636";"0,0256410256410256";;;"tv";"vib";"CBC_1035_MSI_TV_v3_Vset6_Tset2_2024-07-26_14h50.42.748.csv"
"CBC_1035";"3";"easy";"0,95";"0,511627906976744";"0,307692307692308";"1,000000000000000";"2,72315489069813";"1,24632290000045032";"4,93239410000206";"0,0227272727272727";"0,0000000000000000";;;"av";"env";"CBC_1035_MSI_AV_v3_Vset4_Aset3_2024-07-26_16h27.09.209.csv"
"CBC_1036";"1";"hard";"0,95";"0,666666666666667";"0,000000000000000";"0,666666666666667";"2,35014945714366";"-0,01724049999938870";"4,34973530000116";"0,0454545454545455";"0,0000000000000000";;;"tv";"vib";"CBC_1036_MSI_TV_v3_Vset2_Tset3_2023-12-06_14h51.37.594.csv"
"CBC_1036";"3";"hard";"0,95";"0,750000000000000";"0,000000000000000";"0,777777777777778";"1,87609534772690";"0,94607709999945655";"3,56627889999982";"0,0000000000000000";"0,0000000000000000";;;"av";"env";"CBC_1036_MSI_AV_v3_Vset3_Aset1_2023-12-06_15h58.00.246.csv"
"CBC_1036";"4";"hard";"0,95";"0,568181818181818";"0,000000000000000";"0,600000000000000";"2,34325696136243";"1,35344709999844781";"3,34627429999819";"0,0000000000000000";"0,0000000000000000";;;"tv";"vib";"CBC_1036_MSI_TV_v3_Vset6_Tset2_2023-12-06_16h06.44.053.csv"
"CBC_1037";"1";"hard";"0,95";"0,750000000000000";"0,500000000000000";"1,000000000000000";"2,41098767045474";"1,13264540000000125";"4,29734139999982";"0,0000000000000000";"0,0000000000000000";;;"av";"env";"CBC_1037_MSI_AV_v3_Vset3_Aset2_2024-01-04_12h44.35.607.csv"
"CBC_1037";"3";"hard";"0,90";"0,512195121951220";"0,000000000000000";"0,714285714285714";"2,92593511707341";"0,11797509999996691";"4,72891400000026";"0,0681818181818182";"0,0243902439024390";;;"tv";"vib";"CBC_1037_MSI_TV_v3_Vset1_Tset3_2024-01-04_13h52.51.148.csv"
"CBC_1038";"1";"hard";"0,95";"0,513513513513513";"0,500000000000000";"1,000000000000000";"1,84812037297314";"0,80952910000041811";"4,27475170000025";"0,1590909090909091";"0,0000000000000000";;;"av";"env";"CBC_1038_MSI_AV_v3_Vset4_Aset1_2024-05-04_09h31.10.662.csv"
"CBC_1038";"2";"hard";"0,95";"0,634146341463415";"0,000000000000000";"0,634146341463415";"1,80267155853624";"0,79808439999942493";"4,00225759999921";"0,0681818181818182";"0,0243902439024390";;;"tv";"vib";"CBC_1038_MSI_TV_v3_Vset6_Tset1_2024-05-04_09h40.02.212.csv"
"CBC_1040";"1";"hard";"0,90";"0,795454545454545";"0,500000000000000";"1,000000000000000";"2,57538201590881";"1,44367869999950926";"3,39026529999956";"0,0000000000000000";"0,0227272727272727";;;"tv";"vib";"CBC_1040_MSI_TV_v3_Vset6_Tset2_2023-12-20_15h38.50.725.csv"
"CBC_1040";"2";"hard";"0,90";"0,909090909090909";"0,500000000000000";"1,000000000000000";"2,30474697045386";"1,64602689999901486";"3,24532869999894";"0,0000000000000000";"0,0227272727272727";;;"av";"env";"CBC_1040_MSI_AV_v3_Vset5_Aset3_2023-12-20_15h47.19.244.csv"
"CBC_1041";"2";"hard";"0,95";"0,609756097560976";"0,578947368421053";"1,000000000000000";"2,72930449024388";"0,09527290000005451";"4,68798109999989";"0,0681818181818182";"0,0243902439024390";;;"tv";"vib";"CBC_1041_MSI_TV_v3_Vset1_Tset1_2023-12-20_15h01.19.659.csv"
"CBC_1041";"3";"easy";"0,95";"0,609756097560976";"0,500000000000000";"1,000000000000000";"2,31730023414763";"0,92436850000194681";"4,83838490000016";"0,0681818181818182";"0,0000000000000000";;;"av";"env";"CBC_1041_MSI_AV_v3_Vset3_Aset3_2023-12-20_16h24.17.405.csv"
"CBC_1042";"1";"hard";"0,95";"0,651162790697674";"0,583333333333333";"1,000000000000000";"2,77657868139484";"2,22411799999918003";"4,29109879999942";"0,0227272727272727";"0,0232558139534884";;;"tv";"vib";"CBC_1042_MSI_TV_v3_Vset6_Tset2_2024-07-26_15h40.22.663.csv"
"CBC_1042";"3";"easy";"0,95";"0,488372093023256";"0,459459459459459";"1,000000000000000";"2,31376632093025";"1,41565549999904761";"2,70513529999880";"0,0227272727272727";"0,0000000000000000";;;"av";"env";"CBC_1042_MSI_AV_v3_Vset5_Aset2_2024-07-26_17h06.06.006.csv"
"CBC_1044";"1";"hard";"0,95";"0,704545454545455";"0,000000000000000";"0,707317073170732";"1,58116643409143";"1,04863980000027368";"2,45177349999994";"0,0000000000000000";"0,0000000000000000";;;"av";"env";"CBC_1044_MSI_AV_v3_Vset5_Aset1_2023-12-19_14h17.39.039.csv"
"CBC_1044";"2";"hard";"0,95";"0,926829268292683";"0,875000000000000";"1,000000000000000";"1,62170775609824";"1,03662330000042857";"2,93693300000086";"0,0681818181818182";"0,0000000000000000";;;"tv";"vib";"CBC_1044_MSI_TV_v3_Vset4_Tset2_2023-12-19_14h26.34.109.csv"
