ID,filename,session,trial,visStimLeft,secondStim,mod2Type,frequency,rewardAccurate,yesKey,mod2Stim,stimPair,match,key,reactionTime,choice,choiceAccurate,reward,simpleSurprise
CBC_P041,CBC_P041_AV_prob0.7_Vset4_Aset1_2024-05-17_19h28.30.418.csv,1,27,0,2,aud,0.5,1,z,A,0A,1,z,1.43442530000175,1,1,1,1.94591014905531
CBC_P041,CBC_P041_AV_prob0.7_Vset4_Aset1_2024-05-17_19h28.30.418.csv,1,28,2,0,aud,0.15,1,z,B,2B,0,b,0.985912000000098,0,1,1,2.89037175789616
CBC_P041,CBC_P041_AV_prob0.7_Vset4_Aset1_2024-05-17_19h28.30.418.csv,1,29,1,1,aud,0.35,1,z,C,1C,0,b,1.15646660000129,0,1,1,2.22462355152433
CBC_P041,CBC_P041_AV_prob0.7_Vset4_Aset1_2024-05-17_19h28.30.418.csv,1,30,0,0,aud,0.35,0,z,B,0B,0,b,1.12720160000026,0,1,0,2.2512917986065
CBC_P041,CBC_P041_AV_prob0.7_Vset4_Aset1_2024-05-17_19h28.30.418.csv,1,31,2,1,aud,0.5,1,z,C,2C,1,z,1.53332500000033,1,1,1,2.05412373369555
CBC_P041,CBC_P041_AV_prob0.7_Vset4_Aset1_2024-05-17_19h28.30.418.csv,1,32,0,2,aud,0.5,1,z,A,0A,1,z,1.60602730000028,1,1,1,1.89711998488588
CBC_P041,CBC_P041_AV_prob0.7_Vset4_Aset1_2024-05-17_19h28.30.418.csv,1,33,2,1,aud,0.5,1,z,C,2C,1,None,NaN,NaN,NaN,NaN,1.92181259747625
CBC_P041,CBC_P041_AV_prob0.7_Vset4_Aset1_2024-05-17_19h28.30.418.csv,1,34,1,2,aud,0.15,0,z,A,1A,0,b,1.2780894000025,0,1,0,3.04452243772342
CBC_P041,CBC_P041_AV_prob0.7_Vset4_Aset1_2024-05-17_19h28.30.418.csv,1,35,0,0,aud,0.35,1,z,B,0B,0,b,0.987218599999323,0,1,1,2.15176220325946
CBC_P041,CBC_P041_AV_prob0.7_Vset4_Aset1_2024-05-17_19h28.30.418.csv,1,36,2,1,aud,0.5,0,z,C,2C,1,z,2.97058749999997,1,1,0,1.83827948486295
