ID,filename,session,trial,visStimLeft,visStimRight,correctKey,leftCorrect,rightCorrect,secondStim,mod2Type,mod2Stim,frequency,rewardAccurate,stimPairLeft,stimPairRight,pCorrectLeft,pCorrectRight,key,reactionTime,choiceLeft,choiceRight,choiceAccurate,reward,chosenPair,otherPair,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,beliefPair,beliefOtherPair,beliefPairNorm,beliefOtherPairNorm,prob,lik,rewardPE,update2,rewardPEOP,update2OP,fitCBCbothPairsRW_CBCsimpleSigmoid_startBelief,fitCBCbothPairsRW_CBCsimpleSigmoid_alpha1,fitCBCbothPairsRW_CBCsimpleSigmoid_alpha2,fitCBCbothPairsRW_CBCsimpleSigmoid_beta,fit_CBCbothPairsRW_CBCsimpleSigmoid_NLL
CBC_1011,CBC_1011_MSI_TV_v3_Vset2_Tset3_2024-03-20_14h28.58.206.csv,1,11,3,2,z,0,1,1,tac,C,63,0,3C,2C,1,0,z,3.14303139999993,0,1,1,0,2C,3C,C32,3.25809653802148,0.613100446777097,0.41141507247186,0.46180280635582,0.5,0.418901258175546,0.620014729910824,0.5,0.46180280635582,0.5,0.5,0.546450073050464,0.46180280635582,0.5,0.46180280635582,0.46180280635582,0.58858492752814,0.546450073050464,0.46180280635582,0.541977200573178,0.458022799426822,0.654496480461219,0.654496480461219,-0.546450073050464,-0.0507652916232503,-0.53819719364418,0.0411152448487617,0.5,0.092900146100927,0.0763943872883596,7.60964725150217,18.9490984434489
CBC_1011,CBC_1011_MSI_TV_v3_Vset2_Tset3_2024-03-20_14h28.58.206.csv,1,12,1,3,b,1,0,0,tac,B,27,1,1B,3B,1,0,b,3.02031050000005,1,0,1,1,1B,3B,B13,3.29583686600433,0.613100446777097,0.41141507247186,0.46180280635582,0.5,0.418901258175546,0.620014729910824,0.5,0.46180280635582,0.5,0.5,0.495684781427213,0.502918051204582,0.5,0.46180280635582,0.46180280635582,0.58858492752814,0.620014729910824,0.46180280635582,0.573123201580275,0.426876798419725,0.752666301479245,0.752666301479245,0.379985270089176,0.0353006871074847,0.46180280635582,-0.0352791424395978,0.5,0.092900146100927,0.0763943872883596,7.60964725150217,18.9490984434489
CBC_1011,CBC_1011_MSI_TV_v3_Vset2_Tset3_2024-03-20_14h28.58.206.csv,1,13,3,2,z,0,1,1,tac,C,63,1,3C,2C,0,1,z,3.32474459999958,0,1,1,1,2C,3C,C32,2.63905732961526,0.613100446777097,0.41141507247186,0.46180280635582,0.5,0.418901258175546,0.655315417018309,0.5,0.426523663916222,0.5,0.5,0.495684781427213,0.502918051204582,0.5,0.46180280635582,0.46180280635582,0.58858492752814,0.495684781427213,0.502918051204582,0.49637830499724,0.50362169500276,0.486223577043648,0.486223577043648,0.504315218572787,0.0468509574863328,0.502918051204582,-0.0384201163780299,0.5,0.092900146100927,0.0763943872883596,7.60964725150217,18.9490984434489
CBC_1011,CBC_1011_MSI_TV_v3_Vset2_Tset3_2024-03-20_14h28.58.206.csv,1,14,3,2,b,1,0,3,tac,D,63,1,3D,2D,1,0,b,2.75640279999971,1,0,1,1,3D,2D,D32,2.67414864942653,0.613100446777097,0.41141507247186,0.46180280635582,0.5,0.418901258175546,0.655315417018309,0.5,0.426523663916222,0.5,0.5,0.542535738913546,0.464497934826552,0.5,0.46180280635582,0.46180280635582,0.58858492752814,0.58858492752814,0.46180280635582,0.560350153130371,0.439649846869629,0.714733671046377,0.714733671046377,0.41141507247186,0.0382205203407592,0.46180280635582,-0.0352791424395978,0.5,0.092900146100927,0.0763943872883596,7.60964725150217,18.9490984434489
CBC_1011,CBC_1011_MSI_TV_v3_Vset2_Tset3_2024-03-20_14h28.58.206.csv,1,15,0,3,b,1,0,2,tac,A,9,1,0A,3A,1,0,b,3.07090650000009,1,0,1,1,0A,3A,A03,3.40119738166216,0.613100446777097,0.41141507247186,0.46180280635582,0.5,0.418901258175546,0.655315417018309,0.5,0.426523663916222,0.5,0.5,0.542535738913546,0.464497934826552,0.5,0.46180280635582,0.426523663916222,0.6268054478689,0.613100446777097,0.5,0.550804241029896,0.449195758970104,0.684213727980639,0.684213727980639,0.386899553222903,0.035943025020791,0.5,-0.0381971936441798,0.5,0.092900146100927,0.0763943872883596,7.60964725150217,18.9490984434489
CBC_1011,CBC_1011_MSI_TV_v3_Vset2_Tset3_2024-03-20_14h28.58.206.csv,1,16,0,1,z,0,1,0,tac,B,63,0,0B,1B,NaN,NaN,None,NaN,NaN,NaN,NaN,NaN,,,B01,2.7408400239252,0.649043471797888,0.41141507247186,0.46180280635582,0.46180280635582,0.418901258175546,0.655315417018309,0.5,0.426523663916222,0.5,0.5,0.542535738913546,0.464497934826552,0.5,0.46180280635582,0.426523663916222,0.6268054478689,0,0,0,0,0,NaN,0,0,0,0,0.5,0.092900146100927,0.0763943872883596,7.60964725150217,18.9490984434489
CBC_1011,CBC_1011_MSI_TV_v3_Vset2_Tset3_2024-03-20_14h28.58.206.csv,1,17,2,3,z,0,1,3,tac,D,63,1,2D,3D,0,1,z,2.78667150000001,0,1,1,1,3D,2D,D23,3.46573590279973,0.649043471797888,0.41141507247186,0.46180280635582,0.46180280635582,0.418901258175546,0.655315417018309,0.5,0.426523663916222,0.5,0.5,0.542535738913546,0.464497934826552,0.5,0.46180280635582,0.426523663916222,0.6268054478689,0.6268054478689,0.426523663916222,0.595070848090988,0.404929151909012,0.80952261494302,0.80952261494302,0.3731945521311,0.0346698284170492,0.426523663916222,-0.032584013968866,0.5,0.092900146100927,0.0763943872883596,7.60964725150217,18.9490984434489
CBC_1011,CBC_1011_MSI_TV_v3_Vset2_Tset3_2024-03-20_14h28.58.206.csv,1,18,0,2,z,0,1,1,tac,C,27,1,0C,2C,0,1,z,2.75445510000009,0,1,1,1,2C,0C,C02,3.49650756146648,0.649043471797888,0.41141507247186,0.46180280635582,0.46180280635582,0.418901258175546,0.655315417018309,0.5,0.426523663916222,0.5,0.5,0.542535738913546,0.464497934826552,0.5,0.46180280635582,0.393939649947356,0.661475276285949,0.542535738913546,0.5,0.520400134655275,0.479599865344725,0.577001359415762,0.577001359415762,0.457464261086454,0.0424984966908842,0.5,-0.0381971936441798,0.5,0.092900146100927,0.0763943872883596,7.60964725150217,18.9490984434489
CBC_1011,CBC_1011_MSI_TV_v3_Vset2_Tset3_2024-03-20_14h28.58.206.csv,1,19,0,1,b,1,0,2,tac,A,63,1,0A,1A,1,0,b,2.91395170000033,1,0,1,1,0A,1A,A01,2.83321334405622,0.649043471797888,0.41141507247186,0.46180280635582,0.46180280635582,0.418901258175546,0.655315417018309,0.5,0.426523663916222,0.46180280635582,0.5,0.58503423560443,0.464497934826552,0.5,0.46180280635582,0.393939649947356,0.661475276285949,0.649043471797888,0.41141507247186,0.612040400169374,0.387959599830626,0.84620952188444,0.84620952188444,0.350956528202112,0.0326039127450503,0.41141507247186,-0.0314298023826838,0.5,0.092900146100927,0.0763943872883596,7.60964725150217,18.9490984434489
CBC_1011,CBC_1011_MSI_TV_v3_Vset2_Tset3_2024-03-20_14h28.58.206.csv,1,20,1,0,b,1,0,0,tac,B,63,1,1B,0B,1,0,z,4.00519309999981,0,1,0,0,0B,1B,B10,2.86220088092947,0.681647384542939,0.379985270089176,0.46180280635582,0.46180280635582,0.418901258175546,0.655315417018309,0.5,0.426523663916222,0.46180280635582,0.5,0.58503423560443,0.464497934826552,0.5,0.46180280635582,0.393939649947356,0.661475276285949,0.418901258175546,0.655315417018309,0.389959742618919,0.610040257381081,0.157793889797699,0.157793889797699,-0.418901258175546,-0.0389159880863704,-0.344684582981691,0.02633196752463,0.5,0.092900146100927,0.0763943872883596,7.60964725150217,18.9490984434489
CBC_1011,CBC_1011_MSI_TV_v3_Vset2_Tset3_2024-03-20_14h28.58.206.csv,1,21,1,3,z,0,1,3,tac,D,27,1,1D,3D,NaN,NaN,None,NaN,NaN,NaN,NaN,NaN,,,D13,3.58351893845611,0.681647384542939,0.379985270089176,0.46180280635582,0.46180280635582,0.379985270089176,0.681647384542939,0.5,0.426523663916222,0.46180280635582,0.5,0.58503423560443,0.464497934826552,0.5,0.46180280635582,0.393939649947356,0.661475276285949,0,0,0,0,0,NaN,0,0,0,0,0.5,0.092900146100927,0.0763943872883596,7.60964725150217,18.9490984434489
CBC_1011,CBC_1011_MSI_TV_v3_Vset2_Tset3_2024-03-20_14h28.58.206.csv,1,22,3,2,z,0,1,1,tac,C,63,1,3C,2C,0,1,z,4.31981179999912,0,1,1,1,2C,3C,C32,2.51230562397611,0.681647384542939,0.379985270089176,0.46180280635582,0.46180280635582,0.379985270089176,0.681647384542939,0.5,0.426523663916222,0.46180280635582,0.5,0.58503423560443,0.464497934826552,0.5,0.46180280635582,0.393939649947356,0.661475276285949,0.58503423560443,0.464497934826552,0.557423823763487,0.442576176236513,0.705566963316436,0.705566963316436,0.41496576439557,0.0385503801392313,0.464497934826552,-0.0354850351277828,0.5,0.092900146100927,0.0763943872883596,7.60964725150217,18.9490984434489
CBC_1011,CBC_1011_MSI_TV_v3_Vset2_Tset3_2024-03-20_14h28.58.206.csv,1,23,0,1,b,1,0,2,tac,A,63,1,0A,1A,1,0,b,2.68182059999981,1,0,1,1,0A,1A,A01,2.53897387105828,0.681647384542939,0.379985270089176,0.46180280635582,0.46180280635582,0.379985270089176,0.681647384542939,0.5,0.426523663916222,0.46180280635582,0.5,0.623584615743662,0.429012899698769,0.5,0.46180280635582,0.393939649947356,0.661475276285949,0.681647384542939,0.379985270089176,0.64207462116842,0.35792537883158,0.896810317199491,0.896810317199491,0.318352615457061,0.0295750044875732,0.379985270089176,-0.0290287418870644,0.5,0.092900146100927,0.0763943872883596,7.60964725150217,18.9490984434489
CBC_1011,CBC_1011_MSI_TV_v3_Vset2_Tset3_2024-03-20_14h28.58.206.csv,1,24,2,3,z,0,1,3,tac,D,63,1,2D,3D,0,1,z,2.91414929999974,0,1,1,1,3D,2D,D23,2.9704144655697,0.711222389030512,0.350956528202112,0.46180280635582,0.46180280635582,0.379985270089176,0.681647384542939,0.5,0.426523663916222,0.46180280635582,0.5,0.623584615743662,0.429012899698769,0.5,0.46180280635582,0.393939649947356,0.661475276285949,0.661475276285949,0.393939649947356,0.626744287809822,0.373255712190178,0.873134112577659,0.873134112577659,0.338524723714051,0.0314489962918113,0.393939649947356,-0.0300947781863191,0.5,0.092900146100927,0.0763943872883596,7.60964725150217,18.9490984434489
CBC_1011,CBC_1011_MSI_TV_v3_Vset2_Tset3_2024-03-20_14h28.58.206.csv,1,25,2,0,b,1,0,1,tac,C,27,1,2C,0C,1,0,z,2.67814730000009,0,1,0,0,0C,2C,C20,3.68887945411394,0.711222389030512,0.350956528202112,0.46180280635582,0.46180280635582,0.379985270089176,0.681647384542939,0.5,0.426523663916222,0.46180280635582,0.5,0.623584615743662,0.429012899698769,0.5,0.46180280635582,0.363844871761037,0.69292427257776,0.46180280635582,0.623584615743662,0.425472782301593,0.574527217698407,0.243377323140816,0.243377323140816,-0.46180280635582,-0.0429015481802738,-0.376415384256338,0.0287560226461754,0.5,0.092900146100927,0.0763943872883596,7.60964725150217,18.9490984434489
CBC_1011,CBC_1011_MSI_TV_v3_Vset2_Tset3_2024-03-20_14h28.58.206.csv,1,26,0,1,b,1,0,2,tac,A,63,1,0A,1A,1,0,b,2.65666039999996,1,0,1,1,0A,1A,A01,2.32727770558442,0.711222389030512,0.350956528202112,0.46180280635582,0.46180280635582,0.379985270089176,0.681647384542939,0.5,0.426523663916222,0.418901258175546,0.5,0.652340638389837,0.429012899698769,0.5,0.46180280635582,0.363844871761037,0.69292427257776,0.711222389030512,0.350956528202112,0.66958812445978,0.33041187554022,0.929629475922458,0.929629475922458,0.288777610969488,0.0268274822497421,0.350956528202112,-0.0268111089368502,0.5,0.092900146100927,0.0763943872883596,7.60964725150217,18.9490984434489
CBC_1011,CBC_1011_MSI_TV_v3_Vset2_Tset3_2024-03-20_14h28.58.206.csv,1,27,1,3,b,1,0,0,tac,B,27,1,1B,3B,1,0,b,2.79285509999954,1,0,1,1,1B,3B,B13,3.04452243772342,0.738049871280254,0.324145419265261,0.46180280635582,0.46180280635582,0.379985270089176,0.681647384542939,0.5,0.426523663916222,0.418901258175546,0.5,0.652340638389837,0.429012899698769,0.5,0.46180280635582,0.363844871761037,0.69292427257776,0.681647384542939,0.426523663916222,0.615110262527364,0.384889737472636,0.852191907597187,0.852191907597187,0.318352615457061,0.0295750044875732,0.426523663916222,-0.032584013968866,0.5,0.092900146100927,0.0763943872883596,7.60964725150217,18.9490984434489
CBC_1011,CBC_1011_MSI_TV_v3_Vset2_Tset3_2024-03-20_14h28.58.206.csv,1,28,3,2,z,0,1,1,tac,C,63,1,3C,2C,0,1,z,2.96847539999908,0,1,1,1,2C,3C,C32,2.37490575457367,0.738049871280254,0.324145419265261,0.46180280635582,0.46180280635582,0.379985270089176,0.711222389030512,0.5,0.393939649947356,0.418901258175546,0.5,0.652340638389837,0.429012899698769,0.5,0.46180280635582,0.363844871761037,0.69292427257776,0.652340638389837,0.429012899698769,0.603263054507511,0.396736945492489,0.828010276532039,0.828010276532039,0.347659361610163,0.0322976054869392,0.429012899698769,-0.0327741776112899,0.5,0.092900146100927,0.0763943872883596,7.60964725150217,18.9490984434489
CBC_1011,CBC_1011_MSI_TV_v3_Vset2_Tset3_2024-03-20_14h28.58.206.csv,1,29,3,2,b,1,0,3,tac,D,63,0,3D,2D,0,1,b,2.82429609999963,1,0,1,0,3D,2D,D32,2.68557734525015,0.738049871280254,0.324145419265261,0.46180280635582,0.46180280635582,0.379985270089176,0.711222389030512,0.5,0.393939649947356,0.418901258175546,0.5,0.684638243876776,0.396238722087479,0.5,0.46180280635582,0.363844871761037,0.69292427257776,0.69292427257776,0.363844871761037,0.655700704633377,0.344299295366623,0.91448387482038,0.91448387482038,-0.69292427257776,-0.0643727661593525,-0.636155128238963,0.0485986812421634,0.5,0.092900146100927,0.0763943872883596,7.60964725150217,18.9490984434489
