ID,filename,session,trial,visStimLeft,visStimRight,correctKey,leftCorrect,rightCorrect,secondStim,mod2Type,mod2Stim,frequency,rewardAccurate,stimPairLeft,stimPairRight,pCorrectLeft,pCorrectRight,key,reactionTime,choiceLeft,choiceRight,choiceAccurate,reward,chosenPair,otherPair,tripletUnsorted,matchingPair,nonMatchingPair,triplet,simpleSurprise,nonMatchPairSurprise
CBC_1020,CBC_1020_MSI_TV_v3_Vset1_Tset2_2023-06-28_15h03.37.595.csv,1,1,1,0,b,1,0,0,tac,B,63,1,1B,0B,1,0,z,2.3386438,0,1,0,0,0B,1B,B10,B1,B0,B10,2.77258872223978,1.38629436111989
CBC_1020,CBC_1020_MSI_TV_v3_Vset1_Tset2_2023-06-28_15h03.37.595.csv,1,2,1,0,z,0,1,3,tac,A,63,1,1A,0A,0,1,z,2.3928044,0,1,1,1,0A,1A,A10,A0,A1,A01,2.83321334405622,1.6094379124341
CBC_1020,CBC_1020_MSI_TV_v3_Vset1_Tset2_2023-06-28_15h03.37.595.csv,1,3,3,2,b,1,0,1,tac,D,63,1,3D,2D,1,0,b,2.2867541,1,0,1,1,3D,2D,D32,D3,D2,D32,2.89037175789616,1.79175946922805
CBC_1020,CBC_1020_MSI_TV_v3_Vset1_Tset2_2023-06-28_15h03.37.595.csv,1,4,1,2,b,1,0,0,tac,B,9,1,1B,2B,1,0,z,2.3800762,0,1,0,0,2B,1B,B12,B1,B2,B12,2.94443897916644,1.94591014905531
CBC_1020,CBC_1020_MSI_TV_v3_Vset1_Tset2_2023-06-28_15h03.37.595.csv,1,5,2,0,z,0,1,3,tac,A,27,1,2A,0A,0,1,b,2.3697365,1,0,0,0,2A,0A,A20,A0,A2,A02,2.99573227355399,2.07944154167984
CBC_1020,CBC_1020_MSI_TV_v3_Vset1_Tset2_2023-06-28_15h03.37.595.csv,1,6,3,2,z,0,1,2,tac,C,63,1,3C,2C,0,1,b,2.1898982,1,0,0,0,3C,2C,C32,C2,C3,C23,3.04452243772342,2.19722457733622
CBC_1020,CBC_1020_MSI_TV_v3_Vset1_Tset2_2023-06-28_15h03.37.595.csv,1,7,3,1,b,1,0,1,tac,D,27,1,3D,1D,1,0,z,2.1256749,0,1,0,0,1D,3D,D31,D3,D1,D31,3.09104245335832,2.30258509299405
CBC_1020,CBC_1020_MSI_TV_v3_Vset1_Tset2_2023-06-28_15h03.37.595.csv,1,8,0,1,b,1,0,3,tac,A,63,1,0A,1A,1,0,z,2.5859114,0,1,0,0,1A,0A,A01,A0,A1,A01,2.4423470353692,1.70474809223843
CBC_1020,CBC_1020_MSI_TV_v3_Vset1_Tset2_2023-06-28_15h03.37.595.csv,1,9,0,2,z,0,1,2,tac,C,27,1,0C,2C,0,1,b,2.4336349,1,0,0,0,0C,2C,C02,C2,C0,C20,3.17805383034795,2.484906649788
CBC_1020,CBC_1020_MSI_TV_v3_Vset1_Tset2_2023-06-28_15h03.37.595.csv,1,10,3,2,b,1,0,1,tac,D,63,1,3D,2D,1,0,z,2.3966332,0,1,0,0,2D,3D,D32,D3,D2,D32,2.52572864430826,1.87180217690159
