ID,filename,session,trial,visStimLeft,secondStim,mod2Type,frequency,rewardAccurate,yesKey,mod2Stim,stimPair,match,key,reactionTime,choice,choiceAccurate,reward,simpleSurprise
CBC_1056,CBC_1056_MSI_AV_v1_Vset5_Aset2_2024-02-07_14h44.14.721.csv,1,27,2,1,aud,0.36,1,z,A,2A,0,z,3.06931649999751,1,0,0,2.4567357728213
CBC_1056,CBC_1056_MSI_AV_v1_Vset5_Aset2_2024-02-07_14h44.14.721.csv,1,28,1,0,aud,0.36,1,z,C,1C,0,z,2.90034139999989,1,0,0,2.484906649788
CBC_1056,CBC_1056_MSI_AV_v1_Vset5_Aset2_2024-02-07_14h44.14.721.csv,1,29,0,1,aud,0.5,1,z,A,0A,1,z,3.4097574999978,1,1,1,2.00148000021012
CBC_1056,CBC_1056_MSI_AV_v1_Vset5_Aset2_2024-02-07_14h44.14.721.csv,1,30,1,0,aud,0.36,1,z,C,1C,0,b,3.98174730000028,0,1,1,2.2512917986065
CBC_1056,CBC_1056_MSI_AV_v1_Vset5_Aset2_2024-02-07_14h44.14.721.csv,1,31,2,2,aud,0.14,1,z,B,2B,0,b,2.6187116000001,0,1,1,2.9704144655697
CBC_1056,CBC_1056_MSI_AV_v1_Vset5_Aset2_2024-02-07_14h44.14.721.csv,1,32,1,1,aud,0.14,1,z,A,1A,0,b,3.26426919999722,0,1,1,2.99573227355399
CBC_1056,CBC_1056_MSI_AV_v1_Vset5_Aset2_2024-02-07_14h44.14.721.csv,1,33,2,0,aud,0.5,1,z,C,2C,1,z,3.57206210000004,1,1,1,1.92181259747625
CBC_1056,CBC_1056_MSI_AV_v1_Vset5_Aset2_2024-02-07_14h44.14.721.csv,1,34,0,1,aud,0.5,0,z,A,0A,1,b,4.23619339999641,0,0,1,1.94591014905531
CBC_1056,CBC_1056_MSI_AV_v1_Vset5_Aset2_2024-02-07_14h44.14.721.csv,1,35,1,0,aud,0.36,1,z,C,1C,0,b,2.26546839999719,0,1,1,2.15176220325946
CBC_1056,CBC_1056_MSI_AV_v1_Vset5_Aset2_2024-02-07_14h44.14.721.csv,1,36,2,1,aud,0.36,1,z,A,2A,0,z,3.47931309999694,1,0,0,2.39789527279837
CBC_1056,CBC_1056_MSI_AV_v1_Vset5_Aset2_2024-02-07_14h44.14.721.csv,1,37,1,2,aud,0.5,1,z,B,1B,1,z,1.85871559999941,1,1,1,2.01490302054226
CBC_1056,CBC_1056_MSI_AV_v1_Vset5_Aset2_2024-02-07_14h44.14.721.csv,1,38,2,1,aud,0.36,1,z,A,2A,0,b,3.49019739999494,0,1,1,2.21920348405499
CBC_1056,CBC_1056_MSI_AV_v1_Vset5_Aset2_2024-02-07_14h44.14.721.csv,1,39,0,2,aud,0.36,1,z,B,0B,0,z,1.50790639999832,1,0,0,2.24070968927596
CBC_1056,CBC_1056_MSI_AV_v1_Vset5_Aset2_2024-02-07_14h44.14.721.csv,1,40,2,0,aud,0.5,1,z,C,2C,1,z,3.83499239999946,1,1,1,1.92529086185258
CBC_1056,CBC_1056_MSI_AV_v1_Vset5_Aset2_2024-02-07_14h44.14.721.csv,1,41,1,2,aud,0.5,0,z,B,1B,1,z,1.50979399999778,1,1,0,1.94591014905531
CBC_1056,CBC_1056_MSI_AV_v1_Vset5_Aset2_2024-02-07_14h44.14.721.csv,1,42,0,1,aud,0.5,1,z,A,0A,1,z,4.55915509999613,1,1,1,1.96611285637283
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,1,0,1,tac,0.5,1,z,A,0A,1,z,2.23172679999698,1,1,1,2.19722457733622
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,2,1,0,tac,0.36,1,z,C,1C,0,z,1.26109050000014,1,0,0,2.30258509299405
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,3,0,2,tac,0.36,1,z,B,0B,0,b,2.43591269999888,0,1,1,2.39789527279837
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,4,2,0,tac,0.5,1,z,C,2C,1,z,1.21939519999796,1,1,1,2.484906649788
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,5,0,1,tac,0.5,1,z,A,0A,1,z,3.90841549999823,1,1,1,1.87180217690159
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,6,2,0,tac,0.5,1,z,C,2C,1,z,1.74206620000041,1,1,1,1.94591014905531
CBC_1056,CBC_1056_MSI_TV_v1_Vset6_Aset1_2024-02-07_14h52.41.463.csv,2,7,1,1,tac,0.14,1,z,A,1A,0,b,2.61459019999893,0,1,1,2.70805020110221
