ID,filename,session,trial,visStimLeft,secondStim,mod2Type,frequency,rewardAccurate,yesKey,mod2Stim,stimPair,match,key,reactionTime,choice,choiceAccurate,reward,simpleSurprise
CBC_P040,CBC_P040_AV_prob0.8_Vset2_Aset1_2024-05-17_18h30.00.274.csv,1,1,0,0,aud,0.35,1,z,B,0B,0,z,1.18667780000033,1,0,0,2.19722457733622
CBC_P040,CBC_P040_AV_prob0.8_Vset2_Aset1_2024-05-17_18h30.00.274.csv,1,2,2,1,aud,0.5,1,z,C,2C,1,z,1.12475540000014,1,1,1,2.30258509299405
CBC_P040,CBC_P040_AV_prob0.8_Vset2_Aset1_2024-05-17_18h30.00.274.csv,1,3,1,0,aud,0.5,1,z,B,1B,1,z,1.07060109999657,1,1,1,2.39789527279837
CBC_P040,CBC_P040_AV_prob0.8_Vset2_Aset1_2024-05-17_18h30.00.274.csv,1,4,2,1,aud,0.5,1,z,C,2C,1,z,2.0117261000014,1,1,1,1.79175946922805
CBC_P040,CBC_P040_AV_prob0.8_Vset2_Aset1_2024-05-17_18h30.00.274.csv,1,5,1,0,aud,0.5,1,z,B,1B,1,b,2.22104509999917,0,0,0,1.87180217690159
CBC_P040,CBC_P040_AV_prob0.8_Vset2_Aset1_2024-05-17_18h30.00.274.csv,1,6,2,2,aud,0.35,1,z,A,2A,0,b,0.936252400002559,0,1,1,2.63905732961526
CBC_P040,CBC_P040_AV_prob0.8_Vset2_Aset1_2024-05-17_18h30.00.274.csv,1,7,0,0,aud,0.35,1,z,B,0B,0,z,0.976614299997891,1,0,0,2.01490302054226
CBC_P040,CBC_P040_AV_prob0.8_Vset2_Aset1_2024-05-17_18h30.00.274.csv,1,8,1,1,aud,0.35,1,z,C,1C,0,z,1.16261959999974,1,0,0,2.77258872223978
CBC_P040,CBC_P040_AV_prob0.8_Vset2_Aset1_2024-05-17_18h30.00.274.csv,1,9,0,2,aud,0.5,0,z,A,0A,1,z,0.905145600001561,1,1,0,2.83321334405622
CBC_P040,CBC_P040_AV_prob0.8_Vset2_Aset1_2024-05-17_18h30.00.274.csv,1,10,2,1,aud,0.5,0,z,C,2C,1,z,1.07736279999881,1,1,0,1.79175946922805
CBC_P040,CBC_P040_AV_prob0.8_Vset2_Aset1_2024-05-17_18h30.00.274.csv,1,11,0,2,aud,0.5,1,z,A,0A,1,z,1.01334259999931,1,1,1,2.2512917986065
CBC_P040,CBC_P040_AV_prob0.8_Vset2_Aset1_2024-05-17_18h30.00.274.csv,1,12,1,1,aud,0.35,0,z,C,1C,0,z,1.08398939999825,1,0,1,2.30258509299405
CBC_P040,CBC_P040_AV_prob0.8_Vset2_Aset1_2024-05-17_18h30.00.274.csv,1,13,2,0,aud,0.15,0,z,B,2B,0,z,1.52270159999898,1,0,1,3.04452243772342
CBC_P040,CBC_P040_AV_prob0.8_Vset2_Aset1_2024-05-17_18h30.00.274.csv,1,14,1,2,aud,0.15,1,z,A,1A,0,b,0.715204600001016,0,1,1,3.09104245335832
CBC_P040,CBC_P040_AV_prob0.8_Vset2_Aset1_2024-05-17_18h30.00.274.csv,1,15,2,1,aud,0.5,1,z,C,2C,1,z,2.58474180000121,1,1,1,1.74919985480926
CBC_P040,CBC_P040_AV_prob0.8_Vset2_Aset1_2024-05-17_18h30.00.274.csv,1,16,0,2,aud,0.5,1,z,A,0A,1,z,0.765630399997463,1,1,1,2.07944154167984
CBC_P040,CBC_P040_AV_prob0.8_Vset2_Aset1_2024-05-17_18h30.00.274.csv,1,17,1,1,aud,0.35,1,z,C,1C,0,b,0.815738500001316,0,1,1,2.12026353620009
CBC_P040,CBC_P040_AV_prob0.8_Vset2_Aset1_2024-05-17_18h30.00.274.csv,1,18,2,0,aud,0.15,1,z,B,2B,0,z,1.51757889999863,1,0,0,2.56494935746154
CBC_P040,CBC_P040_AV_prob0.8_Vset2_Aset1_2024-05-17_18h30.00.274.csv,1,19,1,1,aud,0.35,1,z,C,1C,0,None,NaN,NaN,NaN,NaN,1.90954250488444
CBC_P040,CBC_P040_AV_prob0.8_Vset2_Aset1_2024-05-17_18h30.00.274.csv,1,20,0,2,aud,0.5,1,z,A,0A,1,z,0.7319822999998,1,1,1,1.94591014905531
CBC_P040,CBC_P040_AV_prob0.8_Vset2_Aset1_2024-05-17_18h30.00.274.csv,1,21,2,1,aud,0.5,1,z,C,2C,1,z,1.25082979999934,1,1,1,1.75785791755237
CBC_P040,CBC_P040_AV_prob0.8_Vset2_Aset1_2024-05-17_18h30.00.274.csv,1,22,1,0,aud,0.5,0,z,B,1B,1,z,0.658518399999593,1,1,0,2.30258509299405
CBC_P040,CBC_P040_AV_prob0.8_Vset2_Aset1_2024-05-17_18h30.00.274.csv,1,23,0,1,aud,0.15,1,z,C,0C,0,b,1.05984429999808,0,1,1,3.43398720448515
