trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,response.keys,allKeys.keys,response.rt,allKeys.rt,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response2.rt,get_keys_8.rt,get_keys_7.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,2.11780998338946,1.41191114387976,174.00908379999964,None,174.00908379999964,None,174.00908379999964,None,175.42275596999917,None,[],,,177.48116870000013,None,177.48116870000013,None,177.48116870000013,None,b,177.48116870000013,None,None,177.48116870000013,None,b,4.078351900001508,1,1,0.4444444444444444,179.63888979999865,None,179.63888979999865,None,179.63888979999865,None,None,179.63888979999865,None,2.0783519000015076,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0.35,4.1766095715889495,1.08604824075189,181.69513579999875,None,181.69513579999875,None,181.69513579999875,None,182.7893601699996,None,[],,,184.84768319999966,None,184.84768319999966,None,184.84768319999966,None,z,184.84768319999966,None,None,184.84768319999966,None,z,2.6434227999998257,1,0,0.5,189.0468196999991,None,189.0468196999991,None,189.0468196999991,None,None,189.0468196999991,None,0.6434227999998257,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,2.74209998091573,2.93536812882172,191.1531071999998,None,191.1531071999998,None,191.1531071999998,None,194.08838246999932,None,[],,,196.13595969999915,None,196.13595969999915,None,196.13595969999915,None,b,196.13595969999915,None,None,196.13595969999915,None,b,2.514271699999881,1,1,0.5454545454545454,198.92009309999958,None,198.92009309999958,None,198.92009309999958,None,None,198.92009309999958,None,0.5142716999998811,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,4.30975216432768,1.37809841776001,201.00023679999867,None,201.00023679999867,None,201.00023679999867,None,202.38957646999899,None,[],,,204.43888659999902,None,204.43888659999902,None,204.43888659999902,None,b,204.43888659999902,None,None,204.43888659999902,None,b,2.2689288000001397,1,1,0.5833333333333334,208.7885830999985,None,208.7885830999985,None,208.7885830999985,None,None,208.7885830999985,None,0.26892880000013974,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0.15,2.39750191607,2.23299083390853,210.86858759999996,None,210.86858759999996,None,210.86858759999996,None,213.1063982699996,None,[],,,215.16347789999963,None,215.16347789999963,None,215.16347789999963,None,b,215.16347789999963,None,None,215.16347789999963,None,b,2.66734390000056,0,1,0.5384615384615384,217.578931,None,217.578931,None,217.578931,None,None,217.578931,None,0.6673439000005601,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.15,1.2199655720291709,3.38809030570968,219.66386799999964,None,219.66386799999964,None,219.66386799999964,None,223.0568245699995,None,[],,,225.10680929999944,None,225.10680929999944,None,225.10680929999944,None,b,225.10680929999944,None,None,225.10680929999944,None,b,2.4067916000003606,0,0,0.5,226.37438769999972,None,226.37438769999972,None,226.37438769999972,None,None,226.37438769999972,None,0.40679160000036063,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.35,2.94912276105146,3.32142038400957,228.45358159999887,None,228.45358159999887,None,228.45358159999887,None,231.78966416999884,None,[],,,233.8478084999988,None,233.8478084999988,None,233.8478084999988,None,z,233.8478084999988,None,None,233.8478084999988,None,z,3.401100900000529,1,1,0.5333333333333333,236.84073650000028,None,236.84073650000028,None,236.84073650000028,None,None,236.84073650000028,None,1.4011009000005288,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0.15,4.21669271035117,2.96222466864387,238.9194692000001,None,238.9194692000001,None,238.9194692000001,None,241.89023726999932,None,[],,,243.94531039999856,None,243.94531039999856,None,243.94531039999856,None,b,243.94531039999856,None,None,243.94531039999856,None,b,2.47709980000036,0,1,0.5,248.17590380000001,None,248.17590380000001,None,248.17590380000001,None,None,248.17590380000001,None,0.4770998000003601,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,2.0889201672230797,1.55403782363402,250.28746969999884,None,250.28746969999884,None,250.28746969999884,None,251.85664476999938,z,['z'],1.9451877000010427,[1.9451877000010427],253.9142359999987,None,253.9142359999987,None,253.9142359999987,None,None,253.9142359999987,None,None,253.9142359999987,None,z,1.9451877000010427,0,0,0.47058823529411764,256.0361604999998,None,256.0361604999998,None,256.0361604999998,None,None,256.0361604999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,3.86983191325091,3.26446861731854,258.09577290000016,None,258.09577290000016,None,258.09577290000016,None,261.37334576999984,None,[],,,263.42024409999976,None,263.42024409999976,None,263.42024409999976,None,z,263.42024409999976,None,None,263.42024409999976,None,z,2.851288600000771,0,0,0.4444444444444444,267.32270379999864,None,267.32270379999864,None,267.32270379999864,None,None,267.32270379999864,None,0.8512886000007711,,,,,,,,,,,,,,,,,,,,,,CBC_P035,002,set4,set2,1,0.8,2024-05-16_12h55.41.999,TV_prob,2022.1.1,59.87120506354053,
