trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_6.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,72.55489570000009,None,72.55489570000009,None,z,3.8348127999997814,72.75475740000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
,,,,,,,,,,,,76.62053780000042,None,t,52.428211100000226,76.62053780000042,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
0,0,0,0,,,,,,,,,,,,,,,129.07176880000043,None,129.07176880000043,None,129.07176880000043,None,2,1,1,1,0.5,2.27860294189526,2.23299083390853,129.97160430000076,None,129.97160430000076,None,129.97160430000076,None,132.2550566,134.25524730000052,132.25515360000009,134.25524730000052,134.25524730000052,None,z,0,1.3195028999998613,132.2550566,None,132.2550566,None,132.2550566,None,None,132.2550566,None,0,0,0.0,136.5826820000002,None,136.5826820000002,None,136.5826820000002,None,None,136.5826820000002,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,2,1,0,0.5,4.33462955345931,1.91520730139263,138.55449210000006,None,138.55449210000006,None,138.55449210000006,None,140.4865905000006,142.48846099999992,140.4884148000001,142.48846099999992,142.48846099999992,None,b,1,2.063492500000393,140.4865905000006,146.82139559999996,140.4865905000006,146.82139559999996,140.4865905000006,146.82139559999996,None,140.4865905000006,146.82139559999996,1,0,0.5,146.8527135000004,None,146.8527135000004,None,146.8527135000004,None,None,146.8527135000004,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0.15,3.88444949943153,1.84422310959985,148.8549694000003,None,148.8549694000003,None,148.8549694000003,None,150.72023210000043,152.72172520000004,150.72183980000045,152.72172520000004,152.72172520000004,None,z,1,2.3059403999995993,150.72023210000043,156.60509430000002,150.72023210000043,156.60509430000002,150.72023210000043,156.60509430000002,None,150.72023210000043,156.60509430000002,1,0,0.6666666666666666,156.6424575000001,None,156.6424575000001,None,156.6424575000001,None,None,156.6424575000001,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,2.0889201672230797,3.38809030570968,158.63777850000042,None,158.63777850000042,None,158.63777850000042,None,162.05422240000007,164.05423270000028,162.05515710000054,164.05423270000028,164.05423270000028,None,z,1,1.9642236999998204,162.05422240000007,None,162.05422240000007,None,162.05422240000007,None,None,162.05422240000007,None,1,1,0.75,166.1747492000004,None,166.1747492000004,None,166.1747492000004,None,None,166.1747492000004,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,2.0784833561945097,1.53162701008885,168.1717662000001,None,168.1717662000001,None,168.1717662000001,None,169.7204212000006,171.72092180000072,169.72178560000066,None,171.72092180000072,None,z,1,1.9949560999993992,169.7204212000006,None,169.7204212000006,None,169.7204212000006,None,None,169.7204212000006,None,1,1,0.8,173.82277070000055,None,173.82277070000055,None,173.82277070000055,None,None,173.82277070000055,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,1.543156518078604,2.68488128149974,175.82169180000074,None,175.82169180000074,None,175.82169180000074,None,178.53301450000072,180.53841080000075,178.53824970000005,180.53841080000075,180.5217218000007,182.0708924999999,z,1,1.8782386000002589,178.53301450000072,None,178.53301450000072,None,178.53301450000072,None,None,178.53301450000072,None,1,1,0.8333333333333334,182.09158800000023,None,182.09158800000023,None,182.09158800000023,None,None,182.09158800000023,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,2.24205805775432,3.26446861731854,184.10511870000028,None,184.10511870000028,None,184.10511870000028,None,187.3875562000003,189.38787159999993,187.38858510000045,None,189.38787159999993,None,b,1,1.859050699999898,187.3875562000003,None,187.3875562000003,None,187.3875562000003,None,None,187.3875562000003,None,1,1,0.8571428571428571,191.65868730000057,None,191.65868730000057,None,191.65868730000057,None,None,191.65868730000057,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,1.6105816849230599,0.789129602716002,193.65503660000013,None,193.65503660000013,None,193.65503660000013,None,194.4589799000005,196.47203440000067,194.47124669999994,None,196.45555250000052,None,b,1,1.4780580999995436,194.4589799000005,None,194.4589799000005,None,194.4589799000005,None,None,194.4589799000005,None,1,1,0.875,198.08897930000057,None,198.08897930000057,None,198.08897930000057,None,None,198.08897930000057,None,,,,,,,,,,,,,,,,,,,CBC_P015,001,set3,set3,3,0.7,2023-03-29_17h00.29.925,AV_prob,2022.1.1,59.9714176221321,
