trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,response.rt,allKeys.rt,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response2.rt,get_keys_8.rt,get_keys_7.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.15,3.27810873521582,2.49579389304826,341.88243599999987,None,341.88243599999987,None,341.88243599999987,None,344.3776247199995,344.39448102000017,None,[],,,346.3820565999995,None,346.3820565999995,None,346.3820565999995,None,b,346.3820565999995,None,None,346.3820565999995,None,b,2.5322762999994666,1,1,0.625,349.6949593999998,None,349.6949593999998,None,349.6949593999998,None,None,349.6949593999998,None,0.5322762999994666,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,1.543156518078604,0.789129602716002,351.7166041999999,None,351.7166041999999,None,351.7166041999999,None,352.5111691200001,352.52774601999965,None,[],,,354.51570749999973,None,354.51570749999973,None,354.51570749999973,None,z,354.51570749999973,None,None,354.51570749999973,None,z,2.0154219999994893,1,1,0.6363636363636364,356.0935604999995,None,356.0935604999995,None,356.0935604999995,None,None,356.0935604999995,None,0.015421999999489344,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,2.91771467486041,1.53162701008885,358.0847071999997,None,358.0847071999997,None,358.0847071999997,None,359.6277045199996,359.6446121199998,None,[],,,361.6329633999994,None,361.6329633999994,None,361.6329633999994,None,z,361.6329633999994,None,None,361.6329633999994,None,z,2.51873599999999,1,1,0.6470588235294118,364.59437590000016,None,364.59437590000016,None,364.59437590000016,None,None,364.59437590000016,None,0.5187359999999899,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.35,2.0889201672230797,1.31360018091897,366.61876909999955,None,366.61876909999955,None,366.61876909999955,None,367.9446095200002,367.96080621999965,None,[],,,369.95060769999964,None,369.95060769999964,None,369.95060769999964,None,b,369.95060769999964,None,None,369.95060769999964,None,b,2.730261900000187,1,1,0.6571428571428571,372.07598400000006,None,372.07598400000006,None,372.07598400000006,None,None,372.07598400000006,None,0.7302619000001869,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0.35,2.0845750455934002,2.78012240036799,374.10250019999967,None,374.10250019999967,None,374.10250019999967,None,376.89410752000015,376.9105517199997,b,['b'],1.6782314000001861,[1.6782314000001861],378.8989305999994,None,378.8989305999994,None,378.8989305999994,None,None,378.8989305999994,None,None,378.8989305999994,None,b,1.6782314000001861,1,0,0.6666666666666666,381.0009315999996,None,381.0009315999996,None,381.0009315999996,None,None,381.0009315999996,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.15,4.21669271035117,3.38809030570968,383.0161883999999,None,383.0161883999999,None,383.0161883999999,None,386.41085641999973,386.4276013199998,None,[],,,388.4162623000002,None,388.4162623000002,None,388.4162623000002,None,b,388.4162623000002,None,None,388.4162623000002,None,b,2.622074999999313,1,1,0.6756756756756757,392.6793625,None,392.6793625,None,392.6793625,None,None,392.6793625,None,0.6220749999993131,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,3.58943852196035,2.64870493261766,394.69987539999966,None,394.69987539999966,None,394.69987539999966,None,397.36123392,397.37767671999984,None,[],,,399.3669513999994,None,399.3669513999994,None,399.3669513999994,None,z,399.3669513999994,None,None,399.3669513999994,None,z,2.5375190000004295,1,1,0.6842105263157895,402.99361229999977,None,402.99361229999977,None,402.99361229999977,None,None,402.99361229999977,None,0.5375190000004295,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,4.19624908154748,1.41191114387976,405.0111216999994,None,405.0111216999994,None,405.0111216999994,None,406.42722371999946,406.4435828199995,None,[],,,408.42549019999933,None,408.42549019999933,None,408.42549019999933,None,z,408.42549019999933,None,None,408.42549019999933,None,z,2.5410305000004882,1,1,0.6923076923076923,412.65900749999946,None,412.65900749999946,None,412.65900749999946,None,None,412.65900749999946,None,0.5410305000004882,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,1.109698721182561,1.44889042899439,414.6738260000002,None,414.6738260000002,None,414.6738260000002,None,416.12768981999955,416.1441072199997,None,[],,,418.1329201999997,None,418.1329201999997,None,418.1329201999997,None,z,418.1329201999997,None,None,418.1329201999997,None,z,2.586856799999623,1,1,0.7,419.2501951999993,None,419.2501951999993,None,419.2501951999993,None,None,419.2501951999993,None,0.586856799999623,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,2.39750191607,2.12802719374523,421.2624595999996,None,421.2624595999996,None,421.2624595999996,None,423.3944837199998,423.4114264199999,b,['b'],1.559918099999777,[1.559918099999777],425.40061269999933,None,425.40061269999933,None,425.40061269999933,None,None,425.40061269999933,None,None,425.40061269999933,None,b,1.559918099999777,1,1,0.7073170731707317,427.8430607999999,None,427.8430607999999,None,427.8430607999999,None,None,427.8430607999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.35,1.899747326335302,2.29713937746779,429.83437309999954,None,429.83437309999954,None,429.83437309999954,None,432.14370832,432.16041721999966,None,[],,,434.14022320000004,None,434.14022320000004,None,434.14022320000004,None,None,434.14022320000004,None,['b'],434.14022320000004,None,[],[],0,3,0.6904761904761905,436.0770937999996,None,436.0770937999996,None,436.0770937999996,None,['b'],436.0770937999996,None,,[0.2709045999999944],[0.9147530000000188],,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.99411429999964,None,442.9944212999999,None,442.9944212999999,None,None,442.9944212999999,None,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,z,b,2,2,1,2,0.5,0.7142857142857142,0.857142857142857,,,,,,,,,,,
