trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,response.rt,allKeys.rt,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response2.rt,get_keys_8.rt,get_keys_7.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,3.62250581484608,2.3497497577282,135.14795909999975,None,135.14795909999975,None,135.14795909999975,None,137.51078091999997,137.52744361999984,None,[],,,139.51720709999972,None,139.51720709999972,None,139.51720709999972,None,z,139.51720709999972,None,None,139.51720709999972,None,z,2.490836599999966,1,1,0.5555555555555556,143.18078890000015,None,143.18078890000015,None,143.18078890000015,None,None,143.18078890000015,None,0.490836599999966,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,1.595506577165096,2.5736109380813,145.1967337999995,None,145.1967337999995,None,145.1967337999995,None,147.77701731999977,147.79423311999935,None,[],,,149.78369250000014,None,149.78369250000014,None,149.78369250000014,None,b,149.78369250000014,None,None,149.78369250000014,None,b,2.2796637000001283,0,0,0.5,151.42923189999965,None,151.42923189999965,None,151.42923189999965,None,None,151.42923189999965,None,0.2796637000001283,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0.5,4.30975216432768,2.50277407648956,153.41950480000014,None,153.41950480000014,None,153.41950480000014,None,155.92608521999964,155.94322391999967,None,[],,,157.9229224999999,None,157.9229224999999,None,157.9229224999999,None,z,157.9229224999999,None,None,157.9229224999999,None,z,2.5521819999994477,1,0,0.5454545454545454,162.27734779999992,None,162.27734779999992,None,162.27734779999992,None,None,162.27734779999992,None,0.5521819999994477,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.35,3.04482772403364,2.07121332922762,164.29656739999973,None,164.29656739999973,None,164.29656739999973,None,166.37749811999956,166.39415071999983,None,[],,,168.37628940000013,None,168.37628940000013,None,168.37628940000013,None,z,168.37628940000013,None,None,168.37628940000013,None,z,2.8411713000004966,0,0,0.5,171.45652309999969,None,171.45652309999969,None,171.45652309999969,None,None,171.45652309999969,None,0.8411713000004966,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.15,1.758742575863891,0.971483558655564,173.47950570000012,None,173.47950570000012,None,173.47950570000012,None,174.46076211999943,174.47737272000003,None,[],,,176.4638869999999,None,176.4638869999999,None,176.4638869999999,None,z,176.4638869999999,None,None,176.4638869999999,None,z,2.7250857999997606,0,0,0.46153846153846156,178.25988589999997,None,178.25988589999997,None,178.25988589999997,None,None,178.25988589999997,None,0.7250857999997606,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.15,3.88444949943153,2.7570014520733,180.28023049999956,None,180.28023049999956,None,180.28023049999956,None,183.04395761999976,183.06056821999945,None,[],,,185.0492905000001,None,185.0492905000001,None,185.0492905000001,None,b,185.0492905000001,None,None,185.0492905000001,None,b,3.3216057999998156,1,1,0.5,188.9510634999997,None,188.9510634999997,None,188.9510634999997,None,None,188.9510634999997,None,1.3216057999998156,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,4.26803291533611,1.84422310959985,190.96546080000007,None,190.96546080000007,None,190.96546080000007,None,192.8101993199999,192.82717512000008,None,[],,,194.81758999999965,None,194.81758999999965,None,194.81758999999965,None,b,194.81758999999965,None,None,194.81758999999965,None,b,2.9373587999998563,0,0,0.4666666666666667,199.10374059999958,None,199.10374059999958,None,199.10374059999958,None,None,199.10374059999958,None,0.9373587999998563,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,4.1766095715889495,2.93536812882172,201.1330171999998,None,201.1330171999998,None,201.1330171999998,None,204.07731661999978,204.09407331999964,None,[],,,206.08209420000003,None,206.08209420000003,None,206.08209420000003,None,z,206.08209420000003,None,None,206.08209420000003,None,z,2.6543021000006775,1,1,0.5,210.29936120000002,None,210.29936120000002,None,210.29936120000002,None,None,210.29936120000002,None,0.6543021000006775,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.35,3.47854712582944,2.68488128149974,212.28692299999966,None,212.28692299999966,None,212.28692299999966,None,214.97729671999977,214.99397211999994,None,[],,,216.97609740000007,None,216.97609740000007,None,216.97609740000007,None,z,216.97609740000007,None,None,216.97609740000007,None,z,2.4667233999998643,0,0,0.47058823529411764,220.49455339999986,None,220.49455339999986,None,220.49455339999986,None,None,220.49455339999986,None,0.46672339999986434,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.15,3.95666246474662,2.23439856631263,222.4838490000002,None,222.4838490000002,None,222.4838490000002,None,224.72647651999986,224.74270522000015,None,[],,,226.7221241999996,None,226.7221241999996,None,226.7221241999996,None,z,226.7221241999996,None,None,226.7221241999996,None,z,2.2783581000003323,0,0,0.4444444444444444,230.72135799999978,None,230.72135799999978,None,230.72135799999978,None,None,230.72135799999978,None,0.27835810000033234,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.35,2.11780998338946,2.40738395932908,232.71943329999976,None,232.71943329999976,None,232.71943329999976,None,235.12620691999936,235.14300422000005,None,[],,,237.12297129999934,None,237.12297129999934,None,237.12297129999934,None,z,237.12297129999934,None,None,237.12297129999934,None,z,2.959906800000681,0,0,0.42105263157894735,239.27653809999993,None,239.27653809999993,None,239.27653809999993,None,None,239.27653809999993,None,0.959906800000681,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,1.6105816849230599,1.48342455087402,241.30239769999935,None,241.30239769999935,None,241.30239769999935,None,242.79320071999982,242.80929291999936,None,[],,,244.78893489999973,None,244.78893489999973,None,244.78893489999973,None,z,244.78893489999973,None,None,244.78893489999973,None,z,2.716773199999807,1,1,0.45,246.44721140000001,None,246.44721140000001,None,246.44721140000001,None,None,246.44721140000001,None,0.7167731999998068,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,2.67601812978374,0.977134614530179,248.46543500000007,None,248.46543500000007,None,248.46543500000007,None,249.44404322,249.4605454200001,None,[],,,251.44706700000006,None,251.44706700000006,None,251.44706700000006,None,z,251.44706700000006,None,None,251.44706700000006,None,z,3.1784484999998313,1,1,0.47619047619047616,254.16069499999958,None,254.16069499999958,None,254.16069499999958,None,None,254.16069499999958,None,1.1784484999998313,,,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set1,set2,0,0.9,2023-04-02_11h48.26.525,TV_prob,2022.1.1,60.00488439789009,
