trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,response.rt,allKeys.rt,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0.5,3.27810873521582,1.88377296598415,249.7858570999997,None,249.7858570999997,None,249.7858570999997,None,251.67389990999965,251.6905300100005,None,[],,,253.67430690000037,None,253.67430690000037,None,253.67430690000037,None,b,0.36429779999889433,253.67430690000037,None,None,253.67430690000037,None,b,2.3642977999988943,1,0,0.5555555555555556,256.9902736999993,None,256.9902736999993,None,256.9902736999993,None,None,256.9902736999993,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,1.758742575863891,2.96222466864387,259.0100450000009,None,259.0100450000009,None,259.0100450000009,None,261.9741683099999,261.99050361000064,None,[],,,263.97040989999914,None,263.97040989999914,None,263.97040989999914,None,b,0.6105107000003045,263.97040989999914,None,None,263.97040989999914,None,b,2.6105107000003045,1,1,0.6,265.77496919999976,None,265.77496919999976,None,265.77496919999976,None,None,265.77496919999976,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,3.86983191325091,3.27666037293199,267.7907051000002,None,267.7907051000002,None,267.7907051000002,None,271.07413011000045,271.0904320099997,z,['z'],1.1262463000002754,[1.1262463000002754],273.0700749000007,None,273.0700749000007,None,273.0700749000007,None,None,,273.0700749000007,None,None,273.0700749000007,None,z,1.1262463000002754,1,1,0.6363636363636364,276.9746154000004,None,276.9746154000004,None,276.9746154000004,None,None,276.9746154000004,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,4.33462955345931,2.5736109380813,278.99015399999917,None,278.99015399999917,None,278.99015399999917,None,281.5739790099995,281.59040011000053,None,[],,,283.5695942000002,None,283.5695942000002,None,283.5695942000002,None,b,0.9723890000004758,283.5695942000002,None,None,283.5695942000002,None,b,2.972389000000476,0,0,0.5833333333333334,287.94265860000087,None,287.94265860000087,None,287.94265860000087,None,None,287.94265860000087,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,1.109698721182561,2.68488128149974,289.9574904000001,None,289.9574904000001,None,289.9574904000001,None,292.6575902099992,292.67398610999936,z,['z'],1.684960200000205,[1.684960200000205],294.6538251000002,None,294.6538251000002,None,294.6538251000002,None,None,,294.6538251000002,None,None,294.6538251000002,None,z,1.684960200000205,0,0,0.5384615384615384,295.8059912000008,None,295.8059912000008,None,295.8059912000008,None,None,295.8059912000008,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.15,1.905730910449904,1.14263865585167,297.8237917999995,None,297.8237917999995,None,297.8237917999995,None,298.9742054100005,298.99088531000035,b,['b'],1.878161700000419,[1.878161700000419],300.9733261000001,None,300.9733261000001,None,300.9733261000001,None,None,,300.9733261000001,None,None,300.9733261000001,None,b,1.878161700000419,0,0,0.5,302.9228273000008,None,302.9228273000008,None,302.9228273000008,None,None,302.9228273000008,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.15,1.671897605000652,1.08604824075189,304.94052720000036,None,304.94052720000036,None,304.94052720000036,None,306.04057821000043,306.05763760999963,None,[],,,308.0388483000006,None,308.0388483000006,None,308.0388483000006,None,z,0.29818909999994503,308.0388483000006,None,None,308.0388483000006,None,z,2.298189099999945,1,1,0.5333333333333333,309.7594955000004,None,309.7594955000004,None,309.7594955000004,None,None,309.7594955000004,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.15,2.94912276105146,0.789129602716002,311.77554240000063,None,311.77554240000063,None,311.77554240000063,None,312.57421030999996,312.5907195100006,None,[],,,314.5706374000001,None,314.5706374000001,None,314.5706374000001,None,b,0.3718678000004729,314.5706374000001,None,None,314.5706374000001,None,b,2.371867800000473,0,0,0.5,317.55828199999996,None,317.55828199999996,None,317.55828199999996,None,None,317.55828199999996,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,4.26803291533611,2.93536812882172,319.57750359999955,None,319.57750359999955,None,319.57750359999955,None,322.5240094100007,322.5405505100005,b,['b'],1.8897615999994741,[1.8897615999994741],324.5215604999994,None,324.5215604999994,None,324.5215604999994,None,None,,324.5215604999994,None,None,324.5215604999994,None,b,1.8897615999994741,1,1,0.5294117647058824,328.82901420000053,None,328.82901420000053,None,328.82901420000053,None,None,328.82901420000053,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.24205805775432,2.78012240036799,330.84652730000016,None,330.84652730000016,None,330.84652730000016,None,333.64110351000073,333.6574339100005,None,[],,,335.6370951000008,None,335.6370951000008,None,335.6370951000008,None,b,0.3839412999986962,335.6370951000008,None,None,335.6370951000008,None,b,2.383941299998696,1,1,0.5555555555555556,337.91992240000036,None,337.91992240000036,None,337.91992240000036,None,None,337.91992240000036,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
