trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,response.rt,allKeys.rt,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,2,0,1,0,0.5,2.2089046382315303,1.31360018091897,425.8088774000007,None,425.8088774000007,None,425.8088774000007,None,427.1237132099994,427.1404648099995,None,[],,,429.1182614999998,None,429.1182614999998,None,429.1182614999998,None,b,0.26880699999856006,429.1182614999998,None,None,429.1182614999998,None,b,2.26880699999856,1,0,0.5517241379310345,431.37271580000015,None,431.37271580000015,None,431.37271580000015,None,None,431.37271580000015,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.15,2.74209998091573,1.41191114387976,433.4008522000004,None,433.4008522000004,None,433.4008522000004,None,434.82371290999964,434.8405456100007,None,[],,,436.8179610999996,None,436.8179610999996,None,436.8179610999996,None,b,0.029451499998685904,436.8179610999996,None,None,436.8179610999996,None,b,2.029451499998686,0,0,0.5333333333333333,439.60562299999947,None,439.60562299999947,None,439.60562299999947,None,None,439.60562299999947,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.23248806235745,2.40738395932908,441.6270110000005,None,441.6270110000005,None,441.6270110000005,None,444.04161301000005,444.05824960999945,z,['z'],1.2922560000006342,[1.2922560000006342],446.0414191,None,446.0414191,None,446.0414191,None,None,,446.0414191,None,None,446.0414191,None,z,1.2922560000006342,0,0,0.5161290322580645,448.3088435000009,None,448.3088435000009,None,448.3088435000009,None,None,448.3088435000009,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0.5,2.0889201672230797,1.84422310959985,450.2994170999991,None,450.2994170999991,None,450.2994170999991,None,452.15824220999986,452.1748299099998,None,[],,,454.1572354,None,454.1572354,None,454.1572354,None,b,0.13902100000086648,454.1572354,None,None,454.1572354,None,b,2.1390210000008665,1,0,0.53125,456.29104000000007,None,456.29104000000007,None,456.29104000000007,None,None,456.29104000000007,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,2.27860294189526,3.27418780206312,458.3077057999999,None,458.3077057999999,None,458.3077057999999,None,461.5913436099998,461.60790681000054,b,['b'],1.4306514999989304,[1.4306514999989304],463.5910922000003,None,463.5910922000003,None,463.5910922000003,None,None,,463.5910922000003,None,None,463.5910922000003,None,b,1.4306514999989304,1,1,0.5454545454545454,465.91249790000074,None,465.91249790000074,None,465.91249790000074,None,None,465.91249790000074,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,1.326293484834196,3.38809030570968,467.9234677000004,None,467.9234677000004,None,467.9234677000004,None,471.32514880999935,471.34159920999974,b,['b'],1.4055047999991075,[1.4055047999991075],473.31648289999976,None,473.31648289999976,None,473.31648289999976,None,None,,473.31648289999976,None,None,473.31648289999976,None,b,1.4055047999991075,0,0,0.5294117647058824,474.6917333000001,None,474.6917333000001,None,474.6917333000001,None,None,474.6917333000001,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,4.21669271035117,1.08099245958022,476.70591029999923,None,476.70591029999923,None,476.70591029999923,None,477.7916567099999,477.8085979099995,None,[],,,479.7925534999995,None,479.7925534999995,None,479.7925534999995,None,z,0.3589421000015136,479.7925534999995,None,None,479.7925534999995,None,z,2.3589421000015136,1,1,0.5428571428571428,484.0439944999998,None,484.0439944999998,None,484.0439944999998,None,None,484.0439944999998,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,1.543156518078604,2.3497497577282,486.03418819999933,None,486.03418819999933,None,486.03418819999933,None,488.39062770999936,488.4073866100005,z,['z'],1.1363328999996156,[1.1363328999996156],490.3855595999994,None,490.3855595999994,None,490.3855595999994,None,None,,490.3855595999994,None,None,490.3855595999994,None,z,1.1363328999996156,1,1,0.5555555555555556,491.9750058999998,None,491.9750058999998,None,491.9750058999998,None,None,491.9750058999998,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,3.50182449656669,3.32142038400957,493.9665645999994,None,493.9665645999994,None,493.9665645999994,None,497.29202611000056,497.30865690999946,None,[],,,499.29036839999935,None,499.29036839999935,None,499.29036839999935,None,b,0.25275909999982105,499.29036839999935,None,None,499.29036839999935,None,b,2.252759099999821,1,1,0.5675675675675675,502.8282039000005,None,502.8282039000005,None,502.8282039000005,None,None,502.8282039000005,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,4.1766095715889495,1.73294357419019,504.84463959999994,None,504.84463959999994,None,504.84463959999994,None,506.5905576099993,506.6073238099996,z,['z'],1.1425529000007373,[1.1425529000007373],508.58395890000065,None,508.58395890000065,None,508.58395890000065,None,None,,508.58395890000065,None,None,508.58395890000065,None,z,1.1425529000007373,1,1,0.5789473684210527,512.8121740999995,None,512.8121740999995,None,512.8121740999995,None,None,512.8121740999995,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,2.0845750455934002,2.29713937746779,514.8280078000007,None,514.8280078000007,None,514.8280078000007,None,517.1251443100007,517.1418187100005,None,[],,,519.1176274999998,None,519.1176274999998,None,519.1176274999998,None,b,0.34860479999952076,519.1176274999998,None,None,519.1176274999998,None,b,2.3486047999995208,0,0,0.5641025641025641,521.2442886999997,None,521.2442886999997,None,521.2442886999997,None,None,521.2442886999997,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.15,3.95666246474662,1.29306073609301,523.3147205999994,None,523.3147205999994,None,523.3147205999994,None,524.6073403099997,524.6239782099999,z,['z'],1.09471350000058,[1.09471350000058],526.6013853999993,None,526.6013853999993,None,526.6013853999993,None,None,,526.6013853999993,None,None,526.6013853999993,None,z,1.09471350000058,1,1,0.575,530.5933989000005,None,530.5933989000005,None,530.5933989000005,None,None,530.5933989000005,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,1.6105816849230599,2.50277407648956,532.6093239000002,None,532.6093239000002,None,532.6093239000002,None,535.1255112100005,535.1419807100008,b,['b'],1.5371865999986767,[1.5371865999986767],537.1183557999993,None,537.1183557999993,None,537.1183557999993,None,None,,537.1183557999993,None,None,537.1183557999993,None,b,1.5371865999986767,1,1,0.5853658536585366,538.7759537999991,None,538.7759537999991,None,538.7759537999991,None,None,538.7759537999991,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,2.11780998338946,1.53162701008885,540.7971966999994,None,540.7971966999994,None,540.7971966999994,None,542.3414938099993,542.3577954099999,b,['b'],1.9950859000000492,[1.9950859000000492],544.3346898,None,544.3346898,None,544.3346898,None,None,,544.3346898,None,None,544.3346898,None,b,1.9950859000000492,1,1,0.5952380952380952,546.4900505000005,None,546.4900505000005,None,546.4900505000005,None,None,546.4900505000005,None,,,,,,,,,,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.4082233000008,None,553.4082452999992,None,553.4082452999992,None,None,553.4082452999992,None,,,,,,,,,,,CBC_P018,001,set2,set2,3,0.9,2023-03-31_16h13.25.375,TV_prob,2022.1.1,59.93816778606902,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,b,z,2,2,1,2,0.5,0.5714285714285714,0.7142857142857142,,,,,,,,,,,
