trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,response.keys,allKeys.keys,response.rt,allKeys.rt,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response2.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [1-4],FB probability,date,expName,psychopyVersion,frameRate,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,2.27860294189526,1.75396267962373,337.6338360000009,None,337.6338360000009,None,337.6338360000009,None,339.40114737000005,b,['b'],1.2301203999995778,[1.2301203999995778],341.4568094999995,None,341.4568094999995,None,341.4568094999995,None,None,341.4568094999995,None,None,341.4568094999995,None,b,1.2301203999995778,1,1,0.8571428571428571,343.76627989999906,None,343.76627989999906,None,343.76627989999906,None,None,343.76627989999906,None,,,,,,,,,,,,,,,,,,,,,CBC_P009,002,set4,set1,3,0.9,2023-03-17_16h35.18.383,TV_prob,2022.1.1,59.94959438107896,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,2.2089046382315303,1.14263865585167,345.8506318,None,345.8506318,None,345.8506318,None,347.0007259700022,b,['b'],0.9012527000013506,[0.9012527000013506],349.0586543999998,None,349.0586543999998,None,349.0586543999998,None,None,349.0586543999998,None,None,349.0586543999998,None,b,0.9012527000013506,1,1,0.8620689655172413,351.29955379999956,None,351.29955379999956,None,351.29955379999956,None,None,351.29955379999956,None,,,,,,,,,,,,,,,,,,,,,CBC_P009,002,set4,set1,3,0.9,2023-03-17_16h35.18.383,TV_prob,2022.1.1,59.94959438107896,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.15,2.23248806235745,2.64870493261766,353.3833713000022,None,353.3833713000022,None,353.3833713000022,None,356.03436377000145,z,['z'],0.8277984999986074,[0.8277984999986074],358.0897867999993,None,358.0897867999993,None,358.0897867999993,None,None,358.0897867999993,None,None,358.0897867999993,None,z,0.8277984999986074,1,1,0.8666666666666667,360.3682918000013,None,360.3682918000013,None,360.3682918000013,None,None,360.3682918000013,None,,,,,,,,,,,,,,,,,,,,,CBC_P009,002,set4,set1,3,0.9,2023-03-17_16h35.18.383,TV_prob,2022.1.1,59.94959438107896,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,4.26803291533611,1.84422310959985,362.4496822000001,None,362.4496822000001,None,362.4496822000001,None,364.30083047000045,b,['b'],1.131373899999744,[1.131373899999744],366.35827450000215,None,366.35827450000215,None,366.35827450000215,None,None,366.35827450000215,None,None,366.35827450000215,None,b,1.131373899999744,1,1,0.8709677419354839,370.6658196999997,None,370.6658196999997,None,370.6658196999997,None,None,370.6658196999997,None,,,,,,,,,,,,,,,,,,,,,CBC_P009,002,set4,set1,3,0.9,2023-03-17_16h35.18.383,TV_prob,2022.1.1,59.94959438107896,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,2.0784833561945097,1.08099245958022,372.75077650000094,None,372.75077650000094,None,372.75077650000094,None,373.834597570002,b,['b'],0.7455026999959955,[0.7455026999959955],375.8923175000018,None,375.8923175000018,None,375.8923175000018,None,None,375.8923175000018,None,None,375.8923175000018,None,b,0.7455026999959955,1,1,0.875,378.01600410000174,None,378.01600410000174,None,378.01600410000174,None,None,378.01600410000174,None,,,,,,,,,,,,,,,,,,,,,CBC_P009,002,set4,set1,3,0.9,2023-03-17_16h35.18.383,TV_prob,2022.1.1,59.94959438107896,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,4.19624908154748,2.93536812882172,380.0978571000014,None,380.0978571000014,None,380.0978571000014,None,383.0340586699993,b,['b'],0.9605832000015653,[0.9605832000015653],385.09097979999933,None,385.09097979999933,None,385.09097979999933,None,None,385.09097979999933,None,None,385.09097979999933,None,b,0.9605832000015653,1,1,0.8787878787878788,389.33404580000206,None,389.33404580000206,None,389.33404580000206,None,None,389.33404580000206,None,,,,,,,,,,,,,,,,,,,,,CBC_P009,002,set4,set1,3,0.9,2023-03-17_16h35.18.383,TV_prob,2022.1.1,59.94959438107896,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0.35,2.11780998338946,2.78012240036799,391.41565880000053,None,391.41565880000053,None,391.41565880000053,None,394.20092607000225,b,"['b', 'z']",0.6246516999999585,"[0.6246516999999585, 0.9789115999992646]",396.2574299000007,None,396.2574299000007,None,396.2574299000007,None,None,396.2574299000007,None,None,396.2574299000007,None,b,0.6246516999999585,0,1,0.8529411764705882,398.41646219999893,None,398.41646219999893,None,398.41646219999893,None,None,398.41646219999893,None,,,,,,,,,,,,,,,,,,,,,CBC_P009,002,set4,set1,3,0.9,2023-03-17_16h35.18.383,TV_prob,2022.1.1,59.94959438107896,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,1.8749846827473111,2.40738395932908,400.5056622000011,None,400.5056622000011,None,400.5056622000011,None,402.9182707700009,z,['z'],1.1767960999968636,[1.1767960999968636],404.9742326000014,None,404.9742326000014,None,404.9742326000014,None,None,404.9742326000014,None,None,404.9742326000014,None,z,1.1767960999968636,1,1,0.8571428571428571,406.8845287000004,None,406.8845287000004,None,406.8845287000004,None,None,406.8845287000004,None,,,,,,,,,,,,,,,,,,,,,CBC_P009,002,set4,set1,3,0.9,2023-03-17_16h35.18.383,TV_prob,2022.1.1,59.94959438107896,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.35,1.899747326335302,0.971483558655564,408.9735431000008,None,408.9735431000008,None,408.9735431000008,None,409.9511839700015,z,['z'],0.9171218999981647,[0.9171218999981647],412.0080961999993,None,412.0080961999993,None,412.0080961999993,None,None,412.0080961999993,None,None,412.0080961999993,None,z,0.9171218999981647,1,1,0.8611111111111112,413.95015780000176,None,413.95015780000176,None,413.95015780000176,None,None,413.95015780000176,None,,,,,,,,,,,,,,,,,,,,,CBC_P009,002,set4,set1,3,0.9,2023-03-17_16h35.18.383,TV_prob,2022.1.1,59.94959438107896,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,2.67601812978374,1.37809841776001,416.0337505000025,None,416.0337505000025,None,416.0337505000025,None,417.41759327000074,b,['b'],1.0973498999992444,[1.0973498999992444],419.4738362999997,None,419.4738362999997,None,419.4738362999997,None,None,419.4738362999997,None,None,419.4738362999997,None,b,1.0973498999992444,1,1,0.8648648648648649,422.1826394000018,None,422.1826394000018,None,422.1826394000018,None,None,422.1826394000018,None,,,,,,,,,,,,,,,,,,,,,CBC_P009,002,set4,set1,3,0.9,2023-03-17_16h35.18.383,TV_prob,2022.1.1,59.94959438107896,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.35,4.1766095715889495,1.08604824075189,424.2630252000017,None,424.2630252000017,None,424.2630252000017,None,425.35096317000244,z,['z'],0.7494252999968012,[0.7494252999968012],427.40733120000004,None,427.40733120000004,None,427.40733120000004,None,None,427.40733120000004,None,None,427.40733120000004,None,z,0.7494252999968012,1,1,0.868421052631579,431.6160428000003,None,431.6160428000003,None,431.6160428000003,None,None,431.6160428000003,None,,,,,,,,,,,,,,,,,,,,,CBC_P009,002,set4,set1,3,0.9,2023-03-17_16h35.18.383,TV_prob,2022.1.1,59.94959438107896,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,1.758742575863891,3.32142038400957,433.700127600001,None,433.700127600001,None,433.700127600001,None,437.03457276999944,z,['z'],1.015402199998789,[1.015402199998789],439.0898804999997,None,439.0898804999997,None,439.0898804999997,None,None,439.0898804999997,None,None,439.0898804999997,None,z,1.015402199998789,1,1,0.8717948717948718,440.88158570000087,None,440.88158570000087,None,440.88158570000087,None,None,440.88158570000087,None,,,,,,,,,,,,,,,,,,,,,CBC_P009,002,set4,set1,3,0.9,2023-03-17_16h35.18.383,TV_prob,2022.1.1,59.94959438107896,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.15,2.24205805775432,1.41191114387976,442.9662664000025,None,442.9662664000025,None,442.9662664000025,None,444.38494126999905,z,['z'],0.7380008000000089,[0.7380008000000089],446.44006920000174,None,446.44006920000174,None,446.44006920000174,None,None,446.44006920000174,None,None,446.44006920000174,None,z,0.7380008000000089,1,1,0.875,448.71757609999986,None,448.71757609999986,None,448.71757609999986,None,None,448.71757609999986,None,,,,,,,,,,,,,,,,,,,,,CBC_P009,002,set4,set1,3,0.9,2023-03-17_16h35.18.383,TV_prob,2022.1.1,59.94959438107896,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,1.326293484834196,2.49579389304826,450.7990482000023,None,450.7990482000023,None,450.7990482000023,None,453.30165627000207,b,['b'],1.0343928999973286,[1.0343928999973286],455.3575328000006,None,455.3575328000006,None,455.3575328000006,None,None,455.3575328000006,None,None,455.3575328000006,None,b,1.0343928999973286,1,1,0.8780487804878049,456.7166252999996,None,456.7166252999996,None,456.7166252999996,None,None,456.7166252999996,None,,,,,,,,,,,,,,,,,,,,,CBC_P009,002,set4,set1,3,0.9,2023-03-17_16h35.18.383,TV_prob,2022.1.1,59.94959438107896,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,2.74209998091573,1.73294357419019,458.801170499999,None,458.801170499999,None,458.801170499999,None,460.5342822699993,b,['b'],0.7678711000007752,[0.7678711000007752],462.59225979999974,None,462.59225979999974,None,462.59225979999974,None,None,462.59225979999974,None,None,462.59225979999974,None,b,0.7678711000007752,1,1,0.8809523809523809,465.362191799999,None,465.362191799999,None,465.362191799999,None,None,465.362191799999,None,,,,,,,,,,,,,,,,,,,,,CBC_P009,002,set4,set1,3,0.9,2023-03-17_16h35.18.383,TV_prob,2022.1.1,59.94959438107896,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.3510731000024,None,472.3511169000012,None,472.3511169000012,None,None,472.3511169000012,None,,,,,,,,,,,CBC_P009,002,set4,set1,3,0.9,2023-03-17_16h35.18.383,TV_prob,2022.1.1,59.94959438107896,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,b,z,2,2,1,2,0.8571428571428571,0.8571428571428571,0.9285714285714285,,,,,,,,,,,
