trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_11.started,fixationCross_11.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,31.575384800000393,None,31.575384800000393,None,z,0.886854599999424,31.770079600000827,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P012,002,set1,set4,2,0.7,2023-03-24_16h04.31.993,AV_prob,2022.1.1,60.14664956080361,
,,,,,,,,,,,,32.68599490000088,None,t,64.60279640000044,32.68599490000088,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P012,002,set1,set4,2,0.7,2023-03-24_16h04.31.993,AV_prob,2022.1.1,60.14664956080361,
0,0,0,0,,,,,,,,,,,,,,,97.32060129999991,None,97.32060129999991,None,97.32060129999991,None,1,2,0,1,0.15,0.671897605000652,3.38809030570968,98.22042300000066,None,98.22042300000066,None,98.22042300000066,None,101.67921580000075,103.68708920000063,101.68623730000127,None,103.67032260000087,104.6701533000014,104.6701533000014,None,z,0,1.1702304999998887,101.67921580000075,None,101.67921580000075,None,101.67921580000075,None,None,101.67921580000075,None,0,0,0.0,105.39939570000024,None,105.39939570000024,None,105.39939570000024,None,None,105.39939570000024,None,,,,,,,,,,,,,,,,,,CBC_P012,002,set1,set4,2,0.7,2023-03-24_16h04.31.993,AV_prob,2022.1.1,60.14664956080361,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0.5,1.67601812978374,2.5736109380813,107.45340829999986,None,107.45340829999986,None,107.45340829999986,None,110.08763490000092,112.10310050000044,110.08717422000045,None,112.08612150000044,113.08727510000062,113.08727510000062,None,z,1,2.0433513000007224,110.08763490000092,None,110.08763490000092,None,110.08763490000092,None,None,110.08763490000092,None,1,0,0.5,114.77283239999997,None,114.77283239999997,None,114.77283239999997,None,None,114.77283239999997,None,,,,,,,,,,,,,,,,,,CBC_P012,002,set1,set4,2,0.7,2023-03-24_16h04.31.993,AV_prob,2022.1.1,60.14664956080361,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0.5,3.30975216432768,2.3497497577282,116.85378690000107,None,116.85378690000107,None,116.85378690000107,None,119.2220397000001,121.23717420000139,119.22071116000043,121.22058250000009,121.22058250000009,122.21946390000085,122.21946390000085,None,z,1,1.544110399998317,119.2220397000001,None,119.2220397000001,None,119.2220397000001,None,None,119.2220397000001,None,1,0,0.6666666666666666,125.55721400000039,None,125.55721400000039,None,125.55721400000039,None,None,125.55721400000039,None,,,,,,,,,,,,,,,,,,CBC_P012,002,set1,set4,2,0.7,2023-03-24_16h04.31.993,AV_prob,2022.1.1,60.14664956080361,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.15,2.27810873521582,1.84422310959985,127.63623910000024,None,127.63623910000024,None,127.63623910000024,None,129.54830690000017,131.55364440000085,129.55374050000046,None,131.5373966999996,132.53612630000134,132.53612630000134,134.8206977000009,z,0,2.006788400000005,129.54830690000017,None,129.54830690000017,None,129.54830690000017,None,None,129.54830690000017,None,0,0,0.5,134.85990830000082,None,134.85990830000082,None,134.85990830000082,None,None,134.85990830000082,None,,,,,,,,,,,,,,,,,,CBC_P012,002,set1,set4,2,0.7,2023-03-24_16h04.31.993,AV_prob,2022.1.1,60.14664956080361,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,0.595506577165096,2.40738395932908,136.93724490000022,None,136.93724490000022,None,136.93724490000022,None,139.37099260000105,141.37028800000007,139.3708043600003,141.37028800000007,141.37028800000007,142.37031390000084,142.37031390000084,None,z,0,1.526448900000105,139.37099260000105,None,139.37099260000105,None,139.37099260000105,None,None,139.37099260000105,None,0,0,0.4,142.9744982000011,None,142.9744982000011,None,142.9744982000011,None,None,142.9744982000011,None,,,,,,,,,,,,,,,,,,CBC_P012,002,set1,set4,2,0.7,2023-03-24_16h04.31.993,AV_prob,2022.1.1,60.14664956080361,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,2.62250581484608,1.37809841776001,145.05395430000135,None,145.05395430000135,None,145.05395430000135,None,146.4570214000014,148.4703100000006,146.45380206000152,None,148.45374009999978,149.45372810000117,149.45372810000117,None,b,0,1.4550823999998101,146.4570214000014,None,146.4570214000014,None,146.4570214000014,None,None,146.4570214000014,None,0,0,0.3333333333333333,152.10207280000031,None,152.10207280000031,None,152.10207280000031,None,None,152.10207280000031,None,,,,,,,,,,,,,,,,,,CBC_P012,002,set1,set4,2,0.7,2023-03-24_16h04.31.993,AV_prob,2022.1.1,60.14664956080361,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,3.19624908154748,1.41191114387976,154.1873714000012,None,154.1873714000012,None,154.1873714000012,None,155.6062692000014,157.6205581000013,155.6194938600005,None,157.58700649999992,158.58711930000027,158.58711930000027,161.78752650000024,z,1,1.9060926000001928,155.6062692000014,None,155.6062692000014,None,155.6062692000014,None,None,155.6062692000014,None,1,1,0.42857142857142855,161.8300493000006,None,161.8300493000006,None,161.8300493000006,None,None,161.8300493000006,None,,,,,,,,,,,,,,,,,,CBC_P012,002,set1,set4,2,0.7,2023-03-24_16h04.31.993,AV_prob,2022.1.1,60.14664956080361,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,2.50182449656669,1.88377296598415,163.90381570000136,None,163.90381570000136,None,163.90381570000136,None,165.80834640000103,167.82068419999996,165.82023036000135,None,167.80398249999962,168.80409110000073,168.80409110000073,None,b,1,2.6764615999982198,165.80834640000103,None,165.80834640000103,None,165.80834640000103,None,None,165.80834640000103,None,1,1,0.5,171.34105140000065,None,171.34105140000065,None,171.34105140000065,None,None,171.34105140000065,None,,,,,,,,,,,,,,,,,,CBC_P012,002,set1,set4,2,0.7,2023-03-24_16h04.31.993,AV_prob,2022.1.1,60.14664956080361,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0.35,3.33462955345931,3.32142038400957,173.41998070000045,None,173.41998070000045,None,173.41998070000045,None,176.77364670000134,178.7868821000011,176.77089176000152,178.77005370000006,178.77005370000006,179.7708851999996,179.7708851999996,None,b,1,1.7070199999998295,176.77364670000134,None,176.77364670000134,None,176.77364670000134,None,None,176.77364670000134,None,1,0,0.5555555555555556,183.13999909999984,None,183.13999909999984,None,183.13999909999984,None,None,183.13999909999984,None,,,,,,,,,,,,,,,,,,CBC_P012,002,set1,set4,2,0.7,2023-03-24_16h04.31.993,AV_prob,2022.1.1,60.14664956080361,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,1.74209998091573,2.49579389304826,185.22063880000132,None,185.22063880000132,None,185.22063880000132,None,187.7393200000006,189.75392749999992,187.73753096000144,None,189.73761390000072,190.73771409999972,190.73771409999972,None,b,1,2.459786299999905,187.7393200000006,None,187.7393200000006,None,187.7393200000006,None,None,187.7393200000006,None,1,1,0.6,192.50662130000092,None,192.50662130000092,None,192.50662130000092,None,None,192.50662130000092,None,,,,,,,,,,,,,,,,,,CBC_P012,002,set1,set4,2,0.7,2023-03-24_16h04.31.993,AV_prob,2022.1.1,60.14664956080361,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.35,0.899747326335302,1.31360018091897,194.5872412000008,None,194.5872412000008,None,194.5872412000008,None,195.92221489999974,197.93767389999994,195.92095646000087,197.9208963000001,197.9208963000001,198.92026570000053,198.92026570000053,None,b,1,3.554778499999884,195.92221489999974,None,195.92221489999974,None,195.92221489999974,None,None,195.92221489999974,None,1,1,0.6363636363636364,199.8416655000001,None,199.8416655000001,None,199.8416655000001,None,None,199.8416655000001,None,,,,,,,,,,,,,,,,,,CBC_P012,002,set1,set4,2,0.7,2023-03-24_16h04.31.993,AV_prob,2022.1.1,60.14664956080361,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,0.326293484834196,0.971483558655564,201.92010610000034,None,201.92010610000034,None,201.92010610000034,None,202.92136530000062,204.92072010000084,202.92096786000036,204.92072010000084,204.92072010000084,205.9210146000005,205.9210146000005,None,z,1,1.9945881000003283,202.92136530000062,None,202.92136530000062,None,202.92136530000062,None,None,202.92136530000062,None,1,1,0.6666666666666666,206.27515680000033,None,206.27515680000033,None,206.27515680000033,None,None,206.27515680000033,None,,,,,,,,,,,,,,,,,,CBC_P012,002,set1,set4,2,0.7,2023-03-24_16h04.31.993,AV_prob,2022.1.1,60.14664956080361,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0.5,0.556335756354144,1.08099245958022,208.35407420000047,None,208.35407420000047,None,208.35407420000047,None,209.4382741999998,211.43737959999999,209.43623558000053,None,211.43737959999999,212.4373316000001,212.4373316000001,None,b,0,3.5051982999993925,209.4382741999998,None,209.4382741999998,None,209.4382741999998,None,None,209.4382741999998,None,0,1,0.6153846153846154,213.02526639999996,None,213.02526639999996,None,213.02526639999996,None,None,213.02526639999996,None,,,,,,,,,,,,,,,,,,CBC_P012,002,set1,set4,2,0.7,2023-03-24_16h04.31.993,AV_prob,2022.1.1,60.14664956080361,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,3.26803291533611,2.12802719374523,215.10404650000055,None,215.10404650000055,None,215.10404650000055,None,217.23899680000068,219.2543450000012,217.23674198000134,219.23756529999991,219.23756529999991,220.23779660000037,220.23779660000037,None,z,1,1.3438096000008954,217.23899680000068,None,217.23899680000068,None,217.23899680000068,None,None,217.23899680000068,None,1,1,0.6428571428571429,223.5375213999996,None,223.5375213999996,None,223.5375213999996,None,None,223.5375213999996,None,,,,,,,,,,,,,,,,,,CBC_P012,002,set1,set4,2,0.7,2023-03-24_16h04.31.993,AV_prob,2022.1.1,60.14664956080361,
