trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response.rt,allKeys.rt,get_keys_8.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [1-4],FB probability,date,expName,psychopyVersion,frameRate,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0.35,3.47854712582944,2.23299083390853,332.831392600001,None,332.831392600001,None,332.831392600001,None,335.077395820001,None,[],337.13155950000146,340.61093000000255,337.13155950000146,None,337.13155950000146,None,b,0.19139269999868702,337.13155950000146,None,None,337.13155950000146,None,b,2.191392699998687,1,0,0.9090909090909091,341.64972240000134,None,341.64972240000134,None,341.64972240000134,None,None,341.64972240000134,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,1.109698721182561,1.75396267962373,343.71350410000014,None,343.71350410000014,None,343.71350410000014,None,345.4772925200017,None,[],347.5344729000026,348.6598128000005,347.5344729000026,None,347.5344729000026,None,z,0.27933809999740333,347.5344729000026,None,None,347.5344729000026,None,z,2.2793380999974033,1,1,0.9130434782608695,349.6786112000009,None,349.6786112000009,None,349.6786112000009,None,None,349.6786112000009,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,3.50182449656669,1.73294357419019,351.76156769999943,None,351.76156769999943,None,351.76156769999943,None,353.5098023200011,None,[],355.55826530000195,359.0603363000009,355.55826530000195,None,355.55826530000195,None,z,0.1979183000003104,355.55826530000195,None,None,355.55826530000195,None,z,2.1979183000003104,1,1,0.9166666666666666,360.0934436999996,None,360.0934436999996,None,360.0934436999996,None,None,360.0934436999996,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0.5,3.27810873521582,2.07121332922762,362.1780217000014,None,362.1780217000014,None,362.1780217000014,None,364.2608296200018,None,[],366.31811390000075,369.61044740000216,366.31811390000075,None,366.31811390000075,None,z,0.13036839999767835,366.31811390000075,None,None,366.31811390000075,None,z,2.1303683999976784,1,0,0.92,370.6456308000015,None,370.6456308000015,None,370.6456308000015,None,None,370.6456308000015,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.35,1.2199655720291709,2.93536812882172,372.72999400000117,None,372.72999400000117,None,372.72999400000117,None,375.6770155199996,None,[],377.7352761000002,378.9607698,377.7352761000002,None,377.7352761000002,None,b,0.21076149999862537,377.7352761000002,None,None,377.7352761000002,None,b,2.2107614999986254,1,1,0.9230769230769231,380.0007469000011,None,380.0007469000011,None,380.0007469000011,None,None,380.0007469000011,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.15,1.556335756354144,3.32142038400957,382.0816973000001,None,382.0816973000001,None,382.0816973000001,None,385.41082082000173,None,[],387.4680662999999,389.0274562000013,387.4680662999999,None,387.4680662999999,None,b,0.40409639999779756,387.4680662999999,None,None,387.4680662999999,None,b,2.4040963999977976,1,1,0.9259259259259259,390.0632494999991,None,390.0632494999991,None,390.0632494999991,None,None,390.0632494999991,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.35,3.95666246474662,0.971483558655564,392.1213640999995,None,392.1213640999995,None,392.1213640999995,None,393.09408182000004,None,[],395.1520855000017,399.11082180000085,395.1520855000017,None,395.1520855000017,None,b,0.15168069999708678,395.1520855000017,None,None,395.1520855000017,None,b,2.1516806999970868,1,1,0.9285714285714286,400.1462040000006,None,400.1462040000006,None,400.1462040000006,None,None,400.1462040000006,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,2.67601812978374,2.10833202116216,402.2314002000021,None,402.2314002000021,None,402.2314002000021,None,404.34418762000166,None,[],406.39952090000224,409.0773929999996,406.39952090000224,None,406.39952090000224,None,b,0.15611239999634563,406.39952090000224,None,None,406.39952090000224,None,b,2.1561123999963456,1,1,0.9310344827586207,410.11433500000203,None,410.11433500000203,None,410.11433500000203,None,None,410.11433500000203,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,2,2,1,0,0.5,2.0845750455934002,2.29713937746779,412.1997799000019,None,412.1997799000019,None,412.1997799000019,None,414.5108801200007,None,[],416.5670740000023,418.6794680000021,416.5670740000023,None,416.5670740000023,None,z,0.19991160000063246,416.5670740000023,None,None,416.5670740000023,None,z,2.1999116000006325,1,0,0.9333333333333333,419.69742530000076,None,419.69742530000076,None,419.69742530000076,None,None,419.69742530000076,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,3.88444949943153,1.91520730139263,421.7795939000025,None,421.7795939000025,None,421.7795939000025,None,423.6942435200002,None,[],425.7491365999995,429.64439160000256,425.7491365999995,None,425.7491365999995,None,z,0.23077559999728692,425.7491365999995,None,None,425.7491365999995,None,z,2.230775599997287,1,1,0.9354838709677419,430.6804637999994,None,430.6804637999994,None,430.6804637999994,None,None,430.6804637999994,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P003,002,set3,set1,1,0.7,2023-03-15_15h24.48.284,TV_prob,2022.1.1,59.710974997657885,
