trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response.rt,allKeys.rt,get_keys_8.rt,get_keys_7.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,29.51316179999958,None,29.51316179999958,None,b,1.5903152999981103,29.709773299999142,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P019,002,set2,set3,3,0.9,2023-03-31_17h22.32.458,TV_prob,2022.1.1,59.97120182929926,
,,,,,,,,,,,,31.326165899999978,None,t,34.864810600000055,31.326165899999978,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P019,002,set2,set3,3,0.9,2023-03-31_17h22.32.458,TV_prob,2022.1.1,59.97120182929926,
0,0,0,0,,,,,,,,,,,,,,,66.20975539999927,None,66.20975539999927,None,66.20975539999927,None,2,1,1,1,0.5,1.543156518078604,2.49579389304826,67.20592039999974,None,67.20592039999974,None,67.20592039999974,None,69.70991624999915,69.72703164999912,None,[],71.71021809999911,None,71.71021809999911,None,71.71021809999911,None,b,1.1673230999986117,71.71021809999911,None,None,71.71021809999911,None,b,3.1673230999986117,1,1,1.0,73.32305970000016,None,73.32305970000016,None,73.32305970000016,None,None,73.32305970000016,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P019,002,set2,set3,3,0.9,2023-03-31_17h22.32.458,TV_prob,2022.1.1,59.97120182929926,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,2.74209998091573,2.7570014520733,75.39248430000043,None,75.39248430000043,None,75.39248430000043,None,78.15984205000059,78.1766192499992,None,[],80.15809319999971,None,80.15809319999971,None,80.15809319999971,None,b,0.5819088999996893,80.15809319999971,None,None,80.15809319999971,None,b,2.5819088999996893,1,1,1.0,82.94205909999982,None,82.94205909999982,None,82.94205909999982,None,None,82.94205909999982,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P019,002,set2,set3,3,0.9,2023-03-31_17h22.32.458,TV_prob,2022.1.1,59.97120182929926,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.15,1.6105816849230599,2.40738395932908,84.95650690000002,None,84.95650690000002,None,84.95650690000002,None,87.37674604999957,87.3933920499996,None,[],89.36998339999991,None,89.36998339999991,None,89.36998339999991,None,b,0.32772990000012214,89.36998339999991,None,None,89.36998339999991,None,b,2.327729900000122,0,0,0.6666666666666666,91.02604950000023,None,91.02604950000023,None,91.02604950000023,None,None,91.02604950000023,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P019,002,set2,set3,3,0.9,2023-03-31_17h22.32.458,TV_prob,2022.1.1,59.97120182929926,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,1.899747326335302,2.23439856631263,93.04365460000008,None,93.04365460000008,None,93.04365460000008,None,95.29315645000061,95.3098425500004,None,[],97.28514659999928,None,97.28514659999928,None,97.28514659999928,None,z,0.27656999999999243,97.28514659999928,None,None,97.28514659999928,None,z,2.2765699999999924,1,1,0.75,99.22771149999971,None,99.22771149999971,None,99.22771149999971,None,None,99.22771149999971,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P019,002,set2,set3,3,0.9,2023-03-31_17h22.32.458,TV_prob,2022.1.1,59.97120182929926,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,2.91771467486041,2.78012240036799,101.24269389999972,None,101.24269389999972,None,101.24269389999972,None,104.02665524999902,104.04320834999926,None,[],106.0303225000007,None,106.0303225000007,None,106.0303225000007,None,b,0.2885945999987598,106.0303225000007,None,None,106.0303225000007,None,b,2.28859459999876,0,0,0.6,108.99378190000061,None,108.99378190000061,None,108.99378190000061,None,None,108.99378190000061,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P019,002,set2,set3,3,0.9,2023-03-31_17h22.32.458,TV_prob,2022.1.1,59.97120182929926,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0.35,2.24205805775432,1.88377296598415,111.0051710000007,None,111.0051710000007,None,111.0051710000007,None,112.89336965000003,112.91005125000011,None,[],114.88693579999926,None,114.88693579999926,None,114.88693579999926,None,z,0.24479389999942214,114.88693579999926,None,None,114.88693579999926,None,z,2.244793899999422,1,0,0.6666666666666666,117.17370230000051,None,117.17370230000051,None,117.17370230000051,None,None,117.17370230000051,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P019,002,set2,set3,3,0.9,2023-03-31_17h22.32.458,TV_prob,2022.1.1,59.97120182929926,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,1.887650177272661,1.75396267962373,119.19047669999964,None,119.19047669999964,None,119.19047669999964,None,120.96012144999914,120.97676525000061,b,['b'],122.95769680000012,None,122.95769680000012,None,122.95769680000012,None,None,,122.95769680000012,None,None,122.95769680000012,None,b,1.8715384999995877,1,1,0.7142857142857143,124.89490979999937,None,124.89490979999937,None,124.89490979999937,None,None,124.89490979999937,None,1.8715384999995877,[1.8715384999995877],,,,,,,,,,,,,,,,,,,,,,CBC_P019,002,set2,set3,3,0.9,2023-03-31_17h22.32.458,TV_prob,2022.1.1,59.97120182929926,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,3.62250581484608,2.93536812882172,126.90472600000066,None,126.90472600000066,None,126.90472600000066,None,129.8434357500002,129.86020054999898,None,[],131.8425415999991,None,131.8425415999991,None,131.8425415999991,None,z,0.31921479999982694,131.8425415999991,None,None,131.8425415999991,None,z,2.319214799999827,0,0,0.625,135.48350539999956,None,135.48350539999956,None,135.48350539999956,None,None,135.48350539999956,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P019,002,set2,set3,3,0.9,2023-03-31_17h22.32.458,TV_prob,2022.1.1,59.97120182929926,
