trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_6.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [1-4 / 5-8],audio set [1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,98.15564649999942,None,98.15564649999942,None,z,4.8177500999991025,98.35074889999851,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P029,001,1,1,2,0.8,2023-04-05_17h36.40.315,AV_prob,2022.1.1,60.020515012119915,
,,,,,,,,,,,,103.20080619999862,None,t,51.7523285999996,103.20080619999862,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P029,001,1,1,2,0.8,2023-04-05_17h36.40.315,AV_prob,2022.1.1,60.020515012119915,
0,0,0,0,,,,,,,,,,,,,,,154.98448989999997,None,154.98448989999997,None,154.98448989999997,None,1,0,0,1,0.15,1.556335756354144,2.23439856631263,155.88361129999976,None,155.88361129999976,None,155.88361129999976,None,158.20791109999846,160.21742549999908,158.21779415999993,160.21742549999908,160.20069489999878,None,b,1,2.3614593999991484,158.20791109999846,None,158.20791109999846,None,158.20791109999846,None,None,158.20791109999846,None,1,1,1.0,161.81653670000014,None,161.81653670000014,None,161.81653670000014,None,None,161.81653670000014,None,,,,,,,,,,,,,,,,,,,CBC_P029,001,1,1,2,0.8,2023-04-05_17h36.40.315,AV_prob,2022.1.1,60.020515012119915,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,3.58943852196035,2.3497497577282,163.78377399999954,None,163.78377399999954,None,163.78377399999954,None,166.15337999999974,168.16801329999907,166.1502137599997,168.15088669999932,168.15088669999932,None,z,1,1.3717317999999068,166.15337999999974,None,166.15337999999974,None,166.15337999999974,None,None,166.15337999999974,None,1,1,1.0,171.77402549999897,None,171.77402549999897,None,171.77402549999897,None,None,171.77402549999897,None,,,,,,,,,,,,,,,,,,,CBC_P029,001,1,1,2,0.8,2023-04-05_17h36.40.315,AV_prob,2022.1.1,60.020515012119915,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,4.30975216432768,1.41191114387976,173.76666769999974,None,173.76666769999974,None,173.76666769999974,None,175.20083449999947,177.20081439999922,175.20151106000014,177.20081439999922,177.20081439999922,None,z,1,1.330959699998857,175.20083449999947,None,175.20083449999947,None,175.20083449999947,None,None,175.20083449999947,None,1,1,1.0,181.52308749999793,None,181.52308749999793,None,181.52308749999793,None,None,181.52308749999793,None,,,,,,,,,,,,,,,,,,,CBC_P029,001,1,1,2,0.8,2023-04-05_17h36.40.315,AV_prob,2022.1.1,60.020515012119915,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.15,1.595506577165096,3.27418780206312,183.5341085,None,183.5341085,None,183.5341085,None,186.84284959999786,188.8508593000006,186.8503621399981,188.8508593000006,188.8342707999982,190.43401839999933,b,1,1.6930149999971036,186.84284959999786,None,186.84284959999786,None,186.84284959999786,None,None,186.84284959999786,None,1,1,1.0,190.4686029000004,None,190.4686029000004,None,190.4686029000004,None,None,190.4686029000004,None,,,,,,,,,,,,,,,,,,,CBC_P029,001,1,1,2,0.8,2023-04-05_17h36.40.315,AV_prob,2022.1.1,60.020515012119915,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,3.86983191325091,3.27666037293199,192.4672924999977,None,192.4672924999977,None,192.4672924999977,None,195.77044079999905,197.7841781999996,195.76778056000114,197.76824289999786,197.76824289999786,None,z,0,2.202452900000935,195.77044079999905,None,195.77044079999905,None,195.77044079999905,None,None,195.77044079999905,None,0,0,0.8,201.6685327999985,None,201.6685327999985,None,201.6685327999985,None,None,201.6685327999985,None,,,,,,,,,,,,,,,,,,,CBC_P029,001,1,1,2,0.8,2023-04-05_17h36.40.315,AV_prob,2022.1.1,60.020515012119915,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,1.671897605000652,1.53162701008885,203.66753229999813,None,203.66753229999813,None,203.66753229999813,None,205.21894890000112,207.23319840000113,205.21796785999834,207.23319840000113,207.21651099999872,None,z,1,2.001548600001115,205.21894890000112,None,205.21894890000112,None,205.21894890000112,None,None,205.21894890000112,None,1,1,0.8333333333333334,208.92101940000066,None,208.92101940000066,None,208.92101940000066,None,None,208.92101940000066,None,,,,,,,,,,,,,,,,,,,CBC_P029,001,1,1,2,0.8,2023-04-05_17h36.40.315,AV_prob,2022.1.1,60.020515012119915,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,1,2,1,0,0.5,2.94912276105146,1.84422310959985,210.91749809999965,None,210.91749809999965,None,210.91749809999965,None,212.7838946999982,214.78382000000056,212.78438496000092,214.78382000000056,214.78382000000056,None,z,1,1.3651731999998447,212.7838946999982,None,212.7838946999982,None,212.7838946999982,None,None,212.7838946999982,None,1,0,0.8571428571428571,217.74075230000017,None,217.74075230000017,None,217.74075230000017,None,None,217.74075230000017,None,,,,,,,,,,,,,,,,,,,CBC_P029,001,1,1,2,0.8,2023-04-05_17h36.40.315,AV_prob,2022.1.1,60.020515012119915,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,3.47854712582944,2.7570014520733,219.75080119999984,None,219.75080119999984,None,219.75080119999984,None,222.5226358,224.53441509999902,222.53426105999972,224.53441509999902,224.51762009999948,228.00005460000102,b,1,2.5863669000027585,222.5226358,None,222.5226358,None,222.5226358,None,None,222.5226358,None,1,1,0.875,228.02139119999993,None,228.02139119999993,None,228.02139119999993,None,None,228.02139119999993,None,,,,,,,,,,,,,,,,,,,CBC_P029,001,1,1,2,0.8,2023-04-05_17h36.40.315,AV_prob,2022.1.1,60.020515012119915,
