trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response.rt,allKeys.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,114.21396410000125,None,114.21396410000125,None,z,3.3098678999995172,114.41658269999971,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P038,001,set3,set4,1,0.8,2024-05-17_16h03.03.804,TV_prob,2022.1.1,59.846195277884604,
,,,,,,,,,,,,117.75187560000086,None,t,51.36854439999843,117.75187560000086,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P038,001,set3,set4,1,0.8,2024-05-17_16h03.03.804,TV_prob,2022.1.1,59.846195277884604,
0,0,0,0,,,,,,,,,,,,,,,169.1513700000014,None,169.1513700000014,None,169.1513700000014,None,0,0,1,1,0.5,2.24205805775432,3.26446861731854,170.1848398000002,None,170.1848398000002,None,170.1848398000002,None,173.4518753000015,None,[],176.29122330000064,None,176.29122330000064,None,176.29122330000064,None,b,0.5615083999982744,176.29122330000064,None,None,176.29122330000064,None,b,2.5615083999982744,1,1,1.0,178.6311497000006,None,178.6311497000006,None,178.6311497000006,None,None,178.6311497000006,None,,,,,,,,,,,,,,,,,,,,,,CBC_P038,001,set3,set4,1,0.8,2024-05-17_16h03.03.804,TV_prob,2022.1.1,59.846195277884604,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.35,4.21669271035117,2.12802719374523,180.66197790000115,None,180.66197790000115,None,180.66197790000115,None,182.80180310000142,None,[],184.86008140000013,None,184.86008140000013,None,184.86008140000013,None,b,0.5988710999972682,184.86008140000013,None,None,184.86008140000013,None,b,2.598871099997268,0,0,0.5,189.14675220000026,None,189.14675220000026,None,189.14675220000026,None,None,189.14675220000026,None,,,,,,,,,,,,,,,,,,,,,,CBC_P038,001,set3,set4,1,0.8,2024-05-17_16h03.03.804,TV_prob,2022.1.1,59.846195277884604,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,2.39750191607,1.84422310959985,191.19708890000038,None,191.19708890000038,None,191.19708890000038,None,193.0516025000001,None,[],195.10830680000072,None,195.10830680000072,None,195.10830680000072,None,z,0.8692656000002899,195.10830680000072,None,None,195.10830680000072,None,z,2.86926560000029,1,1,0.6666666666666666,197.5544614999999,None,197.5544614999999,None,197.5544614999999,None,None,197.5544614999999,None,,,,,,,,,,,,,,,,,,,,,,CBC_P038,001,set3,set4,1,0.8,2024-05-17_16h03.03.804,TV_prob,2022.1.1,59.846195277884604,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,2.23248806235745,1.91520730139263,199.6589421000008,None,199.6589421000008,None,199.6589421000008,None,201.58516490000002,None,[],203.63622700000087,None,203.63622700000087,None,203.63622700000087,None,None,,203.63622700000087,None,None,203.63622700000087,None,[],[],0,3,0.5,205.92595770000116,None,205.92595770000116,None,205.92595770000116,None,None,205.92595770000116,None,,,,,,,,,,,,,,,,,,,,,,CBC_P038,001,set3,set4,1,0.8,2024-05-17_16h03.03.804,TV_prob,2022.1.1,59.846195277884604,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,1.6105816849230599,1.29306073609301,207.98376970000027,None,207.98376970000027,None,207.98376970000027,None,209.2851093000012,b,['b'],211.3357543000002,None,211.3357543000002,None,211.3357543000002,None,None,,211.3357543000002,None,None,211.3357543000002,None,b,1.9080271999991965,1,1,0.6,212.98738260000027,None,212.98738260000027,None,212.98738260000027,None,None,212.98738260000027,None,1.9080271999991965,[1.9080271999991965],,,,,,,,,,,,,,,,,,,,CBC_P038,001,set3,set4,1,0.8,2024-05-17_16h03.03.804,TV_prob,2022.1.1,59.846195277884604,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,3.88444949943153,1.37809841776001,215.0713226000007,None,215.0713226000007,None,215.0713226000007,None,216.4509011000013,None,[],218.50090060000002,None,218.50090060000002,None,218.50090060000002,None,z,0.17136959999879764,218.50090060000002,None,None,218.50090060000002,None,z,2.1713695999987976,1,1,0.6666666666666666,222.4180021000011,None,222.4180021000011,None,222.4180021000011,None,None,222.4180021000011,None,,,,,,,,,,,,,,,,,,,,,,CBC_P038,001,set3,set4,1,0.8,2024-05-17_16h03.03.804,TV_prob,2022.1.1,59.846195277884604,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0.35,1.8749846827473111,1.75396267962373,224.47671980000086,None,224.47671980000086,None,224.47671980000086,None,226.23495920000133,None,[],228.29284449999977,None,228.29284449999977,None,228.29284449999977,None,b,0.22841589999916323,228.29284449999977,None,None,228.29284449999977,None,b,2.2284158999991632,0,1,0.5714285714285714,230.20016209999994,None,230.20016209999994,None,230.20016209999994,None,None,230.20016209999994,None,,,,,,,,,,,,,,,,,,,,,,CBC_P038,001,set3,set4,1,0.8,2024-05-17_16h03.03.804,TV_prob,2022.1.1,59.846195277884604,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,2,2,1,0,0.5,1.543156518078604,1.53162701008885,232.28304440000102,None,232.28304440000102,None,232.28304440000102,None,233.81861990000144,None,[],235.87876330000108,None,235.87876330000108,None,235.87876330000108,None,z,0.042323099998611724,235.87876330000108,None,None,235.87876330000108,None,z,2.0423230999986117,0,1,0.5,237.46712339999976,None,237.46712339999976,None,237.46712339999976,None,None,237.46712339999976,None,,,,,,,,,,,,,,,,,,,,,,CBC_P038,001,set3,set4,1,0.8,2024-05-17_16h03.03.804,TV_prob,2022.1.1,59.846195277884604,
