trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_11.started,fixationCross_11.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,0.758742575863891,2.78012240036799,366.58057370000006,None,366.58057370000006,None,366.58057370000006,None,369.3807784999999,371.4462558999994,369.38064998000004,None,371.4462558999994,372.44756509999934,372.44756509999934,None,b,1,2.2438179000000673,369.3807784999999,None,369.3807784999999,None,369.3807784999999,None,None,369.3807784999999,373.1473228999994,1,1,0.6285714285714286,373.23620909999954,None,373.23620909999954,None,373.23620909999954,None,None,373.23620909999954,None,,,,,,,,,,,,,,,,,,CBC_p=30,002,set1,set3,1,0.9,2024-05-15_15h19.17.092,AV_prob,2022.1.1,59.953871491188025,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.15,1.37252746624293,2.7570014520733,375.31388229999993,None,375.31388229999993,None,375.31388229999993,None,378.1000748999995,380.1804889999994,378.0973110799994,None,380.16382859999976,381.1641789999994,381.1641789999994,None,z,1,1.766045800000029,378.1000748999995,None,378.1000748999995,None,378.1000748999995,None,None,378.1000748999995,382.4807383999996,1,1,0.6388888888888888,382.56634479999957,None,382.56634479999957,None,382.56634479999957,None,None,382.56634479999957,None,,,,,,,,,,,,,,,,,,CBC_p=30,002,set1,set3,1,0.9,2024-05-15_15h19.17.092,AV_prob,2022.1.1,59.953871491188025,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,3.33462955345931,1.2479618399002,384.6474307999997,None,384.6474307999997,None,384.6474307999997,None,385.9101907999993,387.9802998999994,385.9137441800001,None,387.96377029999985,388.96396469999945,388.96396469999945,392.2978235999999,b,1,1.8395189000002574,385.9101907999993,None,385.9101907999993,None,385.9101907999993,None,None,385.9101907999993,392.24733969999943,1,1,0.6486486486486487,392.3362314999995,None,392.3362314999995,None,392.3362314999995,None,None,392.3362314999995,None,,,,,,,,,,,,,,,,,,CBC_p=30,002,set1,set3,1,0.9,2024-05-15_15h19.17.092,AV_prob,2022.1.1,59.953871491188025,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,1.07848335619451,2.10833202116216,394.4127869999993,None,394.4127869999993,None,394.4127869999993,None,396.549798,398.6305801999997,396.54777937999984,None,398.6141394999995,399.6295463999995,399.6131216999993,None,z,1,1.3833479000004445,396.549798,None,396.549798,None,396.549798,None,None,396.549798,400.63101299999926,1,1,0.6578947368421053,400.7204140999993,None,400.7204140999993,None,400.7204140999993,None,None,400.7204140999993,None,,,,,,,,,,,,,,,,,,CBC_p=30,002,set1,set3,1,0.9,2024-05-15_15h19.17.092,AV_prob,2022.1.1,59.953871491188025,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,0.887650177272661,1.55403782363402,402.7972645,None,402.7972645,None,402.7972645,None,404.3803528999997,406.4477735999999,404.3809158799993,None,406.4477735999999,407.4468358999993,407.4468358999993,None,z,1,1.2748703000006572,404.3803528999997,None,404.3803528999997,None,404.3803528999997,None,None,404.3803528999997,408.28080950000003,1,1,0.6666666666666666,408.36612069999956,None,408.36612069999956,None,408.36612069999956,None,None,408.36612069999956,None,,,,,,,,,,,,,,,,,,CBC_p=30,002,set1,set3,1,0.9,2024-05-15_15h19.17.092,AV_prob,2022.1.1,59.953871491188025,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,0.61058168492306,1.44889042899439,410.44748459999937,None,410.44748459999937,None,410.44748459999937,None,411.90744749999976,413.98059379999995,411.9138407799999,None,413.9638989999994,414.9631731999998,414.9631731999998,415.58123049999995,b,1,2.142487400000391,411.90744749999976,None,411.90744749999976,None,411.90744749999976,None,None,411.90744749999976,415.531215,1,1,0.675,415.6204662,None,415.6204662,None,415.6204662,None,None,415.6204662,None,,,,,,,,,,,,,,,,,,CBC_p=30,002,set1,set3,1,0.9,2024-05-15_15h19.17.092,AV_prob,2022.1.1,59.953871491188025,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,2.86983191325091,2.07121332922762,417.6974258,None,417.6974258,None,417.6974258,None,419.7881579999994,421.8645953999994,419.7969510800001,None,421.84761889999936,422.8476078999993,422.8476078999993,None,b,1,1.8007041999999274,419.7881579999994,None,419.7881579999994,None,419.7881579999994,None,None,419.7881579999994,425.6644589999996,1,1,0.6829268292682927,425.74687259999973,None,425.74687259999973,None,425.74687259999973,None,None,425.74687259999973,None,,,,,,,,,,,,,,,,,,CBC_p=30,002,set1,set3,1,0.9,2024-05-15_15h19.17.092,AV_prob,2022.1.1,59.953871491188025,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,1.11780998338946,2.12802719374523,427.82981199999995,None,427.82981199999995,None,427.82981199999995,None,429.9817359999997,432.0474113999999,429.98091587999966,None,432.0474113999999,433.0461207999997,433.0461207999997,434.16441789999953,b,1,1.6210275000003094,429.9817359999997,None,429.9817359999997,None,429.9817359999997,None,None,429.9817359999997,434.1140931,1,1,0.6904761904761905,434.2051370999998,None,434.2051370999998,None,434.2051370999998,None,None,434.2051370999998,None,,,,,,,,,,,,,,,,,,CBC_p=30,002,set1,set3,1,0.9,2024-05-15_15h19.17.092,AV_prob,2022.1.1,59.953871491188025,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.28103869999995,None,441.28107779999937,None,441.28107779999937,None,None,441.28107779999937,None,,,,,,,,,CBC_p=30,002,set1,set3,1,0.9,2024-05-15_15h19.17.092,AV_prob,2022.1.1,59.953871491188025,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,b,z,2,2,0.5,0.6428571428571428,0.9285714285714284,,,,,,,,,,,
