trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_11.started,fixationCross_11.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_6.rt,get_keys_7.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,51.61442519999946,None,51.61442519999946,None,space,8.14954139999827,51.81226229999993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P035,001,set1,set2,2,0.8,2024-05-16_12h47.19.343,AV_prob,2022.1.1,59.972029045827284,
,,,,,,,,,,,,59.97954050000044,None,t,46.968119999999544,59.97954050000044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P035,001,set1,set2,2,0.8,2024-05-16_12h47.19.343,AV_prob,2022.1.1,59.972029045827284,
0,0,0,0,,,,,,,,,,,,,,,106.97972750000008,None,106.97972750000008,None,106.97972750000008,None,1,2,0,0,0.15,3.19624908154748,3.27418780206312,107.87877889999982,None,107.87877889999982,None,107.87877889999982,None,111.24474369999916,113.31330530000014,111.24653206000112,None,113.29654499999924,114.2964136999999,114.2964136999999,117.49663959999998,b,0,1.421083199998975,111.24474369999916,None,111.24474369999916,None,111.24474369999916,None,None,111.24474369999916,117.44663539999965,0,1,0.0,117.56609249999929,None,117.56609249999929,None,117.56609249999929,None,None,117.56609249999929,None,,,,,,,,,,,,,,,,,,,,CBC_P035,001,set1,set2,2,0.8,2024-05-16_12h47.19.343,AV_prob,2022.1.1,59.972029045827284,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,1.39750191607,2.96222466864387,119.61321789999965,None,119.61321789999965,None,119.61321789999965,None,122.63985370000046,124.71330069999931,122.64754855000047,None,124.69660040000053,125.69572359999984,125.69572359999984,127.0967227000001,b,1,2.3561762000008457,122.63985370000046,None,122.63985370000046,None,122.63985370000046,None,None,122.63985370000046,127.0464465999994,1,1,0.5,127.13545660000091,None,127.13545660000091,None,127.13545660000091,None,None,127.13545660000091,None,,,,,,,,,,,,,,,,,,,,CBC_P035,001,set1,set2,2,0.8,2024-05-16_12h47.19.343,AV_prob,2022.1.1,59.972029045827284,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,1.94912276105146,1.91520730139263,129.21327510000083,None,129.21327510000083,None,129.21327510000083,None,131.1403969999992,133.21338699999978,131.14646252000023,None,133.1968512000003,134.19673010000042,134.19673010000042,136.1466304000005,z,0,1.248870600000373,131.1403969999992,None,131.1403969999992,None,131.1403969999992,None,None,131.1403969999992,136.0968728000007,0,0,0.3333333333333333,136.18397069999992,None,136.18397069999992,None,136.18397069999992,None,None,136.18397069999992,None,,,,,,,,,,,,,,,,,,,,CBC_P035,001,set1,set2,2,0.8,2024-05-16_12h47.19.343,AV_prob,2022.1.1,59.972029045827284,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.15,1.91771467486041,2.50277407648956,138.2631206999995,None,138.2631206999995,None,138.2631206999995,None,140.8203085999994,142.8966500000006,140.83013094000054,None,142.87998100000004,143.88006049999967,143.88006049999967,None,b,0,2.422319499999503,140.8203085999994,None,140.8203085999994,None,140.8203085999994,None,None,140.8203085999994,145.74657690000095,0,0,0.25,145.8297509999993,None,145.8297509999993,None,145.8297509999993,None,None,145.8297509999993,None,,,,,,,,,,,,,,,,,,,,CBC_P035,001,set1,set2,2,0.8,2024-05-16_12h47.19.343,AV_prob,2022.1.1,59.972029045827284,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,0.61058168492306,1.41191114387976,147.9131849000005,None,147.9131849000005,None,147.9131849000005,None,149.34850010000082,151.43014310000035,149.34662082000034,None,151.41344820000086,152.41380270000082,152.41380270000082,None,z,1,2.6820662999998603,149.34850010000082,None,149.34850010000082,None,149.34850010000082,None,None,149.34850010000082,152.96374780000042,1,1,0.4,153.0499037999998,None,153.0499037999998,None,153.0499037999998,None,None,153.0499037999998,None,,,,,,,,,,,,,,,,,,,,CBC_P035,001,set1,set2,2,0.8,2024-05-16_12h47.19.343,AV_prob,2022.1.1,59.972029045827284,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,2.27810873521582,1.31360018091897,155.13010080000095,None,155.13010080000095,None,155.13010080000095,None,156.46017910000046,158.53009949999978,156.46355992000065,None,158.51349699999992,159.51321009999992,159.51321009999992,161.79676719999952,z,0,2.244496100000106,156.46017910000046,None,156.46017910000046,None,156.46017910000046,None,None,156.46017910000046,161.74677519999932,0,0,0.3333333333333333,161.83749709999938,None,161.83749709999938,None,161.83749709999938,None,None,161.83749709999938,None,,,,,,,,,,,,,,,,,,,,CBC_P035,001,set1,set2,2,0.8,2024-05-16_12h47.19.343,AV_prob,2022.1.1,59.972029045827284,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,2.47854712582944,2.07121332922762,163.91335009999966,None,163.91335009999966,None,163.91335009999966,None,166.00945209999918,168.08000999999967,166.0140193200001,None,168.0633971999996,169.0635996000001,169.0635996000001,171.5470796999998,b,1,2.0402199999989534,166.00945209999918,None,166.00945209999918,None,166.00945209999918,None,None,166.00945209999918,171.49650979999933,1,1,0.42857142857142855,171.58982979999928,None,171.58982979999928,None,171.58982979999928,None,None,171.58982979999928,None,,,,,,,,,,,,,,,,,,,,CBC_P035,001,set1,set2,2,0.8,2024-05-16_12h47.19.343,AV_prob,2022.1.1,59.972029045827284,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0.35,0.556335756354144,1.53162701008885,173.6633879000001,None,173.6633879000001,None,173.6633879000001,None,175.21210900000005,177.28014350000012,175.21346781999966,None,177.28014350000012,178.2795530000003,178.2795530000003,None,b,0,2.549244499998167,175.21210900000005,None,175.21210900000005,None,175.21210900000005,None,None,175.21210900000005,178.78036210000027,0,1,0.375,178.86777799999982,None,178.86777799999982,None,178.86777799999982,None,None,178.86777799999982,None,,,,,,,,,,,,,,,,,,,,CBC_P035,001,set1,set2,2,0.8,2024-05-16_12h47.19.343,AV_prob,2022.1.1,59.972029045827284,
