trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response.rt,allKeys.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,28.453012599999056,None,28.453012599999056,None,z,1.0595486000020173,28.63909870000134,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P01,2,set2,set2,3,0.7,2024-05-17_19h36.22.442,TV_prob,2022.1.1,60.055154654966415,
,,,,,,,,,,,,29.722337700000935,None,t,57.01096930000131,29.722337700000935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P01,2,set2,set2,3,0.7,2024-05-17_19h36.22.442,TV_prob,2022.1.1,60.055154654966415,
0,0,0,0,,,,,,,,,,,,,,,86.7544448999979,None,86.7544448999979,None,86.7544448999979,None,2,1,1,1,0.5,2.0889201672230797,3.32142038400957,87.75203770000007,None,87.75203770000007,None,87.75203770000007,None,91.07270012999906,None,[],93.49944060000053,None,93.49944060000053,None,93.49944060000053,None,z,0.88945479999893,93.49944060000053,None,None,93.49944060000053,None,z,2.88945479999893,1,1,1.0,95.66091890000098,None,95.66091890000098,None,95.66091890000098,None,None,95.66091890000098,None,,,,,,,,,,,,,,,,,,,,,,CBC_P01,2,set2,set2,3,0.7,2024-05-17_19h36.22.442,TV_prob,2022.1.1,60.055154654966415,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,4.1766095715889495,1.55403782363402,97.75584339999841,None,97.75584339999841,None,97.75584339999841,None,99.3225321300004,None,[],101.37569090000034,None,101.37569090000034,None,101.37569090000034,None,z,1.2942112999990059,101.37569090000034,None,None,101.37569090000034,None,z,3.294211299999006,1,1,1.0,105.59173379999993,None,105.59173379999993,None,105.59173379999993,None,None,105.59173379999993,None,,,,,,,,,,,,,,,,,,,,,,CBC_P01,2,set2,set2,3,0.7,2024-05-17_19h36.22.442,TV_prob,2022.1.1,60.055154654966415,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0.15,3.04482772403364,2.93536812882172,107.67328319999797,None,107.67328319999797,None,107.67328319999797,None,110.62240442999864,None,[],112.67792510000072,None,112.67792510000072,None,112.67792510000072,None,z,0.8243894000006549,112.67792510000072,None,None,112.67792510000072,None,z,2.824389400000655,0,1,0.6666666666666666,115.75776860000042,None,115.75776860000042,None,115.75776860000042,None,None,115.75776860000042,None,,,,,,,,,,,,,,,,,,,,,,CBC_P01,2,set2,set2,3,0.7,2024-05-17_19h36.22.442,TV_prob,2022.1.1,60.055154654966415,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,1.326293484834196,3.27418780206312,117.82540069999959,None,117.82540069999959,None,117.82540069999959,None,121.10618022999806,None,[],123.16211420000036,None,123.16211420000036,None,123.16211420000036,None,b,0.20267320000129985,123.16211420000036,None,None,123.16211420000036,None,b,2.2026732000013,1,1,0.75,124.52240739999979,None,124.52240739999979,None,124.52240739999979,None,None,124.52240739999979,None,,,,,,,,,,,,,,,,,,,,,,CBC_P01,2,set2,set2,3,0.7,2024-05-17_19h36.22.442,TV_prob,2022.1.1,60.055154654966415,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,1.887650177272661,1.48342455087402,126.60442820000026,None,126.60442820000026,None,126.60442820000026,None,128.0893038300008,None,[],130.13879059999817,None,130.13879059999817,None,130.13879059999817,None,z,0.11169240000162972,130.13879059999817,None,None,130.13879059999817,None,z,2.1116924000016297,0,0,0.6,132.074788599999,None,132.074788599999,None,132.074788599999,None,None,132.074788599999,None,,,,,,,,,,,,,,,,,,,,,,CBC_P01,2,set2,set2,3,0.7,2024-05-17_19h36.22.442,TV_prob,2022.1.1,60.055154654966415,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,4.21669271035117,2.78012240036799,134.16112470000007,None,134.16112470000007,None,134.16112470000007,None,136.95607632999855,b,['b'],139.01545260000057,None,139.01545260000057,None,139.01545260000057,None,None,,139.01545260000057,None,None,139.01545260000057,None,b,1.929685300001438,1,1,0.6666666666666666,143.24486640000032,None,143.24486640000032,None,143.24486640000032,None,None,143.24486640000032,None,1.929685300001438,[1.929685300001438],,,,,,,,,,,,,,,,,,,,CBC_P01,2,set2,set2,3,0.7,2024-05-17_19h36.22.442,TV_prob,2022.1.1,60.055154654966415,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,1.758742575863891,2.5736109380813,145.3562564999993,None,145.3562564999993,None,145.3562564999993,None,147.93914032999857,None,[],149.99742390000029,None,149.99742390000029,None,149.99742390000029,None,z,0.8737203999990015,149.99742390000029,None,None,149.99742390000029,None,z,2.8737203999990015,1,1,0.7142857142857143,151.79021410000132,None,151.79021410000132,None,151.79021410000132,None,None,151.79021410000132,None,,,,,,,,,,,,,,,,,,,,,,CBC_P01,2,set2,set2,3,0.7,2024-05-17_19h36.22.442,TV_prob,2022.1.1,60.055154654966415,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0.5,1.556335756354144,2.68488128149974,153.87205090000134,None,153.87205090000134,None,153.87205090000134,None,156.55610242999938,None,[],158.61016870000094,None,158.61016870000094,None,158.61016870000094,None,z,0.8118386999994982,158.61016870000094,None,None,158.61016870000094,None,z,2.811838699999498,1,0,0.75,160.2079417999994,None,160.2079417999994,None,160.2079417999994,None,None,160.2079417999994,None,,,,,,,,,,,,,,,,,,,,,,CBC_P01,2,set2,set2,3,0.7,2024-05-17_19h36.22.442,TV_prob,2022.1.1,60.055154654966415,
