trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_6.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [1-4 / 5-8],audio set [1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,29.500967400000263,None,29.500967400000263,None,z,0.9820533000001888,29.698306299999786,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P026,002,1,4,0,0.9,2023-04-04_15h07.25.481,AV_prob,2022.1.1,60.262273466668965,
,,,,,,,,,,,,30.69820179999988,None,t,39.424832500000775,30.69820179999988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P026,002,1,4,0,0.9,2023-04-04_15h07.25.481,AV_prob,2022.1.1,60.262273466668965,
0,0,0,0,,,,,,,,,,,,,,,70.1487632999997,None,70.1487632999997,None,70.1487632999997,None,0,1,0,1,0.35,2.27860294189526,1.37809841776001,71.04817290000028,None,71.04817290000028,None,71.04817290000028,None,72.5001626000003,74.51503839999987,72.4980072000003,74.49837339999976,74.49837339999976,None,z,1,2.1920995999998922,72.5001626000003,None,72.5001626000003,None,72.5001626000003,None,None,72.5001626000003,None,1,1,1.0,76.83196279999993,None,76.83196279999993,None,76.83196279999993,None,None,76.83196279999993,None,,,,,,,,,,,,,,,,,,,CBC_P026,002,1,4,0,0.9,2023-04-04_15h07.25.481,AV_prob,2022.1.1,60.262273466668965,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,1.899747326335302,2.50277407648956,78.79815359999975,None,78.79815359999975,None,78.79815359999975,None,81.35886039999968,83.36494940000011,81.3648881000001,83.36494940000011,83.34869489999983,85.24830550000024,b,1,2.2647978000004514,81.35886039999968,None,81.35886039999968,None,81.35886039999968,None,None,81.35886039999968,None,1,1,1.0,85.28250779999962,None,85.28250779999962,None,85.28250779999962,None,None,85.28250779999962,None,,,,,,,,,,,,,,,,,,,CBC_P026,002,1,4,0,0.9,2023-04-04_15h07.25.481,AV_prob,2022.1.1,60.262273466668965,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,3.04482772403364,1.08099245958022,87.28166710000005,None,87.28166710000005,None,87.28166710000005,None,88.40152219999982,90.4150940999998,88.39842349999971,90.39853959999982,90.39853959999982,None,b,1,1.8946256000008361,88.40152219999982,None,88.40152219999982,None,88.40152219999982,None,None,88.40152219999982,None,1,1,1.0,93.47074199999952,None,93.47074199999952,None,93.47074199999952,None,None,93.47074199999952,None,,,,,,,,,,,,,,,,,,,CBC_P026,002,1,4,0,0.9,2023-04-04_15h07.25.481,AV_prob,2022.1.1,60.262273466668965,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,4.33462955345931,3.26446861731854,95.4650630999995,None,95.4650630999995,None,95.4650630999995,None,98.75134720000005,100.7660291000002,98.74853549999952,100.7486528999998,100.7486528999998,None,b,1,2.12640730000021,98.75134720000005,None,98.75134720000005,None,98.75134720000005,None,None,98.75134720000005,None,1,1,1.0,105.12262959999953,None,105.12262959999953,None,105.12262959999953,None,None,105.12262959999953,None,,,,,,,,,,,,,,,,,,,CBC_P026,002,1,4,0,0.9,2023-04-04_15h07.25.481,AV_prob,2022.1.1,60.262273466668965,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,4.19624908154748,2.68488128149974,107.1151232000002,None,107.1151232000002,None,107.1151232000002,None,109.83395139999993,111.84844859999976,109.83182319999977,None,111.83205389999966,None,b,1,1.9128839000004518,109.83395139999993,None,109.83395139999993,None,109.83395139999993,None,None,109.83395139999993,None,1,1,1.0,116.05435709999983,None,116.05435709999983,None,116.05435709999983,None,None,116.05435709999983,None,,,,,,,,,,,,,,,,,,,CBC_P026,002,1,4,0,0.9,2023-04-04_15h07.25.481,AV_prob,2022.1.1,60.262273466668965,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,1.758742575863891,1.44889042899439,118.04843410000012,None,118.04843410000012,None,118.04843410000012,None,119.52712049999991,121.53199409999979,119.53172470000017,None,121.51536980000037,123.2820641999997,z,1,2.9331408000007286,119.52712049999991,None,119.52712049999991,None,119.52712049999991,None,None,119.52712049999991,None,1,1,1.0,123.3220693000003,None,123.3220693000003,None,123.3220693000003,None,None,123.3220693000003,None,,,,,,,,,,,,,,,,,,,CBC_P026,002,1,4,0,0.9,2023-04-04_15h07.25.481,AV_prob,2022.1.1,60.262273466668965,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,2.0889201672230797,1.73294357419019,125.31522760000007,None,125.31522760000007,None,125.31522760000007,None,127.06502910000017,129.06549149999955,127.06527830000013,129.06549149999955,129.06549149999955,None,z,1,1.648794400000952,127.06502910000017,None,127.06502910000017,None,127.06502910000017,None,None,127.06502910000017,None,1,1,1.0,131.18221989999984,None,131.18221989999984,None,131.18221989999984,None,None,131.18221989999984,None,,,,,,,,,,,,,,,,,,,CBC_P026,002,1,4,0,0.9,2023-04-04_15h07.25.481,AV_prob,2022.1.1,60.262273466668965,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,2.67601812978374,0.971483558655564,133.18184810000002,None,133.18184810000002,None,133.18184810000002,None,134.1833760999998,136.18185949999952,134.18193180000037,136.18185949999952,136.18185949999952,None,z,1,2.3681475000003047,134.1833760999998,None,134.1833760999998,None,134.1833760999998,None,None,134.1833760999998,None,1,1,1.0,138.88708299999962,None,138.88708299999962,None,138.88708299999962,None,None,138.88708299999962,None,,,,,,,,,,,,,,,,,,,CBC_P026,002,1,4,0,0.9,2023-04-04_15h07.25.481,AV_prob,2022.1.1,60.262273466668965,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0.5,2.94912276105146,2.10833202116216,140.88182210000014,None,140.88182210000014,None,140.88182210000014,None,143.01282939999965,145.01539870000033,143.01527279999993,None,145.01539870000033,None,b,1,2.193502200000694,143.01282939999965,None,143.01282939999965,None,143.01282939999965,None,None,143.01282939999965,None,1,0,1.0,147.98616740000034,None,147.98616740000034,None,147.98616740000034,None,None,147.98616740000034,None,,,,,,,,,,,,,,,,,,,CBC_P026,002,1,4,0,0.9,2023-04-04_15h07.25.481,AV_prob,2022.1.1,60.262273466668965,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,1.326293484834196,1.48342455087402,149.98181320000003,None,149.98181320000003,None,149.98181320000003,None,151.48387430000002,153.49878999999964,151.4819391999996,153.48226139999952,153.48226139999952,None,b,1,1.8376050000006217,151.48387430000002,None,151.48387430000002,None,151.48387430000002,None,None,151.48387430000002,None,1,1,1.0,154.83835089999957,None,154.83835089999957,None,154.83835089999957,None,None,154.83835089999957,None,,,,,,,,,,,,,,,,,,,CBC_P026,002,1,4,0,0.9,2023-04-04_15h07.25.481,AV_prob,2022.1.1,60.262273466668965,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,3.88444949943153,1.14263865585167,156.83196709999993,None,156.83196709999993,None,156.83196709999993,None,157.99935769999956,159.99893080000038,157.9989052999996,None,159.99893080000038,None,z,0,1.5408120000001873,157.99935769999956,None,157.99935769999956,None,157.99935769999956,None,None,157.99935769999956,None,0,0,0.9090909090909091,163.92126069999995,None,163.92126069999995,None,163.92126069999995,None,None,163.92126069999995,None,,,,,,,,,,,,,,,,,,,CBC_P026,002,1,4,0,0.9,2023-04-04_15h07.25.481,AV_prob,2022.1.1,60.262273466668965,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,2.39750191607,2.49579389304826,165.91558069999974,None,165.91558069999974,None,165.91558069999974,None,168.42769489999955,170.4322129000002,168.43185469999992,None,170.4322129000002,None,b,0,2.8441671000000497,168.42769489999955,None,168.42769489999955,None,168.42769489999955,None,None,168.42769489999955,None,0,0,0.8333333333333334,172.8509297999999,None,172.8509297999999,None,172.8509297999999,None,None,172.8509297999999,None,,,,,,,,,,,,,,,,,,,CBC_P026,002,1,4,0,0.9,2023-04-04_15h07.25.481,AV_prob,2022.1.1,60.262273466668965,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.15,2.74209998091573,0.789129602716002,174.84893269999975,None,174.84893269999975,None,174.84893269999975,None,175.6683568999997,177.68243770000026,175.66565349999985,177.66575149999971,177.66575149999971,None,b,0,2.4716630000002624,175.6683568999997,None,175.6683568999997,None,175.6683568999997,None,None,175.6683568999997,None,0,0,0.7692307692307693,180.4309586999998,None,180.4309586999998,None,180.4309586999998,None,None,180.4309586999998,None,,,,,,,,,,,,,,,,,,,CBC_P026,002,1,4,0,0.9,2023-04-04_15h07.25.481,AV_prob,2022.1.1,60.262273466668965,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.15,1.8749846827473111,2.7570014520733,182.43213749999995,None,182.43213749999995,None,182.43213749999995,None,185.21580639999956,187.2158988000001,185.21564360000013,None,187.2158988000001,None,b,0,1.1651045000007798,185.21580639999956,None,185.21580639999956,None,185.21580639999956,None,None,185.21580639999956,None,0,0,0.7142857142857143,189.11710429999948,None,189.11710429999948,None,189.11710429999948,None,None,189.11710429999948,None,,,,,,,,,,,,,,,,,,,CBC_P026,002,1,4,0,0.9,2023-04-04_15h07.25.481,AV_prob,2022.1.1,60.262273466668965,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,2,0,1,0,0.5,2.0845750455934002,2.78012240036799,191.1157489999996,None,191.1157489999996,None,191.1157489999996,None,193.9155082999996,195.91592020000007,193.91569140000013,195.91592020000007,195.91592020000007,None,z,0,1.5105404000005365,193.9155082999996,None,193.9155082999996,None,193.9155082999996,None,None,193.9155082999996,None,0,1,0.6666666666666666,198.0380253000003,None,198.0380253000003,None,198.0380253000003,None,None,198.0380253000003,None,,,,,,,,,,,,,,,,,,,CBC_P026,002,1,4,0,0.9,2023-04-04_15h07.25.481,AV_prob,2022.1.1,60.262273466668965,
