trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,response.keys,allKeys.keys,response.rt,allKeys.rt,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response2.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,1.556335756354144,1.41191114387976,305.6395077999996,None,305.6395077999996,None,305.6395077999996,None,307.0504711800002,None,[],,,309.10080800000014,None,309.10080800000014,None,309.10080800000014,None,b,309.10080800000014,None,None,309.10080800000014,None,b,2.163041100000555,1,1,0.5454545454545454,310.7026724999996,None,310.7026724999996,None,310.7026724999996,None,None,310.7026724999996,None,0.16304110000055516,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.15,2.23248806235745,0.977134614530179,312.7871914999996,None,312.7871914999996,None,312.7871914999996,None,313.7689456799997,b,['b'],1.9491509999998016,[1.9491509999998016],315.8242049999999,None,315.8242049999999,None,315.8242049999999,None,None,315.8242049999999,None,None,315.8242049999999,None,b,1.9491509999998016,0,0,0.5217391304347826,318.1061319999999,None,318.1061319999999,None,318.1061319999999,None,None,318.1061319999999,None,,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,3.86983191325091,1.37809841776001,320.21190750000005,None,320.21190750000005,None,320.21190750000005,None,321.60199798000014,None,[],,,323.6558693999996,None,323.6558693999996,None,323.6558693999996,None,z,323.6558693999996,None,None,323.6558693999996,None,z,2.2010230999994747,0,0,0.5,327.54104800000005,None,327.54104800000005,None,327.54104800000005,None,None,327.54104800000005,None,0.20102309999947465,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0.35,2.11780998338946,2.12802719374523,329.66611639999974,None,329.66611639999974,None,329.66611639999974,None,331.8021202799999,None,[],,,333.85663250000016,None,333.85663250000016,None,333.85663250000016,None,z,333.85663250000016,None,None,333.85663250000016,None,z,2.356721099999959,1,0,0.52,336.017468,None,336.017468,None,336.017468,None,None,336.017468,None,0.3567210999999588,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.35,3.95666246474662,1.14263865585167,338.0773057999995,None,338.0773057999995,None,338.0773057999995,None,339.2354281799997,b,['b'],1.9103076999990662,[1.9103076999990662],341.29472350000015,None,341.29472350000015,None,341.29472350000015,None,None,341.29472350000015,None,None,341.29472350000015,None,b,1.9103076999990662,0,0,0.5,345.2784752999996,None,345.2784752999996,None,345.2784752999996,None,None,345.2784752999996,None,,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,4.26803291533611,1.75396267962373,347.37589769999977,None,347.37589769999977,None,347.37589769999977,None,349.1355404799995,b,['b'],2.0331906999999774,[2.0331906999999774],351.19218509999973,None,351.19218509999973,None,351.19218509999973,None,None,351.19218509999973,None,None,351.19218509999973,None,b,2.0331906999999774,0,0,0.48148148148148145,355.50094050000007,None,355.50094050000007,None,355.50094050000007,None,None,355.50094050000007,None,,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,2.39750191607,2.40738395932908,357.59006919999956,None,357.59006919999956,None,357.59006919999956,None,360.0024918799998,None,[],,,362.05929769999966,None,362.05929769999966,None,362.05929769999966,None,b,362.05929769999966,None,None,362.05929769999966,None,b,2.1110945999998876,1,1,0.5,364.5042561999999,None,364.5042561999999,None,364.5042561999999,None,None,364.5042561999999,None,0.11109459999988758,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0.5,3.27810873521582,1.31360018091897,366.58734639999966,None,366.58734639999966,None,366.58734639999966,None,367.9023220799998,z,['z'],1.4808968999996068,[1.4808968999996068],369.96407,None,369.96407,None,369.96407,None,None,369.96407,None,None,369.96407,None,z,1.4808968999996068,0,1,0.4827586206896552,373.2849379999998,None,373.2849379999998,None,373.2849379999998,None,None,373.2849379999998,None,,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,2.91771467486041,1.84422310959985,375.3681431999994,None,375.3681431999994,None,375.3681431999994,None,377.21862828000013,None,[],,,379.2748959999999,None,379.2748959999999,None,379.2748959999999,None,b,379.2748959999999,None,None,379.2748959999999,None,b,2.093605199999729,1,1,0.5,382.2344613999994,None,382.2344613999994,None,382.2344613999994,None,None,382.2344613999994,None,0.09360519999972894,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0.35,1.899747326335302,2.29713937746779,384.31774119999955,None,384.31774119999955,None,384.31774119999955,None,386.61772447999994,b,['b'],2.0349052999999913,[2.0349052999999913],388.6681848999997,None,388.6681848999997,None,388.6681848999997,None,None,388.6681848999997,None,None,388.6681848999997,None,b,2.0349052999999913,0,1,0.4838709677419355,390.5975619000001,None,390.5975619000001,None,390.5975619000001,None,None,390.5975619000001,None,,,,,,,,,,,,,,,,,,,,,CBC_P034,001,set1,set2,0,0.8,2024-05-16_11h42.22.080,TV_prob,2022.1.1,60.07438410242227,
