trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_6.rt,get_keys_7.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,3.04482772403364,1.08099245958022,300.4397535999997,None,300.4397535999997,None,300.4397535999997,None,301.54122199999983,303.540069900002,301.53999358000146,303.540069900002,303.540069900002,None,b,1,0.9654916999970737,301.54122199999983,None,301.54122199999983,None,301.54122199999983,None,None,301.54122199999983,None,1,1,0.8571428571428571,306.61030200000096,None,306.61030200000096,None,306.61030200000096,None,None,306.61030200000096,None,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set2,set2,0,0.9,2023-04-02_15h08.21.873,AV_prob,2022.1.1,60.335829225457864,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0.5,3.62250581484608,2.29713937746779,308.60645189999923,None,308.60645189999923,None,308.60645189999923,None,310.9206387000013,312.92381110000133,310.92366817999937,312.92381110000133,312.92381110000133,None,b,1,1.2424469999969006,310.9206387000013,None,310.9206387000013,None,310.9206387000013,None,None,310.9206387000013,None,1,0,0.8620689655172413,316.57668150000245,None,316.57668150000245,None,316.57668150000245,None,None,316.57668150000245,None,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set2,set2,0,0.9,2023-04-02_15h08.21.873,AV_prob,2022.1.1,60.335829225457864,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,4.19624908154748,2.93536812882172,318.5730803000006,None,318.5730803000006,None,318.5730803000006,None,321.54175840000244,323.55651910000233,321.5400530799998,323.5400802000004,323.5400802000004,None,b,1,1.0554211999988183,321.54175840000244,None,321.54175840000244,None,321.54175840000244,None,None,321.54175840000244,None,1,1,0.8666666666666667,327.7565362999994,None,327.7565362999994,None,327.7565362999994,None,None,327.7565362999994,None,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set2,set2,0,0.9,2023-04-02_15h08.21.873,AV_prob,2022.1.1,60.335829225457864,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,4.21669271035117,0.789129602716002,329.756409900001,None,329.756409900001,None,329.756409900001,None,330.57329350000145,332.5734228000001,330.5734269800014,332.5734228000001,332.5734228000001,None,z,1,1.4163509999998496,330.57329350000145,None,330.57329350000145,None,330.57329350000145,None,None,330.57329350000145,None,1,1,0.8709677419354839,336.80605540000033,None,336.80605540000033,None,336.80605540000033,None,None,336.80605540000033,None,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set2,set2,0,0.9,2023-04-02_15h08.21.873,AV_prob,2022.1.1,60.335829225457864,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.15,2.0845750455934002,1.55403782363402,338.8066801999994,None,338.8066801999994,None,338.8066801999994,None,340.38810410000224,342.3900753000016,340.3900420800019,342.3900753000016,342.3900753000016,None,z,1,2.434874199996557,340.38810410000224,344.47350820000065,340.38810410000224,344.47350820000065,340.38810410000224,344.47350820000065,None,340.38810410000224,344.47350820000065,1,1,0.875,344.51295980000214,None,344.51295980000214,None,344.51295980000214,None,None,344.51295980000214,None,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set2,set2,0,0.9,2023-04-02_15h08.21.873,AV_prob,2022.1.1,60.335829225457864,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,2.74209998091573,1.88377296598415,346.50721899999917,None,346.50721899999917,None,346.50721899999917,None,348.40438460000223,350.4069462000007,348.40666928000064,350.4069462000007,350.4069462000007,None,b,1,0.9335777999986021,348.40438460000223,None,348.40438460000223,None,348.40438460000223,None,None,348.40438460000223,None,1,1,0.8787878787878788,353.17856250000114,None,353.17856250000114,None,353.17856250000114,None,None,353.17856250000114,None,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set2,set2,0,0.9,2023-04-02_15h08.21.873,AV_prob,2022.1.1,60.335829225457864,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,2.0889201672230797,2.40738395932908,355.1732754000004,None,355.1732754000004,None,355.1732754000004,None,357.60752969999885,359.60687600000165,357.60706328000015,359.60687600000165,359.60687600000165,None,b,1,1.2689407999969262,357.60752969999885,None,357.60752969999885,None,357.60752969999885,None,None,357.60752969999885,None,1,1,0.8823529411764706,361.72622930000216,None,361.72622930000216,None,361.72622930000216,None,None,361.72622930000216,None,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set2,set2,0,0.9,2023-04-02_15h08.21.873,AV_prob,2022.1.1,60.335829225457864,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,3.95666246474662,2.12802719374523,363.7232569000007,None,363.7232569000007,None,363.7232569000007,None,365.87319769999885,367.87356960000034,365.8734389800011,367.87356960000034,367.87356960000034,None,z,1,1.294004599996697,365.87319769999885,None,365.87319769999885,None,365.87319769999885,None,None,365.87319769999885,None,1,1,0.8857142857142857,371.85920070000066,None,371.85920070000066,None,371.85920070000066,None,None,371.85920070000066,None,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set2,set2,0,0.9,2023-04-02_15h08.21.873,AV_prob,2022.1.1,60.335829225457864,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,2.2089046382315303,2.78012240036799,373.85663900000145,None,373.85663900000145,None,373.85663900000145,None,376.65381139999954,378.656921400001,376.65667137999844,378.656921400001,378.656921400001,None,z,1,1.783755000000383,376.65381139999954,None,376.65381139999954,None,376.65381139999954,None,None,376.65381139999954,None,1,1,0.8888888888888888,380.89627800000017,None,380.89627800000017,None,380.89627800000017,None,None,380.89627800000017,None,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set2,set2,0,0.9,2023-04-02_15h08.21.873,AV_prob,2022.1.1,60.335829225457864,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.15,4.30975216432768,2.49579389304826,382.890166600002,None,382.890166600002,None,382.890166600002,None,385.40779290000137,387.40692879999915,385.4067332800005,387.40692879999915,387.40692879999915,None,z,1,1.3381575999992492,385.40779290000137,None,385.40779290000137,None,385.40779290000137,None,None,385.40779290000137,None,1,1,0.8918918918918919,391.7414362000018,None,391.7414362000018,None,391.7414362000018,None,None,391.7414362000018,None,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set2,set2,0,0.9,2023-04-02_15h08.21.873,AV_prob,2022.1.1,60.335829225457864,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,2,0,1,0,0.5,2.94912276105146,2.68488128149974,393.7398619000014,None,393.7398619000014,None,393.7398619000014,None,396.4579384999997,398.47369160000017,396.4568468799989,398.45684729999994,398.45684729999994,None,z,0,1.4888838999977452,396.4579384999997,None,396.4579384999997,None,396.4579384999997,None,None,396.4579384999997,None,0,1,0.868421052631579,401.4246301999992,None,401.4246301999992,None,401.4246301999992,None,None,401.4246301999992,None,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set2,set2,0,0.9,2023-04-02_15h08.21.873,AV_prob,2022.1.1,60.335829225457864,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,2.11780998338946,3.27418780206312,403.423689700001,None,403.423689700001,None,403.423689700001,None,406.7234838000004,408.7234475000005,406.72352168,408.7234475000005,408.7234475000005,410.8403012000017,b,1,1.4787910000013653,406.7234838000004,None,406.7234838000004,None,406.7234838000004,None,None,406.7234838000004,None,1,1,0.8717948717948718,410.8766796000018,None,410.8766796000018,None,410.8766796000018,None,None,410.8766796000018,None,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set2,set2,0,0.9,2023-04-02_15h08.21.873,AV_prob,2022.1.1,60.335829225457864,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,1.6105816849230599,1.14263865585167,412.87351350000245,None,412.87351350000245,None,412.87351350000245,None,414.04226030000063,416.0569696999992,414.04020067999954,416.0403250999989,416.0403250999989,None,b,1,2.3106980999982625,414.04226030000063,None,414.04226030000063,None,414.04226030000063,None,None,414.04226030000063,None,1,1,0.875,417.6732883000004,None,417.6732883000004,None,417.6732883000004,None,None,417.6732883000004,None,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set2,set2,0,0.9,2023-04-02_15h08.21.873,AV_prob,2022.1.1,60.335829225457864,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,1.595506577165096,2.96222466864387,419.6735597000006,None,419.6735597000006,None,419.6735597000006,None,422.655643099999,424.6569720000007,422.6568674800001,424.6569720000007,424.6569720000007,None,z,1,2.237249099998735,422.655643099999,None,422.655643099999,None,422.655643099999,None,None,422.655643099999,None,1,1,0.8780487804878049,426.2785413999991,None,426.2785413999991,None,426.2785413999991,None,None,426.2785413999991,None,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set2,set2,0,0.9,2023-04-02_15h08.21.873,AV_prob,2022.1.1,60.335829225457864,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,2.3725274662429303,0.971483558655564,428.27362920000087,None,428.27362920000087,None,428.27362920000087,None,429.27187889999914,431.27359760000036,429.27354837999883,431.27359760000036,431.27359760000036,None,z,1,1.1560113999985333,429.27187889999914,None,429.27187889999914,None,429.27187889999914,None,None,429.27187889999914,None,1,1,0.8809523809523809,433.67852499999935,None,433.67852499999935,None,433.67852499999935,None,None,433.67852499999935,None,,,,,,,,,,,,,,,,,,,,CBC_P021,002,set2,set2,0,0.9,2023-04-02_15h08.21.873,AV_prob,2022.1.1,60.335829225457864,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.6737017000014,None,440.67382089999955,None,440.67382089999955,None,None,440.67382089999955,None,,,,,,,,,CBC_P021,002,set2,set2,0,0.9,2023-04-02_15h08.21.873,AV_prob,2022.1.1,60.335829225457864,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,b,z,2,2,0.7857142857142857,0.9285714285714285,0.9285714285714287,,,,,,,,,,,
