trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_11.started,fixationCross_11.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,27.09262570000101,None,27.09262570000101,None,b,1.6079281999973318,27.28114060000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P032,2,set3,set3,2,0.9,2024-05-15_17h30.04.653,AV_prob,2022.1.1,59.69375907744239,
,,,,,,,,,,,,28.913880800000697,None,t,43.45292849999896,28.913880800000697,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P032,2,set3,set3,2,0.9,2024-05-15_17h30.04.653,AV_prob,2022.1.1,59.69375907744239,
0,0,0,0,,,,,,,,,,,,,,,72.39663090000067,None,72.39663090000067,None,72.39663090000067,None,1,0,0,1,0.15,0.899747326335302,3.32142038400957,73.2978536999999,None,73.2978536999999,None,73.2978536999999,None,76.74152440000034,78.8144822000013,76.74761043999969,None,78.79806460000145,79.79682289999982,79.79682289999982,80.69822620000014,z,0,2.6748254999984056,76.74152440000034,None,76.74152440000034,None,76.74152440000034,None,None,76.74152440000034,80.64811440000085,0,0,0.0,80.76303240000016,None,80.76303240000016,None,80.76303240000016,None,None,80.76303240000016,None,,,,,,,,,,,,,,,,,,CBC_P032,2,set3,set3,2,0.9,2024-05-15_17h30.04.653,AV_prob,2022.1.1,59.69375907744239,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,2.50182449656669,2.7570014520733,82.73072630000024,None,82.73072630000024,None,82.73072630000024,None,85.57294580000053,87.64806390000012,85.58144658000019,None,87.63124659999994,88.63186250000035,88.63186250000035,None,z,1,1.4914590999978827,85.57294580000053,None,85.57294580000053,None,85.57294580000053,None,None,85.57294580000053,91.08134969999992,1,1,0.5,91.16977990000123,None,91.16977990000123,None,91.16977990000123,None,None,91.16977990000123,None,,,,,,,,,,,,,,,,,,CBC_P032,2,set3,set3,2,0.9,2024-05-15_17h30.04.653,AV_prob,2022.1.1,59.69375907744239,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,1.27860294189526,1.73294357419019,93.16446270000051,None,93.16446270000051,None,93.16446270000051,None,94.9467394000003,97.01475140000002,94.94820442000055,None,97.01475140000002,98.01445500000045,98.01445500000045,None,z,1,1.5016288999977405,94.9467394000003,None,94.9467394000003,None,94.9467394000003,None,None,94.9467394000003,99.23110030000134,1,1,0.6666666666666666,99.32037110000056,None,99.32037110000056,None,99.32037110000056,None,None,99.32037110000056,None,,,,,,,,,,,,,,,,,,CBC_P032,2,set3,set3,2,0.9,2024-05-15_17h30.04.653,AV_prob,2022.1.1,59.69375907744239,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.15,1.37252746624293,3.27666037293199,101.31513319999976,None,101.31513319999976,None,101.31513319999976,None,104.64164130000063,106.71493100000043,104.64807422000122,None,106.6979005000012,107.6982347000012,107.6982347000012,None,b,1,1.13027399999919,104.64164130000063,None,104.64164130000063,None,104.64164130000063,None,None,104.64164130000063,109.01474790000066,1,1,0.75,109.09494030000133,None,109.09494030000133,None,109.09494030000133,None,None,109.09494030000133,None,,,,,,,,,,,,,,,,,,CBC_P032,2,set3,set3,2,0.9,2024-05-15_17h30.04.653,AV_prob,2022.1.1,59.69375907744239,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0.35,2.62250581484608,0.789129602716002,111.09782260000065,None,111.09782260000065,None,111.09782260000065,None,111.91316879999977,113.98163850000128,111.91481406000057,None,113.98163850000128,114.98160680000001,114.98160680000001,None,b,1,1.9597190999975282,111.91316879999977,None,111.91316879999977,None,111.91316879999977,None,None,111.91316879999977,117.5481931000013,1,0,0.8,117.63517710000087,None,117.63517710000087,None,117.63517710000087,None,None,117.63517710000087,None,,,,,,,,,,,,,,,,,,CBC_P032,2,set3,set3,2,0.9,2024-05-15_17h30.04.653,AV_prob,2022.1.1,59.69375907744239,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,0.758742575863891,3.27418780206312,119.63115880000078,None,119.63115880000078,None,119.63115880000078,None,122.92995470000096,124.99820170000021,122.93157236000079,None,124.99820170000021,125.99806739999985,125.99806739999985,None,z,1,0.9184092999985296,122.92995470000096,None,122.92995470000096,None,122.92995470000096,None,None,122.92995470000096,126.69839090000096,1,1,0.8333333333333334,126.79062580000027,None,126.79062580000027,None,126.79062580000027,None,None,126.79062580000027,None,,,,,,,,,,,,,,,,,,CBC_P032,2,set3,set3,2,0.9,2024-05-15_17h30.04.653,AV_prob,2022.1.1,59.69375907744239,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,1.08892016722308,2.50277407648956,128.78143740000087,None,128.78143740000087,None,128.78143740000087,None,131.315892300001,133.38158710000062,131.31502676000093,None,133.38158710000062,134.38135690000126,134.38135690000126,None,b,0,1.8093652999978076,131.315892300001,None,131.315892300001,None,131.315892300001,None,None,131.315892300001,135.41480709999996,0,0,0.7142857142857143,135.49721620000128,None,135.49721620000128,None,135.49721620000128,None,None,135.49721620000128,None,,,,,,,,,,,,,,,,,,CBC_P032,2,set3,set3,2,0.9,2024-05-15_17h30.04.653,AV_prob,2022.1.1,59.69375907744239,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,1.94912276105146,2.64870493261766,137.49819730000127,None,137.49819730000127,None,137.49819730000127,None,140.16149750000113,142.23173959999986,140.16487896,None,142.21497420000014,143.2151544999997,143.2151544999997,145.16518670000005,b,1,1.6814518999999564,140.16149750000113,None,140.16149750000113,None,140.16149750000113,None,None,140.16149750000113,145.1146865999999,1,1,0.75,145.2062977000005,None,145.2062977000005,None,145.2062977000005,None,None,145.2062977000005,None,,,,,,,,,,,,,,,,,,CBC_P032,2,set3,set3,2,0.9,2024-05-15_17h30.04.653,AV_prob,2022.1.1,59.69375907744239,
