trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,response.keys,allKeys.keys,response.rt,allKeys.rt,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response2.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,213.3973463000002,None,213.3973463000002,None,b,17.332020799998645,213.59035500000027,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P032,001,set4,set1,1,0.9,2024-05-15_17h21.37.534,TV_prob,2022.1.1,59.98962179540786,
,,,,,,,,,,,,230.9406553000008,None,t,69.00416170000062,230.9406553000008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P032,001,set4,set1,1,0.9,2024-05-15_17h21.37.534,TV_prob,2022.1.1,59.98962179540786,
0,0,0,0,,,,,,,,,,,,,,,299.97393700000066,None,299.97393700000066,None,299.97393700000066,None,0,0,1,1,0.5,2.24205805775432,1.48342455087402,301.0007010999998,None,301.0007010999998,None,301.0007010999998,None,302.4907057299999,z,['z'],-17.88156490000074,[-17.88156490000074],304.9510745000007,None,304.9510745000007,None,304.9510745000007,None,None,304.9510745000007,None,None,304.9510745000007,None,z,-17.88156490000074,1,1,1.0,307.2844822999996,None,307.2844822999996,None,307.2844822999996,None,None,307.2844822999996,None,,,,,,,,,,,,,,,,,,,,,CBC_P032,001,set4,set1,1,0.9,2024-05-15_17h21.37.534,TV_prob,2022.1.1,59.98962179540786,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,4.1766095715889495,2.23439856631263,309.3985166000002,None,309.3985166000002,None,309.3985166000002,None,311.6405866300003,b,['b'],1.0439211999982945,[1.0439211999982945],313.6990573999992,None,313.6990573999992,None,313.6990573999992,None,None,313.6990573999992,None,None,313.6990573999992,None,b,1.0439211999982945,1,1,1.0,317.9241612000005,None,317.9241612000005,None,317.9241612000005,None,None,317.9241612000005,None,,,,,,,,,,,,,,,,,,,,,CBC_P032,001,set4,set1,1,0.9,2024-05-15_17h21.37.534,TV_prob,2022.1.1,59.98962179540786,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.35,1.887650177272661,2.40738395932908,319.9790071000007,None,319.9790071000007,None,319.9790071000007,None,322.39069812999986,None,[],,,324.44310589999986,None,324.44310589999986,None,324.44310589999986,None,z,324.44310589999986,None,None,324.44310589999986,None,z,2.8380252000006294,0,0,0.6666666666666666,326.42738649999956,None,326.42738649999956,None,326.42738649999956,None,None,326.42738649999956,None,0.8380252000006294,,,,,,,,,,,,,,,,,,,,CBC_P032,001,set4,set1,1,0.9,2024-05-15_17h21.37.534,TV_prob,2022.1.1,59.98962179540786,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,1.109698721182561,1.29306073609301,328.48405470000034,None,328.48405470000034,None,328.48405470000034,None,329.7904390300002,None,[],,,331.84613490000083,None,331.84613490000083,None,331.84613490000083,None,b,331.84613490000083,None,None,331.84613490000083,None,b,2.4093969000005018,0,0,0.5,332.9603480000005,None,332.9603480000005,None,332.9603480000005,None,None,332.9603480000005,None,0.4093969000005018,,,,,,,,,,,,,,,,,,,,CBC_P032,001,set4,set1,1,0.9,2024-05-15_17h21.37.534,TV_prob,2022.1.1,59.98962179540786,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,3.47854712582944,1.08604824075189,335.0695541999994,None,335.0695541999994,None,335.0695541999994,None,336.15723913000073,b,['b'],1.9765800999994099,[1.9765800999994099],338.2079692999996,None,338.2079692999996,None,338.2079692999996,None,None,338.2079692999996,None,None,338.2079692999996,None,b,1.9765800999994099,0,0,0.4,341.72271569999975,None,341.72271569999975,None,341.72271569999975,None,None,341.72271569999975,None,,,,,,,,,,,,,,,,,,,,,CBC_P032,001,set4,set1,1,0.9,2024-05-15_17h21.37.534,TV_prob,2022.1.1,59.98962179540786,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,4.30975216432768,1.73294357419019,343.80824460000076,None,343.80824460000076,None,343.80824460000076,None,345.54018913,b,['b'],1.3698454000004858,[1.3698454000004858],347.5896431000001,None,347.5896431000001,None,347.5896431000001,None,None,347.5896431000001,None,None,347.5896431000001,None,b,1.3698454000004858,1,1,0.5,351.9437932000001,None,351.9437932000001,None,351.9437932000001,None,None,351.9437932000001,None,,,,,,,,,,,,,,,,,,,,,CBC_P032,001,set4,set1,1,0.9,2024-05-15_17h21.37.534,TV_prob,2022.1.1,59.98962179540786,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.35,3.58943852196035,0.789129602716002,354.0201811000006,None,354.0201811000006,None,354.0201811000006,None,354.82400182999953,b,['b'],1.5695274999998219,[1.5695274999998219],356.8817369999997,None,356.8817369999997,None,356.8817369999997,None,None,356.8817369999997,None,None,356.8817369999997,None,b,1.5695274999998219,1,1,0.5714285714285714,360.50865820000035,None,360.50865820000035,None,360.50865820000035,None,None,360.50865820000035,None,,,,,,,,,,,,,,,,,,,,,CBC_P032,001,set4,set1,1,0.9,2024-05-15_17h21.37.534,TV_prob,2022.1.1,59.98962179540786,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0.5,4.21669271035117,2.3497497577282,362.5879807000001,None,362.5879807000001,None,362.5879807000001,None,364.9408248299998,None,[],,,366.99586699999963,None,366.99586699999963,None,366.99586699999963,None,z,366.99586699999963,None,None,366.99586699999963,None,z,2.2546925000006013,1,0,0.625,371.2298178000001,None,371.2298178000001,None,371.2298178000001,None,None,371.2298178000001,None,0.2546925000006013,,,,,,,,,,,,,,,,,,,,CBC_P032,001,set4,set1,1,0.9,2024-05-15_17h21.37.534,TV_prob,2022.1.1,59.98962179540786,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,1.899747326335302,2.10833202116216,373.33700710000085,None,373.33700710000085,None,373.33700710000085,None,375.45760593000085,z,['z'],0.9724548999984108,[0.9724548999984108],377.51544289999947,None,377.51544289999947,None,377.51544289999947,None,None,377.51544289999947,None,None,377.51544289999947,None,z,0.9724548999984108,1,1,0.6666666666666666,379.45961499999976,None,379.45961499999976,None,379.45961499999976,None,None,379.45961499999976,None,,,,,,,,,,,,,,,,,,,,,CBC_P032,001,set4,set1,1,0.9,2024-05-15_17h21.37.534,TV_prob,2022.1.1,59.98962179540786,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,1.758742575863891,3.27666037293199,381.5122217999997,None,381.5122217999997,None,381.5122217999997,None,384.7909974299993,None,[],,,386.8427191999999,None,386.8427191999999,None,386.8427191999999,None,b,386.8427191999999,None,None,386.8427191999999,None,b,2.9007100999988324,1,1,0.7,388.64107780000086,None,388.64107780000086,None,388.64107780000086,None,None,388.64107780000086,None,0.9007100999988324,,,,,,,,,,,,,,,,,,,,CBC_P032,001,set4,set1,1,0.9,2024-05-15_17h21.37.534,TV_prob,2022.1.1,59.98962179540786,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,3.50182449656669,2.12802719374523,390.7209256999995,None,390.7209256999995,None,390.7209256999995,None,392.8573599300009,z,['z'],0.8187374999997701,[0.8187374999997701],394.9149488999992,None,394.9149488999992,None,394.9149488999992,None,None,394.9149488999992,None,None,394.9149488999992,None,z,0.8187374999997701,1,1,0.7272727272727273,398.4565655000006,None,398.4565655000006,None,398.4565655000006,None,None,398.4565655000006,None,,,,,,,,,,,,,,,,,,,,,CBC_P032,001,set4,set1,1,0.9,2024-05-15_17h21.37.534,TV_prob,2022.1.1,59.98962179540786,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,2.2089046382315303,2.29713937746779,400.53685980000046,None,400.53685980000046,None,400.53685980000046,None,402.8411280299999,z,['z'],1.6972687999987102,[1.6972687999987102],404.8989870000005,None,404.8989870000005,None,404.8989870000005,None,None,404.8989870000005,None,None,404.8989870000005,None,z,1.6972687999987102,1,1,0.75,407.1271003999991,None,407.1271003999991,None,407.1271003999991,None,None,407.1271003999991,None,,,,,,,,,,,,,,,,,,,,,CBC_P032,001,set4,set1,1,0.9,2024-05-15_17h21.37.534,TV_prob,2022.1.1,59.98962179540786,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.15,3.04482772403364,1.2479618399002,409.2383582000002,None,409.2383582000002,None,409.2383582000002,None,410.49128153000055,b,['b'],1.6049298999987514,[1.6049298999987514],412.54675979999956,None,412.54675979999956,None,412.54675979999956,None,None,412.54675979999956,None,None,412.54675979999956,None,b,1.6049298999987514,1,1,0.7692307692307693,415.62339190000057,None,415.62339190000057,None,415.62339190000057,None,None,415.62339190000057,None,,,,,,,,,,,,,,,,,,,,,CBC_P032,001,set4,set1,1,0.9,2024-05-15_17h21.37.534,TV_prob,2022.1.1,59.98962179540786,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.15,1.671897605000652,1.14263865585167,417.6749299000003,None,417.6749299000003,None,417.6749299000003,None,418.82550152999937,b,['b'],1.1487742999997863,[1.1487742999997863],420.88048979999985,None,420.88048979999985,None,420.88048979999985,None,None,420.88048979999985,None,None,420.88048979999985,None,b,1.1487742999997863,1,1,0.7857142857142857,422.56152850000035,None,422.56152850000035,None,422.56152850000035,None,None,422.56152850000035,None,,,,,,,,,,,,,,,,,,,,,CBC_P032,001,set4,set1,1,0.9,2024-05-15_17h21.37.534,TV_prob,2022.1.1,59.98962179540786,
