trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,response.rt,allKeys.rt,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response2.rt,get_keys_7.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [1-4 / 5-8],tactile set [1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,4.19624908154748,1.88377296598415,593.8840623000006,None,593.8840623000006,None,593.8840623000006,None,595.7671849900005,595.7839852900004,None,[],,,597.7721869000006,None,597.7721869000006,None,597.7721869000006,None,b,597.7721869000006,None,None,597.7721869000006,None,b,2.3554745000001276,0,0,0.35294117647058826,602.0181504000002,None,602.0181504000002,None,602.0181504000002,None,None,602.0181504000002,None,0.3554745000001276,,,,,,,,,,,,,,,,,,,,,CBC_P026,001,4,2,2,0.9,2023-04-04_14h59.29.053,TV_prob,2022.1.1,60.00297614746751,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,2.0784833561945097,1.37809841776001,604.0375382000002,None,604.0375382000002,None,604.0375382000002,None,605.4177192900004,605.4340306900001,b,['b'],1.5849858000001404,[1.5849858000001404],607.4239536000005,None,607.4239536000005,None,607.4239536000005,None,None,607.4239536000005,None,None,607.4239536000005,None,b,1.5849858000001404,0,0,0.3333333333333333,609.5259082000002,None,609.5259082000002,None,609.5259082000002,None,None,609.5259082000002,None,,,,,,,,,,,,,,,,,,,,,,CBC_P026,001,4,2,2,0.9,2023-04-04_14h59.29.053,TV_prob,2022.1.1,60.00297614746751,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,1.109698721182561,1.2479618399002,611.5559413999999,None,611.5559413999999,None,611.5559413999999,None,612.8174281900008,612.8339922900002,None,[],,,614.8214988,None,614.8214988,None,614.8214988,None,None,614.8214988,None,None,614.8214988,None,[],[],0,3,0.3157894736842105,615.9656857999998,None,615.9656857999998,None,615.9656857999998,None,None,615.9656857999998,None,,,,,,,,,,,,,,,,,,,,,,CBC_P026,001,4,2,2,0.9,2023-04-04_14h59.29.053,TV_prob,2022.1.1,60.00297614746751,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,3.86983191325091,0.977134614530179,617.9844333000001,None,617.9844333000001,None,617.9844333000001,None,618.9671629900001,618.9840256900004,b,['b'],1.439003400000729,[1.439003400000729],620.9699460000002,None,620.9699460000002,None,620.9699460000002,None,None,620.9699460000002,None,None,620.9699460000002,None,b,1.439003400000729,1,1,0.35,624.8869972000002,None,624.8869972000002,None,624.8869972000002,None,None,624.8869972000002,None,,,,,,,,,,,,,,,,,,,,,,CBC_P026,001,4,2,2,0.9,2023-04-04_14h59.29.053,TV_prob,2022.1.1,60.00297614746751,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.15,1.899747326335302,1.29306073609301,626.9031573000002,None,626.9031573000002,None,626.9031573000002,None,628.2016380900002,628.2172960900004,None,[],,,630.2032921999999,None,630.2032921999999,None,630.2032921999999,None,z,630.2032921999999,None,None,630.2032921999999,None,z,2.7949565999997503,1,1,0.38095238095238093,632.1499709999998,None,632.1499709999998,None,632.1499709999998,None,None,632.1499709999998,None,0.7949565999997503,,,,,,,,,,,,,,,,,,,,,CBC_P026,001,4,2,2,0.9,2023-04-04_14h59.29.053,TV_prob,2022.1.1,60.00297614746751,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,1.595506577165096,2.5736109380813,634.1730757000005,None,634.1730757000005,None,634.1730757000005,None,636.7508533900007,636.7674030900005,None,[],,,638.7543820999999,None,638.7543820999999,None,638.7543820999999,None,None,638.7543820999999,None,None,638.7543820999999,None,[],[],0,3,0.36363636363636365,640.3825357000005,None,640.3825357000005,None,640.3825357000005,None,None,640.3825357000005,None,,,,,,,,,,,,,,,,,,,,,,CBC_P026,001,4,2,2,0.9,2023-04-04_14h59.29.053,TV_prob,2022.1.1,60.00297614746751,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,2.74209998091573,3.38809030570968,642.4038690000007,None,642.4038690000007,None,642.4038690000007,None,645.8009391900002,645.8173669900004,None,[],,,647.8048265000007,None,647.8048265000007,None,647.8048265000007,None,z,647.8048265000007,None,None,647.8048265000007,None,z,2.0187375000004977,0,0,0.34782608695652173,650.5844372000001,None,650.5844372000001,None,650.5844372000001,None,None,650.5844372000001,None,0.018737500000497676,,,,,,,,,,,,,,,,,,,,,CBC_P026,001,4,2,2,0.9,2023-04-04_14h59.29.053,TV_prob,2022.1.1,60.00297614746751,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0.35,4.1766095715889495,2.68488128149974,652.6017148000001,None,652.6017148000001,None,652.6017148000001,None,655.3008810900008,655.3179368900007,b,['b'],1.9869052000003649,[1.9869052000003649],657.3100242,None,657.3100242,None,657.3100242,None,None,657.3100242,None,None,657.3100242,None,b,1.9869052000003649,0,1,0.3333333333333333,661.5363603000005,None,661.5363603000005,None,661.5363603000005,None,None,661.5363603000005,None,,,,,,,,,,,,,,,,,,,,,,CBC_P026,001,4,2,2,0.9,2023-04-04_14h59.29.053,TV_prob,2022.1.1,60.00297614746751,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,2.0889201672230797,2.93536812882172,663.5577407000001,None,663.5577407000001,None,663.5577407000001,None,666.5010128900001,666.5177069900008,z,['z'],-0.9296663000004628,[-0.9296663000004628],668.5068225000005,None,668.5068225000005,None,668.5068225000005,None,b,668.5068225000005,None,None,668.5068225000005,None,z,-0.9296663000004628,1,1,0.36,670.6370305999999,None,670.6370305999999,None,670.6370305999999,None,None,670.6370305999999,None,1.7099269000000277,,,,,,,,,,,,,,,,,,,,,CBC_P026,001,4,2,2,0.9,2023-04-04_14h59.29.053,TV_prob,2022.1.1,60.00297614746751,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,4.26803291533611,2.29713937746779,672.6507000000001,None,672.6507000000001,None,672.6507000000001,None,674.9510780900007,674.9677256900002,b,['b'],1.9207986000001256,[1.9207986000001256],676.9553051000003,None,676.9553051000003,None,676.9553051000003,None,None,676.9553051000003,None,None,676.9553051000003,None,b,1.9207986000001256,1,1,0.38461538461538464,681.2674654000002,None,681.2674654000002,None,681.2674654000002,None,['b'],681.2674654000002,None,,[0.127675900000213],,,,,,,,,,,,,,,,,,,,CBC_P026,001,4,2,2,0.9,2023-04-04_14h59.29.053,TV_prob,2022.1.1,60.00297614746751,
