trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_11.started,fixationCross_11.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_6.rt,get_keys_7.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [1-4],FB probability,date,expName,psychopyVersion,frameRate,
,,,,20.86836879999464,None,20.86836879999464,None,z,1.2774408000041149,21.064569199996185,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P004,002,set2,set3,4,0.8,2023-03-15_16h49.57.461,AV_prob,2022.1.1,59.92390862132042,
,,,,,,,,,,,,22.364196899994568,None,t,67.53575049999927,22.364196899994568,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P004,002,set2,set3,4,0.8,2023-03-15_16h49.57.461,AV_prob,2022.1.1,59.92390862132042,
0,0,0,0,,,,,,,,,,,,,,,89.93013839999912,None,89.93013839999912,None,89.93013839999912,None,0,1,1,1,0.5,1.23248806235745,1.44889042899439,90.83138229999895,None,90.83138229999895,None,90.83138229999895,None,92.34454269999696,94.41430889999901,92.34728919999907,None,94.41430889999901,95.4143968999997,95.4143968999997,None,z,1,2.976661500004411,92.34454269999696,None,92.34454269999696,None,92.34454269999696,None,None,92.34454269999696,96.58156880000024,1,1,1.0,96.69618019999325,None,96.69618019999325,None,96.69618019999325,None,None,96.69618019999325,None,,,,,,,,,,,,,,,,,,,,CBC_P004,002,set2,set3,4,0.8,2023-03-15_16h49.57.461,AV_prob,2022.1.1,59.92390862132042,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,3.17660957158895,2.12802719374523,98.66452209999989,None,98.66452209999989,None,98.66452209999989,None,100.83912249999412,102.91465559999779,100.84825189999974,None,102.89815339999768,103.8980506999942,103.8980506999942,None,z,0,2.411186600009387,100.83912249999412,None,100.83912249999412,None,100.83912249999412,None,None,100.83912249999412,107.01496189999307,0,0,0.5,107.10570989999542,None,107.10570989999542,None,107.10570989999542,None,None,107.10570989999542,None,,,,,,,,,,,,,,,,,,,,CBC_P004,002,set2,set3,4,0.8,2023-03-15_16h49.57.461,AV_prob,2022.1.1,59.92390862132042,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0.35,0.219965572029171,2.3497497577282,109.0980289999934,None,109.0980289999934,None,109.0980289999934,None,111.48204350000015,113.54797249999683,111.4809587999931,None,113.54797249999683,114.54810099999304,114.54810099999304,None,b,1,2.309011500001361,111.48204350000015,None,111.48204350000015,None,111.48204350000015,None,None,111.48204350000015,114.71492389999912,1,0,0.6666666666666666,114.80028189999575,None,114.80028189999575,None,114.80028189999575,None,None,114.80028189999575,None,,,,,,,,,,,,,,,,,,,,CBC_P004,002,set2,set3,4,0.8,2023-03-15_16h49.57.461,AV_prob,2022.1.1,59.92390862132042,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.50182449656669,1.14263865585167,116.79808760000014,None,116.79808760000014,None,116.79808760000014,None,117.94904269999824,120.01490029999695,117.94704079999356,None,120.01490029999695,121.01473169999372,121.01473169999372,None,z,1,2.376955400002771,117.94904269999824,None,117.94904269999824,None,117.94904269999824,None,None,117.94904269999824,123.46455520000018,1,1,0.75,123.55269769999722,None,123.55269769999722,None,123.55269769999722,None,None,123.55269769999722,None,,,,,,,,,,,,,,,,,,,,CBC_P004,002,set2,set3,4,0.8,2023-03-15_16h49.57.461,AV_prob,2022.1.1,59.92390862132042,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,3.30975216432768,1.84422310959985,125.5470306999996,None,125.5470306999996,None,125.5470306999996,None,127.41537909999897,129.4813870999933,127.41517119999335,None,129.4813870999933,130.4806094999949,130.4806094999949,None,z,1,2.3705040000058943,127.41537909999897,None,127.41537909999897,None,127.41537909999897,None,None,127.41537909999897,133.7315976999962,1,1,0.8,133.81527729999652,None,133.81527729999652,None,133.81527729999652,None,None,133.81527729999652,None,,,,,,,,,,,,,,,,,,,,CBC_P004,002,set2,set3,4,0.8,2023-03-15_16h49.57.461,AV_prob,2022.1.1,59.92390862132042,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,1,0,0,0.35,1.24205805775432,3.27418780206312,135.8140984999991,None,135.8140984999991,None,135.8140984999991,None,139.11607439999352,141.19805509999424,139.11507229999404,None,141.1804833999995,142.18169719999423,142.18169719999423,None,z,0,2.717243500002951,139.11607439999352,None,139.11607439999352,None,139.11607439999352,None,None,139.11607439999352,143.36408489999303,0,1,0.6666666666666666,143.43572829999903,None,143.43572829999903,None,143.43572829999903,None,None,143.43572829999903,None,,,,,,,,,,,,,,,,,,,,CBC_P004,002,set2,set3,4,0.8,2023-03-15_16h49.57.461,AV_prob,2022.1.1,59.92390862132042,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.35,2.47854712582944,1.53162701008885,145.44773949999944,None,145.44773949999944,None,145.44773949999944,None,147.00086190000002,149.08165069999814,146.99851599999818,None,149.0650222999975,150.0649959000002,150.0649959000002,None,z,0,2.468252600010601,147.00086190000002,None,147.00086190000002,None,147.00086190000002,None,None,147.00086190000002,152.48133259999304,0,0,0.5714285714285714,152.56732949999423,None,152.56732949999423,None,152.56732949999423,None,None,152.56732949999423,None,,,,,,,,,,,,,,,,,,,,CBC_P004,002,set2,set3,4,0.8,2023-03-15_16h49.57.461,AV_prob,2022.1.1,59.92390862132042,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,1.0845750455934,1.41191114387976,154.56455549999373,None,154.56455549999373,None,154.56455549999373,None,155.99681739999505,158.06501329999446,155.99842669999487,None,158.06501329999446,159.08039129999815,159.06383119999373,None,z,1,2.647262300008151,155.99681739999505,None,155.99681739999505,None,155.99681739999505,None,None,155.99681739999505,160.0814889999965,1,1,0.625,160.168431099999,None,160.168431099999,None,160.168431099999,None,None,160.168431099999,None,,,,,,,,,,,,,,,,,,,,CBC_P004,002,set2,set3,4,0.8,2023-03-15_16h49.57.461,AV_prob,2022.1.1,59.92390862132042,
