trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response.rt,allKeys.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [1-4 / 5-8],tactile set [1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,22.8914221,None,22.8914221,None,z,2.639058599999771,23.084015100000215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P025,002,1,1,1,0.8,2023-04-04_13h52.48.528,TV_prob,2022.1.1,60.00837716949447,
,,,,,,,,,,,,25.750729400000182,None,t,51.88447720000022,25.750729400000182,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P025,002,1,1,1,0.8,2023-04-04_13h52.48.528,TV_prob,2022.1.1,60.00837716949447,
0,0,0,0,,,,,,,,,,,,,,,77.65139360000012,None,77.65139360000012,None,77.65139360000012,None,0,1,1,1,0.5,1.671897605000652,2.23299083390853,78.67889380000042,None,78.67889380000042,None,78.67889380000042,None,80.91769826000014,80.93435986000027,None,[],82.92400020000014,None,82.92400020000014,None,82.92400020000014,None,b,0.5219363000001067,82.92400020000014,None,None,82.92400020000014,None,b,2.5219363000001067,0,0,0.0,84.65894700000035,None,84.65894700000035,None,84.65894700000035,None,None,84.65894700000035,None,,,,,,,,,,,,,,,,,,,,,,CBC_P025,002,1,1,1,0.8,2023-04-04_13h52.48.528,TV_prob,2022.1.1,60.00837716949447,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.35,3.88444949943153,2.12802719374523,86.75196249999999,None,86.75196249999999,None,86.75196249999999,None,88.88441506000022,88.90089366000025,None,[],90.8895650000004,None,90.8895650000004,None,90.8895650000004,None,z,0.45446540000011737,90.8895650000004,None,None,90.8895650000004,None,z,2.4544654000001174,0,0,0.0,94.81948490000013,None,94.81948490000013,None,94.81948490000013,None,None,94.81948490000013,None,,,,,,,,,,,,,,,,,,,,,,CBC_P025,002,1,1,1,0.8,2023-04-04_13h52.48.528,TV_prob,2022.1.1,60.00837716949447,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.35,2.2089046382315303,1.84422310959985,96.83981510000012,None,96.83981510000012,None,96.83981510000012,None,98.68485886000003,98.70144976000024,b,['b'],100.69162780000033,None,100.69162780000033,None,100.69162780000033,None,None,,100.69162780000033,None,None,100.69162780000033,None,b,1.9638721999999689,1,1,0.3333333333333333,102.93671360000008,None,102.93671360000008,None,102.93671360000008,None,None,102.93671360000008,None,1.9638721999999689,[1.9638721999999689],,,,,,,,,,,,,,,,,,,,CBC_P025,002,1,1,1,0.8,2023-04-04_13h52.48.528,TV_prob,2022.1.1,60.00837716949447,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,1.543156518078604,2.07121332922762,104.96903880000036,None,104.96903880000036,None,104.96903880000036,None,107.0515767600004,107.06781686000018,None,[],109.05708620000041,None,109.05708620000041,None,109.05708620000041,None,z,0.46981919999961974,109.05708620000041,None,None,109.05708620000041,None,z,2.4698191999996197,1,1,0.5,110.63433440000017,None,110.63433440000017,None,110.63433440000017,None,None,110.63433440000017,None,,,,,,,,,,,,,,,,,,,,,,CBC_P025,002,1,1,1,0.8,2023-04-04_13h52.48.528,TV_prob,2022.1.1,60.00837716949447,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0.5,3.86983191325091,2.3497497577282,112.65360740000006,None,112.65360740000006,None,112.65360740000006,None,115.0178456600001,115.03442986000023,None,[],117.03384270000015,None,117.03384270000015,None,117.03384270000015,None,z,0.6032447999996293,117.03384270000015,None,None,117.03384270000015,None,z,2.6032447999996293,1,0,0.6,120.9544033000002,None,120.9544033000002,None,120.9544033000002,None,None,120.9544033000002,None,,,,,,,,,,,,,,,,,,,,,,CBC_P025,002,1,1,1,0.8,2023-04-04_13h52.48.528,TV_prob,2022.1.1,60.00837716949447,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.35,4.21669271035117,1.88377296598415,122.97156940000013,None,122.97156940000013,None,122.97156940000013,None,124.86841076000015,124.88492856000035,None,[],126.87581399999999,None,126.87581399999999,None,126.87581399999999,None,b,0.8762632000002668,126.87581399999999,None,None,126.87581399999999,None,b,2.876263200000267,1,1,0.6666666666666666,131.1367968000004,None,131.1367968000004,None,131.1367968000004,None,None,131.1367968000004,None,,,,,,,,,,,,,,,,,,,,,,CBC_P025,002,1,1,1,0.8,2023-04-04_13h52.48.528,TV_prob,2022.1.1,60.00837716949447,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.35,2.0889201672230797,1.14263865585167,133.15513550000014,None,133.15513550000014,None,133.15513550000014,None,134.30123076000012,134.31807496000005,None,[],136.30648450000035,None,136.30648450000035,None,136.30648450000035,None,b,1.441761999999926,136.30648450000035,None,None,136.30648450000035,None,b,3.441761999999926,1,1,0.7142857142857143,138.43316380000033,None,138.43316380000033,None,138.43316380000033,None,None,138.43316380000033,None,,,,,,,,,,,,,,,,,,,,,,CBC_P025,002,1,1,1,0.8,2023-04-04_13h52.48.528,TV_prob,2022.1.1,60.00837716949447,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,3.58943852196035,0.789129602716002,140.45296420000022,None,140.45296420000022,None,140.45296420000022,None,141.2512455600003,141.26808956000008,None,[],143.25750140000036,None,143.25750140000036,None,143.25750140000036,None,z,1.5547232999997505,143.25750140000036,None,None,143.25750140000036,None,z,3.5547232999997505,1,1,0.75,146.88327000000027,None,146.88327000000027,None,146.88327000000027,None,None,146.88327000000027,None,,,,,,,,,,,,,,,,,,,,,,CBC_P025,002,1,1,1,0.8,2023-04-04_13h52.48.528,TV_prob,2022.1.1,60.00837716949447,
