trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,2.91771467486041,0.977134614530179,202.42197289999967,None,202.42197289999967,None,202.42197289999967,None,203.4199996999996,205.4221708999994,203.42193582000039,205.4221708999994,205.4221708999994,None,b,1,1.912150300000576,203.4199996999996,None,203.4199996999996,None,203.4199996999996,None,None,203.4199996999996,None,1,1,1.0,208.35976579999988,None,208.35976579999988,None,208.35976579999988,None,None,208.35976579999988,None,,,,,,,,,,,,,,,,,,CBC_P019,001,set3,set1,1,0.9,2023-03-31_17h14.34.139,AV_prob,2022.1.1,59.912312340008604,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,1.6105816849230599,3.32142038400957,210.3552405999999,None,210.3552405999999,None,210.3552405999999,None,213.70371410000007,215.7057048000006,213.70567322000136,215.7057048000006,215.7057048000006,None,b,0,1.5990858999994089,213.70371410000007,None,213.70371410000007,None,213.70371410000007,None,None,213.70371410000007,None,0,0,0.9,217.34474559999944,None,217.34474559999944,None,217.34474559999944,None,None,217.34474559999944,None,,,,,,,,,,,,,,,,,,CBC_P019,001,set3,set1,1,0.9,2023-03-31_17h14.34.139,AV_prob,2022.1.1,59.912312340008604,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,1.543156518078604,2.68488128149974,219.33818710000014,None,219.33818710000014,None,219.33818710000014,None,222.042155000001,224.0548259999996,222.0390564200003,224.0384398999995,224.0384398999995,None,b,1,0.9393087999997078,222.042155000001,None,222.042155000001,None,222.042155000001,None,None,222.042155000001,None,1,1,0.9090909090909091,225.61229319999984,None,225.61229319999984,None,225.61229319999984,None,None,225.61229319999984,None,,,,,,,,,,,,,,,,,,CBC_P019,001,set3,set1,1,0.9,2023-03-31_17h14.34.139,AV_prob,2022.1.1,59.912312340008604,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,1.905730910449904,2.64870493261766,227.60562630000095,None,227.60562630000095,None,227.60562630000095,None,230.27087690000008,232.27256560000023,230.2726099200005,232.27256560000023,232.27256560000023,None,b,1,1.8259072999990167,230.27087690000008,None,230.27087690000008,None,230.27087690000008,None,None,230.27087690000008,None,1,1,0.9166666666666666,234.20777819999967,None,234.20777819999967,None,234.20777819999967,None,None,234.20777819999967,None,,,,,,,,,,,,,,,,,,CBC_P019,001,set3,set1,1,0.9,2023-03-31_17h14.34.139,AV_prob,2022.1.1,59.912312340008604,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.15,2.27860294189526,2.7570014520733,236.20573680000052,None,236.20573680000052,None,236.20573680000052,None,238.98722300000009,240.98935119999987,238.98910362000026,240.98935119999987,240.98935119999987,None,z,1,1.224943199998961,238.98722300000009,None,238.98722300000009,None,238.98722300000009,None,None,238.98722300000009,None,1,0,0.9230769230769231,243.29273710000052,None,243.29273710000052,None,243.29273710000052,None,None,243.29273710000052,None,,,,,,,,,,,,,,,,,,CBC_P019,001,set3,set1,1,0.9,2023-03-31_17h14.34.139,AV_prob,2022.1.1,59.912312340008604,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.15,1.758742575863891,2.40738395932908,245.2894195000008,None,245.2894195000008,None,245.2894195000008,None,247.72435919999953,249.73838699999942,247.72253372000125,None,249.7218886999999,None,b,0,1.8319446999994398,247.72435919999953,None,247.72435919999953,None,247.72435919999953,None,None,247.72435919999953,None,0,0,0.8571428571428571,251.50667190000058,None,251.50667190000058,None,251.50667190000058,None,None,251.50667190000058,None,,,,,,,,,,,,,,,,,,CBC_P019,001,set3,set1,1,0.9,2023-03-31_17h14.34.139,AV_prob,2022.1.1,59.912312340008604,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,1.556335756354144,2.12802719374523,253.50551970000015,None,253.50551970000015,None,253.50551970000015,None,255.65370079999957,257.65535679999994,255.65591921999987,257.65535679999994,257.65535679999994,None,z,1,1.2202407999993738,255.65370079999957,None,255.65370079999957,None,255.65370079999957,None,None,255.65370079999957,None,1,1,0.8666666666666667,259.2425744000011,None,259.2425744000011,None,259.2425744000011,None,None,259.2425744000011,None,,,,,,,,,,,,,,,,,,CBC_P019,001,set3,set1,1,0.9,2023-03-31_17h14.34.139,AV_prob,2022.1.1,59.912312340008604,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.15,4.1766095715889495,2.49579389304826,261.23932590000004,None,261.23932590000004,None,261.23932590000004,None,263.75527259999944,265.75603000000046,263.75591572000087,265.75603000000046,265.75603000000046,None,z,1,2.0662561999997706,263.75527259999944,None,263.75527259999944,None,263.75527259999944,None,None,263.75527259999944,None,1,1,0.875,269.95335840000007,None,269.95335840000007,None,269.95335840000007,None,None,269.95335840000007,None,,,,,,,,,,,,,,,,,,CBC_P019,001,set3,set1,1,0.9,2023-03-31_17h14.34.139,AV_prob,2022.1.1,59.912312340008604,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,1.2199655720291709,1.55403782363402,271.95597980000093,None,271.95597980000093,None,271.95597980000093,None,273.53771530000085,275.53942500000085,273.53880472000094,275.53942500000085,275.53942500000085,None,b,1,1.5234717999992426,273.53771530000085,None,273.53771530000085,None,273.53771530000085,None,None,273.53771530000085,None,1,1,0.8823529411764706,276.79036369999994,None,276.79036369999994,None,276.79036369999994,None,None,276.79036369999994,None,,,,,,,,,,,,,,,,,,CBC_P019,001,set3,set1,1,0.9,2023-03-31_17h14.34.139,AV_prob,2022.1.1,59.912312340008604,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,4.19624908154748,1.73294357419019,278.78923980000036,None,278.78923980000036,None,278.78923980000036,None,280.5401127999994,282.53940239999974,280.5388985200003,282.53940239999974,282.53940239999974,None,b,1,0.7542011999994429,280.5401127999994,None,280.5401127999994,None,280.5401127999994,None,None,280.5401127999994,None,1,1,0.8888888888888888,286.75639650000085,None,286.75639650000085,None,286.75639650000085,None,None,286.75639650000085,None,,,,,,,,,,,,,,,,,,CBC_P019,001,set3,set1,1,0.9,2023-03-31_17h14.34.139,AV_prob,2022.1.1,59.912312340008604,
