trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,27.72852210000019,None,27.72852210000019,None,b,1.574606299998777,27.92487770000116,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P018,002,set4,set1,0,0.9,2023-03-31_16h21.18.455,AV_prob,2022.1.1,60.168725139111196,
,,,,,,,,,,,,29.524918200000684,None,t,42.09332739999809,29.524918200000684,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P018,002,set4,set1,0,0.9,2023-03-31_16h21.18.455,AV_prob,2022.1.1,60.168725139111196,
0,0,0,0,,,,,,,,,,,,,,,71.64105520000157,None,71.64105520000157,None,71.64105520000157,None,0,1,0,1,0.35,2.0845750455934002,1.48342455087402,72.54169480000019,None,72.54169480000019,None,72.54169480000019,None,74.08544750000146,76.09175140000116,74.09150325000155,76.09175140000116,76.0748876000016,None,b,0,2.147458199997345,74.08544750000146,None,74.08544750000146,None,74.08544750000146,None,None,74.08544750000146,None,0,0,0.0,78.21880150000106,None,78.21880150000106,None,78.21880150000106,None,None,78.21880150000106,None,,,,,,,,,,,,,,,,,,CBC_P018,002,set4,set1,0,0.9,2023-03-31_16h21.18.455,AV_prob,2022.1.1,60.168725139111196,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,1.887650177272661,2.29713937746779,80.1917142000002,None,80.1917142000002,None,80.1917142000002,None,82.55711430000156,84.5574843000013,82.55863045000115,84.5574843000013,84.54102300000159,86.44186300000001,z,0,2.315891799999008,82.55711430000156,None,82.55711430000156,None,82.55711430000156,None,None,82.55711430000156,None,0,0,0.0,86.47339360000115,None,86.47339360000115,None,86.47339360000115,None,None,86.47339360000115,None,,,,,,,,,,,,,,,,,,CBC_P018,002,set4,set1,0,0.9,2023-03-31_16h21.18.455,AV_prob,2022.1.1,60.168725139111196,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,3.88444949943153,3.27666037293199,88.475022300001,None,88.475022300001,None,88.475022300001,None,91.79264050000165,93.8085071000005,91.79166309000102,93.79154370000106,93.79154370000106,97.67514220000157,b,1,1.4055463999993663,91.79264050000165,None,91.79264050000165,None,91.79264050000165,None,None,91.79264050000165,None,1,1,0.3333333333333333,97.71517470000072,None,97.71517470000072,None,97.71517470000072,None,None,97.71517470000072,None,,,,,,,,,,,,,,,,,,CBC_P018,002,set4,set1,0,0.9,2023-03-31_16h21.18.455,AV_prob,2022.1.1,60.168725139111196,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.27860294189526,1.55403782363402,99.70716070000162,None,99.70716070000162,None,99.70716070000162,None,101.29416750000019,103.30861280000136,101.2921021600003,103.29187040000033,103.29187040000033,None,b,1,1.9539992999980313,101.29416750000019,None,101.29416750000019,None,101.29416750000019,None,None,101.29416750000019,None,1,1,0.5,105.59300890000122,None,105.59300890000122,None,105.59300890000122,None,None,105.59300890000122,None,,,,,,,,,,,,,,,,,,CBC_P018,002,set4,set1,0,0.9,2023-03-31_16h21.18.455,AV_prob,2022.1.1,60.168725139111196,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,3.86983191325091,2.49579389304826,107.59104110000044,None,107.59104110000044,None,107.59104110000044,None,110.09469570000147,112.10855940000147,110.09135313000152,112.09195730000101,112.09195730000101,None,b,1,2.2538973999980954,110.09469570000147,None,110.09469570000147,None,110.09469570000147,None,None,110.09469570000147,None,1,1,0.6,115.99551100000099,None,115.99551100000099,None,115.99551100000099,None,None,115.99551100000099,None,,,,,,,,,,,,,,,,,,CBC_P018,002,set4,set1,0,0.9,2023-03-31_16h21.18.455,AV_prob,2022.1.1,60.168725139111196,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,4.21669271035117,2.23299083390853,117.9908673000009,None,117.9908673000009,None,117.9908673000009,None,120.2408159000006,122.24190630000157,120.2413071600011,122.24190630000157,122.24190630000157,None,z,1,2.314061799997944,120.2408159000006,None,120.2408159000006,None,120.2408159000006,None,None,120.2408159000006,None,1,1,0.6666666666666666,126.48027570000158,None,126.48027570000158,None,126.48027570000158,None,None,126.48027570000158,None,,,,,,,,,,,,,,,,,,CBC_P018,002,set4,set1,0,0.9,2023-03-31_16h21.18.455,AV_prob,2022.1.1,60.168725139111196,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,2.2089046382315303,1.91520730139263,128.47526900000048,None,128.47526900000048,None,128.47526900000048,None,130.39640240000153,132.40883070000018,130.40815146000097,None,132.39199820000067,None,z,1,2.760066499999084,130.39640240000153,None,130.39640240000153,None,130.39640240000153,None,None,130.39640240000153,None,1,1,0.7142857142857143,134.622362600001,None,134.622362600001,None,134.622362600001,None,None,134.622362600001,None,,,,,,,,,,,,,,,,,,CBC_P018,002,set4,set1,0,0.9,2023-03-31_16h21.18.455,AV_prob,2022.1.1,60.168725139111196,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,2.11780998338946,0.977134614530179,136.62538270000005,None,136.62538270000005,None,136.62538270000005,None,137.62136340000143,139.62533210000038,137.62533866000086,139.62533210000038,139.60880070000167,None,z,1,2.859421499999371,137.62136340000143,None,137.62136340000143,None,137.62136340000143,None,None,137.62136340000143,None,1,1,0.75,141.762584600001,None,141.762584600001,None,141.762584600001,None,None,141.762584600001,None,,,,,,,,,,,,,,,,,,CBC_P018,002,set4,set1,0,0.9,2023-03-31_16h21.18.455,AV_prob,2022.1.1,60.168725139111196,
