trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_11.started,fixationCross_11.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_6.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,1,2,0,0,0.15,3.33462955345931,3.38809030570968,376.33517239999856,None,376.33517239999856,None,376.33517239999856,None,379.7524307999993,381.8189332000002,379.7523681200007,None,381.8189332000002,382.8188670999989,382.8188670999989,None,b,1,1.2780894000025,379.7524307999993,386.1528667999992,379.7524307999993,386.1528667999992,379.7524307999993,386.1528667999992,None,379.7524307999993,386.10198200000013,1,0,0.8235294117647058,386.18698669999867,None,386.18698669999867,None,386.18698669999867,None,None,386.18698669999867,None,,,,,,,,,,,,,,,,,,,CBC_P041,001,set4,set1,2,0.7,2024-05-17_19h28.30.418,AV_prob,2022.1.1,59.94556942242036,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.35,1.11780998338946,2.49579389304826,388.1853641000016,None,388.1853641000016,None,388.1853641000016,None,390.69785630000115,392.7690139000006,390.7022350199993,None,392.7524319000004,393.75258290000056,393.75258290000056,None,b,1,0.9872185999993235,390.69785630000115,None,390.69785630000115,None,390.69785630000115,None,None,390.69785630000115,394.8192377999985,1,1,0.8285714285714286,394.90087009999843,None,394.90087009999843,None,394.90087009999843,None,None,394.90087009999843,None,,,,,,,,,,,,,,,,,,,CBC_P041,001,set4,set1,2,0.7,2024-05-17_19h28.30.418,AV_prob,2022.1.1,59.94556942242036,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0.5,0.219965572029171,3.32142038400957,396.90237139999954,None,396.90237139999954,None,396.90237139999954,None,400.2497642999988,402.31884450000143,400.2518902199997,None,402.31884450000143,403.31876850000117,403.31876850000117,None,z,1,2.970587499999965,400.2497642999988,403.53570089999994,400.2497642999988,403.53570089999994,400.2497642999988,403.53570089999994,None,400.2497642999988,403.46884489999866,1,0,0.8333333333333334,403.5751429000011,None,403.5751429000011,None,403.5751429000011,None,None,403.5751429000011,None,,,,,,,,,,,,,,,,,,,CBC_P041,001,set4,set1,2,0.7,2024-05-17_19h28.30.418,AV_prob,2022.1.1,59.94556942242036,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,0.109698721182561,2.64870493261766,405.5685682000003,None,405.5685682000003,None,405.5685682000003,None,408.2319838000003,410.3022369999999,408.2355803200014,None,410.28538259999914,411.2862134999996,411.2862134999996,411.4024754999991,z,1,0.7156826999998884,408.2319838000003,None,408.2319838000003,None,408.2319838000003,None,None,408.2319838000003,411.3521498000009,1,1,0.8378378378378378,411.4462941999991,None,411.4462941999991,None,411.4462941999991,None,None,411.4462941999991,None,,,,,,,,,,,,,,,,,,,CBC_P041,001,set4,set1,2,0.7,2024-05-17_19h28.30.418,AV_prob,2022.1.1,59.94556942242036,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,2.04482772403364,1.48342455087402,413.4355577999995,None,413.4355577999995,None,413.4355577999995,None,414.9361075000015,417.00195769999846,414.9359141200009,None,417.00195769999846,418.00187749999895,418.00187749999895,None,b,1,0.9910975999991933,414.9361075000015,None,414.9361075000015,None,414.9361075000015,None,None,414.9361075000015,419.9853927000004,1,1,0.8421052631578947,420.06952040000033,None,420.06952040000033,None,420.06952040000033,None,None,420.06952040000033,None,,,,,,,,,,,,,,,,,,,CBC_P041,001,set4,set1,2,0.7,2024-05-17_19h28.30.418,AV_prob,2022.1.1,59.94556942242036,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0.35,1.07848335619451,2.7570014520733,422.06864359999963,None,422.06864359999963,None,422.06864359999963,None,424.8545258000013,426.93563189999986,424.85265481999954,None,426.9192808000007,427.91921100000036,427.91921100000036,None,b,1,0.7669227000005776,424.8545258000013,None,424.8545258000013,None,424.8545258000013,None,None,424.8545258000013,428.93568009999944,1,0,0.8461538461538461,429.01982510000016,None,429.01982510000016,None,429.01982510000016,None,None,429.01982510000016,None,,,,,,,,,,,,,,,,,,,CBC_P041,001,set4,set1,2,0.7,2024-05-17_19h28.30.418,AV_prob,2022.1.1,59.94556942242036,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,1.94912276105146,2.78012240036799,431.018570799999,None,431.018570799999,None,431.018570799999,None,433.8150452000009,435.8858996000017,433.8192324199997,None,435.8692547999999,436.8693177999994,436.8693177999994,438.8193790000005,z,1,1.0822599999992235,433.8150452000009,None,433.8150452000009,None,433.8150452000009,None,None,433.8150452000009,438.7688046000003,1,1,0.85,438.8581544000008,None,438.8581544000008,None,438.8581544000008,None,None,438.8581544000008,None,,,,,,,,,,,,,,,,,,,CBC_P041,001,set4,set1,2,0.7,2024-05-17_19h28.30.418,AV_prob,2022.1.1,59.94556942242036,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,2.47854712582944,1.53162701008885,440.8523658999984,None,440.8523658999984,None,440.8523658999984,None,442.4027289000005,444.46900449999885,442.40233241999954,None,444.46900449999885,445.4689180999994,445.4689180999994,None,z,1,1.0195117000002938,442.4027289000005,None,442.4027289000005,None,442.4027289000005,None,None,442.4027289000005,447.8860745999991,1,1,0.8536585365853658,447.9662214000018,None,447.9662214000018,None,447.9662214000018,None,None,447.9662214000018,None,,,,,,,,,,,,,,,,,,,CBC_P041,001,set4,set1,2,0.7,2024-05-17_19h28.30.418,AV_prob,2022.1.1,59.94556942242036,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.15,3.21669271035117,1.84422310959985,449.9691497999993,None,449.9691497999993,None,449.9691497999993,None,451.83382210000127,453.9027935000013,451.83580012000016,None,453.9027935000013,454.90243510000073,454.90243510000073,None,b,1,1.408022500003426,451.83382210000127,None,451.83382210000127,None,451.83382210000127,None,None,451.83382210000127,458.0523390999988,1,1,0.8571428571428571,458.1401799000014,None,458.1401799000014,None,458.1401799000014,None,None,458.1401799000014,None,,,,,,,,,,,,,,,,,,,CBC_P041,001,set4,set1,2,0.7,2024-05-17_19h28.30.418,AV_prob,2022.1.1,59.94556942242036,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.13580060000095,None,465.1356655999989,None,465.1356655999989,None,None,465.1356655999989,None,,,,,,,,,CBC_P041,001,set4,set1,2,0.7,2024-05-17_19h28.30.418,AV_prob,2022.1.1,59.94556942242036,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,z,b,2,2,0.7857142857142857,0.8571428571428571,0.9285714285714285,,,,,,,,,,,
