trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response.rt,allKeys.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [1-4],FB probability,date,expName,psychopyVersion,frameRate,
,,,,297.5729682000019,None,297.5729682000019,None,z,2.563338500003738,297.75216750000254,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P006,001,set2,set2,2,0.8,2023-03-15_18h35.47.090,TV_prob,2022.1.1,59.95725048120328,
,,,,,,,,,,,,300.3352725000004,None,t,78.33173939999688,300.3352725000004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P006,001,set2,set2,2,0.8,2023-03-15_18h35.47.090,TV_prob,2022.1.1,59.95725048120328,
0,0,0,0,,,,,,,,,,,,,,,378.68462899999577,None,378.68462899999577,None,378.68462899999577,None,1,0,0,0,0.15,4.1766095715889495,1.53162701008885,379.68487079999613,None,379.68487079999613,None,379.68487079999613,None,381.2177943600007,None,[],383.4163180999967,None,383.4163180999967,None,383.4163180999967,None,b,0.1168621000033454,383.4163180999967,None,None,383.4163180999967,None,b,2.1168621000033454,0,1,0.0,387.6691379999975,None,387.6691379999975,None,387.6691379999975,None,None,387.6691379999975,None,,,,,,,,,,,,,,,,,,,,,,CBC_P006,001,set2,set2,2,0.8,2023-03-15_18h35.47.090,TV_prob,2022.1.1,59.95725048120328,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,3.58943852196035,3.27418780206312,389.7688219999982,None,389.7688219999982,None,389.7688219999982,None,393.0521700599973,b,['b'],395.1072109000015,None,395.1072109000015,None,395.1072109000015,None,None,,395.1072109000015,None,None,395.1072109000015,None,b,1.196409299998777,1,1,0.5,398.7355621000024,None,398.7355621000024,None,398.7355621000024,None,None,398.7355621000024,None,1.196409299998777,[1.196409299998777],,,,,,,,,,,,,,,,,,,,CBC_P006,001,set2,set2,2,0.8,2023-03-15_18h35.47.090,TV_prob,2022.1.1,59.95725048120328,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,2.3725274662429303,0.971483558655564,400.81663809999736,None,400.81663809999736,None,400.81663809999736,None,401.8010402600019,b,['b'],403.8574163000012,None,403.8574163000012,None,403.8574163000012,None,None,,403.8574163000012,None,None,403.8574163000012,None,b,1.447180600000138,1,1,0.6666666666666666,406.26954580000165,None,406.26954580000165,None,406.26954580000165,None,None,406.26954580000165,None,1.447180600000138,[1.447180600000138],,,,,,,,,,,,,,,,,,,,CBC_P006,001,set2,set2,2,0.8,2023-03-15_18h35.47.090,TV_prob,2022.1.1,59.95725048120328,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.15,1.543156518078604,2.78012240036799,408.3515833999991,None,408.3515833999991,None,408.3515833999991,None,411.1355381599977,None,[],413.1912553000002,None,413.1912553000002,None,413.1912553000002,None,z,0.1698882999990019,413.1912553000002,None,None,413.1912553000002,None,z,2.169888299999002,1,1,0.75,414.76622849999694,None,414.76622849999694,None,414.76622849999694,None,None,414.76622849999694,None,,,,,,,,,,,,,,,,,,,,,,CBC_P006,001,set2,set2,2,0.8,2023-03-15_18h35.47.090,TV_prob,2022.1.1,59.95725048120328,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,2,0,0,0.35,2.0845750455934002,3.32142038400957,416.82816620000085,None,416.82816620000085,None,416.82816620000085,None,420.15211375999644,None,[],422.20464869999705,None,422.20464869999705,None,422.20464869999705,None,b,0.007445299997925758,422.20464869999705,None,None,422.20464869999705,None,b,2.0074452999979258,0,1,0.6,424.3328693000003,None,424.3328693000003,None,424.3328693000003,None,None,424.3328693000003,None,,,,,,,,,,,,,,,,,,,,,,CBC_P006,001,set2,set2,2,0.8,2023-03-15_18h35.47.090,TV_prob,2022.1.1,59.95725048120328,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,1.905730910449904,2.12802719374523,426.4232556999996,None,426.4232556999996,None,426.4232556999996,None,428.55224655999774,b,['b'],430.6101436999961,None,430.6101436999961,None,430.6101436999961,None,None,,430.6101436999961,None,None,430.6101436999961,None,b,1.6408386999974027,1,1,0.6666666666666666,432.5233720999968,None,432.5233720999968,None,432.5233720999968,None,None,432.5233720999968,None,1.6408386999974027,[1.6408386999974027],,,,,,,,,,,,,,,,,,,,CBC_P006,001,set2,set2,2,0.8,2023-03-15_18h35.47.090,TV_prob,2022.1.1,59.95725048120328,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,4.21669271035117,1.08604824075189,434.61544760000106,None,434.61544760000106,None,434.61544760000106,None,435.701775059996,z,['z'],437.75654499999655,None,437.75654499999655,None,437.75654499999655,None,None,,437.75654499999655,None,None,437.75654499999655,None,z,1.2912613000007696,0,0,0.5714285714285714,442.02006999999867,None,442.02006999999867,None,442.02006999999867,None,None,442.02006999999867,None,1.2912613000007696,[1.2912613000007696],,,,,,,,,,,,,,,,,,,,CBC_P006,001,set2,set2,2,0.8,2023-03-15_18h35.47.090,TV_prob,2022.1.1,59.95725048120328,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,1.671897605000652,0.789129602716002,444.10544590000063,None,444.10544590000063,None,444.10544590000063,None,444.90162835999655,z,['z'],446.9517130999957,None,446.9517130999957,None,446.9517130999957,None,None,,446.9517130999957,None,None,446.9517130999957,None,z,1.72619670000131,1,1,0.625,448.672748099998,None,448.672748099998,None,448.672748099998,None,None,448.672748099998,None,1.72619670000131,[1.72619670000131],,,,,,,,,,,,,,,,,,,,CBC_P006,001,set2,set2,2,0.8,2023-03-15_18h35.47.090,TV_prob,2022.1.1,59.95725048120328,
