trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_7.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [1-4 / 5-8],audio set [1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0.5,4.1766095715889495,2.3497497577282,157.1455876,None,157.1455876,None,157.1455876,None,159.50917740000023,161.51238620000004,159.51224877999982,161.51238620000004,161.51238620000004,None,z,1,1.4683218999998644,159.50917740000023,None,159.50917740000023,None,159.50917740000023,None,None,159.50917740000023,None,1,0,0.4444444444444444,165.7118762,None,165.7118762,None,165.7118762,None,None,165.7118762,None,,,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,3.86983191325091,1.91520730139263,167.71142420000024,None,167.71142420000024,None,167.71142420000024,None,169.64333880000004,171.64581839999983,169.64561937999986,171.64581839999983,171.64581839999983,None,z,0,2.914916899999753,169.64333880000004,None,169.64333880000004,None,169.64333880000004,None,None,169.64333880000004,None,0,0,0.4,175.53059350000012,None,175.53059350000012,None,175.53059350000012,None,None,175.53059350000012,None,,,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0.5,2.91771467486041,1.29306073609301,177.5455225999999,None,177.5455225999999,None,177.5455225999999,None,178.8613691999999,180.86150989999987,178.86249208000015,None,180.86150989999987,None,b,0,3.256555699999808,178.8613691999999,None,178.8613691999999,None,178.8613691999999,None,None,178.8613691999999,None,0,1,0.36363636363636365,183.79829840000002,None,183.79829840000002,None,183.79829840000002,None,None,183.79829840000002,None,,,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,1.109698721182561,3.27666037293199,185.79498289999992,None,185.79498289999992,None,185.79498289999992,None,189.09334239999998,191.0948357000002,189.09569248000014,191.0948357000002,191.0948357000002,None,z,1,2.6449383999997735,189.09334239999998,None,189.09334239999998,None,189.09334239999998,None,None,189.09334239999998,None,1,1,0.4166666666666667,192.23026879999998,None,192.23026879999998,None,192.23026879999998,None,None,192.23026879999998,None,,,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.15,3.88444949943153,2.29713937746779,194.22894450000013,None,194.22894450000013,None,194.22894450000013,None,196.5458208,198.54481029999988,196.54583107999986,198.54481029999988,198.54481029999988,202.42913670000007,b,1,2.5256122000000687,196.5458208,None,196.5458208,None,196.5458208,None,None,196.5458208,None,1,1,0.46153846153846156,202.46600020000005,None,202.46600020000005,None,202.46600020000005,None,None,202.46600020000005,None,,,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.15,1.8749846827473111,3.32142038400957,204.46237580000025,None,204.46237580000025,None,204.46237580000025,None,207.8109330000002,209.8127110999999,207.8123827799999,209.8127110999999,209.8127110999999,None,z,0,1.8939197999998214,207.8109330000002,None,207.8109330000002,None,207.8109330000002,None,None,207.8109330000002,None,0,0,0.42857142857142855,211.71785640000007,None,211.71785640000007,None,211.71785640000007,None,None,211.71785640000007,None,,,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,2.67601812978374,0.789129602716002,213.71228930000007,None,213.71228930000007,None,213.71228930000007,None,214.5290917000002,216.52890260000004,214.52943967999988,None,216.52890260000004,None,z,0,3.7155015999996976,214.5290917000002,None,214.5290917000002,None,214.5290917000002,None,None,214.5290917000002,None,0,0,0.4,219.21484950000013,None,219.21484950000013,None,219.21484950000013,None,None,219.21484950000013,None,,,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.15,4.30975216432768,3.27418780206312,221.22960980000016,None,221.22960980000016,None,221.22960980000016,None,224.52999249999993,226.52947519999998,224.5292554800002,226.52947519999998,226.52947519999998,None,z,0,4.682290700000067,224.52999249999993,None,224.52999249999993,None,224.52999249999993,None,None,224.52999249999993,None,0,0,0.375,230.86410430000024,None,230.86410430000024,None,230.86410430000024,None,None,230.86410430000024,None,,,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,2,0,1,0,0.5,2.24205805775432,1.53162701008885,232.86254039999994,None,232.86254039999994,None,232.86254039999994,None,234.39902600000005,236.41296710000006,234.41220198000008,236.41296710000006,236.37952799999994,238.62950660000024,z,1,3.5296371999997973,234.39902600000005,None,234.39902600000005,None,234.39902600000005,None,None,234.39902600000005,None,1,0,0.4117647058823529,238.66724669999985,None,238.66724669999985,None,238.66724669999985,None,None,238.66724669999985,None,,,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,4.21669271035117,1.75396267962373,240.66256870000007,None,240.66256870000007,None,240.66256870000007,None,242.44863579999992,244.4628502999999,242.44603597999992,244.4461338000001,244.4461338000001,248.66284799999994,b,0,2.3731943999996474,242.44863579999992,None,242.44863579999992,None,242.44863579999992,None,None,242.44863579999992,None,0,0,0.3888888888888889,248.70136880000018,None,248.70136880000018,None,248.70136880000018,None,None,248.70136880000018,None,,,,,,,,,,,,,,,,,,,CBC_P027,001,4,3,1,0.8,2023-04-05_14h07.04.127,AV_prob,2022.1.1,60.365586062303,
