trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_8.rt,response.rt,allKeys.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,4.30975216432768,3.38809030570968,264.6335345999996,None,264.6335345999996,None,264.6335345999996,None,268.03125676000093,268.04795336000063,z,['z'],270.03738929999963,None,270.03738929999963,None,270.03738929999963,None,None,,270.03738929999963,None,None,270.03738929999963,None,z,1.4367814999986877,1,1,0.3684210526315789,274.3858875999995,None,274.3858875999995,None,274.3858875999995,None,None,274.3858875999995,None,,1.4367814999986877,[1.4367814999986877],,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,2.24205805775432,1.31360018091897,276.46448170000076,None,276.46448170000076,None,276.46448170000076,None,277.7811292599996,277.79755305999936,b,['b'],279.7861646000001,None,279.7861646000001,None,279.7861646000001,None,None,,279.7861646000001,None,None,279.7861646000001,None,b,1.945965900000374,0,0,0.35,282.06483819999994,None,282.06483819999994,None,282.06483819999994,None,None,282.06483819999994,None,,1.945965900000374,[1.945965900000374],,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.35,1.887650177272661,1.44889042899439,284.14765719999923,None,284.14765719999923,None,284.14765719999923,None,285.5976568599996,285.6141947600005,None,[],287.60085170000093,None,287.60085170000093,None,287.60085170000093,None,b,0.25313850000020466,287.60085170000093,None,None,287.60085170000093,None,b,2.2531385000002047,1,1,0.38095238095238093,289.5344956000008,None,289.5344956000008,None,289.5344956000008,None,None,289.5344956000008,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0.35,4.19624908154748,2.50277407648956,291.62178909999966,None,291.62178909999966,None,291.62178909999966,None,294.1313139600003,294.1480896600002,None,[],296.13577989999976,None,296.13577989999976,None,296.13577989999976,None,z,0.2937167000000045,296.13577989999976,None,None,296.13577989999976,None,z,2.2937167000000045,0,1,0.36363636363636365,300.36621209999976,None,300.36621209999976,None,300.36621209999976,None,None,300.36621209999976,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,2,0,1,0,0.5,2.39750191607,1.2479618399002,302.45802000000003,None,302.45802000000003,None,302.45802000000003,None,303.71440335999944,303.7310288599998,z,['z'],305.72180260000096,None,305.72180260000096,None,305.72180260000096,None,None,,305.72180260000096,None,None,305.72180260000096,None,z,1.1455065999998624,1,0,0.391304347826087,308.16665009999997,None,308.16665009999997,None,308.16665009999997,None,None,308.16665009999997,None,,1.1455065999998624,[1.1455065999998624],,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,1,2,1,0,0.5,3.04482772403364,0.977134614530179,310.25349129999995,None,310.25349129999995,None,310.25349129999995,None,311.2315550599993,311.2480601599997,b,['b'],313.2359508999998,None,313.2359508999998,None,313.2359508999998,None,None,,313.2359508999998,None,None,313.2359508999998,None,b,1.7065140000013344,0,1,0.375,316.3163084000007,None,316.3163084000007,None,316.3163084000007,None,None,316.3163084000007,None,,1.7065140000013344,[1.7065140000013344],,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0.5,2.74209998091573,3.26446861731854,318.3989572999999,None,318.3989572999999,None,318.3989572999999,None,321.66436915999986,321.68166605999943,b,['b'],323.67319150000003,None,323.67319150000003,None,323.67319150000003,None,None,,323.67319150000003,None,None,323.67319150000003,None,b,1.7155120000006718,0,0,0.36,326.4491374999998,None,326.4491374999998,None,326.4491374999998,None,None,326.4491374999998,None,,1.7155120000006718,[1.7155120000006718],,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,4.33462955345931,2.40738395932908,328.53605029999926,None,328.53605029999926,None,328.53605029999926,None,330.94816436000076,330.9649357600007,b,['b'],332.9536939999998,None,332.9536939999998,None,332.9536939999998,None,None,,332.9536939999998,None,None,332.9536939999998,None,b,1.041933099999369,1,1,0.38461538461538464,337.3326290999994,None,337.3326290999994,None,337.3326290999994,None,None,337.3326290999994,None,,1.041933099999369,[1.041933099999369],,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.15,2.0889201672230797,1.53162701008885,339.41705700000057,None,339.41705700000057,None,339.41705700000057,None,340.94800566000015,340.9648997599994,b,['b'],342.95452680000017,None,342.95452680000017,None,342.95452680000017,None,None,,342.95452680000017,None,None,342.95452680000017,None,b,1.810947900001338,1,1,0.4074074074074074,345.08016510000016,None,345.08016510000016,None,345.08016510000016,None,None,345.08016510000016,None,,1.810947900001338,[1.810947900001338],,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,3.62250581484608,2.5736109380813,347.16661770000064,None,347.16661770000064,None,347.16661770000064,None,349.74810365999986,349.76468845999955,b,['b'],351.75377950000075,None,351.75377950000075,None,351.75377950000075,None,None,,351.75377950000075,None,None,351.75377950000075,None,b,0.9390217000000121,1,1,0.42857142857142855,355.415154100001,None,355.415154100001,None,355.415154100001,None,None,355.415154100001,None,,0.9390217000000121,[0.9390217000000121],,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.35,1.556335756354144,0.971483558655564,357.50103130000025,None,357.50103130000025,None,357.50103130000025,None,358.48171995999985,358.49831675999997,z,['z'],360.48651810000047,None,360.48651810000047,None,360.48651810000047,None,None,,360.48651810000047,None,None,360.48651810000047,None,z,1.4185130000005302,0,0,0.41379310344827586,362.0827571000009,None,362.0827571000009,None,362.0827571000009,None,None,362.0827571000009,None,,1.4185130000005302,[1.4185130000005302],,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.0845750455934002,1.41191114387976,364.1691635999996,None,364.1691635999996,None,364.1691635999996,None,365.58118025999977,365.597937260001,z,['z'],367.58747089999997,None,367.58747089999997,None,367.58747089999997,None,None,,367.58747089999997,None,None,367.58747089999997,None,z,1.3100102999997034,1,1,0.43333333333333335,369.7167169000004,None,369.7167169000004,None,369.7167169000004,None,None,369.7167169000004,None,,1.3100102999997034,[1.3100102999997034],,,,,,,,,,,,,,,,,,,,CBC_P012,001,set2,set1,1,0.7,2023-03-24_15h55.51.100,TV_prob,2022.1.1,59.954051215122966,
