trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_11.started,fixationCross_11.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_6.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,34.92122349999772,None,34.92122349999772,None,space,3.705147400003625,35.11219379999966,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P036,002,set2,set2,1,0.9,2024-05-16_15h22.58.280,AV_prob,2022.1.1,60.07052279359529,
,,,,,,,,,,,,38.84544889999961,None,t,59.975842300002114,38.84544889999961,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P036,002,set2,set2,1,0.9,2024-05-16_15h22.58.280,AV_prob,2022.1.1,60.07052279359529,
0,0,0,0,,,,,,,,,,,,,,,98.84553099999903,None,98.84553099999903,None,98.84553099999903,None,0,1,1,1,0.5,2.27810873521582,1.31360018091897,99.74575550000009,None,99.74575550000009,None,99.74575550000009,None,101.10929529999703,103.17898499999865,101.11243440000034,None,103.16238169999997,104.16189759999907,104.17775649999749,None,z,1,2.338772600003722,101.10929529999703,None,101.10929529999703,None,101.10929529999703,None,None,101.10929529999703,106.39589799999885,1,1,1.0,106.50785739999992,None,106.50785739999992,None,106.50785739999992,None,None,106.50785739999992,None,,,,,,,,,,,,,,,,,,,CBC_P036,002,set2,set2,1,0.9,2024-05-16_15h22.58.280,AV_prob,2022.1.1,60.07052279359529,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.35,0.671897605000652,1.91520730139263,108.47908809999717,None,108.47908809999717,None,108.47908809999717,None,110.40695929999856,112.47914179999862,110.41228659999905,None,112.46248569999807,113.46249220000027,113.46249220000027,None,z,0,1.6024294000017107,110.40695929999856,None,110.40695929999856,None,110.40695929999856,None,None,110.40695929999856,114.07872229999703,0,0,0.5,114.16327779999847,None,114.16327779999847,None,114.16327779999847,None,None,114.16327779999847,None,,,,,,,,,,,,,,,,,,,CBC_P036,002,set2,set2,1,0.9,2024-05-16_15h22.58.280,AV_prob,2022.1.1,60.07052279359529,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.35,0.887650177272661,1.29306073609301,116.1624716999977,None,116.1624716999977,None,116.1624716999977,None,117.4795008000001,119.54483699999764,117.47939489999698,None,119.54483699999764,120.54605269999956,120.54605269999956,None,b,1,2.404721900002187,117.4795008000001,None,117.4795008000001,None,117.4795008000001,None,None,117.4795008000001,121.37947010000062,1,1,0.6666666666666666,121.4688490999979,None,121.4688490999979,None,121.4688490999979,None,None,121.4688490999979,None,,,,,,,,,,,,,,,,,,,CBC_P036,002,set2,set2,1,0.9,2024-05-16_15h22.58.280,AV_prob,2022.1.1,60.07052279359529,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,0.595506577165096,1.08604824075189,123.4624533999995,None,123.4624533999995,None,123.4624533999995,None,124.56560220000028,126.64602349999768,124.57822319999758,None,126.61252979999699,127.61245029999918,127.61245029999918,128.21257609999884,z,1,1.693211000001611,124.56560220000028,None,124.56560220000028,None,124.56560220000028,None,None,124.56560220000028,128.16273219999857,1,1,0.75,128.24664289999782,None,128.24664289999782,None,128.24664289999782,None,None,128.24664289999782,None,,,,,,,,,,,,,,,,,,,CBC_P036,002,set2,set2,1,0.9,2024-05-16_15h22.58.280,AV_prob,2022.1.1,60.07052279359529,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,1.39750191607,2.3497497577282,130.24584909999976,None,130.24584909999976,None,130.24584909999976,None,132.59701209999912,134.66270330000043,132.59476899999717,None,134.66270330000043,135.66273619999993,135.66273619999993,None,z,1,2.527672899999743,132.59701209999912,None,132.59701209999912,None,132.59701209999912,None,None,132.59701209999912,136.99592549999943,1,1,0.8,137.07544479999706,None,137.07544479999706,None,137.07544479999706,None,None,137.07544479999706,None,,,,,,,,,,,,,,,,,,,CBC_P036,002,set2,set2,1,0.9,2024-05-16_15h22.58.280,AV_prob,2022.1.1,60.07052279359529,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.35,2.62250581484608,0.789129602716002,139.07915049999792,None,139.07915049999792,None,139.07915049999792,None,139.88545410000006,141.96234149999873,139.8956136999979,None,141.9455304999974,142.9448169999996,142.9448169999996,None,b,1,2.445656100000633,139.88545410000006,None,139.88545410000006,None,139.88545410000006,None,None,139.88545410000006,145.51256689999718,1,1,0.8333333333333334,145.59366489999957,None,145.59366489999957,None,145.59366489999957,None,None,145.59366489999957,None,,,,,,,,,,,,,,,,,,,CBC_P036,002,set2,set2,1,0.9,2024-05-16_15h22.58.280,AV_prob,2022.1.1,60.07052279359529,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.35,0.543156518078604,1.75396267962373,147.5952705999989,None,147.5952705999989,None,147.5952705999989,None,149.37870909999765,151.44624629999817,149.37949469999802,None,151.44624629999817,152.4458608999994,152.4458608999994,None,b,1,2.470600300002843,149.37870909999765,None,149.37870909999765,None,149.37870909999765,None,None,149.37870909999765,152.92840989999968,1,0,0.8571428571428571,152.9999831999994,None,152.9999831999994,None,152.9999831999994,None,None,152.9999831999994,None,,,,,,,,,,,,,,,,,,,CBC_P036,002,set2,set2,1,0.9,2024-05-16_15h22.58.280,AV_prob,2022.1.1,60.07052279359529,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,1.07848335619451,1.08099245958022,155.01252699999895,None,155.01252699999895,None,155.01252699999895,None,156.1125151999986,158.17841430000044,156.11283569999722,None,158.17841430000044,159.17978279999807,159.17978279999807,None,b,0,1.7696370000048773,156.1125151999986,None,156.1125151999986,None,156.1125151999986,None,None,156.1125151999986,160.19608069999958,0,0,0.75,160.27815389999887,None,160.27815389999887,None,160.27815389999887,None,None,160.27815389999887,None,,,,,,,,,,,,,,,,,,,CBC_P036,002,set2,set2,1,0.9,2024-05-16_15h22.58.280,AV_prob,2022.1.1,60.07052279359529,
