trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_11.started,fixationCross_11.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_6.rt,get_keys_7.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,32.71819310000046,None,32.71819310000046,None,b,0.8880081999996037,32.90751250000085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P034,002,set4,set4,2,0.8,2024-05-16_11h50.22.223,AV_prob,2022.1.1,59.98818232789982,
,,,,,,,,,,,,33.82388280000032,None,t,60.247307399999954,33.82388280000032,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P034,002,set4,set4,2,0.8,2024-05-16_11h50.22.223,AV_prob,2022.1.1,59.98818232789982,
0,0,0,0,,,,,,,,,,,,,,,94.0908201000002,None,94.0908201000002,None,94.0908201000002,None,1,0,0,1,0.15,0.595506577165096,3.38809030570968,94.99052019999999,None,94.99052019999999,None,94.99052019999999,None,98.55321410000033,100.62387500000023,98.5574174399997,None,100.60716850000063,101.60743180000009,101.60743180000009,102.20788940000057,b,0,1.7782827999999427,98.55321410000033,None,98.55321410000033,None,98.55321410000033,None,None,98.55321410000033,102.15751750000072,0,0,0.0,102.27361890000066,None,102.27361890000066,None,102.27361890000066,None,None,102.27361890000066,None,,,,,,,,,,,,,,,,,,,,CBC_P034,002,set4,set4,2,0.8,2024-05-16_11h50.22.223,AV_prob,2022.1.1,59.98818232789982,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,1.20890463823153,2.23299083390853,104.3242409000004,None,104.3242409000004,None,104.3242409000004,None,106.64861650000057,108.72417930000029,106.64058053999979,None,108.70722310000019,109.70760289999998,109.70760289999998,None,b,1,1.2009271000006265,106.64861650000057,None,106.64861650000057,None,106.64861650000057,None,None,106.64861650000057,110.8577079000006,1,1,0.5,110.94910290000007,None,110.94910290000007,None,110.94910290000007,None,None,110.94910290000007,None,,,,,,,,,,,,,,,,,,,,CBC_P034,002,set4,set4,2,0.8,2024-05-16_11h50.22.223,AV_prob,2022.1.1,59.98818232789982,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,1.74209998091573,1.2479618399002,113.02425680000033,None,113.02425680000033,None,113.02425680000033,None,114.32208420000006,116.39138950000051,114.32422066,None,116.39138950000051,117.39081700000042,117.39081700000042,None,b,1,1.1518764999991618,114.32208420000006,None,114.32208420000006,None,114.32208420000006,None,None,114.32208420000006,119.0746906000004,1,1,0.6666666666666666,119.16119940000044,None,119.16119940000044,None,119.16119940000044,None,None,119.16119940000044,None,,,,,,,,,,,,,,,,,,,,CBC_P034,002,set4,set4,2,0.8,2024-05-16_11h50.22.223,AV_prob,2022.1.1,59.98818232789982,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.15,1.23248806235745,3.27418780206312,121.24099710000064,None,121.24099710000064,None,121.24099710000064,None,124.58829770000011,126.6573883000001,124.59055110000008,None,126.64092360000086,127.64095690000067,127.64095690000067,128.8745254000005,z,1,1.8628428000001804,124.58829770000011,None,124.58829770000011,None,124.58829770000011,None,None,124.58829770000011,128.82442410000021,1,1,0.75,128.91402470000048,None,128.91402470000048,None,128.91402470000048,None,None,128.91402470000048,None,,,,,,,,,,,,,,,,,,,,CBC_P034,002,set4,set4,2,0.8,2024-05-16_11h50.22.223,AV_prob,2022.1.1,59.98818232789982,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.35,0.671897605000652,1.41191114387976,130.99105670000063,None,130.99105670000063,None,130.99105670000063,None,132.42638800000077,134.4910931000004,132.42461678000075,None,134.4910931000004,135.4907073000004,135.4907073000004,None,b,0,2.5434800000002724,132.42638800000077,None,132.42638800000077,None,132.42638800000077,None,None,132.42638800000077,136.10780580000028,0,0,0.6,136.1924327000006,None,136.1924327000006,None,136.1924327000006,None,None,136.1924327000006,None,,,,,,,,,,,,,,,,,,,,CBC_P034,002,set4,set4,2,0.8,2024-05-16_11h50.22.223,AV_prob,2022.1.1,59.98818232789982,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0.5,0.109698721182561,0.971483558655564,138.2744442000003,None,138.2744442000003,None,138.2744442000003,None,139.27480660000037,141.34130230000028,139.2746509800005,None,141.34130230000028,142.34107680000034,142.34107680000034,None,b,1,2.4727553000002445,139.27480660000037,None,139.27480660000037,None,139.27480660000037,None,None,139.27480660000037,142.39132710000013,1,0,0.6666666666666666,142.47427050000078,None,142.47427050000078,None,142.47427050000078,None,None,142.47427050000078,None,,,,,,,,,,,,,,,,,,,,CBC_P034,002,set4,set4,2,0.8,2024-05-16_11h50.22.223,AV_prob,2022.1.1,59.98818232789982,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,1.94912276105146,0.977134614530179,144.55733050000072,None,144.55733050000072,None,144.55733050000072,None,145.5597561000004,147.64087950000066,145.55759197999998,None,147.62429040000006,148.62421320000067,148.62421320000067,None,b,1,1.5751064999994924,145.5597561000004,None,145.5597561000004,None,145.5597561000004,None,None,145.5597561000004,150.52420090000032,1,1,0.7142857142857143,150.5974036000007,None,150.5974036000007,None,150.5974036000007,None,None,150.5974036000007,None,,,,,,,,,,,,,,,,,,,,CBC_P034,002,set4,set4,2,0.8,2024-05-16_11h50.22.223,AV_prob,2022.1.1,59.98818232789982,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,2.88444949943153,2.23439856631263,152.6742180000001,None,152.6742180000001,None,152.6742180000001,None,154.92728500000067,157.00777480000033,154.92453358000023,None,156.99110700000074,157.9909434000001,157.9909434000001,None,z,1,2.178058499999679,154.92728500000067,None,154.92728500000067,None,154.92728500000067,None,None,154.92728500000067,160.8245919000001,1,1,0.75,160.91445030000068,None,160.91445030000068,None,160.91445030000068,None,None,160.91445030000068,None,,,,,,,,,,,,,,,,,,,,CBC_P034,002,set4,set4,2,0.8,2024-05-16_11h50.22.223,AV_prob,2022.1.1,59.98818232789982,
