trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response.rt,allKeys.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [1-4],FB probability,date,expName,psychopyVersion,frameRate,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,1.8749846827473111,2.93536812882172,320.77317050000056,None,320.77317050000056,None,320.77317050000056,None,323.72269097000134,z,['z'],325.77908840000237,None,325.77908840000237,None,325.77908840000237,None,None,,325.77908840000237,None,None,325.77908840000237,None,z,1.7347910999960732,1,1,0.7083333333333334,327.68774060000214,None,327.68774060000214,None,327.68774060000214,None,None,327.68774060000214,None,1.7347910999960732,[1.7347910999960732],,,,,,,,,,,,,,,,,,,,CBC_P010,001,set4,set1,2,0.7,2023-03-17_17h25.45.699,TV_prob,2022.1.1,59.9720290464815,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0.35,1.899747326335302,1.29306073609301,329.77207030000136,None,329.77207030000136,None,329.77207030000136,None,331.07211497000134,z,['z'],333.12895050000225,None,333.12895050000225,None,333.12895050000225,None,None,,333.12895050000225,None,None,333.12895050000225,None,z,1.3250056999968365,1,0,0.72,335.07301480000024,None,335.07301480000024,None,335.07301480000024,None,None,335.07301480000024,None,1.3250056999968365,[1.3250056999968365],,,,,,,,,,,,,,,,,,,,CBC_P010,001,set4,set1,2,0.7,2023-03-17_17h25.45.699,TV_prob,2022.1.1,59.9720290464815,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,3.95666246474662,2.10833202116216,337.15364899999986,None,337.15364899999986,None,337.15364899999986,None,339.2724958699993,None,[],341.32869260000007,None,341.32869260000007,None,341.32869260000007,None,b,0.16728389999843785,341.32869260000007,None,None,341.32869260000007,None,b,2.167283899998438,1,1,0.7307692307692307,345.32364710000184,None,345.32364710000184,None,345.32364710000184,None,None,345.32364710000184,None,,,,,,,,,,,,,,,,,,,,,,CBC_P010,001,set4,set1,2,0.7,2023-03-17_17h25.45.699,TV_prob,2022.1.1,59.9720290464815,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0.5,2.74209998091573,2.3497497577282,347.407811699999,None,347.407811699999,None,347.407811699999,None,349.7726185700023,b,['b'],351.8277328000004,None,351.8277328000004,None,351.8277328000004,None,None,,351.8277328000004,None,None,351.8277328000004,None,b,1.2394569999996747,1,0,0.7407407407407407,354.60996760000126,None,354.60996760000126,None,354.60996760000126,None,None,354.60996760000126,None,1.2394569999996747,[1.2394569999996747],,,,,,,,,,,,,,,,,,,,CBC_P010,001,set4,set1,2,0.7,2023-03-17_17h25.45.699,TV_prob,2022.1.1,59.9720290464815,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,2,1,0,0,0.15,2.3725274662429303,2.5736109380813,356.6935669000013,None,356.6935669000013,None,356.6935669000013,None,359.27226506999904,z,['z'],361.33003440000175,None,361.33003440000175,None,361.33003440000175,None,None,,361.33003440000175,None,None,361.33003440000175,None,z,2.0025475999973423,1,0,0.75,363.7389660000008,None,363.7389660000008,None,363.7389660000008,None,None,363.7389660000008,None,2.0025475999973423,[2.0025475999973423],,,,,,,,,,,,,,,,,,,,CBC_P010,001,set4,set1,2,0.7,2023-03-17_17h25.45.699,TV_prob,2022.1.1,59.9720290464815,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.35,1.2199655720291709,1.14263865585167,365.82837660000223,None,365.82837660000223,None,365.82837660000223,None,366.97253807000124,z,['z'],369.02881440000056,None,369.02881440000056,None,369.02881440000056,None,None,,369.02881440000056,None,None,369.02881440000056,None,z,1.7110524999952759,1,1,0.7586206896551724,370.2913886999995,None,370.2913886999995,None,370.2913886999995,None,None,370.2913886999995,None,1.7110524999952759,[1.7110524999952759],,,,,,,,,,,,,,,,,,,,CBC_P010,001,set4,set1,2,0.7,2023-03-17_17h25.45.699,TV_prob,2022.1.1,59.9720290464815,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,1.543156518078604,1.53162701008885,372.377941499999,None,372.377941499999,None,372.377941499999,None,373.92265587000037,z,['z'],375.9798425000008,None,375.9798425000008,None,375.9798425000008,None,None,,375.9798425000008,None,None,375.9798425000008,None,z,1.5678823999987799,1,1,0.7666666666666667,377.5593109000001,None,377.5593109000001,None,377.5593109000001,None,None,377.5593109000001,None,1.5678823999987799,[1.5678823999987799],,,,,,,,,,,,,,,,,,,,CBC_P010,001,set4,set1,2,0.7,2023-03-17_17h25.45.699,TV_prob,2022.1.1,59.9720290464815,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,1.556335756354144,2.96222466864387,379.64496230000077,None,379.64496230000077,None,379.64496230000077,None,382.6227240700002,b,['b'],384.6790012999991,None,384.6790012999991,None,384.6790012999991,None,None,,384.6790012999991,None,None,384.6790012999991,None,b,1.259104100001423,1,1,0.7741935483870968,386.27185160000226,None,386.27185160000226,None,386.27185160000226,None,None,386.27185160000226,None,1.259104100001423,[1.259104100001423],,,,,,,,,,,,,,,,,,,,CBC_P010,001,set4,set1,2,0.7,2023-03-17_17h25.45.699,TV_prob,2022.1.1,59.9720290464815,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,2.24205805775432,1.2479618399002,388.35331700000097,None,388.35331700000097,None,388.35331700000097,None,389.606006170002,b,['b'],391.66458839999905,None,391.66458839999905,None,391.66458839999905,None,None,,391.66458839999905,None,None,391.66458839999905,None,b,1.3330435999960173,1,1,0.78125,393.9392411000008,None,393.9392411000008,None,393.9392411000008,None,None,393.9392411000008,None,1.3330435999960173,[1.3330435999960173],,,,,,,,,,,,,,,,,,,,CBC_P010,001,set4,set1,2,0.7,2023-03-17_17h25.45.699,TV_prob,2022.1.1,59.9720290464815,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,1.758742575863891,1.08604824075189,396.02357050000137,None,396.02357050000137,None,396.02357050000137,None,397.12276827000204,b,['b'],399.17939620000107,None,399.17939620000107,None,399.17939620000107,None,None,,399.17939620000107,None,None,399.17939620000107,None,b,1.5940575999957218,1,1,0.7878787878787878,400.97188599999936,None,400.97188599999936,None,400.97188599999936,None,None,400.97188599999936,None,1.5940575999957218,[1.5940575999957218],,,,,,,,,,,,,,,,,,,,CBC_P010,001,set4,set1,2,0.7,2023-03-17_17h25.45.699,TV_prob,2022.1.1,59.9720290464815,
