trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_6.rt,get_keys_7.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,22.727174200001173,None,22.727174200001173,None,z,1.9721013999987917,22.92192029999933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P020,002,set3,set3,3,0.7,2023-03-31_18h19.39.958,AV_prob,2022.1.1,60.005964592891395,
,,,,,,,,,,,,24.921637600000395,None,t,54.66809970000031,24.921637600000395,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P020,002,set3,set3,3,0.7,2023-03-31_18h19.39.958,AV_prob,2022.1.1,60.005964592891395,
0,0,0,0,,,,,,,,,,,,,,,79.62117800000124,None,79.62117800000124,None,79.62117800000124,None,2,2,1,1,0.5,2.23248806235745,1.14263865585167,80.52178790000107,None,80.52178790000107,None,80.52178790000107,None,81.71522620000178,83.72175740000239,81.72194984000235,None,83.70579319999888,85.93867780000073,z,1,2.3550372999998217,81.71522620000178,None,81.71522620000178,None,81.71522620000178,None,None,81.71522620000178,None,1,1,1.0,86.0080866999997,None,86.0080866999997,None,86.0080866999997,None,None,86.0080866999997,None,,,,,,,,,,,,,,,,,,,,CBC_P020,002,set3,set3,3,0.7,2023-03-31_18h19.39.958,AV_prob,2022.1.1,60.005964592891395,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,2.27860294189526,2.12802719374523,87.9718142999991,None,87.9718142999991,None,87.9718142999991,None,90.12542050000047,92.13815460000114,90.12201372000055,None,92.12191390000226,None,z,1,1.3099297000007937,90.12542050000047,None,90.12542050000047,None,90.12542050000047,None,None,90.12542050000047,None,1,1,1.0,94.42585770000005,None,94.42585770000005,None,94.42585770000005,None,None,94.42585770000005,None,,,,,,,,,,,,,,,,,,,,CBC_P020,002,set3,set3,3,0.7,2023-03-31_18h19.39.958,AV_prob,2022.1.1,60.005964592891395,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.15,1.6105816849230599,2.40738395932908,96.42179609999948,None,96.42179609999948,None,96.42179609999948,None,98.85651950000101,100.87191689999963,98.85544792000002,100.85527899999943,100.85527899999943,None,b,1,1.2036138999974355,98.85651950000101,None,98.85651950000101,None,98.85651950000101,None,None,98.85651950000101,None,1,1,1.0,102.47638129999905,None,102.47638129999905,None,102.47638129999905,None,None,102.47638129999905,None,,,,,,,,,,,,,,,,,,,,CBC_P020,002,set3,set3,3,0.7,2023-03-31_18h19.39.958,AV_prob,2022.1.1,60.005964592891395,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,2.0845750455934002,2.93536812882172,104.48861469999974,None,104.48861469999974,None,104.48861469999974,None,107.45373889999973,109.45539040000222,107.4553397200005,None,109.45539040000222,None,b,1,1.1936200999989524,107.45373889999973,111.53878890000124,107.45373889999973,111.53878890000124,107.45373889999973,111.53878890000124,None,107.45373889999973,111.53878890000124,1,1,1.0,111.577114300002,None,111.577114300002,None,111.577114300002,None,None,111.577114300002,None,,,,,,,,,,,,,,,,,,,,CBC_P020,002,set3,set3,3,0.7,2023-03-31_18h19.39.958,AV_prob,2022.1.1,60.005964592891395,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,2,0,0,0.35,1.109698721182561,1.37809841776001,113.57225820000167,None,113.57225820000167,None,113.57225820000167,None,114.9730367000011,116.97257620000164,114.97229132000285,116.97257620000164,116.97257620000164,None,b,1,1.1972792000015033,114.9730367000011,None,114.9730367000011,None,114.9730367000011,None,None,114.9730367000011,None,1,0,1.0,118.09185380000054,None,118.09185380000054,None,118.09185380000054,None,None,118.09185380000054,None,,,,,,,,,,,,,,,,,,,,CBC_P020,002,set3,set3,3,0.7,2023-03-31_18h19.39.958,AV_prob,2022.1.1,60.005964592891395,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0.35,2.24205805775432,2.23439856631263,120.10525540000162,None,120.10525540000162,None,120.10525540000162,None,122.35493019999922,124.35547570000199,122.35548822000129,124.35547570000199,124.35547570000199,None,b,1,1.659857099999499,122.35493019999922,None,122.35493019999922,None,122.35493019999922,None,None,122.35493019999922,None,1,0,1.0,126.62256419999903,None,126.62256419999903,None,126.62256419999903,None,None,126.62256419999903,None,,,,,,,,,,,,,,,,,,,,CBC_P020,002,set3,set3,3,0.7,2023-03-31_18h19.39.958,AV_prob,2022.1.1,60.005964592891395,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,4.33462955345931,2.7570014520733,128.62196989999939,None,128.62196989999939,None,128.62196989999939,None,131.4065773000002,133.42182289999982,131.40559722000108,None,133.40453550000166,137.73889509999935,z,1,0.8758369999995921,131.4065773000002,None,131.4065773000002,None,131.4065773000002,None,None,131.4065773000002,None,1,1,1.0,137.7800707000024,None,137.7800707000024,None,137.7800707000024,None,None,137.7800707000024,None,,,,,,,,,,,,,,,,,,,,CBC_P020,002,set3,set3,3,0.7,2023-03-31_18h19.39.958,AV_prob,2022.1.1,60.005964592891395,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,2.2089046382315303,1.53162701008885,139.77277420000246,None,139.77277420000246,None,139.77277420000246,None,141.3061228000006,143.30566380000164,141.30478966000047,143.30566380000164,143.30566380000164,None,z,1,2.558875899998384,141.3061228000006,None,141.3061228000006,None,141.3061228000006,None,None,141.3061228000006,None,1,1,1.0,145.54152450000038,None,145.54152450000038,None,145.54152450000038,None,None,145.54152450000038,None,,,,,,,,,,,,,,,,,,,,CBC_P020,002,set3,set3,3,0.7,2023-03-31_18h19.39.958,AV_prob,2022.1.1,60.005964592891395,
