trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response_runs.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,4.33462955345931,2.64870493261766,395.9921117999993,None,395.9921117999993,None,395.9921117999993,None,398.65867199999957,400.65914579999935,398.6591110599993,400.65914579999935,400.65914579999935,None,z,1,398.65867199999957,404.9925463999998,398.65867199999957,404.9925463999998,398.65867199999957,404.9925463999998,None,398.65867199999957,404.9925463999998,1,1,0.8275862068965517,405.0276163999997,None,405.0276163999997,None,405.0276163999997,None,None,405.0276163999997,None,0.9399956999995993,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,2.94912276105146,1.29306073609301,407.02566839999963,None,407.02566839999963,None,407.02566839999963,None,408.3417976999999,410.3431118999997,408.3427417599996,410.3431118999997,410.3431118999997,None,z,1,408.3417976999999,None,408.3417976999999,None,408.3417976999999,None,None,408.3417976999999,None,1,1,0.8333333333333334,413.3058438999997,None,413.3058438999997,None,413.3058438999997,None,None,413.3058438999997,None,1.0030350000006365,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0.35,1.2199655720291709,1.48342455087402,415.3090621000001,None,415.3090621000001,None,415.3090621000001,None,416.80868069999997,418.80917299999965,416.8091107599994,418.80917299999965,418.80917299999965,None,b,1,416.80868069999997,None,416.80868069999997,None,416.80868069999997,None,None,416.80868069999997,None,1,0,0.8387096774193549,420.0616180999996,None,420.0616180999996,None,420.0616180999996,None,None,420.0616180999996,None,1.0239691999995557,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.15,1.6105816849230599,1.31360018091897,422.05919319999975,None,422.05919319999975,None,422.05919319999975,None,423.3903550999994,425.3925128000001,423.39271975999964,425.3925128000001,425.3925128000001,None,b,1,423.3903550999994,None,423.3903550999994,None,423.3903550999994,None,None,423.3903550999994,None,1,1,0.84375,427.0266437999999,None,427.0266437999999,None,427.0266437999999,None,None,427.0266437999999,None,1.0403929999993125,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,3.27810873521582,2.5736109380813,429.0257772999994,None,429.0257772999994,None,429.0257772999994,None,431.6278448999992,433.64264169999933,431.6257709599995,433.6257751999992,433.6257751999992,None,z,1,431.6278448999992,None,431.6278448999992,None,431.6278448999992,None,None,431.6278448999992,None,1,1,0.8484848484848485,436.92350970000007,None,436.92350970000007,None,436.92350970000007,None,None,436.92350970000007,None,1.287805699999808,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,2.67601812978374,2.50277407648956,438.92570309999974,None,438.92570309999974,None,438.92570309999974,None,441.4558391999999,443.4592431000001,441.4592473599996,443.4592431000001,443.4592431000001,None,z,1,441.4558391999999,None,441.4558391999999,None,441.4558391999999,None,None,441.4558391999999,None,1,1,0.8529411764705882,446.16305889999967,None,446.16305889999967,None,446.16305889999967,None,None,446.16305889999967,None,1.3604142000003776,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,4.19624908154748,1.55403782363402,448.15909009999996,None,448.15909009999996,None,448.15909009999996,None,449.7434752999998,451.7427313999997,449.74354095999934,451.7427313999997,451.7427313999997,None,b,1,449.7434752999998,None,449.7434752999998,None,449.7434752999998,None,None,449.7434752999998,None,1,1,0.8571428571428571,455.96027289999984,None,455.96027289999984,None,455.96027289999984,None,None,455.96027289999984,None,0.9812154000001101,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,4.30975216432768,2.96222466864387,457.9594766,None,457.9594766,None,457.9594766,None,460.94328379999934,462.9432330999998,460.94273945999976,462.9432330999998,462.9432330999998,None,b,1,460.94328379999934,None,460.94328379999934,None,460.94328379999934,None,None,460.94328379999934,None,1,1,0.8611111111111112,467.28065100000003,None,467.28065100000003,None,467.28065100000003,None,None,467.28065100000003,None,0.9542672999996284,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.15,3.62250581484608,2.23439856631263,469.27605049999966,None,469.27605049999966,None,469.27605049999966,None,471.52799569999934,473.54276690000006,471.5264222599999,473.5261359999995,473.5261359999995,None,b,1,471.52799569999934,None,471.52799569999934,None,471.52799569999934,None,None,471.52799569999934,None,1,1,0.8648648648648649,477.1787614999994,None,477.1787614999994,None,477.1787614999994,None,None,477.1787614999994,None,1.3759207000002789,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,3.50182449656669,0.971483558655564,479.17588309999974,None,479.17588309999974,None,479.17588309999974,None,480.1745914999992,482.1761016999999,480.1761584599999,482.1761016999999,482.1761016999999,None,z,1,480.1745914999992,485.6760310999998,480.1745914999992,485.6760310999998,480.1745914999992,485.6760310999998,None,480.1745914999992,485.6760310999998,1,1,0.868421052631579,485.7100762,None,485.7100762,None,485.7100762,None,None,485.7100762,None,1.1034022999992885,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,1.326293484834196,1.2479618399002,487.7092217999998,None,487.7092217999998,None,487.7092217999998,None,488.9783459,490.9929642999996,488.9762637599997,490.97611699999925,490.97611699999925,None,z,1,488.9783459,None,488.9783459,None,488.9783459,None,None,488.9783459,None,1,1,0.8717948717948718,492.3309399,None,492.3309399,None,492.3309399,None,None,492.3309399,None,1.2035357000004296,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,3.86983191325091,2.10833202116216,494.32626189999974,None,494.32626189999974,None,494.32626189999974,None,496.4617527999999,498.4762348999993,496.45975545999954,None,498.4595122999999,None,z,1,496.4617527999999,None,496.4617527999999,None,496.4617527999999,None,None,496.4617527999999,None,1,1,0.875,502.3594045,None,502.3594045,None,502.3594045,None,None,502.3594045,None,0.9492442999999184,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,2.0845750455934002,1.14263865585167,504.3595233999995,None,504.3595233999995,None,504.3595233999995,None,505.5279061000001,507.54292050000004,505.5265119599999,507.52624560000004,507.52624560000004,None,b,1,505.5279061000001,None,505.5279061000001,None,505.5279061000001,None,None,505.5279061000001,None,1,1,0.8780487804878049,509.64764579999974,None,509.64764579999974,None,509.64764579999974,None,None,509.64764579999974,None,0.887155200000052,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,1.905730910449904,2.93536812882172,511.64283389999946,None,511.64283389999946,None,511.64283389999946,None,514.6030714999997,516.6098099000001,514.6092368599993,516.6098099000001,516.5927956999994,None,b,1,514.6030714999997,None,514.6030714999997,None,514.6030714999997,None,None,514.6030714999997,None,1,1,0.8809523809523809,518.5300902999998,None,518.5300902999998,None,518.5300902999998,None,None,518.5300902999998,None,1.1214161999996577,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520.5263601999995,None,525.5265473,None,525.5265473,None,None,525.5265473,None,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,z,b,2,2,0.6428571428571429,0.9999999999999999,1.0,,,,,,,,,,,
