trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response_runs.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,1.109698721182561,2.07121332922762,219.8747397999996,None,219.8747397999996,None,219.8747397999996,None,221.9615176999996,223.97473929999978,221.97415456,None,223.94200659999933,225.05824940000002,b,0,221.9615176999996,None,221.9615176999996,None,221.9615176999996,None,None,221.9615176999996,None,0,0,0.5555555555555556,225.09494639999957,None,225.09494639999957,None,225.09494639999957,None,None,225.09494639999957,None,1.5853282999996736,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,3.95666246474662,1.08604824075189,227.09101069999997,None,227.09101069999997,None,227.09101069999997,None,228.2090558,230.20847030000004,228.20825135999985,230.20847030000004,230.20847030000004,None,z,1,228.2090558,None,228.2090558,None,228.2090558,None,None,228.2090558,None,1,1,0.6,234.1990526999998,None,234.1990526999998,None,234.1990526999998,None,None,234.1990526999998,None,1.2786950999998226,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0.5,1.543156518078604,1.37809841776001,236.19142779999947,None,236.19142779999947,None,236.19142779999947,None,237.5742513999994,239.57476679999945,237.57421577999958,None,239.57476679999945,None,z,1,237.5742513999994,None,237.5742513999994,None,237.5742513999994,None,None,237.5742513999994,None,1,0,0.6363636363636364,241.14778419999948,None,241.14778419999948,None,241.14778419999948,None,None,241.14778419999948,None,1.2097588000005999,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,2.39750191607,2.40738395932908,243.14132449999943,None,243.14132449999943,None,243.14132449999943,None,245.57376119999935,247.57411799999954,245.57530335999945,None,247.57411799999954,None,b,1,245.57376119999935,None,245.57376119999935,None,245.57376119999935,None,None,245.57376119999935,None,1,1,0.6666666666666666,249.99412549999943,None,249.99412549999943,None,249.99412549999943,None,None,249.99412549999943,None,1.327621200000067,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.15,3.88444949943153,1.08099245958022,251.99147139999968,None,251.99147139999968,None,251.99147139999968,None,253.07512459999998,255.07499069999994,253.07408648,None,255.07499069999994,None,z,0,253.07512459999998,None,253.07512459999998,None,253.07512459999998,None,None,253.07512459999998,None,0,0,0.6153846153846154,258.9964149999996,None,258.9964149999996,None,258.9964149999996,None,None,258.9964149999996,None,2.3137707999994745,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.15,2.91771467486041,3.32142038400957,260.99161099999947,None,260.99161099999947,None,260.99161099999947,None,264.33976939999957,266.3416297999993,264.34159636000004,None,266.3416297999993,None,b,1,264.33976939999957,None,264.33976939999957,None,264.33976939999957,None,None,264.33976939999957,None,1,1,0.6428571428571429,269.28039179999996,None,269.28039179999996,None,269.28039179999996,None,None,269.28039179999996,None,1.4493596000002071,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.3725274662429303,3.26446861731854,271.2749471999996,None,271.2749471999996,None,271.2749471999996,None,274.5592964999996,276.55821429999924,274.5586518599994,None,276.55821429999924,None,z,1,274.5592964999996,None,274.5592964999996,None,274.5592964999996,None,None,274.5592964999996,None,1,1,0.6666666666666666,278.95937929999945,None,278.95937929999945,None,278.95937929999945,None,None,278.95937929999945,None,1.3168745000002673,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,2.74209998091573,2.23299083390853,280.9580884999996,None,280.9580884999996,None,280.9580884999996,None,283.20729289999963,285.2085290999994,283.20843325999977,None,285.2085290999994,None,z,1,283.20729289999963,None,283.20729289999963,None,283.20729289999963,None,None,283.20729289999963,None,1,1,0.6875,287.9745192999999,None,287.9745192999999,None,287.9745192999999,None,None,287.9745192999999,None,2.210733099999743,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,4.21669271035117,1.84422310959985,289.9750576999995,None,289.9750576999995,None,289.9750576999995,None,291.8418701999999,293.84114339999996,291.84178255999996,293.84114339999996,293.84114339999996,None,b,1,291.8418701999999,None,291.8418701999999,None,291.8418701999999,None,None,291.8418701999999,None,1,1,0.7058823529411765,298.0796182999993,None,298.0796182999993,None,298.0796182999993,None,None,298.0796182999993,None,1.2767088999999032,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.15,4.1766095715889495,3.27418780206312,300.07515779999994,None,300.07515779999994,None,300.07515779999994,None,303.3727452999992,305.37522629999967,303.37518335999994,None,305.37522629999967,None,b,1,303.3727452999992,None,303.3727452999992,None,303.3727452999992,None,None,303.3727452999992,None,1,1,0.7222222222222222,309.5762860999994,None,309.5762860999994,None,309.5762860999994,None,None,309.5762860999994,None,0.9884516000001895,,,,,,,,,,,,,,,,,,CBC_P017,001,set2,set3,0,0.9,2023-03-31_15h00.39.413,AV_prob,2022.1.1,59.98519565369822,
