trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,response.keys,allKeys.keys,response.rt,allKeys.rt,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response2.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [1-4],FB probability,date,expName,psychopyVersion,frameRate,
,,,,36.10245889999351,None,36.10245889999351,None,b,4.3335838000057265,36.29048369999509,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P005,002,set1,set1,3,0.9,2023-03-15_17h48.53.126,TV_prob,2022.1.1,59.98019453995338,
,,,,,,,,,,,,40.64059989999805,None,t,56.173510200002056,40.64059989999805,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P005,002,set1,set1,3,0.9,2023-03-15_17h48.53.126,TV_prob,2022.1.1,59.98019453995338,
0,0,0,0,,,,,,,,,,,,,,,96.84059219999472,None,96.84059219999472,None,96.84059219999472,None,2,0,1,1,0.5,2.11780998338946,2.07121332922762,97.86056059999828,None,97.86056059999828,None,97.86056059999828,None,99.9410220799975,b,['b'],2.187282900005812,[2.187282900005812],102.39208569999755,None,102.39208569999755,None,102.39208569999755,None,None,102.39208569999755,None,None,102.39208569999755,None,b,2.187282900005812,1,1,1.0,104.58825459999935,None,104.58825459999935,None,104.58825459999935,None,None,104.58825459999935,None,,,,,,,,,,,,,,,,,,,,,CBC_P005,002,set1,set1,3,0.9,2023-03-15_17h48.53.126,TV_prob,2022.1.1,59.98019453995338,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,3.62250581484608,1.37809841776001,106.70459529999789,None,106.70459529999789,None,106.70459529999789,None,108.09085897999394,b,['b'],0.9508939000079408,[0.9508939000079408],110.14556939999602,None,110.14556939999602,None,110.14556939999602,None,None,110.14556939999602,None,None,110.14556939999602,None,b,0.9508939000079408,1,1,1.0,113.8074925999972,None,113.8074925999972,None,113.8074925999972,None,None,113.8074925999972,None,,,,,,,,,,,,,,,,,,,,,CBC_P005,002,set1,set1,3,0.9,2023-03-15_17h48.53.126,TV_prob,2022.1.1,59.98019453995338,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.15,2.23248806235745,2.5736109380813,115.90255469999829,None,115.90255469999829,None,115.90255469999829,None,118.4910753799988,b,['b'],1.3363607000064803,[1.3363607000064803],120.5470176999952,None,120.5470176999952,None,120.5470176999952,None,None,120.5470176999952,None,None,120.5470176999952,None,b,1.3363607000064803,0,0,0.6666666666666666,122.82183369999984,None,122.82183369999984,None,122.82183369999984,None,None,122.82183369999984,None,,,,,,,,,,,,,,,,,,,,,CBC_P005,002,set1,set1,3,0.9,2023-03-15_17h48.53.126,TV_prob,2022.1.1,59.98019453995338,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.35,1.556335756354144,2.40738395932908,124.88176009999734,None,124.88176009999734,None,124.88176009999734,None,127.29092907999366,b,['b'],1.2384822000094573,[1.2384822000094573],129.34874429999763,None,129.34874429999763,None,129.34874429999763,None,None,129.34874429999763,None,None,129.34874429999763,None,b,1.2384822000094573,0,0,0.5,130.94072589999996,None,130.94072589999996,None,130.94072589999996,None,None,130.94072589999996,None,,,,,,,,,,,,,,,,,,,,,CBC_P005,002,set1,set1,3,0.9,2023-03-15_17h48.53.126,TV_prob,2022.1.1,59.98019453995338,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,4.33462955345931,1.55403782363402,133.02354550000018,None,133.02354550000018,None,133.02354550000018,None,134.59069548000042,b,['b'],1.4111716000043089,[1.4111716000043089],136.65419899999688,None,136.65419899999688,None,136.65419899999688,None,None,136.65419899999688,None,None,136.65419899999688,None,b,1.4111716000043089,0,0,0.4,141.0237438999975,None,141.0237438999975,None,141.0237438999975,None,None,141.0237438999975,None,,,,,,,,,,,,,,,,,,,,,CBC_P005,002,set1,set1,3,0.9,2023-03-15_17h48.53.126,TV_prob,2022.1.1,59.98019453995338,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.35,4.1766095715889495,2.29713937746779,143.08125029999792,None,143.08125029999792,None,143.08125029999792,None,145.39013927999548,z,['z'],1.1764364000046044,[1.1764364000046044],147.43904249999468,None,147.43904249999468,None,147.43904249999468,None,None,147.43904249999468,None,None,147.43904249999468,None,z,1.1764364000046044,1,1,0.5,151.65769599999476,None,151.65769599999476,None,151.65769599999476,None,None,151.65769599999476,None,,,,,,,,,,,,,,,,,,,,,CBC_P005,002,set1,set1,3,0.9,2023-03-15_17h48.53.126,TV_prob,2022.1.1,59.98019453995338,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,1,2,1,0,0.5,1.8749846827473111,3.27666037293199,153.7407693999994,None,153.7407693999994,None,153.7407693999994,None,157.0247563799996,z,['z'],1.7751310000021476,[1.7751310000021476],159.0803481999974,None,159.0803481999974,None,159.0803481999974,None,None,159.0803481999974,None,None,159.0803481999974,None,z,1.7751310000021476,0,1,0.42857142857142855,160.96072459999414,None,160.96072459999414,None,160.96072459999414,None,None,160.96072459999414,None,,,,,,,,,,,,,,,,,,,,,CBC_P005,002,set1,set1,3,0.9,2023-03-15_17h48.53.126,TV_prob,2022.1.1,59.98019453995338,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0.5,3.04482772403364,1.75396267962373,163.07344069999817,None,163.07344069999817,None,163.07344069999817,None,164.84109467999878,b,['b'],1.6398659000115003,[1.6398659000115003],166.89622229999804,None,166.89622229999804,None,166.89622229999804,None,None,166.89622229999804,None,None,166.89622229999804,None,b,1.6398659000115003,1,1,0.5,169.97431320000032,None,169.97431320000032,None,169.97431320000032,None,None,169.97431320000032,None,,,,,,,,,,,,,,,,,,,,,CBC_P005,002,set1,set1,3,0.9,2023-03-15_17h48.53.126,TV_prob,2022.1.1,59.98019453995338,
