trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response.rt,allKeys.rt,get_keys_8.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [1-4],FB probability,date,expName,psychopyVersion,frameRate,
,,,,38.66027459999896,None,38.66027459999896,None,z,1.6951410000037868,38.84348039999895,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P007,002,set2,set2,2,0.8,2023-03-17_14h24.26.428,TV_prob,2022.1.1,59.99998800034758,
,,,,,,,,,,,,40.55974010000136,None,t,62.037493600000744,40.55974010000136,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P007,002,set2,set2,2,0.8,2023-03-17_14h24.26.428,TV_prob,2022.1.1,59.99998800034758,
0,0,0,0,,,,,,,,,,,,,,,102.62665600000037,None,102.62665600000037,None,102.62665600000037,None,1,1,0,1,0.15,4.21669271035117,1.37809841776001,103.65839100000085,None,103.65839100000085,None,103.65839100000085,None,105.04313607999975,None,[],107.57976319999943,None,107.57976319999943,None,107.57976319999943,None,b,0.2621837000006053,107.57976319999943,None,None,107.57976319999943,None,b,2.2621837000006053,1,1,1.0,111.87855839999975,None,111.87855839999975,None,111.87855839999975,None,None,111.87855839999975,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P007,002,set2,set2,2,0.8,2023-03-17_14h24.26.428,TV_prob,2022.1.1,59.99998800034758,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,2,1,0,0.5,2.0784833561945097,2.49579389304826,114.0016641000002,None,114.0016641000002,None,114.0016641000002,None,116.50936677999962,None,[],118.5562084000012,None,118.5562084000012,None,118.5562084000012,None,b,0.3892048000016075,118.5562084000012,None,None,118.5562084000012,None,b,2.3892048000016075,0,1,0.5,120.67821619999813,None,120.67821619999813,None,120.67821619999813,None,None,120.67821619999813,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P007,002,set2,set2,2,0.8,2023-03-17_14h24.26.428,TV_prob,2022.1.1,59.99998800034758,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0.5,1.543156518078604,0.789129602716002,122.77815819999887,None,122.77815819999887,None,122.77815819999887,None,123.5768868800009,None,[],125.6302758999991,None,125.6302758999991,None,125.6302758999991,None,z,0.3403704000011203,125.6302758999991,None,None,125.6302758999991,None,z,2.3403704000011203,1,0,0.6666666666666666,127.21074709999812,None,127.21074709999812,None,127.21074709999812,None,None,127.21074709999812,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P007,002,set2,set2,2,0.8,2023-03-17_14h24.26.428,TV_prob,2022.1.1,59.99998800034758,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.15,2.39750191607,1.48342455087402,129.26728269999876,None,129.26728269999876,None,129.26728269999876,None,130.76028568000075,None,[],132.81394269999873,None,132.81394269999873,None,132.81394269999873,None,z,0.45327220000035595,132.81394269999873,None,None,132.81394269999873,None,z,2.453272200000356,0,0,0.5,135.2620171999988,None,135.2620171999988,None,135.2620171999988,None,None,135.2620171999988,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P007,002,set2,set2,2,0.8,2023-03-17_14h24.26.428,TV_prob,2022.1.1,59.99998800034758,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.35,2.0889201672230797,2.10833202116216,137.34120690000054,None,137.34120690000054,None,137.34120690000054,None,139.4601294800017,None,[],141.51395200000115,None,141.51395200000115,None,141.51395200000115,None,b,0.2816634000009799,141.51395200000115,None,None,141.51395200000115,None,b,2.28166340000098,1,1,0.6,143.64658899999995,None,143.64658899999995,None,143.64658899999995,None,None,143.64658899999995,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P007,002,set2,set2,2,0.8,2023-03-17_14h24.26.428,TV_prob,2022.1.1,59.99998800034758,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0.5,1.899747326335302,2.93536812882172,145.72416359999988,None,145.72416359999988,None,145.72416359999988,None,148.66035797999976,None,[],150.71621180000147,None,150.71621180000147,None,150.71621180000147,None,z,0.373135200003162,150.71621180000147,None,None,150.71621180000147,None,z,2.373135200003162,1,1,0.6666666666666666,152.65103950000048,None,152.65103950000048,None,152.65103950000048,None,None,152.65103950000048,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P007,002,set2,set2,2,0.8,2023-03-17_14h24.26.428,TV_prob,2022.1.1,59.99998800034758,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,3.47854712582944,1.08099245958022,154.7416153999984,None,154.7416153999984,None,154.7416153999984,None,155.8271984800016,None,[],157.88267590000032,None,157.88267590000032,None,157.88267590000032,None,z,0.37483509999947273,157.88267590000032,None,None,157.88267590000032,None,z,2.3748350999994727,1,1,0.7142857142857143,161.41144050000003,None,161.41144050000003,None,161.41144050000003,None,None,161.41144050000003,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P007,002,set2,set2,2,0.8,2023-03-17_14h24.26.428,TV_prob,2022.1.1,59.99998800034758,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.35,4.26803291533611,0.971483558655564,163.4901659999996,None,163.4901659999996,None,163.4901659999996,None,164.4768535799998,None,[],166.53632129999824,None,166.53632129999824,None,166.53632129999824,None,b,0.3035273000023153,166.53632129999824,None,None,166.53632129999824,None,b,2.3035273000023153,1,1,0.75,170.84356190000108,None,170.84356190000108,None,170.84356190000108,None,None,170.84356190000108,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P007,002,set2,set2,2,0.8,2023-03-17_14h24.26.428,TV_prob,2022.1.1,59.99998800034758,
