trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,response.rt,allKeys.rt,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_8.rt,get_keys_7.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.rt,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.35,2.3725274662429303,1.75396267962373,243.13445150000007,None,243.13445150000007,None,243.13445150000007,None,244.89510501000086,244.91089481000063,b,['b'],1.0056887999990067,[1.0056887999990067],246.89268560000073,None,246.89268560000073,None,246.89268560000073,None,None,,246.89268560000073,None,None,246.89268560000073,None,b,1.0056887999990067,1,1,0.85,249.31032440000035,None,249.31032440000035,None,249.31032440000035,None,None,249.31032440000035,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0.5,1.543156518078604,2.50277407648956,251.32591570000022,None,251.32591570000022,None,251.32591570000022,None,253.84438531000023,253.86110121000047,b,['b'],1.0127264999991894,[1.0127264999991894],255.8353747000001,None,255.8353747000001,None,255.8353747000001,None,None,,255.8353747000001,None,None,255.8353747000001,None,b,1.0127264999991894,0,0,0.8095238095238095,257.4114945000001,None,257.4114945000001,None,257.4114945000001,None,None,257.4114945000001,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.35,2.91771467486041,1.31360018091897,259.42638980000083,None,259.42638980000083,None,259.42638980000083,None,260.7448384100003,260.7611049100001,b,['b'],0.9868846999997913,[0.9868846999997913],262.7454389000004,None,262.7454389000004,None,262.7454389000004,None,None,,262.7454389000004,None,None,262.7454389000004,None,b,0.9868846999997913,1,1,0.8181818181818182,265.7136001000008,None,265.7136001000008,None,265.7136001000008,None,None,265.7136001000008,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0.5,1.326293484834196,2.64870493261766,267.72524800000065,None,267.72524800000065,None,267.72524800000065,None,270.37818251,270.39458341,None,[],,,272.37578180000037,None,272.37578180000037,None,272.37578180000037,None,z,0.024436099999547878,272.37578180000037,None,None,272.37578180000037,None,z,2.024436099999548,1,1,0.8260869565217391,273.7373873000006,None,273.7373873000006,None,273.7373873000006,None,None,273.7373873000006,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,3.62250581484608,1.84422310959985,275.7583585000002,None,275.7583585000002,None,275.7583585000002,None,277.6116809100008,277.62835251000024,z,['z'],1.726037799999176,[1.726037799999176],279.60950930000035,None,279.60950930000035,None,279.60950930000035,None,None,,279.60950930000035,None,None,279.60950930000035,None,z,1.726037799999176,1,1,0.8333333333333334,283.2770876000004,None,283.2770876000004,None,283.2770876000004,None,None,283.2770876000004,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.35,3.04482772403364,1.91520730139263,285.2910243000006,None,285.2910243000006,None,285.2910243000006,None,287.2113767100004,287.2279848100002,b,['b'],1.238297099999727,[1.238297099999727],289.2031080000006,None,289.2031080000006,None,289.2031080000006,None,None,,289.2031080000006,None,None,289.2031080000006,None,b,1.238297099999727,1,1,0.84,292.2934202000006,None,292.2934202000006,None,292.2934202000006,None,None,292.2934202000006,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.35,2.67601812978374,1.41191114387976,294.2923971,None,294.2923971,None,294.2923971,None,295.7116905100006,295.7281291100003,b,['b'],1.9032026999993832,[1.9032026999993832],297.70726770000056,None,297.70726770000056,None,297.70726770000056,None,None,,297.70726770000056,None,None,297.70726770000056,None,b,1.9032026999993832,1,1,0.8461538461538461,300.4272266000007,None,300.4272266000007,None,300.4272266000007,None,None,300.4272266000007,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,1.109698721182561,3.38809030570968,302.41500500000075,None,302.41500500000075,None,302.41500500000075,None,305.8114293100002,305.82817621000004,z,['z'],1.0848562999999558,[1.0848562999999558],307.81009840000024,None,307.81009840000024,None,307.81009840000024,None,None,,307.81009840000024,None,None,307.81009840000024,None,z,1.0848562999999558,1,1,0.8518518518518519,308.95741140000064,None,308.95741140000064,None,308.95741140000064,None,None,308.95741140000064,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0.5,4.26803291533611,2.96222466864387,310.9757225000003,None,310.9757225000003,None,310.9757225000003,None,313.94487871000047,313.9614213100008,z,['z'],1.623571199998878,[1.623571199998878],315.9418854000005,None,315.9418854000005,None,315.9418854000005,None,None,,315.9418854000005,None,None,315.9418854000005,None,z,1.623571199998878,1,0,0.8571428571428571,320.21679910000057,None,320.21679910000057,None,320.21679910000057,None,None,320.21679910000057,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,4.19624908154748,2.23439856631263,322.2261582000001,None,322.2261582000001,None,322.2261582000001,None,324.4617765100006,324.4784818100002,None,[],,,326.4601451000008,None,326.4601451000008,None,326.4601451000008,None,z,0.03147199999966688,326.4601451000008,None,None,326.4601451000008,None,z,2.031471999999667,1,1,0.8620689655172413,330.6965727000006,None,330.6965727000006,None,330.6965727000006,None,None,330.6965727000006,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.15,2.0845750455934002,3.27666037293199,332.69576140000026,None,332.69576140000026,None,332.69576140000026,None,335.97832361000064,335.9946909100004,b,['b'],1.5923441999993884,[1.5923441999993884],337.96961850000025,None,337.96961850000025,None,337.96961850000025,None,None,,337.96961850000025,None,None,337.96961850000025,None,b,1.5923441999993884,1,1,0.8666666666666667,340.0937255000008,None,340.0937255000008,None,340.0937255000008,None,None,340.0937255000008,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,1.6105816849230599,1.29306073609301,342.11338290000003,None,342.11338290000003,None,342.11338290000003,None,343.41171481000083,343.42837800999996,z,['z'],1.8630011999994167,[1.8630011999994167],345.4082877000001,None,345.4082877000001,None,345.4082877000001,None,None,,345.4082877000001,None,None,345.4082877000001,None,z,1.8630011999994167,1,1,0.8709677419354839,347.06087170000046,None,347.06087170000046,None,347.06087170000046,None,None,347.06087170000046,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P017,002,set3,set1,3,0.9,2023-03-31_15h08.21.412,TV_prob,2022.1.1,60.025162548229545,
