trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response.rt,allKeys.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,2,1,0,0,0.15,3.86983191325091,2.40738395932908,893.7152883000017,None,893.7152883000017,None,893.7152883000017,None,896.1218381700015,896.1386527700012,b,['b'],898.111774500001,None,898.111774500001,None,898.111774500001,None,None,,898.111774500001,None,None,898.111774500001,None,b,1.2560383000018192,1,0,0.6666666666666666,902.0011379999996,None,902.0011379999996,None,902.0011379999996,None,None,902.0011379999996,None,1.2560383000018192,[1.2560383000018192],,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,1.543156518078604,1.08604824075189,904.0137699000006,None,904.0137699000006,None,904.0137699000006,None,905.1054999700024,905.1219941699998,None,[],907.0990058999996,None,907.0990058999996,None,907.0990058999996,None,b,0.2849647000002733,907.0990058999996,None,None,907.0990058999996,None,b,2.2849647000002733,1,1,0.6842105263157895,908.6847020999994,None,908.6847020999994,None,908.6847020999994,None,None,908.6847020999994,None,,,,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0.5,1.109698721182561,1.55403782363402,910.6976993999997,None,910.6976993999997,None,910.6976993999997,None,912.2553245699997,912.2718108700025,None,[],914.2464289000018,None,914.2464289000018,None,914.2464289000018,None,z,0.016872700001840713,914.2464289000018,None,None,914.2464289000018,None,z,2.0168727000018407,1,0,0.7,915.4005008999993,None,915.4005008999993,None,915.4005008999993,None,None,915.4005008999993,None,,,,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,3.62250581484608,1.84422310959985,917.4183794000019,None,917.4183794000019,None,917.4183794000019,None,919.271991270001,919.2887530700024,None,[],921.2656258999996,None,921.2656258999996,None,921.2656258999996,None,z,0.3471797999991395,921.2656258999996,None,None,921.2656258999996,None,z,2.3471797999991395,1,1,0.7142857142857143,924.9143146999995,None,924.9143146999995,None,924.9143146999995,None,None,924.9143146999995,None,,,,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0.5,2.94912276105146,1.53162701008885,926.9345677000019,None,926.9345677000019,None,926.9345677000019,None,928.4720415699991,928.4888467699999,z,['z'],930.4664961000017,None,930.4664961000017,None,930.4664961000017,None,None,,930.4664961000017,None,None,930.4664961000017,None,z,1.629753500001243,1,0,0.7272727272727273,933.4511653000009,None,933.4511653000009,None,933.4511653000009,None,None,933.4511653000009,None,1.629753500001243,[1.629753500001243],,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.15,1.6105816849230599,2.12802719374523,935.4677233000002,None,935.4677233000002,None,935.4677233000002,None,937.6054729700005,937.6214761700027,None,[],939.5951654000019,None,939.5951654000019,None,939.5951654000019,None,b,0.33246710000094026,939.5951654000019,None,None,939.5951654000019,None,b,2.3324671000009403,1,1,0.7391304347826086,941.2349796000017,None,941.2349796000017,None,941.2349796000017,None,None,941.2349796000017,None,,,,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,3.50182449656669,2.29713937746779,943.2488986999997,None,943.2488986999997,None,943.2488986999997,None,945.5557488699993,945.5723123700005,b,['b'],947.5456362000004,None,947.5456362000004,None,947.5456362000004,None,None,,947.5456362000004,None,None,947.5456362000004,None,b,1.7380346999998437,0,0,0.7083333333333334,951.0904319000001,None,951.0904319000001,None,951.0904319000001,None,None,951.0904319000001,None,1.7380346999998437,[1.7380346999998437],,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0.35,3.95666246474662,2.50277407648956,953.1051535000006,None,953.1051535000006,None,953.1051535000006,None,955.6224168700024,955.6389000699997,None,[],957.6201204000026,None,957.6201204000026,None,957.6201204000026,None,b,0.625077799999417,957.6201204000026,None,None,957.6201204000026,None,b,2.625077799999417,1,0,0.72,961.6200473000026,None,961.6200473000026,None,961.6200473000026,None,None,961.6200473000026,None,,,,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,3.47854712582944,1.91520730139263,963.6379836000015,None,963.6379836000015,None,963.6379836000015,None,965.555947370001,965.5725196700001,z,['z'],967.5549453999993,None,967.5549453999993,None,967.5549453999993,None,None,,967.5549453999993,None,None,967.5549453999993,None,z,1.6679422999986855,0,0,0.6923076923076923,971.0693208000012,None,971.0693208000012,None,971.0693208000012,None,None,971.0693208000012,None,1.6679422999986855,[1.6679422999986855],,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,2.0845750455934002,1.48342455087402,973.0895993000013,None,973.0895993000013,None,973.0895993000013,None,974.5725373700003,974.5892943700015,None,[],976.5701098000027,None,976.5701098000027,None,976.5701098000027,None,b,0.2260738000004494,976.5701098000027,None,None,976.5701098000027,None,b,2.2260738000004494,1,1,0.7037037037037037,978.6907317000005,None,978.6907317000005,None,978.6907317000005,None,None,978.6907317000005,None,,,,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,1.326293484834196,2.49579389304826,980.7020484000022,None,980.7020484000022,None,980.7020484000022,None,983.2059612699992,983.2226330699992,None,[],985.2035477000027,None,985.2035477000027,None,985.2035477000027,None,z,0.09216819999710424,985.2035477000027,None,None,985.2035477000027,None,z,2.0921681999971042,1,1,0.7142857142857143,986.5725727000026,None,986.5725727000026,None,986.5725727000026,None,None,986.5725727000026,None,,,,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0.5,1.595506577165096,2.10833202116216,988.5863816000019,None,988.5863816000019,None,988.5863816000019,None,990.7059219700019,990.7225655700018,None,[],992.6988730000012,None,992.6988730000012,None,992.6988730000012,None,z,0.2166973000021244,992.6988730000012,None,None,992.6988730000012,None,z,2.2166973000021244,1,0,0.7241379310344828,994.3395801000006,None,994.3395801000006,None,994.3395801000006,None,None,994.3395801000006,None,,,,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,2.2089046382315303,1.29306073609301,996.3527195000024,None,996.3527195000024,None,996.3527195000024,None,997.6559814700009,997.6727149700015,z,['z'],999.6550188000001,None,999.6550188000001,None,999.6550188000001,None,None,,999.6550188000001,None,None,999.6550188000001,None,z,1.2648751999986416,1,1,0.7333333333333333,1001.9057143999999,None,1001.9057143999999,None,1001.9057143999999,None,None,1001.9057143999999,None,1.2648751999986416,[1.2648751999986416],,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,3.27810873521582,1.44889042899439,1003.9191530999997,None,1003.9191530999997,None,1003.9191530999997,None,1005.3726867700021,1005.389476169999,None,[],1007.3721272000003,None,1007.3721272000003,None,1007.3721272000003,None,z,0.21967900000163354,1007.3721272000003,None,None,1007.3721272000003,None,z,2.2196790000016335,0,0,0.7096774193548387,1010.6877084000007,None,1010.6877084000007,None,1010.6877084000007,None,None,1010.6877084000007,None,,,,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.15,1.887650177272661,3.27418780206312,1012.701933700002,None,1012.701933700002,None,1012.701933700002,None,1015.9893134699993,1016.0059951700019,None,[],1017.9844895999995,None,1017.9844895999995,None,1017.9844895999995,None,b,0.35994749999736086,1017.9844895999995,None,None,1017.9844895999995,None,b,2.359947499997361,1,1,0.71875,1019.9074191,None,1019.9074191,None,1019.9074191,None,None,1019.9074191,None,,,,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,3.58943852196035,1.31360018091897,1021.9203849000005,None,1021.9203849000005,None,1021.9203849000005,None,1023.2390611700026,1023.2553477700018,z,['z'],1025.2337275000027,None,1025.2337275000027,None,1025.2337275000027,None,None,,1025.2337275000027,None,None,1025.2337275000027,None,z,1.0638029000001552,1,1,0.7272727272727273,1028.8458635999996,None,1028.8458635999996,None,1028.8458635999996,None,None,1028.8458635999996,None,1.0638029000001552,[1.0638029000001552],,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,4.33462955345931,2.5736109380813,1030.8526367000013,None,1030.8526367000013,None,1030.8526367000013,None,1033.4394469700014,1033.456092570002,None,[],1035.4341042000015,None,1035.4341042000015,None,1035.4341042000015,None,b,0.8356627999964985,1035.4341042000015,None,None,1035.4341042000015,None,b,2.8356627999964985,0,0,0.7058823529411765,1039.805468800001,None,1039.805468800001,None,1039.805468800001,None,None,1039.805468800001,None,,,,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0.35,4.21669271035117,2.3497497577282,1041.8196745999994,None,1041.8196745999994,None,1041.8196745999994,None,1044.1723353699995,1044.1896132700017,None,[],1046.1691864000022,None,1046.1691864000022,None,1046.1691864000022,None,b,0.4150365999994392,1046.1691864000022,None,None,1046.1691864000022,None,b,2.415036599999439,1,0,0.7142857142857143,1050.423189600002,None,1050.423189600002,None,1050.423189600002,None,None,1050.423189600002,None,,,,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,1.905730910449904,1.14263865585167,1052.436673600001,None,1052.436673600001,None,1052.436673600001,None,1053.5900682700008,1053.6062745699996,b,['b'],1055.5877844000024,None,1055.5877844000024,None,1055.5877844000024,None,None,,1055.5877844000024,None,None,1055.5877844000024,None,b,1.1813399999991816,1,1,0.7222222222222222,1057.5395850000023,None,1057.5395850000023,None,1057.5395850000023,None,None,1057.5395850000023,None,1.1813399999991816,[1.1813399999991816],,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.15,4.26803291533611,2.07121332922762,1059.5274621000026,None,1059.5274621000026,None,1059.5274621000026,None,1061.6054838699997,1061.6220666700024,None,[],1063.5993640000015,None,1063.5993640000015,None,1063.5993640000015,None,b,0.03131270000085351,1063.5993640000015,None,None,1063.5993640000015,None,b,2.0313127000008535,1,1,0.7297297297297297,1067.9057448999993,None,1067.9057448999993,None,1067.9057448999993,None,None,1067.9057448999993,None,,,,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,1.899747326335302,1.88377296598415,1069.9197903000022,None,1069.9197903000022,None,1069.9197903000022,None,1071.8063755700018,1071.823038170001,None,[],1073.8053800000016,None,1073.8053800000016,None,1073.8053800000016,None,z,0.34824919999664417,1073.8053800000016,None,None,1073.8053800000016,None,z,2.348249199996644,1,1,0.7368421052631579,1075.7397990000027,None,1075.7397990000027,None,1075.7397990000027,None,None,1075.7397990000027,None,,,,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0.5,2.0784833561945097,2.7570014520733,1077.7550365000025,None,1077.7550365000025,None,1077.7550365000025,None,1080.523210769999,1080.5400073699998,None,[],1082.5170705000019,None,1082.5170705000019,None,1082.5170705000019,None,z,0.29171949999727076,1082.5170705000019,None,None,1082.5170705000019,None,z,2.2917194999972708,1,0,0.7435897435897436,1084.6300964000002,None,1084.6300964000002,None,1084.6300964000002,None,None,1084.6300964000002,None,,,,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,2,0,1,0,0.5,1.8749846827473111,2.64870493261766,1086.6391164000015,None,1086.6391164000015,None,1086.6391164000015,None,1089.289937770001,1089.306965170002,None,[],1091.287056600002,None,1091.287056600002,None,1091.287056600002,None,z,0.392426999998861,1091.287056600002,None,None,1091.287056600002,None,z,2.392426999998861,1,0,0.75,1093.204523700002,None,1093.204523700002,None,1093.204523700002,None,None,1093.204523700002,None,,,,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0.35,2.74209998091573,1.41191114387976,1095.1928903000007,None,1095.1928903000007,None,1095.1928903000007,None,1096.6064675699995,1096.6230371699999,z,['z'],1098.6037652000014,None,1098.6037652000014,None,1098.6037652000014,None,None,,1098.6037652000014,None,None,1098.6037652000014,None,z,1.1604654999973718,0,1,0.7317073170731707,1101.390040000002,None,1101.390040000002,None,1101.390040000002,None,None,1101.390040000002,None,1.1604654999973718,[1.1604654999973718],,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,4.30975216432768,1.08099245958022,1103.4035212000017,None,1103.4035212000017,None,1103.4035212000017,None,1104.4901736700008,1104.506567570002,None,[],1106.4874436000027,None,1106.4874436000027,None,1106.4874436000027,None,b,0.30287739999766927,1106.4874436000027,None,None,1106.4874436000027,None,b,2.3028773999976693,1,1,0.7380952380952381,1110.8366776000003,None,1110.8366776000003,None,1110.8366776000003,None,None,1110.8366776000003,None,,,,,,,,,,,,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1112.756575200001,None,1117.7567142000007,None,1117.7567142000007,None,None,1117.7567142000007,None,,,,,,,,,,,CBC_P020,001,set1,set2,0,0.7,2023-03-31_18h12.03.082,TV_prob,2022.1.1,60.00974558266348,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,z,b,2,2,1,2,0.6428571428571429,0.7857142857142857,0.7857142857142859,,,,,,,,,,,
