trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response.rt,allKeys.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [1-4 / 5-8],tactile set [1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,4.1766095715889495,0.977134614530179,158.99736399999983,None,158.99736399999983,None,158.99736399999983,None,159.98815620999957,160.00467721000004,None,[],161.98586729999988,None,161.98586729999988,None,161.98586729999988,None,z,1.2881688999996186,161.98586729999988,None,None,161.98586729999988,None,z,3.2881688999996186,1,1,1.0,166.2079464999997,None,166.2079464999997,None,166.2079464999997,None,None,166.2079464999997,None,,,,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0.5,3.95666246474662,2.96222466864387,168.2237008000002,None,168.2237008000002,None,168.2237008000002,None,171.18856301000014,171.20530930999993,None,[],173.1949526999997,None,173.1949526999997,None,173.1949526999997,None,z,1.049793000000136,173.1949526999997,None,None,173.1949526999997,None,z,3.049793000000136,1,0,1.0,177.1880715999996,None,177.1880715999996,None,177.1880715999996,None,None,177.1880715999996,None,,,,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0.5,2.74209998091573,1.73294357419019,179.2086859000001,None,179.2086859000001,None,179.2086859000001,None,180.9551584099996,180.97261991000013,None,[],182.9550379000002,None,182.9550379000002,None,182.9550379000002,None,z,0.8352594999996654,182.9550379000002,None,None,182.9550379000002,None,z,2.8352594999996654,1,0,1.0,185.71621679999953,None,185.71621679999953,None,185.71621679999953,None,None,185.71621679999953,None,,,,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,2.2089046382315303,2.50277407648956,187.74270650000017,None,187.74270650000017,None,187.74270650000017,None,190.2552573099998,190.27200970999965,b,['b'],192.26004250000005,None,192.26004250000005,None,192.26004250000005,None,None,,192.26004250000005,None,None,192.26004250000005,None,b,1.2930368999996062,1,1,1.0,194.50559819999944,None,194.50559819999944,None,194.50559819999944,None,None,194.50559819999944,None,1.2930368999996062,[1.2930368999996062],,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0.15,1.8749846827473111,2.93536812882172,196.5246857000002,None,196.5246857000002,None,196.5246857000002,None,199.4718303099995,199.4885523099998,None,[],201.47589919999973,None,201.47589919999973,None,201.47589919999973,None,b,0.0025281999996877857,201.47589919999973,None,None,201.47589919999973,None,b,2.002528199999688,1,0,1.0,203.36083690000032,None,203.36083690000032,None,203.36083690000032,None,None,203.36083690000032,None,,,,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.15,1.6105816849230599,2.49579389304826,205.3798982999997,None,205.3798982999997,None,205.3798982999997,None,207.88876710999975,207.9053838099995,b,['b'],209.89312710000013,None,209.89312710000013,None,209.89312710000013,None,None,,209.89312710000013,None,None,209.89312710000013,None,b,1.8350131000006513,1,1,1.0,211.53981289999956,None,211.53981289999956,None,211.53981289999956,None,None,211.53981289999956,None,1.8350131000006513,[1.8350131000006513],,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,3.58943852196035,3.27666037293199,213.5284429000003,None,213.5284429000003,None,213.5284429000003,None,216.8055611099995,216.82201071000017,None,[],218.80489000000034,None,218.80489000000034,None,218.80489000000034,None,b,0.20591499999954976,218.80489000000034,None,None,218.80489000000034,None,b,2.2059149999995498,0,0,0.9333333333333333,222.43880009999975,None,222.43880009999975,None,222.43880009999975,None,None,222.43880009999975,None,,,,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,1.758742575863891,2.07121332922762,224.45844190000025,None,224.45844190000025,None,224.45844190000025,None,226.5381030100003,226.55505391000005,None,[],228.53537659999984,None,228.53537659999984,None,228.53537659999984,None,b,0.21079680000002554,228.53537659999984,None,None,228.53537659999984,None,b,2.2107968000000255,0,0,0.875,230.33813779999946,None,230.33813779999946,None,230.33813779999946,None,None,230.33813779999946,None,,,,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,1.326293484834196,1.41191114387976,232.36128779999945,None,232.36128779999945,None,232.36128779999945,None,233.77222350999963,233.7890071099997,None,[],235.77576810000028,None,235.77576810000028,None,235.77576810000028,None,b,0.3255004000002373,235.77576810000028,None,None,235.77576810000028,None,b,2.3255004000002373,1,1,0.8823529411764706,237.14058769999974,None,237.14058769999974,None,237.14058769999974,None,None,237.14058769999974,None,,,,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.15,3.04482772403364,1.37809841776001,239.13259109999944,None,239.13259109999944,None,239.13259109999944,None,240.52241371,240.53882950999977,None,[],242.52743259999988,None,242.52743259999988,None,242.52743259999988,None,b,0.7698587000004409,242.52743259999988,None,None,242.52743259999988,None,b,2.769858700000441,1,1,0.8888888888888888,245.59893869999996,None,245.59893869999996,None,245.59893869999996,None,None,245.59893869999996,None,,,,,,,,,,,,,,,,,,,,,,CBC_P027,002,3,2,0,0.8,2023-04-05_14h14.43.405,TV_prob,2022.1.1,59.93726965356044,
