trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_11.started,fixationCross_11.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_6.rt,get_keys_7.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,29.977846300000238,None,29.977846300000238,None,b,2.379418500000611,30.18374760000006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P040,002,set2,set1,0,0.8,2024-05-17_18h30.00.274,AV_prob,2022.1.1,59.9855194957544,
,,,,,,,,,,,,32.58530510000128,None,t,54.18019149999964,32.58530510000128,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P040,002,set2,set1,0,0.8,2024-05-17_18h30.00.274,AV_prob,2022.1.1,59.9855194957544,
0,0,0,0,,,,,,,,,,,,,,,86.78581610000037,None,86.78581610000037,None,86.78581610000037,None,0,0,0,1,0.35,3.21669271035117,3.26446861731854,87.70116739999867,None,87.70116739999867,None,87.70116739999867,None,91.10523040000044,93.1860908000017,91.10213244000114,None,93.16905960000076,94.16958770000201,94.16958770000201,97.38544030000048,z,0,1.186677800000325,91.10523040000044,None,91.10523040000044,None,91.10523040000044,None,None,91.10523040000044,97.33562800000072,0,0,0.0,97.44638240000131,None,97.44638240000131,None,97.44638240000131,None,None,97.44638240000131,None,,,,,,,,,,,,,,,,,,,,CBC_P040,002,set2,set1,0,0.8,2024-05-17_18h30.00.274,AV_prob,2022.1.1,59.9855194957544,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,2.58943852196035,1.31360018091897,99.41875970000183,None,99.41875970000183,None,99.41875970000183,None,100.81884179999906,102.88485280000168,100.81983395999995,None,102.88485280000168,103.88584489999994,103.88584489999994,None,z,1,1.12475540000014,100.81884179999906,None,100.81884179999906,None,100.81884179999906,None,None,100.81884179999906,106.41884800000116,1,1,0.5,106.50926550000077,None,106.50926550000077,None,106.50926550000077,None,None,106.50926550000077,None,,,,,,,,,,,,,,,,,,,,CBC_P040,002,set2,set1,0,0.8,2024-05-17_18h30.00.274,AV_prob,2022.1.1,59.9855194957544,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,1.11780998338946,1.14263865585167,108.50219339999967,None,108.50219339999967,None,108.50219339999967,None,109.69727319999947,111.76932619999934,109.70205404000298,None,111.75234180000189,112.75220139999874,112.75220139999874,113.86931829999958,z,1,1.0706010999965656,109.69727319999947,None,109.69727319999947,None,109.69727319999947,None,None,109.69727319999947,113.81917410000096,1,1,0.6666666666666666,113.90798300000097,None,113.90798300000097,None,113.90798300000097,None,None,113.90798300000097,None,,,,,,,,,,,,,,,,,,,,CBC_P040,002,set2,set1,0,0.8,2024-05-17_18h30.00.274,AV_prob,2022.1.1,59.9855194957544,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,1.94912276105146,3.27666037293199,115.90230169999995,None,115.90230169999995,None,115.90230169999995,None,119.20512470000176,121.28568280000036,119.20287641999965,None,121.26898259999871,122.26911409999957,122.26911409999957,124.2190871999992,z,1,2.011726100001397,119.20512470000176,None,119.20512470000176,None,119.20512470000176,None,None,119.20512470000176,124.16907759999958,1,1,0.75,124.25979229999939,None,124.25979229999939,None,124.25979229999939,None,None,124.25979229999939,None,,,,,,,,,,,,,,,,,,,,CBC_P040,002,set2,set1,0,0.8,2024-05-17_18h30.00.274,AV_prob,2022.1.1,59.9855194957544,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,0.543156518078604,2.78012240036799,126.2521717999989,None,126.2521717999989,None,126.2521717999989,None,129.04511880000064,131.11823939999886,129.0520057200003,None,131.10124799999903,132.1023075000012,132.1023075000012,132.652545500001,b,0,2.2210450999991735,129.04511880000064,None,129.04511880000064,None,129.04511880000064,None,None,129.04511880000064,132.6021791000021,0,0,0.6,132.6942736000019,None,132.6942736000019,None,132.6942736000019,None,None,132.6942736000019,None,,,,,,,,,,,,,,,,,,,,CBC_P040,002,set2,set1,0,0.8,2024-05-17_18h30.00.274,AV_prob,2022.1.1,59.9855194957544,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,2.50182449656669,1.73294357419019,134.68566379999902,None,134.68566379999902,None,134.68566379999902,None,136.46838489999936,138.53493119999985,136.46902084000104,None,138.53493119999985,139.53588469999886,139.53588469999886,None,b,1,0.9362524000025587,136.46838489999936,142.03545920000033,136.46838489999936,142.03545920000033,136.46838489999936,142.03545920000033,None,136.46838489999936,141.9690922000009,1,1,0.6666666666666666,142.06707570000071,None,142.06707570000071,None,142.06707570000071,None,None,142.06707570000071,None,,,,,,,,,,,,,,,,,,,,CBC_P040,002,set2,set1,0,0.8,2024-05-17_18h30.00.274,AV_prob,2022.1.1,59.9855194957544,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.35,1.27860294189526,1.29306073609301,144.06876069999998,None,144.06876069999998,None,144.06876069999998,None,145.38514299999952,147.45234250000067,145.3857815200019,None,147.45234250000067,148.45229960000142,148.45229960000142,None,z,0,0.9766142999978911,145.38514299999952,None,145.38514299999952,None,145.38514299999952,None,None,145.38514299999952,149.66919250000137,0,0,0.5714285714285714,149.75306270000146,None,149.75306270000146,None,149.75306270000146,None,None,149.75306270000146,None,,,,,,,,,,,,,,,,,,,,CBC_P040,002,set2,set1,0,0.8,2024-05-17_18h30.00.274,AV_prob,2022.1.1,59.9855194957544,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,0.595506577165096,0.971483558655564,151.75225680000221,None,151.75225680000221,None,151.75225680000221,None,152.75371430000087,154.81919180000114,152.75324502000075,None,154.81919180000114,155.81913329999952,155.81913329999952,None,z,0,1.1626195999997435,152.75371430000087,None,152.75371430000087,None,152.75371430000087,None,None,152.75371430000087,156.35174560000087,0,0,0.5,156.4236912999986,None,156.4236912999986,None,156.4236912999986,None,None,156.4236912999986,None,,,,,,,,,,,,,,,,,,,,CBC_P040,002,set2,set1,0,0.8,2024-05-17_18h30.00.274,AV_prob,2022.1.1,59.9855194957544,
