trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_8.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,4.19624908154748,1.2479618399002,150.56357610000123,None,150.56357610000123,None,150.56357610000123,None,151.81086720000002,151.8275658000004,None,[],153.81802270000117,None,153.81802270000117,None,153.81802270000117,None,z,0.3294386999987182,153.81802270000117,None,None,153.81802270000117,None,z,2.329438699998718,1,1,0.7777777777777778,158.06349900000168,None,158.06349900000168,None,158.06349900000168,None,None,158.06349900000168,None,,,,,,,,,,,,,,,,,,,,,CBC_P013,2,set1,set2,2,0.7,2023-03-24_16h58.27.647,TV_prob,2022.1.1,59.98019453995338,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,2.0784833561945097,2.7570014520733,160.14422700000068,None,160.14422700000068,None,160.14422700000068,None,162.91056000000043,162.92732110000014,None,[],164.91500220000125,None,164.91500220000125,None,164.91500220000125,None,z,1.2139377999974386,164.91500220000125,None,None,164.91500220000125,None,z,3.2139377999974386,1,1,0.8,167.02634639999997,None,167.02634639999997,None,167.02634639999997,None,None,167.02634639999997,None,,,,,,,,,,,,,,,,,,,,,CBC_P013,2,set1,set2,2,0.7,2023-03-24_16h58.27.647,TV_prob,2022.1.1,59.98019453995338,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,2.2089046382315303,2.29713937746779,169.1128860000008,None,169.1128860000008,None,169.1128860000008,None,171.4110134000004,171.42730260000116,None,[],173.41610650000075,None,173.41610650000075,None,173.41610650000075,None,b,0.9585107999973843,173.41610650000075,None,None,173.41610650000075,None,b,2.9585107999973843,0,0,0.7272727272727273,175.6613526000001,None,175.6613526000001,None,175.6613526000001,None,None,175.6613526000001,None,,,,,,,,,,,,,,,,,,,,,CBC_P013,2,set1,set2,2,0.7,2023-03-24_16h58.27.647,TV_prob,2022.1.1,59.98019453995338,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.11780998338946,1.84422310959985,177.7477026000015,None,177.7477026000015,None,177.7477026000015,None,179.5942348999999,179.61095810000023,None,[],181.5982879000003,None,181.5982879000003,None,181.5982879000003,None,b,0.3360023999994155,181.5982879000003,None,None,181.5982879000003,None,b,2.3360023999994155,1,1,0.75,183.76056300000164,None,183.76056300000164,None,183.76056300000164,None,None,183.76056300000164,None,,,,,,,,,,,,,,,,,,,,,CBC_P013,2,set1,set2,2,0.7,2023-03-24_16h58.27.647,TV_prob,2022.1.1,59.98019453995338,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0.5,2.0845750455934002,0.971483558655564,185.8466997000014,None,185.8466997000014,None,185.8466997000014,None,186.82761790000058,186.8447620000008,None,[],188.83408880000025,None,188.83408880000025,None,188.83408880000025,None,b,0.7865053999976226,188.83408880000025,None,None,188.83408880000025,None,b,2.7865053999976226,1,0,0.7692307692307693,190.96138790000077,None,190.96138790000077,None,190.96138790000077,None,None,190.96138790000077,None,,,,,,,,,,,,,,,,,,,,,CBC_P013,2,set1,set2,2,0.7,2023-03-24_16h58.27.647,TV_prob,2022.1.1,59.98019453995338,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,1.899747326335302,3.27666037293199,193.04742720000104,None,193.04742720000104,None,193.04742720000104,None,196.32776240000038,196.3440921000003,None,[],198.33612690000155,None,198.33612690000155,None,198.33612690000155,None,b,0.30997449999995297,198.33612690000155,None,None,198.33612690000155,None,b,2.309974499999953,1,1,0.7857142857142857,200.2794868000001,None,200.2794868000001,None,200.2794868000001,None,None,200.2794868000001,None,,,,,,,,,,,,,,,,,,,,,CBC_P013,2,set1,set2,2,0.7,2023-03-24_16h58.27.647,TV_prob,2022.1.1,59.98019453995338,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,1.758742575863891,3.27418780206312,202.3613333000012,None,202.3613333000012,None,202.3613333000012,None,205.64431430000167,205.66092430000043,None,[],207.64952810000068,None,207.64952810000068,None,207.64952810000068,None,b,0.5351720999988174,207.64952810000068,None,None,207.64952810000068,None,b,2.5351720999988174,1,1,0.8,209.44395030000123,None,209.44395030000123,None,209.44395030000123,None,None,209.44395030000123,None,,,,,,,,,,,,,,,,,,,,,CBC_P013,2,set1,set2,2,0.7,2023-03-24_16h58.27.647,TV_prob,2022.1.1,59.98019453995338,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0.35,3.47854712582944,1.53162701008885,211.53078020000066,None,211.53078020000066,None,211.53078020000066,None,213.07739220000093,213.09417650000086,None,[],215.08030970000073,None,215.08030970000073,None,215.08030970000073,None,None,,215.08030970000073,None,['z'],215.08030970000073,None,[],[],0,3,0.75,218.59334710000076,None,218.59334710000076,None,218.59334710000076,None,None,218.59334710000076,None,[0.33096089999708056],,,,,,,,,,,,,,,,,,,,CBC_P013,2,set1,set2,2,0.7,2023-03-24_16h58.27.647,TV_prob,2022.1.1,59.98019453995338,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0.35,1.326293484834196,3.32142038400957,220.68054250000023,None,220.68054250000023,None,220.68054250000023,None,224.0111161000006,224.02845840000026,None,[],226.0156560000014,None,226.0156560000014,None,226.0156560000014,None,z,0.3731305999990582,226.0156560000014,None,None,226.0156560000014,None,z,2.373130599999058,1,0,0.7647058823529411,227.37555170000087,None,227.37555170000087,None,227.37555170000087,None,None,227.37555170000087,None,,,,,,,,,,,,,,,,,,,,,CBC_P013,2,set1,set2,2,0.7,2023-03-24_16h58.27.647,TV_prob,2022.1.1,59.98019453995338,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,1.595506577165096,1.08604824075189,229.46329660000083,None,229.46329660000083,None,229.46329660000083,None,230.56119760000018,230.57787170000137,None,[],232.56724250000116,None,232.56724250000116,None,232.56724250000116,None,z,0.3253146999995806,232.56724250000116,None,None,232.56724250000116,None,z,2.3253146999995806,1,1,0.7777777777777778,234.19724440000027,None,234.19724440000027,None,234.19724440000027,None,None,234.19724440000027,None,,,,,,,,,,,,,,,,,,,,,CBC_P013,2,set1,set2,2,0.7,2023-03-24_16h58.27.647,TV_prob,2022.1.1,59.98019453995338,
