trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response.rt,allKeys.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,1.556335756354144,2.93536812882172,169.66165159999946,None,169.66165159999946,None,169.66165159999946,None,172.60068073999864,None,[],174.65491069999916,None,174.65491069999916,None,174.65491069999916,None,z,0.2493958000013663,174.65491069999916,None,None,174.65491069999916,None,z,2.2493958000013663,1,1,0.7777777777777778,176.25426919999882,None,176.25426919999882,None,176.25426919999882,None,None,176.25426919999882,None,,,,,,,,,,,,,,,,,,,,,,CBC_P036,001,set4,set2,3,0.9,2024-05-16_15h14.30.889,TV_prob,2022.1.1,60.029198202019096,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,1.595506577165096,1.88377296598415,178.33108970000103,None,178.33108970000103,None,178.33108970000103,None,180.2165584400005,None,[],182.2649311999994,None,182.2649311999994,None,182.2649311999994,None,z,0.3239910999982385,182.2649311999994,None,None,182.2649311999994,None,z,2.3239910999982385,1,1,0.8,183.9012984000001,None,183.9012984000001,None,183.9012984000001,None,None,183.9012984000001,None,,,,,,,,,,,,,,,,,,,,,,CBC_P036,001,set4,set2,3,0.9,2024-05-16_15h14.30.889,TV_prob,2022.1.1,60.029198202019096,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,3.47854712582944,1.91520730139263,185.9807589000011,None,185.9807589000011,None,185.9807589000011,None,187.90086414000106,None,[],189.95684750000146,None,189.95684750000146,None,189.95684750000146,None,z,0.2570181000010052,189.95684750000146,None,None,189.95684750000146,None,z,2.2570181000010052,0,0,0.7272727272727273,193.4557218000009,None,193.4557218000009,None,193.4557218000009,None,None,193.4557218000009,None,,,,,,,,,,,,,,,,,,,,,,CBC_P036,001,set4,set2,3,0.9,2024-05-16_15h14.30.889,TV_prob,2022.1.1,60.029198202019096,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,3.95666246474662,0.789129602716002,195.5929032999993,None,195.5929032999993,None,195.5929032999993,None,196.3842472400007,None,[],198.4405728999991,None,198.4405728999991,None,198.4405728999991,None,b,0.4318323000006785,198.4405728999991,None,None,198.4405728999991,None,b,2.4318323000006785,1,1,0.75,202.44071959999928,None,202.44071959999928,None,202.44071959999928,None,None,202.44071959999928,None,,,,,,,,,,,,,,,,,,,,,,CBC_P036,001,set4,set2,3,0.9,2024-05-16_15h14.30.889,TV_prob,2022.1.1,60.029198202019096,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,3.88444949943153,1.2479618399002,204.49637079999957,None,204.49637079999957,None,204.49637079999957,None,205.75023203999953,None,[],207.7978593000007,None,207.7978593000007,None,207.7978593000007,None,b,0.2549819000014395,207.7978593000007,None,None,207.7978593000007,None,b,2.2549819000014395,0,0,0.6923076923076923,211.71809959999882,None,211.71809959999882,None,211.71809959999882,None,None,211.71809959999882,None,,,,,,,,,,,,,,,,,,,,,,CBC_P036,001,set4,set2,3,0.9,2024-05-16_15h14.30.889,TV_prob,2022.1.1,60.029198202019096,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.15,1.109698721182561,1.14263865585167,213.79861050000181,None,213.79861050000181,None,213.79861050000181,None,214.95097594000035,None,[],217.00688549999904,None,217.00688549999904,None,217.00688549999904,None,b,0.1684821999988344,217.00688549999904,None,None,217.00688549999904,None,b,2.1684821999988344,1,1,0.7142857142857143,218.15550770000118,None,218.15550770000118,None,218.15550770000118,None,None,218.15550770000118,None,,,,,,,,,,,,,,,,,,,,,,CBC_P036,001,set4,set2,3,0.9,2024-05-16_15h14.30.889,TV_prob,2022.1.1,60.029198202019096,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.15,2.3725274662429303,2.49579389304826,220.23033679999935,None,220.23033679999935,None,220.23033679999935,None,222.73467174000106,None,[],224.7921477000018,None,224.7921477000018,None,224.7921477000018,None,z,0.1990860000005341,224.7921477000018,None,None,224.7921477000018,None,z,2.199086000000534,0,0,0.6666666666666666,227.20174970000153,None,227.20174970000153,None,227.20174970000153,None,None,227.20174970000153,None,,,,,,,,,,,,,,,,,,,,,,CBC_P036,001,set4,set2,3,0.9,2024-05-16_15h14.30.889,TV_prob,2022.1.1,60.029198202019096,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.15,2.0889201672230797,1.53162701008885,229.2808503999986,None,229.2808503999986,None,229.2808503999986,None,230.8169353399986,None,[],232.87084550000145,None,232.87084550000145,None,232.87084550000145,None,z,0.3244473000013386,232.87084550000145,None,None,232.87084550000145,None,z,2.3244473000013386,0,0,0.625,234.9984031999993,None,234.9984031999993,None,234.9984031999993,None,None,234.9984031999993,None,,,,,,,,,,,,,,,,,,,,,,CBC_P036,001,set4,set2,3,0.9,2024-05-16_15h14.30.889,TV_prob,2022.1.1,60.029198202019096,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,1.758742575863891,1.37809841776001,237.13143150000178,None,237.13143150000178,None,237.13143150000178,None,238.51780354000002,None,[],240.57024100000126,None,240.57024100000126,None,240.57024100000126,None,z,0.10525380000399309,240.57024100000126,None,None,240.57024100000126,None,z,2.105253800003993,1,1,0.6470588235294118,242.36871489999976,None,242.36871489999976,None,242.36871489999976,None,None,242.36871489999976,None,,,,,,,,,,,,,,,,,,,,,,CBC_P036,001,set4,set2,3,0.9,2024-05-16_15h14.30.889,TV_prob,2022.1.1,60.029198202019096,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,1.899747326335302,2.23439856631263,244.46628839999903,None,244.46628839999903,None,244.46628839999903,None,246.7014549399988,None,[],248.75817409999945,None,248.75817409999945,None,248.75817409999945,None,z,0.4114475999995193,248.75817409999945,None,None,248.75817409999945,None,z,2.4114475999995193,1,1,0.6666666666666666,250.6988840999984,None,250.6988840999984,None,250.6988840999984,None,None,250.6988840999984,None,,,,,,,,,,,,,,,,,,,,,,CBC_P036,001,set4,set2,3,0.9,2024-05-16_15h14.30.889,TV_prob,2022.1.1,60.029198202019096,
