trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.rt,get_keys_7.started,get_keys_7.stopped,response2.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,3.86983191325091,2.78012240036799,729.2452739,None,729.2452739,None,729.2452739,None,732.0265323699996,732.0427592700007,None,[],734.0237407000004,None,734.0237407000004,None,734.0237407000004,None,b,734.0237407000004,None,None,734.0237407000004,None,b,2.6378100999991148,1,1,0.4444444444444444,737.9277277000001,None,737.9277277000001,None,737.9277277000001,None,None,,737.9277277000001,None,0.6378100999991148,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set4,set1,1,0.9,2023-04-02_15h00.38.402,TV_prob,2022.1.1,60.33324464363708,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,1.758742575863891,2.12802719374523,739.9446526000011,None,739.9446526000011,None,739.9446526000011,None,742.0767923699996,742.0937542700003,None,[],744.0817781999995,None,744.0817781999995,None,744.0817781999995,None,b,744.0817781999995,None,None,744.0817781999995,None,b,2.3857373999999254,0,0,0.4,745.8765528000004,None,745.8765528000004,None,745.8765528000004,None,None,,745.8765528000004,None,0.3857373999999254,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set4,set1,1,0.9,2023-04-02_15h00.38.402,TV_prob,2022.1.1,60.33324464363708,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,1.595506577165096,3.27418780206312,747.864545800001,None,747.864545800001,None,747.864545800001,None,751.1433944700011,751.1601723699996,None,[],753.1488657000009,None,753.1488657000009,None,753.1488657000009,None,b,753.1488657000009,None,None,753.1488657000009,None,b,2.450173499999437,1,1,0.45454545454545453,754.7780831,None,754.7780831,None,754.7780831,None,None,,754.7780831,None,0.4501734999994369,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set4,set1,1,0.9,2023-04-02_15h00.38.402,TV_prob,2022.1.1,60.33324464363708,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,3.27810873521582,0.977134614530179,756.7910570999993,None,756.7910570999993,None,756.7910570999993,None,757.7757716700007,757.7924578699995,None,[],759.7726781000001,None,759.7726781000001,None,759.7726781000001,None,z,759.7726781000001,None,None,759.7726781000001,None,z,2.425419499999407,0,0,0.4166666666666667,763.065764500001,None,763.065764500001,None,763.065764500001,None,None,,763.065764500001,None,0.425419499999407,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set4,set1,1,0.9,2023-04-02_15h00.38.402,TV_prob,2022.1.1,60.33324464363708,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.15,2.27860294189526,1.37809841776001,765.0749438000003,None,765.0749438000003,None,765.0749438000003,None,766.4602227700007,766.4766952700002,None,[],768.4628176999995,None,768.4628176999995,None,768.4628176999995,None,z,768.4628176999995,None,None,768.4628176999995,None,z,2.8956357999995816,1,1,0.46153846153846156,770.7501437999999,None,770.7501437999999,None,770.7501437999999,None,None,,770.7501437999999,None,0.8956357999995816,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set4,set1,1,0.9,2023-04-02_15h00.38.402,TV_prob,2022.1.1,60.33324464363708,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.15,1.326293484834196,1.55403782363402,772.7594700000009,None,772.7594700000009,None,772.7594700000009,None,774.3268209700009,774.3433709700012,None,[],776.3314621999998,None,776.3314621999998,None,776.3314621999998,None,b,776.3314621999998,None,None,776.3314621999998,None,b,2.539574899999934,0,0,0.42857142857142855,777.6945419000003,None,777.6945419000003,None,777.6945419000003,None,None,,777.6945419000003,None,0.5395748999999341,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set4,set1,1,0.9,2023-04-02_15h00.38.402,TV_prob,2022.1.1,60.33324464363708,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,1.556335756354144,2.49579389304826,779.7088342999996,None,779.7088342999996,None,779.7088342999996,None,782.2102658699996,782.2268349699998,None,[],784.2127006999999,None,784.2127006999999,None,784.2127006999999,None,None,784.2127006999999,None,None,784.2127006999999,None,[],[],0,3,0.4,785.7904259999996,None,785.7904259999996,None,785.7904259999996,None,['z'],[0.38262570000006235],785.7904259999996,None,,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set4,set1,1,0.9,2023-04-02_15h00.38.402,TV_prob,2022.1.1,60.33324464363708,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.15,2.67601812978374,1.29306073609301,787.8084046000004,None,787.8084046000004,None,787.8084046000004,None,789.1103517700003,789.126714770001,None,[],791.1085433000007,None,791.1085433000007,None,791.1085433000007,None,z,791.1085433000007,None,None,791.1085433000007,None,z,2.281466000000364,1,1,0.4375,793.8007708999994,None,793.8007708999994,None,793.8007708999994,None,None,,793.8007708999994,None,0.28146600000036415,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set4,set1,1,0.9,2023-04-02_15h00.38.402,TV_prob,2022.1.1,60.33324464363708,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.11780998338946,1.91520730139263,795.8081593999996,None,795.8081593999996,None,795.8081593999996,None,797.7268201699999,797.7435912700012,None,[],799.7311640000007,None,799.7311640000007,None,799.7311640000007,None,b,799.7311640000007,None,None,799.7311640000007,None,b,2.7061247999990883,1,1,0.47058823529411764,801.8923888999998,None,801.8923888999998,None,801.8923888999998,None,None,,801.8923888999998,None,0.7061247999990883,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set4,set1,1,0.9,2023-04-02_15h00.38.402,TV_prob,2022.1.1,60.33324464363708,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,0,2,1,0,0.5,3.95666246474662,3.27666037293199,803.8830453999999,None,803.8830453999999,None,803.8830453999999,None,807.1602363699994,807.176732070001,None,[],809.1603422999997,None,809.1603422999997,None,809.1603422999997,None,b,809.1603422999997,None,None,809.1603422999997,None,b,2.2053878999995504,1,0,0.5,813.1575630999996,None,813.1575630999996,None,813.1575630999996,None,None,,813.1575630999996,None,0.20538789999955043,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set4,set1,1,0.9,2023-04-02_15h00.38.402,TV_prob,2022.1.1,60.33324464363708,
