trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,response.rt,allKeys.rt,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response2.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [1-4 / 5-8],tactile set [1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.35,2.67601812978374,1.91520730139263,394.62838399999964,None,394.62838399999964,None,394.62838399999964,None,396.5581037499991,396.57476495000026,z,['z'],1.0777426999993622,[1.0777426999993622],398.5630593999995,None,398.5630593999995,None,398.5630593999995,None,None,398.5630593999995,None,None,398.5630593999995,None,z,1.0777426999993622,1,1,0.9354838709677419,401.2758231000007,None,401.2758231000007,None,401.2758231000007,None,None,401.2758231000007,None,,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.15,1.595506577165096,1.53162701008885,403.2922844000004,None,403.2922844000004,None,403.2922844000004,None,404.82505334999894,404.8417674499991,z,['z'],1.5468153999991046,[1.5468153999991046],406.8318872,None,406.8318872,None,406.8318872,None,None,406.8318872,None,None,406.8318872,None,z,1.5468153999991046,1,0,0.9375,408.4744425000008,None,408.4744425000008,None,408.4744425000008,None,None,408.4744425000008,None,,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,1.899747326335302,2.78012240036799,410.4933806000008,None,410.4933806000008,None,410.4933806000008,None,413.27457495000033,413.29134784999894,None,[],,,415.2801299999992,None,415.2801299999992,None,415.2801299999992,None,b,415.2801299999992,None,None,415.2801299999992,None,b,2.20005300000048,1,1,0.9393939393939394,417.2257890000001,None,417.2257890000001,None,417.2257890000001,None,None,417.2257890000001,None,0.2000530000004801,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0.5,4.21669271035117,3.27666037293199,419.2534367999997,None,419.2534367999997,None,419.2534367999997,None,422.5414963500001,422.558029449999,b,['b'],0.9689621999987139,[0.9689621999987139],424.5471529999995,None,424.5471529999995,None,424.5471529999995,None,None,424.5471529999995,None,None,424.5471529999995,None,b,0.9689621999987139,1,1,0.9411764705882353,428.8104834000005,None,428.8104834000005,None,428.8104834000005,None,None,428.8104834000005,None,,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,1.326293484834196,2.23299083390853,430.82849539999916,None,430.82849539999916,None,430.82849539999916,None,433.07519034999984,433.0918279499996,None,[],,,435.0828184999991,None,435.0828184999991,None,435.0828184999991,None,z,435.0828184999991,None,None,435.0828184999991,None,z,2.003048200000194,1,1,0.9428571428571428,436.4556095000007,None,436.4556095000007,None,436.4556095000007,None,None,436.4556095000007,None,0.0030482000001939014,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.35,3.47854712582944,1.37809841776001,438.4819396999992,None,438.4819396999992,None,438.4819396999992,None,439.87513935000004,439.8916930499994,z,['z'],1.9050755000007484,[1.9050755000007484],441.8815763999992,None,441.8815763999992,None,441.8815763999992,None,None,441.8815763999992,None,None,441.8815763999992,None,z,1.9050755000007484,1,1,0.9444444444444444,445.4066908999994,None,445.4066908999994,None,445.4066908999994,None,None,445.4066908999994,None,,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.15,1.543156518078604,1.08604824075189,447.4307222000007,None,447.4307222000007,None,447.4307222000007,None,448.52465504999907,448.54164375000016,z,['z'],1.2155822000004264,[1.2155822000004264],450.5328362,None,450.5328362,None,450.5328362,None,None,450.5328362,None,None,450.5328362,None,z,1.2155822000004264,1,1,0.9459459459459459,452.1107119999997,None,452.1107119999997,None,452.1107119999997,None,None,452.1107119999997,None,,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,2,0,1,0,0.5,1.6105816849230599,3.38809030570968,454.13092230000075,None,454.13092230000075,None,454.13092230000075,None,457.52477404999934,457.5414711499992,None,[],,,459.5306904000008,None,459.5306904000008,None,459.5306904000008,None,b,459.5306904000008,None,None,459.5306904000008,None,b,2.424707900001522,1,0,0.9473684210526315,461.1775386999998,None,461.1775386999998,None,461.1775386999998,None,None,461.1775386999998,None,0.4247079000015219,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0.5,2.27860294189526,2.12802719374523,463.19646140000077,None,463.19646140000077,None,463.19646140000077,None,465.32483425000044,465.3421520499991,b,['b'],0.90761940000084,[0.90761940000084],467.33110920000036,None,467.33110920000036,None,467.33110920000036,None,None,467.33110920000036,None,None,467.33110920000036,None,b,0.90761940000084,1,1,0.9487179487179487,469.6599796999999,None,469.6599796999999,None,469.6599796999999,None,None,469.6599796999999,None,,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.24205805775432,1.41191114387976,471.6867963000004,None,471.6867963000004,None,471.6867963000004,None,473.10870634999935,473.12521304999916,b,['b'],1.4188914000005752,[1.4188914000005752],475.11415209999905,None,475.11415209999905,None,475.11415209999905,None,None,475.11415209999905,None,None,475.11415209999905,None,b,1.4188914000005752,1,1,0.95,477.39078809999955,None,477.39078809999955,None,477.39078809999955,None,None,477.39078809999955,None,,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.35,3.04482772403364,2.49579389304826,479.4157118999992,None,479.4157118999992,None,479.4157118999992,None,481.92525315,481.9418878499995,None,[],,,483.9290113999996,None,483.9290113999996,None,483.9290113999996,None,z,483.9290113999996,None,None,483.9290113999996,None,z,2.050084500000594,1,1,0.9512195121951219,487.0087870999996,None,487.0087870999996,None,487.0087870999996,None,None,487.0087870999996,None,0.050084500000593835,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0.35,2.23248806235745,2.23439856631263,489.02791889999935,None,489.02791889999935,None,489.02791889999935,None,491.27477784999917,491.29144634999955,None,[],,,493.27961289999985,None,493.27961289999985,None,493.27961289999985,None,z,493.27961289999985,None,None,493.27961289999985,None,z,2.641263000001345,1,0,0.9523809523809523,495.5587594999997,None,495.5587594999997,None,495.5587594999997,None,None,495.5587594999997,None,0.6412630000013451,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.4747951999998,None,502.4749818,None,502.4749818,None,None,502.4749818,None,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,b,z,2,2,1,2,0.8571428571428571,1.0,0.9999999999999996,,,,,,,,,,,
