trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,response.rt,allKeys.rt,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response2.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [1-4 / 5-8],tactile set [1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0.5,1.2199655720291709,2.7570014520733,203.1306753000008,None,203.1306753000008,None,203.1306753000008,None,205.89118435000037,205.90774594999985,None,[],,,207.8981246000003,None,207.8981246000003,None,207.8981246000003,None,z,207.8981246000003,None,None,207.8981246000003,None,z,2.3159714000012173,0,0,0.7777777777777778,209.1608326000005,None,209.1608326000005,None,209.1608326000005,None,None,209.1608326000005,None,0.31597140000121726,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,1.109698721182561,0.977134614530179,211.18167990000074,None,211.18167990000074,None,211.18167990000074,None,212.17349674999915,212.1897117500006,None,[],,,214.17084500000055,None,214.17084500000055,None,214.17084500000055,None,b,214.17084500000055,None,None,214.17084500000055,None,b,2.6905716999990545,1,1,0.8,215.32597469999928,None,215.32597469999928,None,215.32597469999928,None,None,215.32597469999928,None,0.6905716999990545,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0.5,4.33462955345931,1.44889042899439,217.31667310000012,None,217.31667310000012,None,217.31667310000012,None,218.77451084999976,218.79113705,b,['b'],1.0387155000007624,[1.0387155000007624],220.77948769999966,None,220.77948769999966,None,220.77948769999966,None,None,220.77948769999966,None,None,220.77948769999966,None,b,1.0387155000007624,1,1,0.8181818181818182,225.12915310000062,None,225.12915310000062,None,225.12915310000062,None,None,225.12915310000062,None,,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0.35,3.88444949943153,1.29306073609301,227.14482390000012,None,227.14482390000012,None,227.14482390000012,None,228.44106235000018,228.45765594999958,None,[],,,230.44632679999995,None,230.44632679999995,None,230.44632679999995,None,z,230.44632679999995,None,None,230.44632679999995,None,z,2.3934725999988586,1,0,0.8333333333333334,234.37509959999988,None,234.37509959999988,None,234.37509959999988,None,None,234.37509959999988,None,0.39347259999885864,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.15,2.91771467486041,3.32142038400957,236.39457460000085,None,236.39457460000085,None,236.39457460000085,None,239.72451925000078,239.74115714999917,None,[],,,241.7275494000005,None,241.7275494000005,None,241.7275494000005,None,z,241.7275494000005,None,None,241.7275494000005,None,z,2.3070708000013838,1,1,0.8461538461538461,244.6930527000004,None,244.6930527000004,None,244.6930527000004,None,None,244.6930527000004,None,0.30707080000138376,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0.15,2.3725274662429303,2.50277407648956,246.7685848000001,None,246.7685848000001,None,246.7685848000001,None,249.27413744999959,249.29084104999984,z,['z'],1.2171490999990056,[1.2171490999990056],251.2786558000007,None,251.2786558000007,None,251.2786558000007,None,None,251.2786558000007,None,None,251.2786558000007,None,z,1.2171490999990056,1,0,0.8571428571428571,253.6922238999996,None,253.6922238999996,None,253.6922238999996,None,None,253.6922238999996,None,,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.0889201672230797,1.31360018091897,255.68675640000038,None,255.68675640000038,None,255.68675640000038,None,257.00777694999977,257.0245227499994,None,[],,,259.01410469999973,None,259.01410469999973,None,259.01410469999973,None,b,259.01410469999973,None,None,259.01410469999973,None,b,2.5094834999999875,1,1,0.8666666666666667,261.1300461999999,None,261.1300461999999,None,261.1300461999999,None,None,261.1300461999999,None,0.5094834999999875,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0.5,4.19624908154748,2.68488128149974,263.1429860999997,None,263.1429860999997,None,263.1429860999997,None,265.84055464999926,265.8571088500006,b,['b'],0.9580303000002459,[0.9580303000002459],267.83866599999965,None,267.83866599999965,None,267.83866599999965,None,None,267.83866599999965,None,None,267.83866599999965,None,b,0.9580303000002459,1,1,0.875,272.0764799000008,None,272.0764799000008,None,272.0764799000008,None,None,272.0764799000008,None,,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,2.2089046382315303,2.93536812882172,274.1001806999993,None,274.1001806999993,None,274.1001806999993,None,277.04114934999905,277.05803454999966,None,[],,,279.0399361,None,279.0399361,None,279.0399361,None,z,279.0399361,None,None,279.0399361,None,z,2.2136839000013424,1,1,0.8823529411764706,281.2629985000003,None,281.2629985000003,None,281.2629985000003,None,None,281.2629985000003,None,0.2136839000013424,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.15,3.50182449656669,1.14263865585167,283.27724189999935,None,283.27724189999935,None,283.27724189999935,None,284.4245768499999,284.44094815000005,None,[],,,286.4230367,None,286.4230367,None,286.4230367,None,z,286.4230367,None,None,286.4230367,None,z,3.1711482999999134,1,1,0.8888888888888888,289.95743650000077,None,289.95743650000077,None,289.95743650000077,None,None,289.95743650000077,None,1.1711482999999134,,,,,,,,,,,,,,,,,,,,CBC_P028,001,1,2,0,0.8,2023-04-05_16h06.46.844,TV_prob,2022.1.1,59.9301214784644,
