trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_6.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,3.95666246474662,0.971483558655564,150.42738239999994,None,150.42738239999994,None,150.42738239999994,None,151.42813409999985,153.42760359999988,151.42757305999982,153.42760359999988,153.42760359999988,None,b,1,1.3808139000002484,151.42813409999985,None,151.42813409999985,None,151.42813409999985,None,None,151.42813409999985,None,1,1,0.8888888888888888,157.4133407999998,None,157.4133407999998,None,157.4133407999998,None,None,157.4133407999998,None,,,,,,,,,,,,,,,,,,,CBC_P014,002,set1,set4,0,0.8,2023-03-29_15h35.20.648,AV_prob,2022.1.1,60.05767939527395,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,2,2,1,0,0.5,2.0845750455934002,2.29713937746779,159.41084079999996,None,159.41084079999996,None,159.41084079999996,None,161.71213909999983,163.72778299999982,161.71034382999997,None,163.71102849999988,None,b,1,1.5315823000000819,161.71213909999983,None,161.71213909999983,None,161.71213909999983,None,None,161.71213909999983,None,1,0,0.9,165.82621699999982,None,165.82621699999982,None,165.82621699999982,None,None,165.82621699999982,None,,,,,,,,,,,,,,,,,,,CBC_P014,002,set1,set4,0,0.8,2023-03-29_15h35.20.648,AV_prob,2022.1.1,60.05767939527395,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,2.24205805775432,2.64870493261766,167.82756249999989,None,167.82756249999989,None,167.82756249999989,None,170.49634879999985,172.5111116999999,170.49445355999984,172.4943272999999,172.4943272999999,None,b,1,0.9379162000000179,170.49634879999985,None,170.49634879999985,None,170.49634879999985,None,None,170.49634879999985,None,1,1,0.9090909090909091,174.76717949999988,None,174.76717949999988,None,174.76717949999988,None,None,174.76717949999988,None,,,,,,,,,,,,,,,,,,,CBC_P014,002,set1,set4,0,0.8,2023-03-29_15h35.20.648,AV_prob,2022.1.1,60.05767939527395,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.35,1.758742575863891,2.50277407648956,176.76048609999998,None,176.76048609999998,None,176.76048609999998,None,179.2924063999999,181.29438949999985,179.29433056,None,181.29438949999985,None,b,0,1.5364865000001373,179.2924063999999,None,179.2924063999999,None,179.2924063999999,None,None,179.2924063999999,None,0,0,0.8333333333333334,183.08081249999987,None,183.08081249999987,None,183.08081249999987,None,None,183.08081249999987,None,,,,,,,,,,,,,,,,,,,CBC_P014,002,set1,set4,0,0.8,2023-03-29_15h35.20.648,AV_prob,2022.1.1,60.05767939527395,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.15,3.47854712582944,0.977134614530179,185.07753279999997,None,185.07753279999997,None,185.07753279999997,None,186.07800389999989,188.07763149999982,186.07765155999988,188.07763149999982,188.07763149999982,None,b,0,1.5384559000001445,186.07800389999989,None,186.07800389999989,None,186.07800389999989,None,None,186.07800389999989,None,0,0,0.7692307692307693,191.5761862999998,None,191.5761862999998,None,191.5761862999998,None,None,191.5761862999998,None,,,,,,,,,,,,,,,,,,,CBC_P014,002,set1,set4,0,0.8,2023-03-29_15h35.20.648,AV_prob,2022.1.1,60.05767939527395,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0.15,3.86983191325091,2.7570014520733,193.5777275999999,None,193.5777275999999,None,193.5777275999999,None,196.35959639999987,198.36122769999997,196.3611541599999,198.36122769999997,198.36122769999997,None,z,1,1.4967811000001348,196.35959639999987,None,196.35959639999987,None,196.35959639999987,None,None,196.35959639999987,None,1,0,0.7857142857142857,202.26166469999998,None,202.26166469999998,None,202.26166469999998,None,None,202.26166469999998,None,,,,,,,,,,,,,,,,,,,CBC_P014,002,set1,set4,0,0.8,2023-03-29_15h35.20.648,AV_prob,2022.1.1,60.05767939527395,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,3.58943852196035,1.08099245958022,204.26100999999994,None,204.26100999999994,None,204.26100999999994,None,205.36260279999988,207.37798079999993,205.36107915999997,None,207.36138849999998,None,b,1,2.2632125000000087,205.36260279999988,None,205.36260279999988,None,205.36260279999988,None,None,205.36260279999988,None,1,1,0.8,210.98164129999986,None,210.98164129999986,None,210.98164129999986,None,None,210.98164129999986,None,,,,,,,,,,,,,,,,,,,CBC_P014,002,set1,set4,0,0.8,2023-03-29_15h35.20.648,AV_prob,2022.1.1,60.05767939527395,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,1.899747326335302,3.27418780206312,212.97763309999982,None,212.97763309999982,None,212.97763309999982,None,216.2778002,218.2779744999998,216.27789075999982,218.2779744999998,218.2779744999998,None,b,1,2.0614302000001317,216.2778002,None,216.2778002,None,216.2778002,None,None,216.2778002,None,1,1,0.8125,220.19220029999997,None,220.19220029999997,None,220.19220029999997,None,None,220.19220029999997,None,,,,,,,,,,,,,,,,,,,CBC_P014,002,set1,set4,0,0.8,2023-03-29_15h35.20.648,AV_prob,2022.1.1,60.05767939527395,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.35,4.26803291533611,1.44889042899439,222.19519229999992,None,222.19519229999992,None,222.19519229999992,None,223.6589285,225.66142279999985,223.6615662599998,None,225.66142279999985,None,z,1,1.5795726000001196,223.6589285,229.92806729999984,223.6589285,229.92806729999984,223.6589285,229.92806729999984,None,223.6589285,229.92806729999984,1,1,0.8235294117647058,229.9668360999999,None,229.9668360999999,None,229.9668360999999,None,None,229.9668360999999,None,,,,,,,,,,,,,,,,,,,CBC_P014,002,set1,set4,0,0.8,2023-03-29_15h35.20.648,AV_prob,2022.1.1,60.05767939527395,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,2,1,0,0,0.15,2.11780998338946,3.32142038400957,231.9612666999999,None,231.9612666999999,None,231.9612666999999,None,235.3090302999999,237.31147409999994,235.31133085999983,237.31147409999994,237.31147409999994,None,b,0,1.459280800000215,235.3090302999999,239.4282576999999,235.3090302999999,239.4282576999999,235.3090302999999,239.4282576999999,None,235.3090302999999,239.4282576999999,0,1,0.7777777777777778,239.46543859999997,None,239.46543859999997,None,239.46543859999997,None,None,239.46543859999997,None,,,,,,,,,,,,,,,,,,,CBC_P014,002,set1,set4,0,0.8,2023-03-29_15h35.20.648,AV_prob,2022.1.1,60.05767939527395,
