trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_6.rt,get_keys_7.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,21.859750800000256,None,21.859750800000256,None,z,1.157993699999679,22.057769100000314,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P016,002,set4,set1,1,0.9,2023-03-31_14h05.04.449,AV_prob,2022.1.1,59.97778422871777,
,,,,,,,,,,,,23.241550500000358,None,t,54.935391999999865,23.241550500000358,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P016,002,set4,set1,1,0.9,2023-03-31_14h05.04.449,AV_prob,2022.1.1,59.97778422871777,
0,0,0,0,,,,,,,,,,,,,,,78.20772070000021,None,78.20772070000021,None,78.20772070000021,None,0,1,1,1,0.5,3.47854712582944,1.44889042899439,79.10902860000033,None,79.10902860000033,None,79.10902860000033,None,80.68690770000012,82.69236750000027,80.69223788999999,82.69236750000027,82.67546270000003,86.15769290000026,z,1,2.7110053999995216,80.68690770000012,None,80.68690770000012,None,80.68690770000012,None,None,80.68690770000012,None,1,1,1.0,86.2069504000001,None,86.2069504000001,None,86.2069504000001,None,None,86.2069504000001,None,,,,,,,,,,,,,,,,,,,,CBC_P016,002,set4,set1,1,0.9,2023-03-31_14h05.04.449,AV_prob,2022.1.1,59.97778422871777,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.35,2.91771467486041,2.68488128149974,88.19189230000029,None,88.19189230000029,None,88.19189230000029,None,90.92760990000033,92.94239710000011,90.92592804000024,92.92553510000016,92.92553510000016,95.84239900000011,z,0,2.5685440000002018,90.92760990000033,None,90.92760990000033,None,90.92760990000033,None,None,90.92760990000033,None,0,0,0.5,95.87691459999996,None,95.87691459999996,None,95.87691459999996,None,None,95.87691459999996,None,,,,,,,,,,,,,,,,,,,,CBC_P016,002,set4,set1,1,0.9,2023-03-31_14h05.04.449,AV_prob,2022.1.1,59.97778422871777,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.35,4.21669271035117,0.977134614530179,97.87551110000004,None,97.87551110000004,None,97.87551110000004,None,98.87191200000007,100.87573599999996,98.87509191999999,100.87573599999996,100.87573599999996,None,b,1,1.2441210999995747,98.87191200000007,None,98.87191200000007,None,98.87191200000007,None,None,98.87191200000007,None,1,1,0.6666666666666666,105.10898680000037,None,105.10898680000037,None,105.10898680000037,None,None,105.10898680000037,None,,,,,,,,,,,,,,,,,,,,CBC_P016,002,set4,set1,1,0.9,2023-03-31_14h05.04.449,AV_prob,2022.1.1,59.97778422871777,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,2.94912276105146,2.23439856631263,107.10895290000008,None,107.10895290000008,None,107.10895290000008,None,109.40155910000021,111.40785940000023,109.40864243999987,None,111.39141289999998,114.34161919999997,z,1,2.4315583000002334,109.40155910000021,None,109.40155910000021,None,109.40155910000021,None,None,109.40155910000021,None,1,1,0.75,114.3619319000004,None,114.3619319000004,None,114.3619319000004,None,None,114.3619319000004,None,,,,,,,,,,,,,,,,,,,,CBC_P016,002,set4,set1,1,0.9,2023-03-31_14h05.04.449,AV_prob,2022.1.1,59.97778422871777,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,4.26803291533611,0.971483558655564,116.37538810000024,None,116.37538810000024,None,116.37538810000024,None,117.37273140000025,119.3746070000002,117.37557522000026,119.3746070000002,119.3746070000002,None,z,1,2.2934486999997716,117.37273140000025,None,117.37273140000025,None,117.37273140000025,None,None,117.37273140000025,None,1,1,0.8,123.66480020000017,None,123.66480020000017,None,123.66480020000017,None,None,123.66480020000017,None,,,,,,,,,,,,,,,,,,,,CBC_P016,002,set4,set1,1,0.9,2023-03-31_14h05.04.449,AV_prob,2022.1.1,59.97778422871777,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.35,2.24205805775432,0.789129602716002,125.65894800000024,None,125.65894800000024,None,125.65894800000024,None,126.4753068,128.4756183000004,126.47600962000007,128.4756183000004,128.4756183000004,None,b,1,1.5141991000000417,126.4753068,None,126.4753068,None,126.4753068,None,None,126.4753068,None,1,1,0.8333333333333334,130.74772340000027,None,130.74772340000027,None,130.74772340000027,None,None,130.74772340000027,None,,,,,,,,,,,,,,,,,,,,CBC_P016,002,set4,set1,1,0.9,2023-03-31_14h05.04.449,AV_prob,2022.1.1,59.97778422871777,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.35,1.543156518078604,2.49579389304826,132.74256460000015,None,132.74256460000015,None,132.74256460000015,None,135.25803440000027,137.25790020000022,135.25897012000024,137.25790020000022,137.25790020000022,None,b,1,1.6995355999997628,135.25803440000027,None,135.25803440000027,None,135.25803440000027,None,None,135.25803440000027,None,1,1,0.8571428571428571,138.82485110000016,None,138.82485110000016,None,138.82485110000016,None,None,138.82485110000016,None,,,,,,,,,,,,,,,,,,,,CBC_P016,002,set4,set1,1,0.9,2023-03-31_14h05.04.449,AV_prob,2022.1.1,59.97778422871777,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,2.2089046382315303,3.27418780206312,140.8257721,None,140.8257721,None,140.8257721,None,144.12545990000035,146.1258653,144.12605442000023,146.1258653,146.1258653,None,b,0,2.375813999999991,144.12545990000035,None,144.12545990000035,None,144.12545990000035,None,None,144.12545990000035,None,0,0,0.75,148.36136920000035,None,148.36136920000035,None,148.36136920000035,None,None,148.36136920000035,None,,,,,,,,,,,,,,,,,,,,CBC_P016,002,set4,set1,1,0.9,2023-03-31_14h05.04.449,AV_prob,2022.1.1,59.97778422871777,
