trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_11.started,fixationCross_11.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_6.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [1-4],FB probability,date,expName,psychopyVersion,frameRate,
,,,,22.610897999998997,None,22.610897999998997,None,z,1.4409674999988056,22.799281399999018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P008,002,set2,set3,0,0.9,2023-03-17_15h36.03.144,AV_prob,2022.1.1,60.04098397494486,
,,,,,,,,,,,,24.26672300000064,None,t,59.54296539999996,24.26672300000064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P008,002,set2,set3,0,0.9,2023-03-17_15h36.03.144,AV_prob,2022.1.1,60.04098397494486,
0,0,0,0,,,,,,,,,,,,,,,83.83346470000106,None,83.83346470000106,None,83.83346470000106,None,0,2,0,1,0.35,1.39750191607,0.971483558655564,84.73322810000172,None,84.73322810000172,None,84.73322810000172,None,85.86118300000089,87.93345419999969,85.86665500000163,None,87.91701040000044,88.91691690000152,88.91691690000152,90.31686740000077,z,0,2.4161073000032047,85.86118300000089,None,85.86118300000089,None,85.86118300000089,None,None,85.86118300000089,90.26709549999941,0,0,0.0,90.376305400001,None,90.376305400001,None,90.376305400001,None,None,90.376305400001,None,,,,,,,,,,,,,,,,,,,CBC_P008,002,set2,set3,0,0.9,2023-03-17_15h36.03.144,AV_prob,2022.1.1,60.04098397494486,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.27810873521582,1.73294357419019,92.35035910000079,None,92.35035910000079,None,92.35035910000079,None,94.13618119999956,96.21694610000122,94.13356539999877,None,96.20045469999968,97.2002422000005,97.2002422000005,None,z,1,1.7031524000012723,94.13618119999956,None,94.13618119999956,None,94.13618119999956,None,None,94.13618119999956,99.41715570000088,1,1,0.5,99.50800510000045,None,99.50800510000045,None,99.50800510000045,None,None,99.50800510000045,None,,,,,,,,,,,,,,,,,,,CBC_P008,002,set2,set3,0,0.9,2023-03-17_15h36.03.144,AV_prob,2022.1.1,60.04098397494486,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,2.95666246474662,3.32142038400957,101.5003710000019,None,101.5003710000019,None,101.5003710000019,None,104.86334319999878,106.93369679999887,104.86682505000171,None,106.91707909999968,107.9169882999995,107.9169882999995,110.88366749999841,b,0,2.40553490000093,104.86334319999878,None,104.86334319999878,None,104.86334319999878,None,None,104.86334319999878,110.83391349999874,0,0,0.3333333333333333,110.92480780000187,None,110.92480780000187,None,110.92480780000187,None,None,110.92480780000187,None,,,,,,,,,,,,,,,,,,,CBC_P008,002,set2,set3,0,0.9,2023-03-17_15h36.03.144,AV_prob,2022.1.1,60.04098397494486,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,0.899747326335302,2.96222466864387,112.91674710000007,None,112.91674710000007,None,112.91674710000007,None,115.89852690000043,117.96713200000158,115.90024970000158,None,117.96713200000158,118.96695460000046,118.96695460000046,None,z,1,2.32168410000304,115.89852690000043,None,115.89852690000043,None,115.89852690000043,None,None,115.89852690000043,119.80022430000099,1,1,0.5,119.89175070000056,None,119.89175070000056,None,119.89175070000056,None,None,119.89175070000056,None,,,,,,,,,,,,,,,,,,,CBC_P008,002,set2,set3,0,0.9,2023-03-17_15h36.03.144,AV_prob,2022.1.1,60.04098397494486,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,0.595506577165096,3.26446861731854,121.88372449999952,None,121.88372449999952,None,121.88372449999952,None,125.16320460000134,127.23388989999876,125.1669314000006,None,127.2171812000015,128.21677049999926,128.21677049999926,128.8169936000013,b,0,1.2256585000031919,125.16320460000134,None,125.16320460000134,None,125.16320460000134,None,None,125.16320460000134,128.7668354999987,0,0,0.4,128.8581962999997,None,128.8581962999997,None,128.8581962999997,None,None,128.8581962999997,None,,,,,,,,,,,,,,,,,,,CBC_P008,002,set2,set3,0,0.9,2023-03-17_15h36.03.144,AV_prob,2022.1.1,60.04098397494486,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.35,3.17660957158895,2.40738395932908,130.8500783999989,None,130.8500783999989,None,130.8500783999989,None,133.32360749999862,135.4005455000006,133.31720530000095,None,135.38392680000106,136.38376860000062,136.38376860000062,None,b,1,1.0919562000017322,133.32360749999862,None,133.32360749999862,None,133.32360749999862,None,None,133.32360749999862,139.50058880000142,1,1,0.5,139.58994480000183,None,139.58994480000183,None,139.58994480000183,None,None,139.58994480000183,None,,,,,,,,,,,,,,,,,,,CBC_P008,002,set2,set3,0,0.9,2023-03-17_15h36.03.144,AV_prob,2022.1.1,60.04098397494486,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0.35,0.326293484834196,1.91520730139263,141.58393710000018,None,141.58393710000018,None,141.58393710000018,None,143.51815219999844,145.58386260000043,143.5172144000004,None,145.58386260000043,146.58358149999913,146.58358149999913,None,b,1,2.0588042000017595,143.51815219999844,None,143.51815219999844,None,143.51815219999844,None,None,143.51815219999844,146.85064749999947,1,0,0.5714285714285714,146.9361291999994,None,146.9361291999994,None,146.9361291999994,None,None,146.9361291999994,None,,,,,,,,,,,,,,,,,,,CBC_P008,002,set2,set3,0,0.9,2023-03-17_15h36.03.144,AV_prob,2022.1.1,60.04098397494486,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,0.758742575863891,1.75396267962373,148.9336211000009,None,148.9336211000009,None,148.9336211000009,None,150.7174483000017,152.7829653000008,150.7173908000019,None,152.7829653000008,153.7834870000006,153.7834870000006,None,z,0,3.4247198999983084,150.7174483000017,None,150.7174483000017,None,150.7174483000017,None,None,150.7174483000017,154.48390819999986,0,0,0.5,154.56904869999926,None,154.56904869999926,None,154.56904869999926,None,None,154.56904869999926,None,,,,,,,,,,,,,,,,,,,CBC_P008,002,set2,set3,0,0.9,2023-03-17_15h36.03.144,AV_prob,2022.1.1,60.04098397494486,
