trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_7.rt,get_keys_6.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],audio set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,39.285226500000135,None,39.285226500000135,None,z,1.9306837999997697,39.47195670000019,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set2,set4,1,0.9,2023-04-02_11h40.48.975,AV_prob,2022.1.1,60.013346968419405,
,,,,,,,,,,,,41.42223749999994,None,t,49.31581650000044,41.42223749999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set2,set4,1,0.9,2023-04-02_11h40.48.975,AV_prob,2022.1.1,60.013346968419405,
0,0,0,0,,,,,,,,,,,,,,,90.75498939999989,None,90.75498939999989,None,90.75498939999989,None,0,2,1,0,0.5,2.0845750455934002,2.64870493261766,91.67245559999992,None,91.67245559999992,None,91.67245559999992,None,94.44320870000001,96.45536619999984,94.45506046999976,None,96.4388285,None,z,1,1.3562510000001566,94.44320870000001,None,94.44320870000001,None,94.44320870000001,None,None,94.44320870000001,None,1,0,1.0,98.61556699999983,None,98.61556699999983,None,98.61556699999983,None,None,98.61556699999983,None,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set2,set4,1,0.9,2023-04-02_11h40.48.975,AV_prob,2022.1.1,60.013346968419405,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,2.91771467486041,0.977134614530179,100.55474279999999,None,100.55474279999999,None,100.55474279999999,None,101.61212549999982,103.62173119999989,101.62108857999992,103.62173119999989,103.60519079999995,None,b,1,3.3767522000002828,101.61212549999982,None,101.61212549999982,None,101.61212549999982,None,None,101.61212549999982,None,1,1,1.0,106.61019829999987,None,106.61019829999987,None,106.61019829999987,None,None,106.61019829999987,None,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set2,set4,1,0.9,2023-04-02_11h40.48.975,AV_prob,2022.1.1,60.013346968419405,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.35,2.0784833561945097,1.55403782363402,108.5549203999999,None,108.5549203999999,None,108.5549203999999,None,110.13383990000011,112.13877950000006,110.13741175999994,112.13877950000006,112.13877950000006,None,z,0,2.369196799999827,110.13383990000011,None,110.13383990000011,None,110.13383990000011,None,None,110.13383990000011,None,0,0,0.6666666666666666,114.2408905000002,None,114.2408905000002,None,114.2408905000002,None,None,114.2408905000002,None,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set2,set4,1,0.9,2023-04-02_11h40.48.975,AV_prob,2022.1.1,60.013346968419405,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,3.58943852196035,1.29306073609301,116.2387205,None,116.2387205,None,116.2387205,None,117.56372330000022,119.57181889999993,117.57102119000014,119.57181889999993,119.55508950000012,None,z,1,2.431227300000046,117.56372330000022,None,117.56372330000022,None,117.56372330000022,None,None,117.56372330000022,None,1,1,0.75,123.17938809999987,None,123.17938809999987,None,123.17938809999987,None,None,123.17938809999987,None,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set2,set4,1,0.9,2023-04-02_11h40.48.975,AV_prob,2022.1.1,60.013346968419405,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0.5,1.595506577165096,1.44889042899439,125.17111169999998,None,125.17111169999998,None,125.17111169999998,None,126.63780120000001,128.6384776,126.63830456000014,128.6384776,128.6384776,None,None,0,,126.63780120000001,None,126.63780120000001,None,126.63780120000001,None,None,126.63780120000001,None,0,3,0.6,130.2796303,None,130.2796303,None,130.2796303,None,['z'],130.2796303,None,[0.2912524999997004],,,,,,,,,,,,,,,,,,,CBC_P021,001,set2,set4,1,0.9,2023-04-02_11h40.48.975,AV_prob,2022.1.1,60.013346968419405,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,2.2089046382315303,1.31360018091897,132.25547259999985,None,132.25547259999985,None,132.25547259999985,None,133.58827870000005,135.6045322,133.5882896600002,None,135.58756649999987,None,z,0,2.4764623999999458,133.58827870000005,None,133.58827870000005,None,133.58827870000005,None,None,133.58827870000005,None,0,0,0.5,137.82346760000019,None,137.82346760000019,None,137.82346760000019,None,None,137.82346760000019,None,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set2,set4,1,0.9,2023-04-02_11h40.48.975,AV_prob,2022.1.1,60.013346968419405,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.35,4.30975216432768,1.2479618399002,139.821637,None,139.821637,None,139.821637,None,141.0914633000002,143.10436010000012,141.08839166000018,143.08790450000015,143.08790450000015,None,z,0,3.171696400000201,141.0914633000002,None,141.0914633000002,None,141.0914633000002,None,None,141.0914633000002,None,0,0,0.42857142857142855,147.42619830000012,None,147.42619830000012,None,147.42619830000012,None,None,147.42619830000012,None,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set2,set4,1,0.9,2023-04-02_11h40.48.975,AV_prob,2022.1.1,60.013346968419405,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,2.11780998338946,2.23439856631263,149.42212770000015,None,149.42212770000015,None,149.42212770000015,None,151.68641239999988,153.6874200000002,151.68828206,153.6874200000002,153.6874200000002,None,z,1,2.8579279000000497,151.68641239999988,None,151.68641239999988,None,151.68641239999988,None,None,151.68641239999988,None,1,1,0.5,155.82227430000012,None,155.82227430000012,None,155.82227430000012,None,None,155.82227430000012,None,,,,,,,,,,,,,,,,,,,,CBC_P021,001,set2,set4,1,0.9,2023-04-02_11h40.48.975,AV_prob,2022.1.1,60.013346968419405,
