trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,get_keys_7.rt,get_keys_8.rt,response.rt,allKeys.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0.5,2.67601812978374,0.977134614530179,558.0687161000001,None,558.0687161000001,None,558.0687161000001,None,559.05049025,559.06672715,None,[],561.0475299999998,None,561.0475299999998,None,561.0475299999998,None,z,0.36882029999969745,561.0475299999998,None,None,561.0475299999998,None,z,2.3688202999996975,1,0,0.6086956521739131,563.7692493,None,563.7692493,None,563.7692493,None,None,563.7692493,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,1.8749846827473111,2.93536812882172,565.7852782999998,None,565.7852782999998,None,565.7852782999998,None,568.7339505499998,568.7504172500002,None,[],570.7314631999998,None,570.7314631999998,None,570.7314631999998,None,z,0.5773103999999876,570.7314631999998,None,None,570.7314631999998,None,z,2.5773103999999876,1,1,0.625,572.6518732999998,None,572.6518732999998,None,572.6518732999998,None,None,572.6518732999998,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.35,1.543156518078604,1.88377296598415,574.6689824999999,None,574.6689824999999,None,574.6689824999999,None,576.5673667499999,576.58394885,None,[],578.5639173999998,None,578.5639173999998,None,578.5639173999998,None,z,0.40992229999983465,578.5639173999998,None,None,578.5639173999998,None,z,2.4099222999998346,0,0,0.6,580.1512822999998,None,580.1512822999998,None,580.1512822999998,None,None,580.1512822999998,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,2.0784833561945097,1.14263865585167,582.1667143999998,None,582.1667143999998,None,582.1667143999998,None,583.3171828499998,583.3340479500001,None,[],585.3160638999998,None,585.3160638999998,None,585.3160638999998,None,b,0.2771703999997044,585.3160638999998,None,None,585.3160638999998,None,b,2.2771703999997044,1,1,0.6153846153846154,587.4361889000002,None,587.4361889000002,None,587.4361889000002,None,None,587.4361889000002,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,2.0889201672230797,2.40738395932908,589.4481078999997,None,589.4481078999997,None,589.4481078999997,None,591.8675023499999,591.8840195500001,z,['z'],593.8662699000001,None,593.8662699000001,None,593.8662699000001,None,None,,593.8662699000001,None,None,593.8662699000001,None,z,1.8525824000003013,1,1,0.6296296296296297,595.9981038000001,None,595.9981038000001,None,595.9981038000001,None,None,595.9981038000001,None,,,1.8525824000003013,[1.8525824000003013],,,,,,,,,,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,2.74209998091573,3.38809030570968,598.0189200999998,None,598.0189200999998,None,598.0189200999998,None,601.4174015500001,601.4339449499997,None,[],603.4139765,None,603.4139765,None,603.4139765,None,z,0.32752639999989697,603.4139765,None,None,603.4139765,None,z,2.327526399999897,1,1,0.6428571428571429,606.197772,None,606.197772,None,606.197772,None,None,606.197772,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,2.11780998338946,2.07121332922762,608.2209496,None,608.2209496,None,608.2209496,None,610.3004252499999,610.31723925,None,[],612.2984882999999,None,612.2984882999999,None,612.2984882999999,None,z,0.30886480000026495,612.2984882999999,None,None,612.2984882999999,None,z,2.308864800000265,1,1,0.6551724137931034,614.4497796,None,614.4497796,None,614.4497796,None,None,614.4497796,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.15,2.94912276105146,2.96222466864387,616.4649386000001,None,616.4649386000001,None,616.4649386000001,None,619.43406395,619.45082915,b,['b'],621.4330629000001,None,621.4330629000001,None,621.4330629000001,None,None,,621.4330629000001,None,None,621.4330629000001,None,b,1.301677899999504,1,1,0.6666666666666666,624.4163732000002,None,624.4163732000002,None,624.4163732000002,None,None,624.4163732000002,None,,,1.301677899999504,[1.301677899999504],,,,,,,,,,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,1.671897605000652,2.68488128149974,626.4334417999999,None,626.4334417999999,None,626.4334417999999,None,629.1339562500001,629.1506128499999,None,[],631.1321331999998,None,631.1321331999998,None,631.1321331999998,None,b,0.2512612000000445,631.1321331999998,None,None,631.1321331999998,None,b,2.2512612000000445,0,0,0.6451612903225806,632.8517369000001,None,632.8517369000001,None,632.8517369000001,None,None,632.8517369000001,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,2.39750191607,1.91520730139263,634.8700413000001,None,634.8700413000001,None,634.8700413000001,None,636.8010209499997,636.8177187499999,z,['z'],638.8004283999999,None,638.8004283999999,None,638.8004283999999,None,None,,638.8004283999999,None,None,638.8004283999999,None,z,1.4795905999999377,1,1,0.65625,641.2350815999998,None,641.2350815999998,None,641.2350815999998,None,None,641.2350815999998,None,,,1.4795905999999377,[1.4795905999999377],,,,,,,,,,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,2.27860294189526,2.5736109380813,643.2524936999998,None,643.2524936999998,None,643.2524936999998,None,645.8344664499999,645.85089645,z,['z'],647.8324674,None,647.8324674,None,647.8324674,None,None,,647.8324674,None,None,647.8324674,None,z,1.8993424999998751,1,1,0.6666666666666666,650.1523020999998,None,650.1523020999998,None,650.1523020999998,None,None,650.1523020999998,None,,,1.8993424999998751,[1.8993424999998751],,,,,,,,,,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,3.58943852196035,1.08099245958022,652.1749160999998,None,652.1749160999998,None,652.1749160999998,None,653.2671523499997,653.28427615,None,[],655.266462,None,655.266462,None,655.266462,None,z,0.3765450000000783,655.266462,None,None,655.266462,None,z,2.3765450000000783,0,0,0.6470588235294118,658.9044247000002,None,658.9044247000002,None,658.9044247000002,None,None,658.9044247000002,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0.35,2.91771467486041,2.12802719374523,660.9156514000001,None,660.9156514000001,None,660.9156514000001,None,663.0510749499998,663.0673195499998,b,['b'],665.0517743,None,665.0517743,None,665.0517743,None,None,,665.0517743,None,None,665.0517743,None,b,1.0381320000001324,1,0,0.6571428571428571,668.0147794999998,None,668.0147794999998,None,668.0147794999998,None,None,668.0147794999998,None,,,1.0381320000001324,[1.0381320000001324],,,,,,,,,,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.35,2.23248806235745,1.41191114387976,670.0318453,None,670.0318453,None,670.0318453,None,671.4510961499999,671.4678435499999,b,['b'],673.4511447999998,None,673.4511447999998,None,673.4511447999998,None,None,,673.4511447999998,None,None,673.4511447999998,None,b,1.5254809999996723,1,1,0.6666666666666666,675.7185074999998,None,675.7185074999998,None,675.7185074999998,None,None,675.7185074999998,None,,,1.5254809999996723,[1.5254809999996723],,,,,,,,,,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,4.19624908154748,1.48342455087402,677.7326102000002,None,677.7326102000002,None,677.7326102000002,None,679.21775745,679.2342955499997,None,[],681.2157216999999,None,681.2157216999999,None,681.2157216999999,None,z,0.5065022999997382,681.2157216999999,None,None,681.2157216999999,None,z,2.506502299999738,1,1,0.6756756756756757,685.4467377999999,None,685.4467377999999,None,685.4467377999999,None,None,685.4467377999999,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.35,4.33462955345931,2.29713937746779,687.4656439,None,687.4656439,None,687.4656439,None,689.76791795,689.7843430500001,None,[],691.7657304999998,None,691.7657304999998,None,691.7657304999998,None,b,0.48681329999999434,691.7657304999998,None,None,691.7657304999998,None,b,2.4868132999999943,1,1,0.6842105263157895,696.1204687999998,None,696.1204687999998,None,696.1204687999998,None,None,696.1204687999998,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,1.556335756354144,1.29306073609301,698.1315565999998,None,698.1315565999998,None,698.1315565999998,None,699.4347554499999,699.45121615,None,[],701.4339753999998,None,701.4339753999998,None,701.4339753999998,None,None,,701.4339753999998,None,['b'],701.4339753999998,None,[],[],0,3,0.6666666666666666,703.0335654999999,None,703.0335654999999,None,703.0335654999999,None,None,703.0335654999999,None,,[1.4339497999999367],,,,,,,,,,,,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.15,3.47854712582944,3.26446861731854,705.1013085999998,None,705.1013085999998,None,705.1013085999998,None,708.3678439499998,708.3845384499999,None,[],710.3660733000002,None,710.3660733000002,None,710.3660733000002,None,z,0.6811471999999412,710.3660733000002,None,None,710.3660733000002,None,z,2.681147199999941,0,0,0.65,713.8829931999999,None,713.8829931999999,None,713.8829931999999,None,None,713.8829931999999,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,1.326293484834196,2.23299083390853,715.9052796999999,None,715.9052796999999,None,715.9052796999999,None,718.1511354499997,718.1677643500001,None,[],720.1493660000001,None,720.1493660000001,None,720.1493660000001,None,z,0.2434320999996089,720.1493660000001,None,None,720.1493660000001,None,z,2.243432099999609,1,1,0.6585365853658537,721.5193512000001,None,721.5193512000001,None,721.5193512000001,None,None,721.5193512000001,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,1,2,1,0,0.5,1.887650177272661,3.27418780206312,723.5446905999997,None,723.5446905999997,None,723.5446905999997,None,726.8181070499999,726.83410855,None,[],728.8121492,None,728.8121492,None,728.8121492,None,z,0.37673999999969965,728.8121492,None,None,728.8121492,None,z,2.3767399999996996,1,0,0.6666666666666666,730.7348192,None,730.7348192,None,730.7348192,None,None,730.7348192,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732.6510367000001,None,737.6513042000001,None,737.6513042000001,None,None,737.6513042000001,None,,,,,,,,,,,CBC_P016,001,set2,set1,3,0.9,2023-03-31_13h57.21.734,TV_prob,2022.1.1,59.98512368925352,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,z,b,2,2,1,2,0.42857142857142855,0.8571428571428572,0.7142857142857142,,,,,,,,,,,
