trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response.rt,allKeys.rt,get_keys_7.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,3.50182449656669,3.27666037293199,337.79020910000145,None,337.79020910000145,None,337.79020910000145,None,341.07492928000136,b,['b'],343.133637500001,None,343.133637500001,None,343.133637500001,None,None,,343.133637500001,None,None,343.133637500001,None,b,1.5526481999986572,1,1,0.6428571428571429,346.6726054999999,None,346.6726054999999,None,346.6726054999999,None,None,346.6726054999999,None,1.5526481999986572,[1.5526481999986572],,,,,,,,,,,,,,,,,,,,,CBC_P039,002,set3,set1,0,0.8,2024-05-17_17h19.31.419,TV_prob,2022.1.1,60.0144274679639,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0.5,2.91771467486041,2.23439856631263,348.75706809999974,None,348.75706809999974,None,348.75706809999974,None,350.991132380001,b,['b'],353.04793750000135,None,353.04793750000135,None,353.04793750000135,None,None,,353.04793750000135,None,None,353.04793750000135,None,b,1.565605299998424,1,1,0.6551724137931034,356.00902360000146,None,356.00902360000146,None,356.00902360000146,None,None,356.00902360000146,None,1.565605299998424,[1.565605299998424],,,,,,,,,,,,,,,,,,,,,CBC_P039,002,set3,set1,0,0.8,2024-05-17_17h19.31.419,TV_prob,2022.1.1,60.0144274679639,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,2.0845750455934002,2.10833202116216,358.06447500000104,None,358.06447500000104,None,358.06447500000104,None,360.1732952799997,b,['b'],362.2233053,None,362.2233053,None,362.2233053,None,None,,362.2233053,None,None,362.2233053,None,b,1.7744166999982554,1,1,0.6666666666666666,364.3410603000011,None,364.3410603000011,None,364.3410603000011,None,None,364.3410603000011,None,1.7744166999982554,[1.7744166999982554],,,,,,,,,,,,,,,,,,,,,CBC_P039,002,set3,set1,0,0.8,2024-05-17_17h19.31.419,TV_prob,2022.1.1,60.0144274679639,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.35,4.30975216432768,2.64870493261766,366.42278930000066,None,366.42278930000066,None,366.42278930000066,None,369.0745895800013,None,[],371.13392569999996,None,371.13392569999996,None,371.13392569999996,None,b,0.2234015999983967,371.13392569999996,None,None,371.13392569999996,None,b,2.2234015999983967,0,0,0.6451612903225806,375.46484260000034,None,375.46484260000034,None,375.46484260000034,None,None,375.46484260000034,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P039,002,set3,set1,0,0.8,2024-05-17_17h19.31.419,TV_prob,2022.1.1,60.0144274679639,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.15,1.887650177272661,1.41191114387976,377.573854100001,None,377.573854100001,None,377.573854100001,None,378.9915540799997,None,[],381.0483705000006,None,381.0483705000006,None,381.0483705000006,None,None,,381.0483705000006,None,None,381.0483705000006,None,[],[],0,3,0.625,382.9691328000008,None,382.9691328000008,None,382.9691328000008,None,['z'],382.9691328000008,None,,,[0.08633129999907396],,,,,,,,,,,,,,,,,,,,CBC_P039,002,set3,set1,0,0.8,2024-05-17_17h19.31.419,TV_prob,2022.1.1,60.0144274679639,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,2.0784833561945097,1.88377296598415,385.1072879000003,None,385.1072879000003,None,385.1072879000003,None,386.9914255799998,b,['b'],389.04995410000083,None,389.04995410000083,None,389.04995410000083,None,None,,389.04995410000083,None,None,389.04995410000083,None,b,1.2648874999995314,1,1,0.6363636363636364,391.1483210000006,None,391.1483210000006,None,391.1483210000006,None,None,391.1483210000006,None,1.2648874999995314,[1.2648874999995314],,,,,,,,,,,,,,,,,,,,,CBC_P039,002,set3,set1,0,0.8,2024-05-17_17h19.31.419,TV_prob,2022.1.1,60.0144274679639,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0.5,2.74209998091573,2.23299083390853,393.2630516999998,None,393.2630516999998,None,393.2630516999998,None,395.5082185800005,b,['b'],397.5658140000014,None,397.5658140000014,None,397.5658140000014,None,None,,397.5658140000014,None,None,397.5658140000014,None,b,1.8993853999982093,1,0,0.6470588235294118,400.3428261000008,None,400.3428261000008,None,400.3428261000008,None,None,400.3428261000008,None,1.8993853999982093,[1.8993853999982093],,,,,,,,,,,,,,,,,,,,,CBC_P039,002,set3,set1,0,0.8,2024-05-17_17h19.31.419,TV_prob,2022.1.1,60.0144274679639,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0.35,1.6105816849230599,0.977134614530179,402.4235359000013,None,402.4235359000013,None,402.4235359000013,None,403.40868558,None,[],405.46490919999997,None,405.46490919999997,None,405.46490919999997,None,z,0.8815541000003577,405.46490919999997,None,None,405.46490919999997,None,z,2.8815541000003577,1,0,0.6571428571428571,407.10900500000025,None,407.10900500000025,None,407.10900500000025,None,None,407.10900500000025,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P039,002,set3,set1,0,0.8,2024-05-17_17h19.31.419,TV_prob,2022.1.1,60.0144274679639,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.35,1.109698721182561,3.27418780206312,409.1632633999998,None,409.1632633999998,None,409.1632633999998,None,412.4416701800004,b,['b'],414.49892850000106,None,414.49892850000106,None,414.49892850000106,None,None,,414.49892850000106,None,None,414.49892850000106,None,b,1.9061321999979555,0,0,0.6388888888888888,415.63851109999996,None,415.63851109999996,None,415.63851109999996,None,None,415.63851109999996,None,1.9061321999979555,[1.9061321999979555],,,,,,,,,,,,,,,,,,,,,CBC_P039,002,set3,set1,0,0.8,2024-05-17_17h19.31.419,TV_prob,2022.1.1,60.0144274679639,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.15,3.04482772403364,0.789129602716002,417.7283626999997,None,417.7283626999997,None,417.7283626999997,None,418.5248687799998,b,['b'],420.5858454999998,None,420.5858454999998,None,420.5858454999998,None,None,,420.5858454999998,None,None,420.5858454999998,None,b,0.9838464999993448,0,0,0.6216216216216216,423.67200240000057,None,423.67200240000057,None,423.67200240000057,None,None,423.67200240000057,None,0.9838464999993448,[0.9838464999993448],,,,,,,,,,,,,,,,,,,,,CBC_P039,002,set3,set1,0,0.8,2024-05-17_17h19.31.419,TV_prob,2022.1.1,60.0144274679639,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,3.47854712582944,2.49579389304826,425.75251200000093,None,425.75251200000093,None,425.75251200000093,None,428.25818778000064,b,['b'],430.3169198000014,None,430.3169198000014,None,430.3169198000014,None,None,,430.3169198000014,None,None,430.3169198000014,None,b,1.5188175000002957,1,1,0.631578947368421,433.8435922999997,None,433.8435922999997,None,433.8435922999997,None,None,433.8435922999997,None,1.5188175000002957,[1.5188175000002957],,,,,,,,,,,,,,,,,,,,,CBC_P039,002,set3,set1,0,0.8,2024-05-17_17h19.31.419,TV_prob,2022.1.1,60.0144274679639,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0.5,2.23248806235745,3.32142038400957,435.9245799,None,435.9245799,None,435.9245799,None,439.25859698000056,b,['b'],441.315176600001,None,441.315176600001,None,441.315176600001,None,None,,441.315176600001,None,None,441.315176600001,None,b,1.9300578999991558,1,1,0.6410256410256411,443.5908930000005,None,443.5908930000005,None,443.5908930000005,None,None,443.5908930000005,None,1.9300578999991558,[1.9300578999991558],,,,,,,,,,,,,,,,,,,,,CBC_P039,002,set3,set1,0,0.8,2024-05-17_17h19.31.419,TV_prob,2022.1.1,60.0144274679639,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.0889201672230797,1.29306073609301,445.67337360000056,None,445.67337360000056,None,445.67337360000056,None,446.9749672800011,b,['b'],449.03082320000067,None,449.03082320000067,None,449.03082320000067,None,None,,449.03082320000067,None,None,449.03082320000067,None,b,1.7158586000005016,1,1,0.65,451.1576384,None,451.1576384,None,451.1576384,None,None,451.1576384,None,1.7158586000005016,[1.7158586000005016],,,,,,,,,,,,,,,,,,,,,CBC_P039,002,set3,set1,0,0.8,2024-05-17_17h19.31.419,TV_prob,2022.1.1,60.0144274679639,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,0,2,0,0,0.35,3.27810873521582,2.12802719374523,453.24587210000027,None,453.24587210000027,None,453.24587210000027,None,455.37508858000035,b,['b'],457.4267802000013,None,457.4267802000013,None,457.4267802000013,None,None,,457.4267802000013,None,None,457.4267802000013,None,b,1.624283999999534,0,1,0.6341463414634146,460.7424026000008,None,460.7424026000008,None,460.7424026000008,None,None,460.7424026000008,None,1.624283999999534,[1.624283999999534],,,,,,,,,,,,,,,,,,,,,CBC_P039,002,set3,set1,0,0.8,2024-05-17_17h19.31.419,TV_prob,2022.1.1,60.0144274679639,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,2.67601812978374,2.07121332922762,462.8268783000003,None,462.8268783000003,None,462.8268783000003,None,464.90828397999974,b,['b'],466.96453870000005,None,466.96453870000005,None,466.96453870000005,None,None,,466.96453870000005,None,None,466.96453870000005,None,b,0.10286739999901329,0,0,0.6190476190476191,469.6759510000011,None,469.6759510000011,None,469.6759510000011,None,None,469.6759510000011,None,0.10286739999901329,[0.10286739999901329],,,,,,,,,,,,,,,,,,,,,CBC_P039,002,set3,set1,0,0.8,2024-05-17_17h19.31.419,TV_prob,2022.1.1,60.0144274679639,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.65854130000116,None,476.6583961000015,None,476.6583961000015,None,None,476.6583961000015,None,,,,,,,,,,,CBC_P039,002,set3,set1,0,0.8,2024-05-17_17h19.31.419,TV_prob,2022.1.1,60.0144274679639,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,b,z,2,2,1,2,0.7857142857142857,0.5000000000000001,0.5714285714285715,,,,,,,,,,,
