trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,response.keys,allKeys.keys,response.rt,allKeys.rt,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response2.rt,get_keys_8.rt,get_keys_7.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,59.91267700000026,None,59.91267700000026,None,b,43.673715699998866,60.10455410000213,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P040,001,set3,set1,2,0.8,2024-05-17_18h20.59.643,TV_prob,2022.1.1,59.94707871808989,
,,,,,,,,,,,,103.80444669999997,None,t,56.88280579999628,103.80444669999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P040,001,set3,set1,2,0.8,2024-05-17_18h20.59.643,TV_prob,2022.1.1,59.94707871808989,
0,0,0,0,,,,,,,,,,,,,,,160.7043700000031,None,160.7043700000031,None,160.7043700000031,None,1,0,0,0,0.15,3.88444949943153,1.2479618399002,161.7604014000026,None,161.7604014000026,None,161.7604014000026,None,163.02198140000036,z,['z'],1.4400685999971756,[1.4400685999971756],165.40543640000033,None,165.40543640000033,None,165.40543640000033,None,None,165.40543640000033,None,None,165.40543640000033,None,z,1.4400685999971756,0,1,0.0,169.4069894000022,None,169.4069894000022,None,169.4069894000022,None,None,169.4069894000022,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P040,001,set3,set1,2,0.8,2024-05-17_18h20.59.643,TV_prob,2022.1.1,59.94707871808989,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,1,1,1,0.5,3.58943852196035,2.50277407648956,171.5066863000029,None,171.5066863000029,None,171.5066863000029,None,174.02118770000305,z,['z'],1.2545271999988472,[1.2545271999988472],176.0800304000004,None,176.0800304000004,None,176.0800304000004,None,None,176.0800304000004,None,None,176.0800304000004,None,z,1.2545271999988472,1,1,0.5,179.70642410000073,None,179.70642410000073,None,179.70642410000073,None,None,179.70642410000073,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P040,001,set3,set1,2,0.8,2024-05-17_18h20.59.643,TV_prob,2022.1.1,59.94707871808989,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,1.595506577165096,3.32142038400957,181.8118770000001,None,181.8118770000001,None,181.8118770000001,None,185.1378378000001,z,['z'],1.232580699997925,[1.232580699997925],187.19486800000232,None,187.19486800000232,None,187.19486800000232,None,None,187.19486800000232,None,None,187.19486800000232,None,z,1.232580699997925,1,1,0.6666666666666666,188.83844710000267,None,188.83844710000267,None,188.83844710000267,None,None,188.83844710000267,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P040,001,set3,set1,2,0.8,2024-05-17_18h20.59.643,TV_prob,2022.1.1,59.94707871808989,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0.15,4.1766095715889495,2.23299083390853,190.92458340000303,None,190.92458340000303,None,190.92458340000303,None,193.17135500000148,None,[],,,195.22768670000005,None,195.22768670000005,None,195.22768670000005,None,b,195.22768670000005,None,None,195.22768670000005,None,b,2.7728190000016184,1,0,0.75,199.47502970000278,None,199.47502970000278,None,199.47502970000278,None,None,199.47502970000278,None,0.7728190000016184,,,,,,,,,,,,,,,,,,,,,,CBC_P040,001,set3,set1,2,0.8,2024-05-17_18h20.59.643,TV_prob,2022.1.1,59.94707871808989,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0.35,2.0784833561945097,2.10833202116216,201.51932300000044,None,201.51932300000044,None,201.51932300000044,None,203.63805090000022,z,['z'],0.9670960999974341,[0.9670960999974341],205.69657150000057,None,205.69657150000057,None,205.69657150000057,None,None,205.69657150000057,None,None,205.69657150000057,None,z,0.9670960999974341,0,0,0.6,207.8188121000021,None,207.8188121000021,None,207.8188121000021,None,None,207.8188121000021,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P040,001,set3,set1,2,0.8,2024-05-17_18h20.59.643,TV_prob,2022.1.1,59.94707871808989,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,1.671897605000652,2.5736109380813,209.90638550000222,None,209.90638550000222,None,209.90638550000222,None,212.48817290000005,None,[],,,214.5439209000033,None,214.5439209000033,None,214.5439209000033,None,b,214.5439209000033,None,None,214.5439209000033,None,b,2.252840600001946,0,0,0.5,216.25349050000295,None,216.25349050000295,None,216.25349050000295,None,None,216.25349050000295,None,0.25284060000194586,,,,,,,,,,,,,,,,,,,,,,CBC_P040,001,set3,set1,2,0.8,2024-05-17_18h20.59.643,TV_prob,2022.1.1,59.94707871808989,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,2.3725274662429303,2.49579389304826,218.3355900000024,None,218.3355900000024,None,218.3355900000024,None,220.83791860000127,z,['z'],1.5922118999988015,[1.5922118999988015],222.89382560000013,None,222.89382560000013,None,222.89382560000013,None,None,222.89382560000013,None,None,222.89382560000013,None,z,1.5922118999988015,1,1,0.5714285714285714,225.30600350000168,None,225.30600350000168,None,225.30600350000168,None,None,225.30600350000168,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P040,001,set3,set1,2,0.8,2024-05-17_18h20.59.643,TV_prob,2022.1.1,59.94707871808989,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,4.26803291533611,1.91520730139263,227.38629490000312,None,227.38629490000312,None,227.38629490000312,None,229.30465120000298,z,['z'],1.9586798999989696,[1.9586798999989696],231.36586520000128,None,231.36586520000128,None,231.36586520000128,None,None,231.36586520000128,None,None,231.36586520000128,None,z,1.9586798999989696,0,0,0.5,235.66297730000224,None,235.66297730000224,None,235.66297730000224,None,None,235.66297730000224,None,,,,,,,,,,,,,,,,,,,,,,,CBC_P040,001,set3,set1,2,0.8,2024-05-17_18h20.59.643,TV_prob,2022.1.1,59.94707871808989,
