trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.audio_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,image_3.stopped,sound_3.started,sound_3.stopped,fixationCross_6.started,fixationCross_6.stopped,response_runs.keys,response_runs.corr,response_runs.rt,response_runs.started,response_runs.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,get_keys_6.keys,get_keys_6.started,get_keys_6.stopped,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [1-4 / 5-8],audio set [1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
,,,,146.61676460000035,None,146.61676460000035,None,z,3.437378699999954,146.7990245000001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P025,001,3,2,0,0.8,2023-04-04_13h45.09.207,AV_prob,2022.1.1,59.98206536233146,
,,,,,,,,,,,,150.26509729999998,None,t,48.669639399999596,150.26509729999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_P025,001,3,2,0,0.8,2023-04-04_13h45.09.207,AV_prob,2022.1.1,59.98206536233146,
0,0,0,0,,,,,,,,,,,,,,,198.96565670000018,None,198.96565670000018,None,198.96565670000018,None,0,2,0,1,0.35,2.0889201672230797,1.08604824075189,199.88766450000003,None,199.88766450000003,None,199.88766450000003,None,201.05435590000025,203.06574450000016,201.06550312000007,203.06574450000016,203.04911170000014,None,z,0,1.6066228999998202,201.05435590000025,None,201.05435590000025,None,201.05435590000025,None,None,201.05435590000025,None,0,0,0.0,205.19439590000002,None,205.19439590000002,None,205.19439590000002,None,None,205.19439590000002,None,,,,,,,,,,,,,,,,,,CBC_P025,001,3,2,0,0.8,2023-04-04_13h45.09.207,AV_prob,2022.1.1,59.98206536233146,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.3725274662429303,1.73294357419019,207.16503660000035,None,207.16503660000035,None,207.16503660000035,None,208.93307230000028,210.9323102000003,208.93228551000024,210.9323102000003,210.9323102000003,None,z,1,3.009778599999663,208.93307230000028,None,208.93307230000028,None,208.93307230000028,None,None,208.93307230000028,None,1,1,0.5,213.3457714000001,None,213.3457714000001,None,213.3457714000001,None,None,213.3457714000001,None,,,,,,,,,,,,,,,,,,CBC_P025,001,3,2,0,0.8,2023-04-04_13h45.09.207,AV_prob,2022.1.1,59.98206536233146,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,2.0784833561945097,0.789129602716002,215.331858,None,215.331858,None,215.331858,None,216.15461200000027,218.1651538000001,216.16533121000006,218.1651538000001,218.1485871,220.2320248000001,z,1,1.3085949000001165,216.15461200000027,None,216.15461200000027,None,216.15461200000027,None,None,216.15461200000027,None,1,1,0.6666666666666666,220.27007700000013,None,220.27007700000013,None,220.27007700000013,None,None,220.27007700000013,None,,,,,,,,,,,,,,,,,,CBC_P025,001,3,2,0,0.8,2023-04-04_13h45.09.207,AV_prob,2022.1.1,59.98206536233146,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,1.556335756354144,1.53162701008885,222.26514130000032,None,222.26514130000032,None,222.26514130000032,None,223.8145459000002,225.81590000000006,223.8156976400004,225.81590000000006,225.81590000000006,None,z,1,2.3535234000000855,223.8145459000002,None,223.8145459000002,None,223.8145459000002,None,None,223.8145459000002,None,1,1,0.75,227.40005040000005,None,227.40005040000005,None,227.40005040000005,None,None,227.40005040000005,None,,,,,,,,,,,,,,,,,,CBC_P025,001,3,2,0,0.8,2023-04-04_13h45.09.207,AV_prob,2022.1.1,59.98206536233146,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,1,2,1,1,0.5,3.95666246474662,2.5736109380813,229.3985544000002,None,229.3985544000002,None,229.3985544000002,None,231.99752880000005,233.9990525000003,231.9989394400003,233.9990525000003,233.9990525000003,None,z,1,1.1051520999999411,231.99752880000005,None,231.99752880000005,None,231.99752880000005,None,None,231.99752880000005,None,1,1,0.8,237.9817865,None,237.9817865,None,237.9817865,None,None,237.9817865,None,,,,,,,,,,,,,,,,,,CBC_P025,001,3,2,0,0.8,2023-04-04_13h45.09.207,AV_prob,2022.1.1,59.98206536233146,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,2,1,0,0,0.35,3.27810873521582,1.14263865585167,239.98190920000025,None,239.98190920000025,None,239.98190920000025,None,241.15700200000038,243.1653991000003,241.16537701000001,None,243.14869690000023,246.43228660000023,b,1,2.053692200000114,241.15700200000038,None,241.15700200000038,None,241.15700200000038,None,None,241.15700200000038,None,1,0,0.8333333333333334,246.4717671000003,None,246.4717671000003,None,246.4717671000003,None,None,246.4717671000003,None,,,,,,,,,,,,,,,,,,CBC_P025,001,3,2,0,0.8,2023-04-04_13h45.09.207,AV_prob,2022.1.1,59.98206536233146,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.35,2.91771467486041,1.31360018091897,248.46540649999997,None,248.46540649999997,None,248.46540649999997,None,249.79811020000034,251.79924140000003,249.7993254400002,251.79924140000003,251.79924140000003,None,b,1,2.236519600000065,249.79811020000034,254.7157304000002,249.79811020000034,254.7157304000002,249.79811020000034,254.7157304000002,None,249.79811020000034,254.7157304000002,1,1,0.8571428571428571,254.75253850000036,None,254.75253850000036,None,254.75253850000036,None,None,254.75253850000036,None,,,,,,,,,,,,,,,,,,CBC_P025,001,3,2,0,0.8,2023-04-04_13h45.09.207,AV_prob,2022.1.1,59.98206536233146,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0.35,4.21669271035117,1.37809841776001,256.7491581000004,None,256.7491581000004,None,256.7491581000004,None,258.1433583000003,260.1486425000003,258.1487559400001,260.1486425000003,260.13200540000025,264.34893630000033,b,1,2.9541411999998672,258.1433583000003,None,258.1433583000003,None,258.1433583000003,None,None,258.1433583000003,None,1,0,0.875,264.39051010000003,None,264.39051010000003,None,264.39051010000003,None,None,264.39051010000003,None,,,,,,,,,,,,,,,,,,CBC_P025,001,3,2,0,0.8,2023-04-04_13h45.09.207,AV_prob,2022.1.1,59.98206536233146,
