trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response.rt,allKeys.rt,response2.rt,get_keys_8.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [1-4],FB probability,date,expName,psychopyVersion,frameRate,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,1.595506577165096,1.29306073609301,259.04474259999915,None,259.04474259999915,None,259.04474259999915,None,260.34266366999873,None,[],262.3900004999996,None,262.3900004999996,None,262.3900004999996,None,b,262.3900004999996,None,None,262.3900004999996,None,b,2.269987100000435,0,0,0.4444444444444444,264.02541120000024,None,264.02541120000024,None,264.02541120000024,None,None,264.02541120000024,None,,,0.269987100000435,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.3725274662429303,3.26446861731854,266.11834479999743,None,266.11834479999743,None,266.11834479999743,None,269.3923921700007,z,['z'],271.44833369999833,None,271.44833369999833,None,271.44833369999833,None,None,271.44833369999833,None,None,271.44833369999833,None,z,1.2226065999966522,1,1,0.47368421052631576,273.86455659999774,None,273.86455659999774,None,273.86455659999774,None,None,273.86455659999774,None,1.2226065999966522,[1.2226065999966522],,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,2.67601812978374,3.32142038400957,275.94215469999835,None,275.94215469999835,None,275.94215469999835,None,279.27593926999907,None,[],281.3303296999984,None,281.3303296999984,None,281.3303296999984,None,z,281.3303296999984,None,None,281.3303296999984,None,z,2.920679199996812,1,1,0.5,284.0435886999985,None,284.0435886999985,None,284.0435886999985,None,None,284.0435886999985,None,,,0.9206791999968118,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,2.0889201672230797,2.23439856631263,286.1320734000001,None,286.1320734000001,None,286.1320734000001,None,288.3759092699984,None,[],290.42586400000073,None,290.42586400000073,None,290.42586400000073,None,b,290.42586400000073,None,None,290.42586400000073,None,b,2.326162599998497,1,1,0.5238095238095238,292.5585981000004,None,292.5585981000004,None,292.5585981000004,None,None,292.5585981000004,None,,,0.32616259999849717,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,3.86983191325091,1.14263865585167,294.6410840999997,None,294.6410840999997,None,294.6410840999997,None,295.7920502699999,None,[],297.8385817999988,None,297.8385817999988,None,297.8385817999988,None,b,297.8385817999988,None,None,297.8385817999988,None,b,2.241357800001424,1,1,0.5454545454545454,301.7418031999987,None,301.7418031999987,None,301.7418031999987,None,None,301.7418031999987,None,,,0.24135780000142404,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.24205805775432,2.7570014520733,303.82037599999967,None,303.82037599999967,None,303.82037599999967,None,306.5923551699998,None,[],308.64129759999923,None,308.64129759999923,None,308.64129759999923,None,None,308.64129759999923,None,['z'],308.64129759999923,None,[],[],0,3,0.5217391304347826,310.89902230000007,None,310.89902230000007,None,310.89902230000007,None,None,310.89902230000007,None,,,,[0.11852039999939734],,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
23,0,23,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,1.556335756354144,3.38809030570968,313.0102135999987,None,313.0102135999987,None,313.0102135999987,None,316.40917076999904,None,[],318.45834359999935,None,318.45834359999935,None,318.45834359999935,None,z,318.45834359999935,None,None,318.45834359999935,None,z,2.2523766000012984,1,1,0.5416666666666666,320.0589622000007,None,320.0589622000007,None,320.0589622000007,None,None,320.0589622000007,None,,,0.25237660000129836,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
24,0,24,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,2.39750191607,0.977134614530179,322.1449618000006,None,322.1449618000006,None,322.1449618000006,None,323.1263184700001,None,[],325.18288069999835,None,325.18288069999835,None,325.18288069999835,None,z,325.18288069999835,None,None,325.18288069999835,None,z,2.3479303999993135,1,1,0.56,327.6263126999984,None,327.6263126999984,None,327.6263126999984,None,None,327.6263126999984,None,,,0.3479303999993135,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
25,0,25,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,1.109698721182561,2.49579389304826,329.7147690999991,None,329.7147690999991,None,329.7147690999991,None,332.2262366699979,None,[],334.2758638999985,None,334.2758638999985,None,334.2758638999985,None,b,334.2758638999985,None,None,334.2758638999985,None,b,2.3188226000020222,1,1,0.5769230769230769,335.4239306999989,None,335.4239306999989,None,335.4239306999989,None,None,335.4239306999989,None,,,0.3188226000020222,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
26,0,26,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.15,1.543156518078604,0.789129602716002,337.51116790000015,None,337.51116790000015,None,337.51116790000015,None,338.30938867000077,None,[],340.36472499999945,None,340.36472499999945,None,340.36472499999945,None,b,340.36472499999945,None,None,340.36472499999945,None,b,2.088690900000074,1,1,0.5925925925925926,341.9134658999974,None,341.9134658999974,None,341.9134658999974,None,None,341.9134658999974,None,,,0.08869090000007418,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
27,0,27,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0.35,3.88444949943153,2.10833202116216,344.0276472000005,None,344.0276472000005,None,344.0276472000005,None,346.1426656699987,None,[],348.2006550999977,None,348.2006550999977,None,348.2006550999977,None,b,348.2006550999977,None,None,348.2006550999977,None,b,2.1347865000025195,1,0,0.6071428571428571,352.0985216000008,None,352.0985216000008,None,352.0985216000008,None,None,352.0985216000008,None,,,0.13478650000251946,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
28,0,28,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,1.6105816849230599,2.12802719374523,354.218324999998,None,354.218324999998,None,354.218324999998,None,356.35966756999915,None,[],358.41500539999834,None,358.41500539999834,None,358.41500539999834,None,b,358.41500539999834,None,None,358.41500539999834,None,b,2.4039876999995613,1,1,0.6206896551724138,360.0613282999984,None,360.0613282999984,None,360.0613282999984,None,None,360.0613282999984,None,,,0.4039876999995613,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
29,0,29,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.74209998091573,1.08604824075189,362.1185962999989,None,362.1185962999989,None,362.1185962999989,None,363.2096541699975,z,['z'],365.26498530000026,None,365.26498530000026,None,365.26498530000026,None,None,365.26498530000026,None,None,365.26498530000026,None,z,1.7710598000012396,1,1,0.6333333333333333,368.0419062999972,None,368.0419062999972,None,368.0419062999972,None,None,368.0419062999972,None,1.7710598000012396,[1.7710598000012396],,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
30,0,30,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,2.0784833561945097,0.971483558655564,370.09816619999765,None,370.09816619999765,None,370.09816619999765,None,371.07609966999735,None,[],373.1326915999998,None,373.1326915999998,None,373.1326915999998,None,z,373.1326915999998,None,None,373.1326915999998,None,z,2.74543740000081,1,1,0.6451612903225806,375.2460155000008,None,375.2460155000008,None,375.2460155000008,None,None,375.2460155000008,None,,,0.7454374000008102,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
31,0,31,0,,,,,,,,,,,,,,,,,,,,,2,1,0,1,0.15,2.91771467486041,2.50277407648956,377.3404331999991,None,377.3404331999991,None,377.3404331999991,None,379.84291886999927,None,[],381.9004251000006,None,381.9004251000006,None,381.9004251000006,None,b,381.9004251000006,None,None,381.9004251000006,None,b,2.3051044000021648,1,1,0.65625,384.85989829999744,None,384.85989829999744,None,384.85989829999744,None,None,384.85989829999744,None,,,0.30510440000216477,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
32,0,32,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,3.58943852196035,2.40738395932908,386.9421951999975,None,386.9421951999975,None,386.9421951999975,None,389.35969447000025,b,['b'],391.4173198999997,None,391.4173198999997,None,391.4173198999997,None,None,391.4173198999997,None,None,391.4173198999997,None,b,1.9845180000011169,1,1,0.6666666666666666,395.0419411999974,None,395.0419411999974,None,395.0419411999974,None,None,395.0419411999974,None,1.9845180000011169,[1.9845180000011169],,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0.35,1.887650177272661,3.27418780206312,397.12441679999756,None,397.12441679999756,None,397.12441679999756,None,400.40933156999745,None,[],402.46001389999947,None,402.46001389999947,None,402.46001389999947,None,b,402.46001389999947,None,None,402.46001389999947,None,b,2.104483800001617,1,0,0.6764705882352942,404.3950225000008,None,404.3950225000008,None,404.3950225000008,None,None,404.3950225000008,None,,,0.10448380000161706,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,4.21669271035117,1.48342455087402,406.4741237999988,None,406.4741237999988,None,406.4741237999988,None,407.9598082699995,None,[],410.0145330999985,None,410.0145330999985,None,410.0145330999985,None,z,410.0145330999985,None,None,410.0145330999985,None,z,2.914123800001107,1,1,0.6857142857142857,414.2774802999993,None,414.2774802999993,None,414.2774802999993,None,None,414.2774802999993,None,,,0.9141238000011072,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0.15,3.50182449656669,1.84422310959985,416.35219009999855,None,416.35219009999855,None,416.35219009999855,None,418.2098206699993,b,['b'],420.26536750000014,None,420.26536750000014,None,420.26536750000014,None,None,420.26536750000014,None,None,420.26536750000014,None,b,1.479388599997037,1,1,0.6944444444444444,423.78120470000067,None,423.78120470000067,None,423.78120470000067,None,None,423.78120470000067,None,1.479388599997037,[1.479388599997037],,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,4.33462955345931,1.31360018091897,425.89590540000063,None,425.89590540000063,None,425.89590540000063,None,427.20980117,None,[],429.26439329999994,None,429.26439329999994,None,429.26439329999994,None,z,429.26439329999994,None,None,429.26439329999994,None,z,2.2841124999977183,1,1,0.7027027027027027,433.6439128999991,None,433.6439128999991,None,433.6439128999991,None,None,433.6439128999991,None,,,0.28411249999771826,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,2,2,0,1,0.35,1.326293484834196,2.68488128149974,435.7283912999992,None,435.7283912999992,None,435.7283912999992,None,438.4264979699983,b,['b'],440.48207980000007,None,440.48207980000007,None,440.48207980000007,None,None,440.48207980000007,None,None,440.48207980000007,None,b,1.8624493000024813,1,1,0.7105263157894737,441.813992899999,None,441.813992899999,None,441.813992899999,None,None,441.813992899999,None,1.8624493000024813,[1.8624493000024813],,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0.35,1.2199655720291709,1.44889042899439,443.9302265000006,None,443.9302265000006,None,443.9302265000006,None,445.3932419699995,b,['b'],447.44927520000056,None,447.44927520000056,None,447.44927520000056,None,None,447.44927520000056,None,None,447.44927520000056,None,b,1.326927699999942,1,1,0.717948717948718,448.7089003000001,None,448.7089003000001,None,448.7089003000001,None,None,448.7089003000001,None,1.326927699999942,[1.326927699999942],,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,0,2,1,1,0.5,3.47854712582944,1.2479618399002,450.80110050000076,None,450.80110050000076,None,450.80110050000076,None,452.05959466999775,None,[],454.1144744999983,None,454.1144744999983,None,454.1144744999983,None,z,454.1144744999983,None,None,454.1144744999983,None,z,2.1989354000033927,1,1,0.725,457.6289089999991,None,457.6289089999991,None,457.6289089999991,None,None,457.6289089999991,None,,,0.19893540000339272,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,1.758742575863891,1.41191114387976,459.68377549999786,None,459.68377549999786,None,459.68377549999786,None,461.1098758699991,None,[],463.1677159999999,None,463.1677159999999,None,463.1677159999999,None,z,463.1677159999999,None,None,463.1677159999999,None,z,2.261597400000028,1,1,0.7317073170731707,464.9573505999979,None,464.9573505999979,None,464.9573505999979,None,None,464.9573505999979,None,,,0.26159740000002785,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,2,0,1,1,0.5,2.27860294189526,1.53162701008885,467.02991420000035,None,467.02991420000035,None,467.02991420000035,None,468.5760871700004,z,['z'],470.63180869999997,None,470.63180869999997,None,470.63180869999997,None,None,470.63180869999997,None,None,470.63180869999997,None,z,1.1370744999985618,1,1,0.7380952380952381,472.94189489999917,None,472.94189489999917,None,472.94189489999917,None,None,472.94189489999917,None,1.1370744999985618,[1.1370744999985618],,,,,,,,,,,,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474.9253561999976,None,479.9254757999988,None,479.9254757999988,None,None,479.9254757999988,None,,,,,,,,,,,CBC_P008,001,set4,set1,1,0.9,2023-03-17_15h27.47.120,TV_prob,2022.1.1,60.00240009507002,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,z,b,2,2,1,2,0.42857142857142855,0.7857142857142856,1.0000000000000002,,,,,,,,,,,
