trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response.rt,allKeys.rt,get_keys_7.rt,get_keys_8.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
33,0,33,0,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0.15,3.95666246474662,1.84422310959985,377.5314155999995,None,377.5314155999995,None,377.5314155999995,None,379.3850410799993,379.4018787799993,z,['z'],381.3917351,None,381.3917351,None,381.3917351,None,None,,381.3917351,None,None,381.3917351,None,z,1.1834732000006625,1,0,0.7352941176470589,385.3846463,None,385.3846463,None,385.3846463,None,None,385.3846463,None,1.1834732000006625,[1.1834732000006625],,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
34,0,34,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,2.3725274662429303,1.31360018091897,387.40256989999943,None,387.40256989999943,None,387.40256989999943,None,388.7178482799997,388.7337608799996,z,['z'],390.7162791999999,None,390.7162791999999,None,390.7162791999999,None,None,,390.7162791999999,None,None,390.7162791999999,None,z,1.6528372000002491,1,1,0.7428571428571429,393.1366720999995,None,393.1366720999995,None,393.1366720999995,None,None,393.1366720999995,None,1.6528372000002491,[1.6528372000002491],,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
35,0,35,0,,,,,,,,,,,,,,,,,,,,,2,2,1,0,0.5,3.62250581484608,1.2479618399002,395.15418109999973,None,395.15418109999973,None,395.15418109999973,None,396.41753037999996,396.43427028000013,b,['b'],398.4132916999997,None,398.4132916999997,None,398.4132916999997,None,None,,398.4132916999997,None,None,398.4132916999997,None,b,1.882598400000461,1,0,0.75,402.06892919999973,None,402.06892919999973,None,402.06892919999973,None,None,402.06892919999973,None,1.882598400000461,[1.882598400000461],,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
36,0,36,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,1.758742575863891,2.3497497577282,404.05452719999994,None,404.05452719999994,None,404.05452719999994,None,406.4180532799998,406.4346118800001,b,['b'],408.4145149999995,None,408.4145149999995,None,408.4145149999995,None,None,,408.4145149999995,None,None,408.4145149999995,None,b,1.690101200000754,1,1,0.7567567567567568,410.2204148999999,None,410.2204148999999,None,410.2204148999999,None,None,410.2204148999999,None,1.690101200000754,[1.690101200000754],,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
37,0,37,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,4.1766095715889495,3.26446861731854,412.23268559999997,None,412.23268559999997,None,412.23268559999997,None,415.5017989799996,415.51797288000006,z,['z'],417.50872399999935,None,417.50872399999935,None,417.50872399999935,None,None,,417.50872399999935,None,None,417.50872399999935,None,z,1.133911600000829,1,1,0.7631578947368421,421.6932391999999,None,421.6932391999999,None,421.6932391999999,None,None,421.6932391999999,None,1.133911600000829,[1.133911600000829],,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
38,0,38,0,,,,,,,,,,,,,,,,,,,,,1,2,0,0,0.35,1.2199655720291709,1.88377296598415,423.7149417999999,None,423.7149417999999,None,423.7149417999999,None,425.6018078799995,425.6183814799994,z,['z'],427.6076463999998,None,427.6076463999998,None,427.6076463999998,None,None,,427.6076463999998,None,None,427.6076463999998,None,z,1.8182924000011553,1,0,0.7692307692307693,428.8705278999996,None,428.8705278999996,None,428.8705278999996,None,None,428.8705278999996,None,1.8182924000011553,[1.8182924000011553],,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
39,0,39,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,1.326293484834196,3.27418780206312,430.9268876999995,None,430.9268876999995,None,430.9268876999995,None,434.2022179799994,434.21874887999974,b,['b'],436.2060087,None,436.2060087,None,436.2060087,None,None,,436.2060087,None,None,436.2060087,None,b,1.0387405000010403,1,1,0.775,437.55677229999947,None,437.55677229999947,None,437.55677229999947,None,None,437.55677229999947,None,1.0387405000010403,[1.0387405000010403],,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
40,0,40,0,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0.5,1.556335756354144,1.41191114387976,439.5723539999999,None,439.5723539999999,None,439.5723539999999,None,440.9852348800002,441.0018481799995,b,['b'],442.99138200000016,None,442.99138200000016,None,442.99138200000016,None,None,,442.99138200000016,None,None,442.99138200000016,None,b,1.6537748000000647,1,0,0.7804878048780488,444.5861310999999,None,444.5861310999999,None,444.5861310999999,None,None,444.5861310999999,None,1.6537748000000647,[1.6537748000000647],,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
41,0,41,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.15,1.8749846827473111,1.55403782363402,446.59966649999933,None,446.59966649999933,None,446.59966649999933,None,448.16849487999997,448.1852049799997,z,['z'],450.16665829999965,None,450.16665829999965,None,450.16665829999965,None,None,,450.16665829999965,None,None,450.16665829999965,None,z,1.6276918000003207,1,1,0.7857142857142857,452.0875363999994,None,452.0875363999994,None,452.0875363999994,None,None,452.0875363999994,None,1.6276918000003207,[1.6276918000003207],,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.0020055999994,None,459.00208229999953,None,459.00208229999953,None,None,459.00208229999953,None,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,b,z,2,2,1,2,0.6428571428571429,0.8571428571428571,0.8571428571428573,,,,,,,,,,,
