trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,Intro_image.started,Intro_image.stopped,instruction.started,instruction.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,fixationCross_9.started,fixationCross_9.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,fixationCross_7.started,fixationCross_7.stopped,cue_yes_8.started,cue_yes_8.stopped,cue_no_8.started,cue_no_8.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correct_comb,trials_runs.rewardAccurate,trials_runs.presentationFrequency,trials_runs.ISI,trials_runs.ITI,fixationCross_8.started,fixationCross_8.stopped,cue_yes_9.started,cue_yes_9.stopped,cue_no_9.started,cue_no_9.stopped,image_3.started,tactile.started,response.keys,allKeys.keys,fixationCross_11.started,fixationCross_11.stopped,cue_yes_10.started,cue_yes_10.stopped,cue_no_10.started,cue_no_10.stopped,response2.keys,response2.rt,response2.started,response2.stopped,get_keys_8.keys,get_keys_8.started,get_keys_8.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_3.started,feedback_3.stopped,cue_yes_11.started,cue_yes_11.stopped,cue_no_11.started,cue_no_11.stopped,get_keys_7.keys,get_keys_7.started,get_keys_7.stopped,response.rt,allKeys.rt,get_keys_7.rt,get_keys_8.rt,fixationCross_10.started,fixationCross_10.stopped,final_image.started,final_image.stopped,final_message.started,final_message.stopped,end_experiment.keys,end_experiment.started,end_experiment.stopped,trials_runs.rewardProb,trials_runs.yesKey,trials_runs.noKey,trials_runs.stimulusDur,trials_runs.feedbackDur,trials_runs.durTactile,trials_runs.durVisual,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,participant,session,visual set [set1-4 / set5-8],tactile set [set1-4],trial structure [0-3],FB probability,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,1,2,0,1,0.35,1.595506577165096,2.93536812882172,155.36357809999936,None,155.36357809999936,None,155.36357809999936,None,158.30029227999938,158.31673107999967,None,[],160.30533539999942,None,160.30533539999942,None,160.30533539999942,None,z,0.23035170000002836,160.30533539999942,None,None,160.30533539999942,None,z,2.2303517000000284,1,1,0.5555555555555556,161.93405799999982,None,161.93405799999982,None,161.93405799999982,None,None,161.93405799999982,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,3.88444949943153,2.68488128149974,163.9493676000002,None,163.9493676000002,None,163.9493676000002,None,166.63380317999935,166.65052447999977,z,['z'],168.63892599999963,None,168.63892599999963,None,168.63892599999963,None,None,,168.63892599999963,None,None,168.63892599999963,None,z,1.248040000000401,1,1,0.6,172.5650211000002,None,172.5650211000002,None,172.5650211000002,None,None,172.5650211000002,None,1.248040000000401,[1.248040000000401],,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0.35,4.21669271035117,2.49579389304826,174.58017010000003,None,174.58017010000003,None,174.58017010000003,None,177.08346427999976,177.10023137999968,None,[],179.08955259999948,None,179.08955259999948,None,179.08955259999948,None,z,0.4223998000006759,179.08955259999948,None,None,179.08955259999948,None,z,2.422399800000676,1,0,0.6363636363636364,183.35111340000003,None,183.35111340000003,None,183.35111340000003,None,None,183.35111340000003,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,2,2,1,0,0.5,1.109698721182561,2.78012240036799,185.3663405999996,None,185.3663405999996,None,185.3663405999996,None,188.15032477999983,188.16693387999993,None,[],190.1551559999998,None,190.1551559999998,None,190.1551559999998,None,b,0.5730563000006441,190.1551559999998,None,None,190.1551559999998,None,b,2.573056300000644,1,0,0.6666666666666666,191.29872049999994,None,191.29872049999994,None,191.29872049999994,None,None,191.29872049999994,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,3.58943852196035,1.44889042899439,193.32065150000017,None,193.32065150000017,None,193.32065150000017,None,194.78398257999987,194.80045597999987,b,['b'],196.7807327999999,None,196.7807327999999,None,196.7807327999999,None,None,,196.7807327999999,None,None,196.7807327999999,None,b,1.3685682000004817,1,1,0.6923076923076923,200.417504,None,200.417504,None,200.417504,None,None,200.417504,None,1.3685682000004817,[1.3685682000004817],,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,1.6105816849230599,2.50277407648956,202.43332809999993,None,202.43332809999993,None,202.43332809999993,None,204.95080747999936,204.96737378000006,None,[],206.95028000000002,None,206.95028000000002,None,206.95028000000002,None,None,,206.95028000000002,None,None,206.95028000000002,None,[],[],0,3,0.6428571428571429,208.5974843999993,None,208.5974843999993,None,208.5974843999993,None,['z'],208.5974843999993,None,,,[0.06509520000054181],,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,0,0,1,1,0.5,2.0845750455934002,1.75396267962373,210.61738629999945,None,210.61738629999945,None,210.61738629999945,None,212.3836430799999,212.40050327999933,b,['b'],214.38225950000015,None,214.38225950000015,None,214.38225950000015,None,None,,214.38225950000015,None,None,214.38225950000015,None,b,1.2348253999998633,1,1,0.6666666666666666,216.50110769999992,None,216.50110769999992,None,216.50110769999992,None,None,216.50110769999992,None,1.2348253999998633,[1.2348253999998633],,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,1,2,0,0,0.35,1.543156518078604,2.23299083390853,218.51453390000006,None,218.51453390000006,None,218.51453390000006,None,220.7508935799994,220.76725607999987,b,['b'],222.75259909999932,None,222.75259909999932,None,222.75259909999932,None,None,,222.75259909999932,None,None,222.75259909999932,None,b,1.665531500000725,0,1,0.625,224.3333064999997,None,224.3333064999997,None,224.3333064999997,None,None,224.3333064999997,None,1.665531500000725,[1.665531500000725],,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,2,0,0,1,0.35,4.26803291533611,1.08604824075189,226.34828049999942,None,226.34828049999942,None,226.34828049999942,None,227.44960218000023,227.4665431800001,z,['z'],229.44663889999993,None,229.44663889999993,None,229.44663889999993,None,None,,229.44663889999993,None,None,229.44663889999993,None,z,0.9715078000008361,1,1,0.6470588235294118,233.7496818999998,None,233.7496818999998,None,233.7496818999998,None,None,233.7496818999998,None,0.9715078000008361,[0.9715078000008361],,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,0,1,0,1,0.35,1.887650177272661,2.64870493261766,235.76329600000008,None,235.76329600000008,None,235.76329600000008,None,238.41743097999978,238.4341350800002,None,[],240.4145355999999,None,240.4145355999999,None,240.4145355999999,None,z,0.24141530000088096,240.4145355999999,None,None,240.4145355999999,None,z,2.241415300000881,1,1,0.6666666666666666,242.34859249999954,None,242.34859249999954,None,242.34859249999954,None,None,242.34859249999954,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,2.24205805775432,2.5736109380813,244.36483080000016,None,244.36483080000016,None,244.36483080000016,None,246.95080458,246.96761897999994,b,['b'],248.95402869999998,None,248.95402869999998,None,248.95402869999998,None,None,,248.95402869999998,None,None,248.95402869999998,None,b,1.215718100000231,1,1,0.6842105263157895,251.22604090000004,None,251.22604090000004,None,251.22604090000004,None,None,251.22604090000004,None,1.215718100000231,[1.215718100000231],,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
19,0,19,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,2.2089046382315303,2.10833202116216,253.21894209999937,None,253.21894209999937,None,253.21894209999937,None,255.3333495799995,255.34992708,b,['b'],257.33147999999983,None,257.33147999999983,None,257.33147999999983,None,None,,257.33147999999983,None,None,257.33147999999983,None,b,1.913751100000809,1,1,0.7,259.58424099999957,None,259.58424099999957,None,259.58424099999957,None,None,259.58424099999957,None,1.913751100000809,[1.913751100000809],,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
20,0,20,0,,,,,,,,,,,,,,,,,,,,,0,2,0,1,0.15,3.86983191325091,3.32142038400957,261.59719529999984,None,261.59719529999984,None,261.59719529999984,None,264.9176500800001,264.9344815800002,z,['z'],266.92293960000006,None,266.92293960000006,None,266.92293960000006,None,None,,266.92293960000006,None,None,266.92293960000006,None,z,1.5190672000007908,1,1,0.7142857142857143,270.8048657999998,None,270.8048657999998,None,270.8048657999998,None,None,270.8048657999998,None,1.5190672000007908,[1.5190672000007908],,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
21,0,21,0,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0.5,2.11780998338946,1.91520730139263,272.8209165999997,None,272.8209165999997,None,272.8209165999997,None,274.75115927999985,274.7676923799997,b,['b'],276.7597919,None,276.7597919,None,276.7597919,None,None,,276.7597919,None,None,276.7597919,None,b,1.7649459000003844,1,1,0.7272727272727273,278.9175931999998,None,278.9175931999998,None,278.9175931999998,None,None,278.9175931999998,None,1.7649459000003844,[1.7649459000003844],,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
22,0,22,0,,,,,,,,,,,,,,,,,,,,,2,2,1,1,0.5,1.671897605000652,3.27666037293199,280.9319768999994,None,280.9319768999994,None,280.9319768999994,None,284.21747547999956,284.23411727999945,b,['b'],286.21691289999944,None,286.21691289999944,None,286.21691289999944,None,None,,286.21691289999944,None,None,286.21691289999944,None,b,1.4310675000006086,1,1,0.7391304347826086,287.93418500000007,None,287.93418500000007,None,287.93418500000007,None,None,287.93418500000007,None,1.4310675000006086,[1.4310675000006086],,,,,,,,,,,,,,,,,,,,,,CBC_P015,002,set4,set1,2,0.7,2023-03-29_17h08.14.876,TV_prob,2022.1.1,60.0718218701094,
